repository,state,title,label,body
jecelyin/920-Text-Editor,open,使用键盘过程中的问题,[],"Hello:

再次过来打扰一下：

在使用外接键盘进行输入，出现漏字的问题，不知道作者有没有遇见过？？


Thanks."
jecelyin/920-Text-Editor,open,Full german translation,[],"Here's a <a href=""https://gist.github.com/42eb5b65a910fa211a930e3002d619b4"">full german translation</a> I've made via <a href=""https://github.com/LonamiWebs/Stringlate"">Stringlate</a>."
jecelyin/920-Text-Editor,closed,Pr/14,[],"Add french translation improvement
"
jecelyin/920-Text-Editor,open,Crash on Nexus 10 on start up,[],"The application crashes on launch when launched on a Nexus 10 running CyanogenMod 11 (Android 4.4.4). Reproduction steps are as follows:
1. Launch app.
2. Wait for application crash.

I have the stack trace below:

```
09-06 17:11:56.628: D/ActivityThread(4555): handleBindApplication:com.jecelyin.editor
09-06 17:11:56.628: D/ActivityThread(4555): setTargetHeapUtilization:0.75
09-06 17:11:56.633: D/ActivityThread(4555): setTargetHeapMinFree:524288
09-06 17:11:56.943: D/dalvikvm(4555): Trying to load lib /data/app-lib/com.jecelyin.editor-1/libhighlight.so 0x421f4188
09-06 17:11:56.943: D/dalvikvm(4555): Added shared lib /data/app-lib/com.jecelyin.editor-1/libhighlight.so 0x421f4188
09-06 17:11:56.943: D/dalvikvm(4555): No JNI_OnLoad found in /data/app-lib/com.jecelyin.editor-1/libhighlight.so 0x421f4188, skipping init
09-06 17:11:57.013: D/AndroidRuntime(4555): Shutting down VM
09-06 17:11:57.013: W/dalvikvm(4555): threadid=1: thread exiting with uncaught exception (group=0x41d62ce0)
09-06 17:11:57.018: E/AndroidRuntime(4555): FATAL EXCEPTION: main
09-06 17:11:57.018: E/AndroidRuntime(4555): Process: com.jecelyin.editor, PID: 4555
09-06 17:11:57.018: E/AndroidRuntime(4555): java.lang.RuntimeException: Unable to start activity ComponentInfo{com.jecelyin.editor/com.jecelyin.editor.JecEditor}: java.lang.NullPointerException
09-06 17:11:57.018: E/AndroidRuntime(4555):     at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2212)
09-06 17:11:57.018: E/AndroidRuntime(4555):     at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2271)
09-06 17:11:57.018: E/AndroidRuntime(4555):     at android.app.ActivityThread.access$800(ActivityThread.java:144)
09-06 17:11:57.018: E/AndroidRuntime(4555):     at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1205)
09-06 17:11:57.018: E/AndroidRuntime(4555):     at android.os.Handler.dispatchMessage(Handler.java:102)
09-06 17:11:57.018: E/AndroidRuntime(4555):     at android.os.Looper.loop(Looper.java:136)
09-06 17:11:57.018: E/AndroidRuntime(4555):     at android.app.ActivityThread.main(ActivityThread.java:5146)
09-06 17:11:57.018: E/AndroidRuntime(4555):     at java.lang.reflect.Method.invokeNative(Native Method)
09-06 17:11:57.018: E/AndroidRuntime(4555):     at java.lang.reflect.Method.invoke(Method.java:515)
09-06 17:11:57.018: E/AndroidRuntime(4555):     at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:732)
09-06 17:11:57.018: E/AndroidRuntime(4555):     at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:566)
09-06 17:11:57.018: E/AndroidRuntime(4555):     at dalvik.system.NativeStart.main(Native Method)
09-06 17:11:57.018: E/AndroidRuntime(4555): Caused by: java.lang.NullPointerException
09-06 17:11:57.018: E/AndroidRuntime(4555):     at com.jecelyin.editor.JecEditor.bindEvent(JecEditor.java:860)
09-06 17:11:57.018: E/AndroidRuntime(4555):     at com.jecelyin.editor.JecEditor.onCreate(JecEditor.java:341)
09-06 17:11:57.018: E/AndroidRuntime(4555):     at android.app.Activity.performCreate(Activity.java:5231)
09-06 17:11:57.018: E/AndroidRuntime(4555):     at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1087)
09-06 17:11:57.018: E/AndroidRuntime(4555):     at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2169)
09-06 17:11:57.018: E/AndroidRuntime(4555):     ... 11 more
```
"
jecelyin/920-Text-Editor,open,Feature Request: Use custom font from ttf file,[],"Although default Monospace font looks nice, I would like to use custom font like Consolas to view code. Some option to browse ttf file. My phone is not rooted, so I can't overwrite system fonts. Please implement this feature.
"
jecelyin/920-Text-Editor,open,920 text editor gone from Google Play? ,[],"Hi, 

I've had this editor installed on my devices for some time now and used it with great success. 
I just received a new smartphone and tried to install it, but could not find it on the Play store anymore. 
"
jecelyin/920-Text-Editor,closed,"from terminal, how to launch to edit file?",[],"This may not be the right place to ask this, but I've been stumped for days and am in desperate need of help with this issue.

I would like to know how to launch the editor from terminal emulator (I need this for a script that I'm working on).

As an example, how would I open /storage/emulated/0/Download/test.txt for editing?

When I try this: 
am start -a android.intent.action.EDIT -n com.jecelyin.editor/.JecEditor -d /storage/emulated/0/Download/test.txt

I get an error that includes ""Permission Denial: startActivity asks to run as user -2 but is calling from user 0; this requires android.permission.INTERACT_ACROSS_USERS_FULL""

I'm not sure exactly what that's about, so I try to work around it with this: 
am start --user 0 -a android.intent.action.EDIT -n com.jecelyin.editor/.JecEditor -d /storage/emulated/0/Download/test.txt

Now the editor starts, but it opens a new file and not the specified file. I've also tried different test files to exclude the possibility that test.txt is corrupt.

I'm stuck. Please help!

---

OS: CM11
Device: Moto G
Relevant apps: Terminal Emulator (jackpal.androidterm 1.0.65), 920 Text Editor (com.jecelyin.editor 12.11.23) 
"
jecelyin/920-Text-Editor,open,How to compile this project,[],"When I import this project, I found that it used the Api which is invisible,so...,how to compile this object?
"
jecelyin/920-Text-Editor,open,Force-Closing at Launch on several builds of LolliPop (CM.12) on LG-(G3)-D850 AT&T.Lte,[],"I will try to remember to grab some logs, and more details of the system soon.  

NOTES:  
I really like this app, and it has been my 'go-to' text app on Android for several years now.

I am willing to try to repair the problem, but I am new to both Java and to native Android apps.  I have experience debugging C#, HTML5, and other typical web languages.

It would be helpful if someone is willing to give me some hints.  I'll do all the work, gather detailed info along the way, post it, but would likely need frequent tips/guidance.  If that is acceptable, please let me know via email: Paul@PaulJRichardson.com or sms/text: 909-486-3463

As a last resort?, the only remaining option I can think of would be for me to try and start a 'bounty' pool of funds for some dev-for-hire who will help out, perhaps at XDA or some other social-funding site?

Regards,
Paul
"
jecelyin/920-Text-Editor,closed,updated target SDK version to KitKat,[],
