repository,state,title,label,body
uberspot/AnagramSolver,open,KnownVuln,[],"F-Droid compkains about security, can you push a new build? That should solve the problem."
uberspot/AnagramSolver,closed,Brazilian Portuguese translation,[],"Hello,

My name is André F. Machado and I am a scholarship of a project from Universidade Federal do Rio Grande do Sul, in Brazil, where we are translating mobile educational apps to Portuguese. This PR contains my translation to your app, AnagramSolver.

Best reguards.
"
uberspot/AnagramSolver,closed,"Add button ""Get it on F-Droid""",[],"Please, add a button ""Get it on F-Droid"" with a PNG file from https://commons.wikimedia.org/wiki/File:Get_it_on_F-Droid.svg in your README file with the appropriate link to the page of your app on F-Droid.
"
uberspot/AnagramSolver,closed,Minor changes,[],
uberspot/AnagramSolver,closed,Adding license file,[],
uberspot/AnagramSolver,closed,Better values strings,[],
uberspot/AnagramSolver,closed,Update of README,[],
uberspot/AnagramSolver,closed,French translation,[],
uberspot/AnagramSolver,closed,Force Close when enter word with apostrophe,[],"Application crashes with the following stack trace when the next sequence of events is fired:
starting by main activity
Enter a new word with an apostrophe (example: test')
click on ""Search words!""

E/AndroidRuntime(  785): FATAL EXCEPTION: AsyncTask #4
E/AndroidRuntime(  785): java.lang.RuntimeException: An error occured while executing doInBackground()
E/AndroidRuntime(  785):    at android.os.AsyncTask$3.done(AsyncTask.java:299)
E/AndroidRuntime(  785):    at java.util.concurrent.FutureTask$Sync.innerSetException(FutureTask.java:273)
E/AndroidRuntime(  785):    at java.util.concurrent.FutureTask.setException(FutureTask.java:124)
E/AndroidRuntime(  785):    at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:307)
E/AndroidRuntime(  785):    at java.util.concurrent.FutureTask.run(FutureTask.java:137)
E/AndroidRuntime(  785):    at android.os.AsyncTask$SerialExecutor$1.run(AsyncTask.java:230)
E/AndroidRuntime(  785):    at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1076)
E/AndroidRuntime(  785):    at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:569)
E/AndroidRuntime(  785):    at java.lang.Thread.run(Thread.java:856)
E/AndroidRuntime(  980): Caused by: android.database.sqlite.SQLiteException: near ""est"": syntax error (code 1): , while compiling: SELECT word FROM English WHERE aword=''est'
E/AndroidRuntime(  785):    at android.database.sqlite.SQLiteConnection.nativePrepareStatement(Native Method)
E/AndroidRuntime(  785):    at android.database.sqlite.SQLiteConnection.acquirePreparedStatement(SQLiteConnection.java:882)
E/AndroidRuntime(  785):    at android.database.sqlite.SQLiteConnection.prepare(SQLiteConnection.java:493)
E/AndroidRuntime(  785):    at android.database.sqlite.SQLiteSession.prepare(SQLiteSession.java:588)
E/AndroidRuntime(  785):    at android.database.sqlite.SQLiteProgram.<init>(SQLiteProgram.java:58)
E/AndroidRuntime(  785):    at android.database.sqlite.SQLiteQuery.<init>(SQLiteQuery.java:37)
E/AndroidRuntime(  785):    at android.database.sqlite.SQLiteDirectCursorDriver.query(SQLiteDirectCursorDriver.java:44)
E/AndroidRuntime(  785):    at android.database.sqlite.SQLiteDatabase.rawQueryWithFactory(SQLiteDatabase.java:1314)
E/AndroidRuntime(  785):    at android.database.sqlite.SQLiteDatabase.rawQuery(SQLiteDatabase.java:1253)
E/AndroidRuntime(  785):    at com.as.anagramsolver.DictionaryDBCreator.rawQueryResults(DictionaryDBCreator.java:189)
E/AndroidRuntime(  785):    at com.as.anagramsolver.DictionaryDBCreator.getMatchingAnagrams(DictionaryDBCreator.java:172)
E/AndroidRuntime(  785):    at com.as.anagramsolver.StartPage$DBSearchTask.searchAllMatchingAnagrams(StartPage.java:208)
E/AndroidRuntime(  785):    at com.as.anagramsolver.StartPage$DBSearchTask.doInBackground(StartPage.java:142)
E/AndroidRuntime(  785):    at com.as.anagramsolver.StartPage$DBSearchTask.doInBackground(StartPage.java:114)
E/AndroidRuntime(  785):    at android.os.AsyncTask$2.call(AsyncTask.java:287)
E/AndroidRuntime(  785):    at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:305)
E/AndroidRuntime(  785):    ... 5 more
"
uberspot/AnagramSolver,closed,Anagram solver never finds anything,[],"I installed Anagram finder from FDroid, and have never been able to make it work.
If there's a dictionary file I need to download, there was no instruction in the app.
This may be relevant Logcat:

E/Cursor  (10002): Finalizing a Cursor that has not been deactivated or closed. database = /data/data/com.as.anagramsolv
er/databases/Dictionaries, table = null, query = SELECT  \* FROM ENGLISH WHERE aword=92567784
E/Cursor  (10002): android.database.sqlite.DatabaseObjectNotClosedException: Application did not close the cursor or dat
abase object that was opened here
E/Cursor  (10002):      at android.database.sqlite.SQLiteCursor.<init>(SQLiteCursor.java:210)
E/Cursor  (10002):      at android.database.sqlite.SQLiteDirectCursorDriver.query(SQLiteDirectCursorDriver.java:53)
E/Cursor  (10002):      at android.database.sqlite.SQLiteDatabase.rawQueryWithFactory(SQLiteDatabase.java:1345)
E/Cursor  (10002):      at android.database.sqlite.SQLiteDatabase.rawQuery(SQLiteDatabase.java:1315)
E/Cursor  (10002):      at com.as.anagramsolver.DictionaryDBCreator.getMatchingAnagrams(DictionaryDBCreator.java:161)
E/Cursor  (10002):      at com.as.anagramsolver.StartPage$DBSearchTask.searchAllMatchingAnagrams(StartPage.java:155)
E/Cursor  (10002):      at com.as.anagramsolver.StartPage$DBSearchTask.doInBackground(StartPage.java:103)
E/Cursor  (10002):      at com.as.anagramsolver.StartPage$DBSearchTask.doInBackground(StartPage.java:92)
E/Cursor  (10002):      at android.os.AsyncTask$2.call(AsyncTask.java:185)
E/Cursor  (10002):      at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:305)
E/Cursor  (10002):      at java.util.concurrent.FutureTask.run(FutureTask.java:137)
E/Cursor  (10002):      at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1068)
E/Cursor  (10002):      at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:561)
E/Cursor  (10002):      at java.lang.Thread.run(Thread.java:1096)
E/Cursor  (10002): Finalizing a Cursor that has not been deactivated or closed. database = /data/data/com.as.anagramsolv
er/databases/Dictionaries, table = null, query = SELECT  \* FROM ENGLISH WHERE aword=92573736
E/Cursor  (10002): android.database.sqlite.DatabaseObjectNotClosedException: Application did not close the cursor or dat
abase object that was opened here
E/Cursor  (10002):      at android.database.sqlite.SQLiteCursor.<init>(SQLiteCursor.java:210)
E/Cursor  (10002):      at android.database.sqlite.SQLiteDirectCursorDriver.query(SQLiteDirectCursorDriver.java:53)
E/Cursor  (10002):      at android.database.sqlite.SQLiteDatabase.rawQueryWithFactory(SQLiteDatabase.java:1345)
E/Cursor  (10002):      at android.database.sqlite.SQLiteDatabase.rawQuery(SQLiteDatabase.java:1315)
E/Cursor  (10002):      at com.as.anagramsolver.DictionaryDBCreator.getMatchingAnagrams(DictionaryDBCreator.java:161)
E/Cursor  (10002):      at com.as.anagramsolver.StartPage$DBSearchTask.searchAllMatchingAnagrams(StartPage.java:155)
E/Cursor  (10002):      at com.as.anagramsolver.StartPage$DBSearchTask.doInBackground(StartPage.java:103)
E/Cursor  (10002):      at com.as.anagramsolver.StartPage$DBSearchTask.doInBackground(StartPage.java:92)
E/Cursor  (10002):      at android.os.AsyncTask$2.call(AsyncTask.java:185)
E/Cursor  (10002):      at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:305)
E/Cursor  (10002):      at java.util.concurrent.FutureTask.run(FutureTask.java:137)
E/Cursor  (10002):      at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1068)
E/Cursor  (10002):      at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:561)
E/Cursor  (10002):      at java.lang.Thread.run(Thread.java:1096)
E/Cursor  (10002): Finalizing a Cursor that has not been deactivated or closed. database = /data/data/com.as.anagramsolv
er/databases/Dictionaries, table = null, query = SELECT  \* FROM ENGLISH WHERE aword=2986247
E/Cursor  (10002): android.database.sqlite.DatabaseObjectNotClosedException: Application did not close the cursor or dat
abase object that was opened here
"
