repository,state,title,label,body
CityZenApp/Android-Development,open,Add Toilets/Restrooms in the List of Categories,[],"**Toilets** or **Restrooms** are an essential Category that needs to be present in the App. There is a heavy need for these kinds of places in every region/locality. It can be named as **Restrooms** (just a suggestion)

Some of them are,

* Toilets for Men and Women
* For Differentially Abled
* Feeding Rooms
* Other Public Places

Thanks"
CityZenApp/Android-Development,open,Offering Copywritting Contribution To Your Project ,"[Label(name=""documentation""), Label(name=""good first issue""), Label(name=""needs discussion"")]","Hello, I'm Kelita

I would love to contribute to your project. I went through your repository and discovered some documentation are missing which I would like to contribute to. 

I am waiting your response and would be honored if giving the privilege to do so. "
CityZenApp/Android-Development,open,Design: dark theme development,"[Label(name=""feature proposal""), Label(name=""needs discussion"")]","I don't know if this should be the case also for CityZen, but I was wondering it it makes sense to have a dark theme design version of CityZen app. In my understanding it is a general trend to offer the option to users to choose between dark or light theme versions. 
What do you think? 
Should we also work on a dark theme for the app? "
CityZenApp/Android-Development,open,Search functionality: showing the distance of POIs from user location,"[Label(name=""enhancement""), Label(name=""feature proposal""), Label(name=""good first issue"")]","Not sure if there is another issue related to this: when users search for a certain POI it would be nice to show also the distance of the POIs shown from the location of the user. This is quite handy when you are searching for restaurants chains (let's say for example Starbucks) that have the same name usually.  
![cityzen photo_2018-06-15_15-37-31](https://user-images.githubusercontent.com/17770262/41471069-dc6b918c-70b2-11e8-9c22-c99db36cbeca.jpg)"
CityZenApp/Android-Development,open,Software quality of the project,"[Label(name=""important""), Label(name=""needs discussion""), Label(name=""question"")]","Can someone from the team have a look on these questions? Would really help the community get a better understanding of the way CityZen is structured as a project.
- is our community highly prioritizing producing secure software?
- Do we have what is considered a well-documented channel to report security issues, along with a documented response process?
- do we prioritize backward compatibility, documentation of any incompatible changes, tools and documentation to help users transition to new release features?
- Is our project striving for timely response to bug reports?
- does our project include unit and integration test suites of sufficient coverage? Is coverage documented?
- Do we include enough documentation for anyone to test or deploy any of the software?
- Do we include documentation for a software developer of moderate skill to set up their development environment to contribute?
- we document how we integrate with OpenStreetMap and other projects (Mapbox in the future?)
- is a Continuous Integration pipeline is used for testing and deployment purposes?"
CityZenApp/Android-Development,open,Software releases related questions,"[Label(name=""important""), Label(name=""needs discussion""), Label(name=""question"")]","Some more questions related to the way the software is released that would be nice to clarify with the community here: 
- Do releases consist of source code, distributed using standard and open archive formats that are expected to stay readable in the long term?
- Are the releases signed and/or distributed with hashes/digest\ that can be reliably used to validate downloaded archives?
- Are convenience binaries distributed alongside source code, but they are not official releases (a convenience provided with no guarantee)?
- is the release process publicly documented and repeatable so someone new to the project is able to independently generate the complete set of artifacts required for a release?
- Are release plans developed and executed in public by the community, and approved by the project's governing body? 
- Is CityZen project using a standard release taxonomy (e.g., alpha, beta, semantic versioning).
- Is the version that is available online now on F-Droid considered a stable version. 
Thank you"
CityZenApp/Android-Development,open,Licenses and copyright related questions,"[Label(name=""important""), Label(name=""needs discussion""), Label(name=""question"")]","Is there a written policy or agreement in place for committers that defines which code they are allowed to commit and how they need to identify code that is not their own?
Is the copyright ownership of everything the project produces clearly defined and documented? Thank you."
CityZenApp/Android-Development,open," Code contains README, NOTICE, and CONTRIBUTING files","[Label(name=""important""), Label(name=""needs discussion""), Label(name=""question"")]"," Can you inform me if the code of CityZen app contains README, NOTICE, and CONTRIBUTING files, (or sections of a README file)? Have you worked on this @AnXh3L0 ?"
CityZenApp/Android-Development,open, Code can be built in a reproducible way ,"[Label(name=""important""), Label(name=""needs discussion""), Label(name=""question"")]",I was wondering if the code of the app can be built in a reproducible way using freely available standard tools. Is there anyone that has more info on this? Do you have more info about this process @sidorelauku ? 
CityZenApp/Android-Development,closed,Readme,[],updated screenshots
CityZenApp/Android-Development,closed,Versioning,"[Label(name=""important""), Label(name=""ver 1.1"")]","@sidorelauku please review this PR :)

I does solve several issues :tada: 
* revert back to old version code/name schema for f-droid to automagically pick up (in case the release tag follows the pattern it does right now)
* Fixes #90 - fixing search due to recent move from http to https
* update compile target 
* update minor lib versions
* update gradle tools / build file"
CityZenApp/Android-Development,closed,Update README.md,[],Added some more information about the licences used in project.
CityZenApp/Android-Development,closed,Searching in map does not work,"[Label(name=""bug""), Label(name=""important""), Label(name=""ver 1.0"")]","Hi,

when I open CityZen, select the ""Map""-symbol on lower end of screen, then press the ""Search""-button (the magnifier-glass) and type something I want to find, it does not work. After starting the search nothing happens, even when I search for very common cities or nearby places.

So for me it seems, this function is completely broken (using version 1.0 from F-Droid with Android 6.0).
"
CityZenApp/Android-Development,closed,Don't send changeset in case of no changes,[],"Fix #88 

In case the check find no changed data, save will simply close the Edit POI fragment but doesn't send a changeset."
CityZenApp/Android-Development,closed,Don't send changeset in case of no changes,"[Label(name=""bug"")]","Based on feedback in #8
> Also, it send a changeset request every time you tap on the mark to save your changes. I think it should only send a request if there is a change ! (see http://www.openstreetmap.org/node/866333004/history ; I accidentally double tapped on the mark and it sent 2 identical requests but with a ""strange"" message : ` Updatin` for the 2nd changeset request)"
CityZenApp/Android-Development,open,Offer ability to set different opening hours per day,"[Label(name=""enhancement""), Label(name=""help wanted""), Label(name=""important"")]","Remaining issue originally reported via #8
It's only possible to enter the same opening hours for each day but there are a lot of shops/restaurant that have different opening hours if it's the week or the weekend"
CityZenApp/Android-Development,closed,Category subtype icons,[],"adds numerous sub-category icons

![device-2018-03-11-181819](https://user-images.githubusercontent.com/1315170/37256281-9968d962-2558-11e8-958c-29ff96d64bb8.png)
"
CityZenApp/Android-Development,open,Tiles usage policy,"[Label(name=""help wanted""), Label(name=""important""), Label(name=""needs discussion""), Label(name=""ver 1.2"")]","According to [OpenStreetMap Tile Usage Policy](https://operations.osmfoundation.org/policies/tiles/) : 

> Heavy use (e.g. distributing an app that uses tiles from openstreetmap.org) is **forbidden** without prior permission from the System Administrators.

So we'll have to use an alternative at some point !
This is just a notice so we don't forget this issue ; not being a Java developer I unfortunately can't really propose a solution to this."
CityZenApp/Android-Development,closed,Fix category title,[],"* Rename Pharmacies --> Health services (as discussed on Telegram)
* Add missing content descriptions for images used in the UI, silence TalkBack for decorative images"
