repository,state,title,label,body
SimonMarquis/Android-SecretCodes,open,LineageOS no secret codes,[],"Have attached logcat.
I think LOS exclude codes from source. I am not sure how to implement. Either android stock app or db?
Running LOS 15.1 Oreo on Samsung J5.

<<< log_count = 8 >>>
[10-24 05:15:13.099 2906:2906 D/LT LaunchApp]
Launching ComponentInfo{fr.simon.marquis.secretcodes/fr.simon.marquis.secretcodes.MainActivity}

[10-24 05:15:13.102 728:6967 I/ActivityManager]
START u0 {act=android.intent.action.MAIN flg=0x10000000 cmp=fr.simon.marquis.secretcodes/.MainActivity} from uid 10143

[10-24 05:15:13.191 728:6967 I/ActivityManager]
Start proc 31854:fr.simon.marquis.secretcodes/u0a451 for activity fr.simon.marquis.secretcodes/.MainActivity

[10-24 05:15:13.657 31854:31874 I/fr.simon.marquis.secretcodes]
android::hardware::configstore::V1_0::ISurfaceFlingerConfigs::hasWideColorDisplay retrieved: 0

[10-24 05:15:13.771 728:773 I/ActivityManager]
Displayed fr.simon.marquis.secretcodes/.MainActivity: +589ms

[10-24 05:15:16.785 31854:31873 W/System.err]
	at fr.simon.marquis.secretcodes.Crawler.crawl(Crawler.java:65)

[10-24 05:15:16.785 31854:31873 W/System.err]
	at fr.simon.marquis.secretcodes.SecretCodeLoader.loadInBackground(SecretCodeLoader.java:31)

[10-24 05:15:16.785 31854:31873 W/System.err]
	at fr.simon.marquis.secretcodes.SecretCodeLoader.loadInBackground(SecretCodeLoader.java:15)

"
SimonMarquis/Android-SecretCodes,closed,Logo Design Proposal,[],"Good day Project Owner,

Is there any chance I can make a new logo for your project?"
SimonMarquis/Android-SecretCodes,open,Adding New Devices,[],"How can I add new devices to the database? How can I obtain the secret codes?

I am especially interested in:

- [Mi 8](https://www.mi.com/en/mi8/)
- [Mi A2](https://www.mi.com/en/mi-a2/)
- [OnePlus 6T](https://www.oneplus.com/en/6t/)
- [Huawei Mate 10 Pro](https://consumer.huawei.com/us/phones/mate10-pro/)
- [Huawei P20 Pro](https://consumer.huawei.com/de/phones/p20-pro/)
- [Google Pixel 3](https://store.google.com/en/product/pixel_3)
- [BQ Aquaris X2 Pro](https://www.bq.com/en/aquaris-x2-pro)

Can someone help, maybe @romannurik, @54chen, @LiJinyue or @Javier-varez?
"
SimonMarquis/Android-SecretCodes,open,Problem with Android Oreo version,[],"I'm running the app on Pixel which is running on Android Oreo, App doesn't list any secret codes but some codes like *#*#225#*#* is run on dialer app the codes run fine. Is there an issue with the app which runs on Oreo devices?? "
SimonMarquis/Android-SecretCodes,open,Add lenovo yoga 3 pro to database,[],"Hi,

What do you need to add lenovo yoga 3 pro secret codes to your secret code database?"
SimonMarquis/Android-SecretCodes,closed,Android 7.0,[],"App doesnt work on latest official Samsung's ROM
![ghdueqwj1w8](https://cloud.githubusercontent.com/assets/10178982/23212481/91f2844c-f90f-11e6-99fc-0402556bc59b.jpg)
"
SimonMarquis/Android-SecretCodes,closed,link to AOSP,[],"Hello,

Please consider including a hyperlink to the method `handleSecretCode()` in the relevant AOSP code in the [README](https://github.com/SimonMarquis/Android-SecretCodes/blame/125b5bf88507892397d947c712be357922d5fefe/README.md#L24) file. 

This way, dev users can get more insights and maybe extend this project, when e.g. this feature changes fundamentally. Also, in general, for cross reference, information should be hyperlinked whenever possible: help your colleagues, avoid them having to search for the info you found. This is how we build on the shoulders of giants.

thanks."
SimonMarquis/Android-SecretCodes,closed,update ,[],"Neww. B.
"
SimonMarquis/Android-SecretCodes,closed,Galaxy 5s,[],
SimonMarquis/Android-SecretCodes,closed,Galaxy 5s,[],
SimonMarquis/Android-SecretCodes,closed,Update Secret Codes,[],"Good evening @SimonMarquis, I still love your app and thought [this article](http://www.xdalab.com/2016/01/best-2016-secret-code-for-android.html) could be good for an update.
"
SimonMarquis/Android-SecretCodes,closed,lgl31l access,[],
SimonMarquis/Android-SecretCodes,closed,LG ,[],
SimonMarquis/Android-SecretCodes,closed,update to newest version on f-droid / add f-droid button to website,[],"1) the version on f-droid is slightly behind the play store. please upload the new source code!

2) please add a ""Get it on F-Droid"" button next to the Play Store button on your website!
"
SimonMarquis/Android-SecretCodes,closed,ES support,[],"Support for Spanish
"
SimonMarquis/Android-SecretCodes,closed,"Manifest ""uses-sdk""",[],"I have some problems compiling, may be cause no ""use-sdk"", ""android-support-vX.jar"" lib nor ""project.properties""

<pre>[2015-03-06 02:37:27 - MainActivity] SecretCodes\src\main\res\layout\row_code.xml:26: error: Error: No resource found that matches the given name (at 'background' with value '@drawable/abc_list_selector_holo_light').
[2015-03-06 02:37:27 - MainActivity] 
[2015-03-06 02:37:27 - MainActivity] SecretCodes\src\main\res\drawable\selectable_background.xml:20: error: Error: No resource found that matches the given name (at 'drawable' with value '@drawable/list_focused').
[2015-03-06 02:37:27 - MainActivity] 
[2015-03-06 02:37:27 - MainActivity] SecretCodes\src\main\res\drawable\selectable_background.xml:21: error: Error: No resource found that matches the given name (at 'drawable' with value '@drawable/list_pressed').
[2015-03-06 02:37:27 - MainActivity] 
[2015-03-06 02:37:27 - MainActivity] SecretCodes\src\main\res\menu\main.xml:19: error: No resource identifier found for attribute 'showAsAction' in package 'fr.simon.marquis.secretcodes'
[2015-03-06 02:37:27 - MainActivity] 
[2015-03-06 02:37:27 - MainActivity] SecretCodes\src\main\res\menu\main.xml:24: error: No resource identifier found for attribute 'showAsAction' in package 'fr.simon.marquis.secretcodes'
[2015-03-06 02:37:27 - MainActivity] 
[2015-03-06 02:37:27 - MainActivity] SecretCodes\src\main\res\menu\main.xml:29: error: No resource identifier found for attribute 'showAsAction' in package 'fr.simon.marquis.secretcodes'
[2015-03-06 02:37:27 - MainActivity] 
[2015-03-06 02:37:27 - MainActivity] SecretCodes\src\main\res\menu\main.xml:33: error: No resource identifier found for attribute 'showAsAction' in package 'fr.simon.marquis.secretcodes'
[2015-03-06 02:37:27 - MainActivity] 
[2015-03-06 02:37:27 - MainActivity] SecretCodes\src\main\res\menu\main.xml:37: error: No resource identifier found for attribute 'showAsAction' in package 'fr.simon.marquis.secretcodes'
[2015-03-06 02:37:27 - MainActivity] 
</pre>


How can i fix it?
"
