repository,state,title,label,body
jackpal/Android-Terminal-Emulator,open,Updated Swedish translation,[],It would be nice if the app have a language selector :)
jackpal/Android-Terminal-Emulator,closed,Newchrootshell,[],
jackpal/Android-Terminal-Emulator,closed,Fix broken headings in Markdown files,[],"GitHub changed the way Markdown headings are parsed, so this change fixes it.

See [bryant1410/readmesfix](https://github.com/bryant1410/readmesfix) for more information.

Tackles bryant1410/readmesfix#1
"
jackpal/Android-Terminal-Emulator,closed,Jeffrey o workspace,[],
jackpal/Android-Terminal-Emulator,closed,Merge remote-tracking branch 'refs/remotes/jackpal/master',[],
jackpal/Android-Terminal-Emulator,closed,Request permission on Marshmallow,[],"You can use now build tools 23 and up
"
jackpal/Android-Terminal-Emulator,closed,New window,[],
jackpal/Android-Terminal-Emulator,closed,Update Chinese Translation,[],
jackpal/Android-Terminal-Emulator,closed,Android Terminal Emulator1,[],
jackpal/Android-Terminal-Emulator,closed,Material add/close Window icon on API20+,[],
jackpal/Android-Terminal-Emulator,closed,Tv mode margins,[],"As requested for #425, adding margins for TV Mode / HDMI output
"
jackpal/Android-Terminal-Emulator,closed,Use ClipData.Item.coerceToText() to be able to paste data from any source,[],"Use the coerseToText function for getting text data to accept text from most source as described [here](http://developer.android.com/guide/topics/text/copy-paste.html#CoerceToText), which allow for pasting data copied from rich text source ( source as browser html ) as requested in issue #378.
"
jackpal/Android-Terminal-Emulator,closed,Custom font settings,[],"Allows for the user to set a custom font with a fallback to MONOSPACE as a default

feature request #290

Currently the path input is a little bit non-user-friendly as it requires to type the path of the font in the preferences text field. But it is better than writing the font path to an arbitrary config file.

The cursor positioning, of course, go very wrong when using a non-monospaced font. 

Currently looking to improve it by using a file picking intent if possible, but the feature is usable enough, and, in my opinion, would be greatly appreciated by the users for day to day task with the terminal emulator.
"
jackpal/Android-Terminal-Emulator,closed, handling of `shift+backspace` key to emit a `forward_delete` on TF101,[],"On TF101 intercepted the specified key combination in the `keyDown` handler to replace the event and keycode with one that simulate pressing the  the `delete` key.

As requested the feature request #240 
"
jackpal/Android-Terminal-Emulator,closed,Toast position settings,[],"Feature request #339 
The toast could momentary hide **important** content in the middle of the terminal screen.
toast position setting in the preferences, with a list preference 
Translation where possible to follow.

it would be _great_ to have a preference list with image, but surely overkill
"
jackpal/Android-Terminal-Emulator,closed,Fix crashing on android wear,[],
jackpal/Android-Terminal-Emulator,closed,Huge cleanup in Term,[],"1) Use [android-sdk-manager](https://github.com/JakeWharton/sdk-manager-plugin) Gradle plugin by Jake Wharton as an alternative to manually bootstrapping the SDK. It will automatically add correct sdk.dir to local.properties and fetch all necessary dependencies, updating the SDK itself when necessary. Note, that the plugin uses `ANDROID_HOME` to choose sdk location. Your build.gradle was modified to apply the plugin only if _some_ writable directory at that location already exists (suddenly having that stuff downloaded into `~/android-sdk` may be unpleasant at times).

2) Huge cleanup in Term. Just... what... have lead you to writing THAT?! Anyway, these changes fix some unpleasant effects on AIDL-based sessions and should make further improvements easier.

PS Your new UTF-8 mode code does not work! It always fails for me on KitKat with kernel 3.10.20.
"
jackpal/Android-Terminal-Emulator,closed,Install current sdk packages when installing on CLI,[],
jackpal/Android-Terminal-Emulator,open,Create Yellowscreencomputers,[],"This is an add on for codio
"
jackpal/Android-Terminal-Emulator,open,Create Yellowscreencomputers,[],
jackpal/Android-Terminal-Emulator,closed,Allow hiding of Material Design ActionBar,[],
jackpal/Android-Terminal-Emulator,closed,Install Android Support Repository when installing from CLI,[],"Fixes #400, error message:

Could not resolve all dependencies for configuration ':libtermexec:_debugCompile'.
"
jackpal/Android-Terminal-Emulator,closed,check for null value in mActionBar when pressing the back key,[],"fixing issue #410, checking for null values in `mActionBar` before checking the status, preventing the handlers to throw a NullPointerException when checking for Action bar visibility with `mActionBar.isShowing()`
"
jackpal/Android-Terminal-Emulator,closed,Improved german translation,[],
jackpal/Android-Terminal-Emulator,closed,A bit of cleanup and refactoring in libtermexec and related native code.,[],"Moved former native hangupProcessGroup into TermExec as sendSignal. Added some documentation,
that was accidentally removed in 13a90130e1a4bdb351aabc31952f28a0302b5d7e. Bump version numbers
of native libraries to fix #401 and #403 (an ABI compatibility issue, encountered by firmware
developers and people, using ATE as a system app).
"
