repository,state,title,label,body
HugoGresse/Anecdote,closed,Added Dutch translation,[],:)
HugoGresse/Anecdote,closed,New logo design for the project,[],"Hi, I want to design a new logo for the project completely free..."
HugoGresse/Anecdote,closed,gradient grey overlay bottom button zone when zooming in images,"[Label(name=""bug"")]","Using the up-to-date fdroid version of anecdote, i can zoom in pictures (CommitStrip,...)

However, when doing this, the image comes full screen but an overlay of gradient gray subsides with sharing components at the bottom.

I'll update and post a screenshot, better than a thousand words, when i get back to a computer."
HugoGresse/Anecdote,closed,Can't zoom in pictures,[],It would be nice to be able to zoom on a picture when opened in full-screen. At the moment the picture take all possible space but sometimes it is quite hard to read a CommitStrip for example. 
HugoGresse/Anecdote,open,NSF not working anymore,[],"First of all thanks for your great app.

Unfortunately, the app do not load Nuit Sans Folie anymore (error 406), et c'est vraiment dommage :(."
HugoGresse/Anecdote,closed,remove codesponsor,[],Pull request automatically sent by knewzen <https://github.com/knewzen>. Because Code Sponsor is shutting down on December 8
HugoGresse/Anecdote,closed,V1.2.2,[],"- exoplayer 2
- fix for accept */* for NSF"
HugoGresse/Anecdote,open,Add DTC comments with DTCrawler,"[Label(name=""enhancement"")]","Salut, je sais pas si tu travailles encore sur le développement d'Anecdote mais je me demandais si il était possible que tu rajoutes les commentaires des quotes.
Je suis tombé sur [DTCrawler ](https://github.com/Emeraude/DTCrawler) qui permet de créer une API qui renvoie du JSON avec toutes les infos d'une quote (ses commentaires, ses votes, etc..)
Merci"
HugoGresse/Anecdote,open,VDM/FML Notice of default,[],"I was noticed by Beta & Compagnie that I'm no longer allowed to use VDM/FML brand and their content within the app. I'll try to find a solution with them. In the meantime, if you have any good arguments or precedent issue like this, let me know. "
HugoGresse/Anecdote,closed,Russian translation update,[],Very small changes actually.
HugoGresse/Anecdote,closed,Favoris,[],"- use ObjectBox to store Anecdote
- favorites are dynamically injected into received Anecdote
- DI using Toothpick
- other improvements"
HugoGresse/Anecdote,closed,Add legal attribution,[],See https://play.google.com/intl/en_us/badges/
HugoGresse/Anecdote,closed,Update german translation,[],
HugoGresse/Anecdote,closed,Russian translation,[],"<resources>
	<string name=""using"" modified=""true"">Сторонние библиотеки</string>
	<string name=""error_nointernet"" modified=""true"">Нет соединения с интернетом</string>
	<string name=""dialog_website_add"" modified=""true"">Добавить</string>
	<string name=""error_parsing"" modified=""true"">Нельзя разобрать %s вебсайт</string>
	<string name=""open_intent_browser_error"" modified=""true"">Не открываются детали, проверьте конфиг. адреса</string>
	<string name=""action_restore"" modified=""true"">Восстановить вебсайты</string>
	<string name=""error_responsefail"" modified=""true"">Не загружается вебсайт, ошибка %s</string>
	<string name=""action_copy"" modified=""true"">Копировать</string>
	<string name=""app_long_description"" modified=""true"">Особенности: 9GAG фид (изображения и видео) с 9GAG Hot, Trending and Fresh             - xkcd             - фиды цитат с fmylife.com (FML), Bash.org, viedemerde.fr (VDM), danstonchat.com (DTC) и более             - простой и эффективный интерфейс          - бесконечный скролл и протяжка для обновления\n- нет странных разрешений, нет фоновых заданий\n- добавление своего веб-сайта нужно немного знать html  \n Anecdote - это простое и мощное приложение для чтения сайтов цитат. Очень легкое, быстрое и простое. \nС открытым исходным кодом на GitHub: https://github.com/HugoGresse/Anecdote          Контент, отображаемый в приложении не принадлежит Anecdote.</string>
	<string name=""error_loadfail"" modified=""true"">Нельзя загрузить %s</string>
	<string name=""pref_cat_advanced"" modified=""true"">Расширенные настройки</string>
	<string name=""dialog_website_firstpagezero_hint"" modified=""true"">Если номер первой страницы - 0</string>
	<string name=""error_wrongconfig"" modified=""true"">Конфигурация вебсайта неверна</string>
	<string name=""dialog_website_save"" modified=""true"">Сохранить</string>
	<string name=""dialog_website_url_hint"" modified=""true"">Адрес вебсайта</string>
	<string name=""action_open"" modified=""true"">Открыть</string>
	<string name=""dialog_website_selector_hint"" modified=""true"">DOM selector</string>
	<string name=""action_website"" modified=""true"">Действие</string>
	<string name=""pref_rowstriping_summary"" modified=""true"">Доб-ть фон для разделения цитат</string>
	<string name=""copied"" modified=""true"">Скопировано в буфер</string>
	<string name=""dialog_website_edit_title"" modified=""true"">Правка</string>
	<string name=""error_server"" modified=""true"">Ошибка сервера</string>
	<string name=""dialog_website_error_pagename"" modified=""true"">Добавить имя страницы</string>
	<string name=""action_website_add_custom"" modified=""true"">Добавить настраив. вебсайт</string>
	<string name=""app_share_credits"" modified=""true"">- через Anecdote http://bit.ly/anecdoteapp</string>
	<string name=""dialog_website_error_url"" modified=""true"">Отсутствует адрес вебсайта</string>
	<string name=""dialog_websitechooser_title"" modified=""true"">Выберите любимые сайты</string>
	<string-array name=""anecdote_content_dialog""><item index=""0"">Копирование ссылки</item></string-array>
	<string name=""dialog_website_name_hint"" modified=""true"">Имя вебсайта</string>
	<string name=""navigation_drawer_open"" modified=""true"">Открыть navigation drawer</string>
	<string name=""action_edit"" modified=""true"">Правка</string>
	<string name=""action_website_noteditable_toast"" modified=""true"">Нельзя править отдаленный вебсайт</string>
	<string name=""navigation_drawer_close"" modified=""true"">Закрыть navigation drawer</string>
	<string name=""error_server_unknown"" modified=""true"">Что-то не так с сервером</string>
	<string name=""action_feedback"" modified=""true"">Отослать обратную связь</string>
	<string name=""about_title"" modified=""true"">О программе</string>
	<string name=""action_website_newwebsite"" modified=""true"">Доступны новые вебсайты</string>
	<string name=""not_implemented"" modified=""true"">Не реализовано</string>
	<string-array name=""pref_textsize_title""><item index=""3"">крупных</item><item index=""4"">сверхбольшой</item><item index=""1"">маленький</item><item index=""2"">средних</item><item index=""0"">чрезмерно малых</item></string-array>
	<string name=""about_made"" modified=""true"">Сделано с любовью</string>
	<string name=""anecdote_share_title"" modified=""true"">Поделиться через</string>
	<string name=""action_share"" modified=""true"">Поделиться</string>
	<string name=""action_restore_summary"" modified=""true"">Удалить все вебсайты из приложения. М.б. полезно для нерабочих.</string>
	<string name=""open_intent_browser"" modified=""true"">Открытие браузера...</string>
	<string name=""dialog_website_error_itemperpage"" modified=""true"">Пункт на страницу д.б. больше 0</string>
	<string name=""dialog_website_error_selector"" modified=""true"">Отсутствует выделение текста</string>
	<string name=""dialog_website_page_name_hint"" modified=""true"">Имя страницы</string>
	<string name=""action_default"" modified=""true"">Умолчание</string>
	<string name=""action_retry"" modified=""true"">Повтор</string>
	<string name=""word_by"" modified=""true"">с</string>
	<string name=""app_migration_1_0_0"" modified=""true"">Миграция на новую версию Anecdote</string>
	<string name=""pref_rowstriping_title"" modified=""true"">Полосатость строк</string>
	<string name=""action_website_add"" modified=""true"">Добавить вебсайт</string>
	<string name=""action_settings"" modified=""true"">Настройки</string>
	<string name=""dialog_website_itemperpage_hint"" modified=""true"">Количество элементов на странице</string>
	<string name=""app_short_description"" modified=""true"">Новые цитаты (9GAG, FML, Bash.org, xkcd) каждый день в простом приложении.</string>
	<string name=""error_processing"" modified=""true"">Что-то не так, пробуйте другие настройки вебсайта</string>
	<string name=""pref_textsize_title"" modified=""true"">Размер текста</string>
	<string name=""action_about"" modified=""true"">О программе</string>
	<string name=""about_contentbelonging"" modified=""true"">Содержимое приложения не принадлежит Anecdote.</string>
	<string name=""dialog_website_error_name"" modified=""true"">Добавить имя?</string>
	<string name=""about_made_community"" modified=""true"">С помощью сообщества https://github.com/HugoGresse/Anecdote</string>
	<string name=""dialog_website_new_title"" modified=""true"">Новый вебсайт</string>
	<string name=""error_general"" modified=""true"">Неизвестная ошибка...</string>
	<string name=""action_open_inbrowser"" modified=""true"">Открыть в браузере</string>
	<string name=""action_delete"" modified=""true"">Удалить</string>
	<string name=""dialog_website_urlsuffix_hint"" modified=""true"">(опц.) Суффикс номера страницы</string>
	<string name=""pref_cat_display"" modified=""true"">Отображение</string>
</resources>"
HugoGresse/Anecdote,closed,Russian translation of strings.xml,"[Label(name=""enhancement"")]","
[strings_ru.zip](https://github.com/HugoGresse/Anecdote/files/902699/strings_ru.zip)
clipboard content pasting breack formatting in my case."
HugoGresse/Anecdote,closed,Return to app,"[Label(name=""enhancement"")]",On about page we can't go back to the app. Add a link on the name of the app on top bar 
HugoGresse/Anecdote,closed,Connection > connexion,[],
HugoGresse/Anecdote,closed,[Feature Request] Download button,"[Label(name=""enhancement"")]",It would be nice having a possibility to download pictures and GIFs to show them offline to friends. Maybe even to download posts (text only) as pictures.
HugoGresse/Anecdote,closed,Added ru (русский) translation,"[Label(name=""enhancement"")]","I have translated your application into `ru` (*русский*). Here is the xml:
```xml
<resources xmlns:tools=""http://schemas.android.com/tools"">

    <string name=""app_migration_1_0_0"">Миграция на новую версию Anecdote</string>

    <string name=""navigation_drawer_open"">Открыть navigation drawer</string>
    <string name=""navigation_drawer_close"">Закрыть navigation drawer</string>

    <string name=""action_settings"">Настройки</string>
    <string name=""action_feedback"">Отослать обратную связь</string>
    <string name=""action_about"">О программе</string>
    <string name=""action_restore"">Восстановить вебсайты</string>
    <string name=""action_restore_summary"">Удалить все вебсайты из приложения. М.б. полезно для нерабочих.</string>
    <string name=""action_edit"">Правка</string>
    <string name=""action_delete"">Удалить</string>
    <string name=""action_default"">Умолчание</string>
    <string name=""action_website_add"">Добавить вебсайт</string>
    <string name=""action_website_newwebsite"">Доступны новые вебсайты</string>
    <string name=""action_website_add_custom"">Добавить настраив. вебсайт</string>
    <string name=""copied"">Скопировано в буфер</string>
    <string name=""not_implemented"">Не реализовано</string>
    <string name=""action_website_noteditable_toast"">Нельзя править отдаленный вебсайт</string>

    <string name=""app_share_credits"">- через Anecdote http://bit.ly/anecdoteapp</string>

    <string name=""anecdote_share_title"">Поделиться через</string>
    <string-array name=""anecdote_content_dialog""></string-array>


    <string name=""action_share"">Поделиться</string>
    <string name=""action_copy"">Копировать</string>
    <string name=""action_open"">Открыть</string>
    <string name=""action_open_inbrowser"">Открыть в браузере</string>
    <string name=""action_retry"">Повтор</string>

    <string name=""open_intent_browser"">Открытие браузера...</string>
    <string name=""open_intent_browser_error"">Не открываются детали, проверьте конфиг. адреса</string>

    <string name=""action_website"">Вебсайт действия</string>

    <string name=""word_by"">с</string>

    <string name=""dialog_website_new_title"">Новый вебсайт</string>
    <string name=""dialog_website_edit_title"">Правка</string>
    <string name=""dialog_website_add"">Добавить</string>
    <string name=""dialog_website_error_itemperpage"">Пункт на страницу д.б. больше 0</string>
    <string name=""dialog_website_error_name"">Добавить имя?</string>
    <string name=""dialog_website_error_pagename"">Добавить имя страницы</string>
    <string name=""dialog_website_error_url"">Отсутствует адрес вебсайта</string>
    <string name=""dialog_website_error_selector"">Отсутствует выделение текста</string>
    <string name=""dialog_website_save"">Сохранить</string>
    <string name=""dialog_website_name_hint"">Имя вебсайта</string>
    <string name=""dialog_website_page_name_hint"">Имя страницы</string>
    <string name=""dialog_website_url_hint"">Адрес вебсайта</string>
    <string name=""dialog_website_urlsuffix_hint"">(опц.) Суффикс номера страницы</string>
    <string name=""dialog_website_selector_hint"">DOM selector</string>
    <string name=""dialog_website_itemperpage_hint"">Количество элементов на странице</string>
    <string name=""dialog_website_firstpagezero_hint"">Если номер первой страницы - 0</string>

    <string name=""dialog_websitechooser_title"">Выберите любимые сайты</string>


    <!-- About fragment -->
    <string name=""about_title"">О программе</string>
    <string name=""about_made"">Сделано с любовью</string>
    <string name=""about_contentbelonging"">Содержимое приложения не принадлежит Anecdote.</string>
    <string name=""about_made_community"">С помощью сообщества https://github.com/HugoGresse/Anecdote</string>
    <string name=""using"">Сторонние библиотеки</string>
    <string name=""error_server_unknown"">Что-то не так с сервером</string>
    <string-array name=""about_libraries"" translatable=""false""></string-array>

    <!-- Strings related to Settings -->
    <string name=""pref_cat_display"">Отображение</string>
    <string name=""pref_cat_advanced"">Расширенные настройки</string>
    <string name=""pref_rowstriping_title"">Полосатость строк</string>
    <string name=""pref_rowstriping_summary"">Добавить фон для разделения цитат</string>
    <string name=""pref_textsize_title"">Размер текста</string>
    <string-array name=""pref_textsize_title"">Размер текста</string-array>
    <string-array name=""pref_textsize_values"" translatable=""false""></string-array>


    <string name=""error_general"">Неизвестная ошибка...</string>
    <string name=""error_nointernet"">Нет соединения с интернетом</string>
    <string name=""error_server"">Ошибка сервера</string>
    <string name=""error_wrongconfig"">Конфигурация вебсайта неверна</string>
    <string name=""error_loadfail"">Нельзя загрузить %s</string>
    <string name=""error_processing"">Что-то не так, пробуйте другие настройки вебсайта</string>
    <string name=""error_responsefail"">Не загружается вебсайт, ошибка %s</string>
    <string name=""error_parsing"">Нельзя разобрать %s вебсайт</string>

</resources>

```

---

*Translation made with [Stringlate](https://github.com/LonamiWebs/Stringlate).*"
HugoGresse/Anecdote,open,[Feature Request] Swipe in full screen to next picture,"[Label(name=""enhancement"")]","Would be nice, when it is possible to swipe between pictures, when they are in full screen"
HugoGresse/Anecdote,closed,Pictures with huge hight are very small,[],"This is caused by the fact, that the place for a pic has always the same size, regardless to its format"
HugoGresse/Anecdote,open,Picture not centred when in full screen,"[Label(name=""bug"")]","I tab on a picture and it goes in full screen.
Expected: It is centred
Actually: The first time it isn't centred.

Fix: Go back and tab again on a picture and it is centred"
HugoGresse/Anecdote,closed,Updated logos,[],"- Added f-droid
- Shortend url for google play
- added newline"
HugoGresse/Anecdote,open,Random anecdote from dtc doesn't load automatically,[],"The random anectode view doesn't load automatically when selecting it. You have to manually load it
Same for random>0

With the last version from fdroid"
HugoGresse/Anecdote,open,How to add a custom website?,"[Label(name=""enhancement"")]","Hi,
Anecdote is an app I've waited for a very long time but unfortunately I'm having a hard time to add a custom website because of little HTML knowledge.

Would really appreciate a small beginner guide on how to do this. :)"
HugoGresse/Anecdote,closed,Only one xkcd after reloading,"[Label(name=""bug"")]","Go to xkcd and see multiple entries. Reload and you see only one.
Fix: Go to another website and back to xkcd"
HugoGresse/Anecdote,closed,Move restore websites to advanced settings,[],
HugoGresse/Anecdote,closed,Complete string res,[],
HugoGresse/Anecdote,closed,updated german translation,[],
HugoGresse/Anecdote,closed,Add all strings to resources,[],
HugoGresse/Anecdote,closed,"Copy an anecdote only copy the word ""anecdote""","[Label(name=""bug"")]","If you press the copy button under an anecdote it will only copy the word ""anecdote"" and not the anecdote itself

I tested it on se coucher moins bete feed"
