repository,state,title,label,body
no-go/AnotherRSS,open,suddenly no feeds found on Huawei / Android 7,[],"I use v2.18 on Hawei P9 lite, Android 7.0 since September 2018 and it worked fine. 

Some days ago no RSS feeds are found anymore. I don't remember changing the configuration. 

The app didn't asks for permission so none are granted. The feeds list is still filled, some entries are selected and at the end some empty lines are listed.

Am I the only one affected?"
no-go/AnotherRSS,open,Share OPML and reading information across devices,"[Label(name=""new feature"")]","I want to be able to syncnhronise my reading/listening etc with multiple android devices.
it could also be like an automated opml backup.
Preferably google drive or dropbox, but even bluetooth is ok."
no-go/AnotherRSS,closed,Added Dutch translation,[],:)
no-go/AnotherRSS,closed,LOGO,[],"Hello, @no-go I want to contribute in ""AnotherRSS"" so i want to design a new logo for ""AnotherRSS"" and it's free.

I hope you like it. If you like it, I will send you to pull request, editable files/original source and .png format files. If there's something you want to change, I'll do it.

if you want i will send you my design

Contact me on facebook for fast delivery 
https://www.facebook.com/waqasanwar68"
no-go/AnotherRSS,open,"all podcast shows a pause button, but only the right button stops the sound","[Label(name=""bug"")]",
no-go/AnotherRSS,open,since podcast improvement: sometimes app crashs while playing media,"[Label(name=""bug"")]",
no-go/AnotherRSS,open,play and pause buttons missing in video in portrait mode,"[Label(name=""bug"")]",
no-go/AnotherRSS,open,On Android 4.4.4 and nyt feed: could not find class 'android.graphics.drawable.RippleDrawable',"[Label(name=""bug"")]","on Android 4.4.4 the is a bug getting (? not sure) and resizing (? not sure) the images of the ny times feeds. This couse a NULL in body and title of the feed.

temporray (2.14) fix with a :-( bad smile instead a the text. This is stupid, but App did not crash."
no-go/AnotherRSS,closed,Translations,[],"I modified the English translations to be a little clearer, and corrected some typos. "
no-go/AnotherRSS,closed,better f-droid app icon,"[Label(name=""bug"")]","I think, it is a bug on fdroid. Some content comes from metafiles, other from apk, something from metadata text file. I try to add a 72x72 ic_launcher.png in mipmap-hdpi to fix this"
no-go/AnotherRSS,closed,widget preview image,"[Label(name=""new feature"")]",added to rss-o-tweet (tweeed branch)
no-go/AnotherRSS,open,themes,"[Label(name=""new feature"")]",example: a newspaper theme like in rss-o-tweet
no-go/AnotherRSS,closed,"switch ""ups, offline"" notification off","[Label(name=""new feature"")]","the ""retry in 75 sec"" notification should be a option (default off)"
no-go/AnotherRSS,open,Manual sync (not automatic and not off),"[Label(name=""new feature"")]",actually I can only switch sync off or select a timespan
no-go/AnotherRSS,closed,[feature request] opml import/export,"[Label(name=""wontfix"")]",Please add a feature to import/export feeds via .opml files
no-go/AnotherRSS,closed,open rss feed links direct via anotherRSS,"[Label(name=""new feature"")]","I dislike the stupid copy-paste act :-/

maybe a preview before adding the source to the feed-source list would be great"
no-go/AnotherRSS,closed,DefaultHttpClient deprecated - switch to volley,"[Label(name=""new feature"")]","My request system is a bit ugly and uses old stuff (But still works fine > 13 month).

It is better to use [volley](https://developer.android.com/training/volley/simple.html) instead!"
no-go/AnotherRSS,open,Feeds don't load one some Huawei phones,"[Label(name=""bug""), Label(name=""help wanted"")]","I'd like to try out your app (v1.9) but I can't seem to get it to work. Started it, waited for some time but the indicator just keeps on spinning and no feeds in the list would load. App's traffic log on the phone shows no traffic at all (mobile and wifi) and the app doesn't ask for any permissions either, which it should do on Android 6(+), at least for storage (I suppose). Using a (Huawei) Honor 6, Android 6. Help is appreciated! 😃"
no-go/AnotherRSS,closed,[wishlist] A dark theme,[],"Thanks for the great work, I really appreciate it. Simple and clean, well done!

I would love to see a dark theme with true black background and white foreground (e.g. as seen in Twidere).

The current night-mode doesn't realy fit me needs, as the dark red text isn't readable both by day and night. :)

Device: Nexus 5X
Android: 7.1.2
ARSS: 1.7 (latest I found on F-Droid)"
no-go/AnotherRSS,closed,[wishlist] the posibility to use regex before the blacklist runns,[],
no-go/AnotherRSS,open,Add a proxy config,"[Label(name=""new feature"")]",I want to use TOR (orbot) on https (SSL) request
no-go/AnotherRSS,closed,Hint about the database size,[],"There must be a posibility to see, how many kB or MB the news-Database is using."
no-go/AnotherRSS,closed,default: delete non-favourit news after 14 days,"[Label(name=""bug"")]",Actually there is no value = every (not deleted) news line and images does enlarge the Database
no-go/AnotherRSS,closed,Wishlist: Font size preference,[],"I think that it could be useful to have an option to choose the font size. Zoom with reflowing would be even better, but probably much more expensive to implement."
no-go/AnotherRSS,closed,[wishlist]  bigger list of useful RSS feeds,"[Label(name=""new feature"")]","A too big inital list is not a good idea, I think. Adding some checkboxes to the list would be a good workaround.

I test the App with these Feeds:

http://feeds.bbci.co.uk/news/world/europe/rss.xml
http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml
http://feeds.t-online.de/rss/nachrichten
http://www.wz.de/cmlink/wz-rss-uebersicht-1.516698
http://www.deutschlandfunk.de/die-nachrichten.353.de.rss
http://www.tagesschau.de/xml/rss2
http://www.taz.de/!p4608;rss/
https://www.heise.de/security/news/news-atom.xml
https://www.amnesty.de/rss/news
http://digisocken.de/_p/wdrWetter/?rss=true
https://www.umwelt.nrw.de/rss.xml
http://feeds.reuters.com/Reuters/UKWorldNews
http://feeds.reuters.com/reuters/scienceNews?format=xml
"
no-go/AnotherRSS,closed,com64 branch: fullscreen and context menu makes trubble?,"[Label(name=""help wanted""), Label(name=""wontfix"")]","strange. after adding the fullscreen mode to the com64 classic design branch :-D no selection on the context menu work. that is strange. I am not sure, how to fix this."
no-go/AnotherRSS,closed,Add setting for tap behaviour,[],"As said in #5, tapping on a feed does nothing in portrait mode, what about you include a setting which allows for setting that behaviour?
So maybe open up the website externally, do nothing, mark as read,..."
no-go/AnotherRSS,closed,sound preview,"[Label(name=""new feature"")]",it would be great to hear the selected sound before choosing it.
no-go/AnotherRSS,closed,"kann keinen Feed öffnen, um Inhalt anzuzeigen",[],Anklicken der Listeneinträge tut nicht :-/ Sehe nur den kurzen Text. Wo ist der Feedinhalt?
no-go/AnotherRSS,closed,More sounds,[],"The ""Riing"" makes me crazy :-(

But: This App did not get access to the filesystem!!!"
no-go/AnotherRSS,closed,"problem with refresh, if rss-feed is from japan +9 hours","[Label(name=""bug""), Label(name=""wontfix"")]",":-( example:

https://osdn.net/projects/nhocr/news/rss
http://www.kodomo.go.jp/rss/kodomo.xml"
no-go/AnotherRSS,closed,Use add/remove buttons instead of 13 input fields,[],"Instead of having 13 input fields, you should be able to add/remove as many feeds as you whish."
no-go/AnotherRSS,closed,japanese translation,[],Hello!
