repository,state,title,label,body
asksven/BetterBatteryStats,closed,ITAlian changelog,[],
asksven/BetterBatteryStats,closed,Italian translation,[],
asksven/BetterBatteryStats,closed,Dutch translation,[],Added Dutch translation for strings and changelog.
asksven/BetterBatteryStats,closed,Updating Russian,[],
asksven/BetterBatteryStats,closed,Updating Russian changelog,[],
asksven/BetterBatteryStats,closed,[feature] find a way to avoid users to have to explicitely add BBS to non-battery-optimized apps (maybe using a foreground service),[],
asksven/BetterBatteryStats,closed,[bug] widget related services seem to be broken with targetSdk=26,[],
asksven/BetterBatteryStats,closed,[feature] simply preferences by making screen on/off monitoring default,[],
asksven/BetterBatteryStats,open,[feature] add battery drain per hour for screen on and screen off,[],See https://forum.xda-developers.com/showpost.php?p=76701458&postcount=34338
asksven/BetterBatteryStats,closed,"[bug] not all adb commands are required on older android versions, e.g. 4.0.3",[],As not all the perms can be granted (but are checked at runtime) this leads to the system-app activity gets shown without reason
asksven/BetterBatteryStats,closed,Show spaces in adb commands,[],
asksven/BetterBatteryStats,open,ptBR update,[],
asksven/BetterBatteryStats,open,Logo Design Proposal,[],"Hi Sir @asksven , I am a graphic designer and i want to contribute to your great project by proposing an icon/logo design as i've noticed that it doesn't have one yet. if you liked my design i will send you the needed files as a gift for free. 

Here is my design Sir..I hope you will like it.

![presentation](https://user-images.githubusercontent.com/36028424/39475133-aac5962e-4d89-11e8-9633-33f9226d0b62.png)

just let me know if you like it or if you have any suggestions feel free to tell me and i will edit.

Thanks and best regards,
-Tobaloidee"
asksven/BetterBatteryStats,closed,Update strings.xml ES,[],Some Typos corrected
asksven/BetterBatteryStats,closed,Update string.xml ES,[],Some typos corrected
asksven/BetterBatteryStats,closed,Update changelog.xml ITA,[],
asksven/BetterBatteryStats,closed,Update strings.xml ITA,[],
asksven/BetterBatteryStats,closed,Updatıng changelog,[],
asksven/BetterBatteryStats,closed,2.4 (94): CZ translation,[],
asksven/BetterBatteryStats,closed,Updating changelog,[],
asksven/BetterBatteryStats,closed,Updating Russian,[],
asksven/BetterBatteryStats,closed,[bug] import/export prefs fail,[],
asksven/BetterBatteryStats,open,Better Bluetooth insight,[],This may not be possible due to device or Android limitations but it would be nice to be able to tell which app causes the dreaded `bluedroid` kernel wakelock.
asksven/BetterBatteryStats,open,Stats show values that make no sense,[],"Sometimes you get numbers that make no sense, in particular when the watchdog is enabled. I get alerts something like ""awake 1234%"". The app should probably do some sanity checks on the math and not report numbers that don't make sense."
asksven/BetterBatteryStats,closed,Remove save to Json from tasker plugin as well,[],As we have both formats in one file we don't need that option anymore
asksven/BetterBatteryStats,open,Move to clean event-driven data computation and refactor UI and data layers,[],
asksven/BetterBatteryStats,closed,Remove reliance on EXPOSED to bypass having the proper perms,[],
asksven/BetterBatteryStats,closed,[bug] the package info does not allow navigating to the other tabs nor actions on the buttons,[],
asksven/BetterBatteryStats,open,Wrong stats,[],"Hi, Sven!
I have missed the repository and put an issue to [asksven/BetterBatteryStats-Knowledge-Base](https://github.com/asksven/BetterBatteryStats-Knowledge-Base/issues/2).
Is it possible to transfer it here, or should I open another one?"
asksven/BetterBatteryStats,closed,fixes shell access timeouts and thus app not responding on start,[],
asksven/BetterBatteryStats,closed,Plugin not showing up in Tasker,[],"Was looking to setup automated json dumps and analyze within tasker and found that BBS plugin appears to be missing.  
BBS 2.3-217
Tasker 5.1
Android 8.0"
asksven/BetterBatteryStats,closed,Get rid of root access throughout the application and use it only for settings the perms,[],
asksven/BetterBatteryStats,closed,[bug] Alarms are not always read,"[Label(name=""0 - Backlog"")]","I/AlarmsDumpsys( 3397): getAlarms: SDK=27, RELEASE=8.1.0
E/ NonRootShell( 3397): An error occured while executiing command dumpsys alarm. Unable to add commands to a closed shell
D/StatsProvider( 3397): Result [su rights required to access alarms are not available / were not granted"
asksven/BetterBatteryStats,closed,"allways showing as ""no signal""",[],"fixed method name in getPhoneSignalStrengthTime
avoid exception in getBluetoothInStateTime"
asksven/BetterBatteryStats,closed,[feature] remove dependency to root except to grant permissions,"[Label(name=""0 - Backlog"")]",BBS checks for root at many occasions but from a feature point of view is it not required since the non-root version has reached feature parity: only perms are required
asksven/BetterBatteryStats,open,Calculate power-consumption per app,[],e.g. http://androidxref.com/7.1.2_r36/xref/frameworks/base/core/java/com/android/internal/os/BluetoothPowerCalculator.java#67.
asksven/BetterBatteryStats,closed,[bug] BT and Doze times on AOSP6,[],https://forum.xda-developers.com/showpost.php?p=75174647&postcount=33574
asksven/BetterBatteryStats,closed,[bug] crash when changing dumpfile directory,[],"See:
https://rink.hockeyapp.net/manage/apps/512501/app_versions/37/crash_reasons/198910745

Solution:
https://inthecheesefactory.com/blog/how-to-share-access-to-file-with-fileprovider-on-android-nougat/en

Better solution: 
Replace with a file picker:
https://github.com/DroidNinja/Android-FilePicker"
asksven/BetterBatteryStats,closed,Updating Russian,[],
asksven/BetterBatteryStats,closed,small bug fix: missing else,[],"At the end of `getNetworkUsageStats`, a NetworkUsage will be created for `bytesReceived`, `bytesSent`. But there seems to be a missing `else`. Not sure if this is intentional. "
asksven/BetterBatteryStats,closed,Privacy policy page not accessible (password protected?),[],"Hi

the privacy policy link specified on the Play Store redirects to a password protected page:

![image](https://user-images.githubusercontent.com/6074010/32265293-b3789824-bee2-11e7-91ef-e9dcf961a43b.png)

It would be nice to have that page freely available.

Thank you in advance for your help.

P.S.: I'm a ""paying user"" of the pro version ;-) "
asksven/BetterBatteryStats,closed,Added minimum threshold to store charged reference,[],"Recently I started using an app that prevents my phone from getting charged over a certain percentage (to prevent battery wear). But BBS doesn't store the ""Charged"" reference unless the battery reaches 100%, so I end up with incorrect stats in BBS.
This pull request is my attempt at fixing this problem."
asksven/BetterBatteryStats,closed,SD card install,[],Please allow to install the app to SD card.
asksven/BetterBatteryStats,closed,changelog.xml ITALIAN,[],
asksven/BetterBatteryStats,closed,BBS2.3.0RC2 - strings.xml - ITALIAN,[],"Hi asksven,
here is my contribution

ciao, Stefano"
asksven/BetterBatteryStats,closed,Russian-small correction,[],
asksven/BetterBatteryStats,closed,Add link to ops: http://forum.xda-developers.com/showthread.php?p=72467976,[],
asksven/BetterBatteryStats,closed,2.3RC2: CZ translation,[],
asksven/BetterBatteryStats,closed,Updating Russian strings,[],
asksven/BetterBatteryStats,closed,Updating Russian changelog,[],
asksven/BetterBatteryStats,closed,Update root-tools to 4.2,[],https://github.com/Stericson/RootTools/releases
asksven/BetterBatteryStats,closed,"[Bug] ""classic"" widget text colors are black instread of white on Oreo",[],https://forum.xda-developers.com/showpost.php?p=73692491&postcount=32708
asksven/BetterBatteryStats,open,Add alarm for regular watchdog,[],
asksven/BetterBatteryStats,closed,Fix crash condition from about dialog when gplay not present on device,[],https://rink.hockeyapp.net/manage/apps/512501/app_versions/3/crash_reasons/168955678
asksven/BetterBatteryStats,closed,Translation to Brazilian Portuguese,[],
asksven/BetterBatteryStats,closed,Resolve to colors instead of theme,[],"Can you please reference app theme colors to colors.xml so it can be themed with substratum themes ?

Under Theme.Bbs & Theme.Bbs.Dark you have 

<item name=""colorPrimaryDark"">#ff0a883f</item>

Please reference it to colors

<item name=""colorPrimaryDark"">@color/color_xxxxx</item>"
asksven/BetterBatteryStats,closed,Check if dump perm is still needed,[],
asksven/BetterBatteryStats,open,Do a better jo  at propagating errors back up to the UI,[],
asksven/BetterBatteryStats,closed,[feature] add app analytics,[],
asksven/BetterBatteryStats,closed,u0_a437,[],u0_a437
asksven/BetterBatteryStats,closed,The application can not be started!,[],"BBS v2.2.2.0
Phone HUAWEI HONOR 7 (PLK-L01C10B331, Android 6.0 Marshmallow, EmUI 4.0.2, Rooted)
Installation of the application is normal.
But when I run the application, for about a minute I see an empty white screen, then the banner ""Calculation ..."" appears on the screen and hangs endlessly.
I can exit from this only by killing the process in task killer

`android.permission.BLUETOOTH
android.permission.WAKE_LOCK
android.permission.GET_TASKS
android.permission.ACCESS_NETWORK_STATE
android.permission.BATTERY_STATS
android.permission.READ_EXTERNAL_STORAGE
android.permission.ACCESS.SUPERUSER
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.DEVICE_POWER
android.permission.ACCESS_WIFI_STATE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_PHONE_STATE
android.permission.DUMP
android.permission.READ_LOGS`"
asksven/BetterBatteryStats,open,[feature] Add alert/alarm if charging battery goes beyond certain %,[],"As the title says, it would be great to have the functionality of an alarm or something in the even that you are charging your phone and the charge goes above a predefined value (say 95%) therefore warning you of an impending battery overcharge"
asksven/BetterBatteryStats,open,[bug] graphs: lag while scrolling,[],Can't build with ant therefore i can't test it but this should be a good point to start: https://github.com/Unpublished/BetterBatteryStats/commit/579f40bd67eed23e2873b94e7afd321145aa102f
asksven/BetterBatteryStats,closed,[bug] about screen should be scrollable,[],
asksven/BetterBatteryStats,closed,[bug] no sensor stats on pre-lolipop devices,[],
asksven/BetterBatteryStats,closed,[bug] limit in IBinder transaction size sometimes causes BBS to not deliver stats ,[],"from exidler@xda
Could you use IBatteryStats.getStatisticsStream() instead of IBatteryStats.getStatistics()?
For now as workaround i have applied patch using Xposed. I have redirect getStatistics => getStatisticsStream in IBatteryStats$Stub$Proxy, and unwrap data to byte[] from ParcelFileDescriptor. "
asksven/BetterBatteryStats,closed,[bug] LG kernel wakelocks are not being parsed,[],http://forum.xda-developers.com/showthread.php?p=69424575#post69424575
asksven/BetterBatteryStats,closed,[bug] call to getSesorStats fails on pre-lolipop because of different data structure,[],"https://android.googlesource.com/platform/frameworks/base.git/+/kitkat-mr2.2-release/core/java/com/android/internal/os/BatteryStatsImpl.java

https://android.googlesource.com/platform/frameworks/base.git/+/lollipop-release/core/java/com/android/internal/os/BatteryStatsImpl.java"
asksven/BetterBatteryStats,closed,[bug] call to getSyncOnTime does not respect SDK properly,[],causes unexpected behavior in android < lolipop
asksven/BetterBatteryStats,open,New 'combined' data export is not valid json,[],"The new 'combined' data export when sharing (with json and plain text in one file) that was introduced in the latest version of BBS is not valid json and trying to parse it (with python or javascript, for example) throws errors even though the plain text is 'commented' out - sadly, json doesn't support comments in any form.

I see how this behaviour is a cleaner solution than what BBS did before (with the dialog showing every time) but now the json files are no longer usable without (pre)processing them before parsing.

Maybe having an option in settings to select what the export should contain (like a checklist) would be nice? That way the old popup isn't needed but it still gives us some control."
asksven/BetterBatteryStats,closed,Use static analysis technique to scan wakelock NoSleep Bug?,[],"hmmm, recently I meet with wakelock problems...
After I refer to this two papers, Totally, the paper tells me that:
[
1. http://mesl.ucsd.edu/yuvraj/docs/Vekris_HotPower12_TowardsVerifyingApps.pdf
2. https://software.intel.com/en-us/android/articles/wakelocks-detect-no-sleep-issues-in-android-applications
]
we have two directions to deal with this problem..
1. static analysis(Complete, but introduce more false-positives)

2. dynamic analysis(Partial, but introduce more false-negatives)
(**like BetterBatteryStats**)
Maybe I misundertand this problem..

So If I want to combine these two methods,
Is there a ready-made static analysis tool to detect this problem~?
If yes, where can I get it~?
"
asksven/BetterBatteryStats,closed,Unable to build application,[],"I am trying to build this application from source. However, due to a pretty complete lack of documentation, I have not been able to do this so far.

What I did so far: I cloned this repo, AndroidCommon and ckChangeLog into a common folder (because this repo kept complaining about those folders being missing). However if I do `ant release` in `BetterBatteryStats` in this repo, it complains
```
/home/r/bin/android-sdk/tools/ant/build.xml:573: ../../ckChangeLog/ckChangeLog/src/main resolve to a path with no project.properties file for project /home/r/src/android/BetterBatteryStats/BetterBatteryStats/BetterBatteryStats
```
However, trying to build `ckChangeLog` also fails. I am doing `./gradlew assemble`, and the result is
```
> No such property: nexusUsername for class: org.gradle.api.publication.maven.internal.ant.DefaultGroovyMavenDeployer
```
Is it even possible to build this application with the publicly available sources?"
asksven/BetterBatteryStats,closed,BBS 2.2.0.0RC3 changelog for Italian,[],
asksven/BetterBatteryStats,closed,2.2.0.0RC3: CZ translation,[],
asksven/BetterBatteryStats,closed,Updating Russian changelog,[],
asksven/BetterBatteryStats,closed,[feature] Add Sensor Status,[],
asksven/BetterBatteryStats,closed,New Crowdin translations,[],"Enjoy!
"
asksven/BetterBatteryStats,open,[feature] add new stat for all sensor stats by uid,[],"as sensors are enumerated: see getSensorOnTime(Context, long, int)
"
asksven/BetterBatteryStats,closed,[feature] fold txt and json dumpfile representation into one file,[],"http://forum.xda-developers.com/showpost.php?p=68050013&postcount=30821
"
asksven/BetterBatteryStats,closed,New Crowdin translations,[],"Enjoy!
"
asksven/BetterBatteryStats,closed,New Crowdin translations,[],"Enjoy!
"
asksven/BetterBatteryStats,closed,Updating Russian,[],
asksven/BetterBatteryStats,closed,Updating Russian changelog,[],
asksven/BetterBatteryStats,closed,[feature] use bolder fonts on small-scale devices,[],
