repository,state,title,label,body
asksven/BetterWifiOnOff,open,[Bug] Apps Whitelist gets ignored,[],Above mentioned function does not work on Android Nougat. 
asksven/BetterWifiOnOff,closed,[Bug] Wifi refused to re-enable itself after screen turn on,[],"Hi, I tried all options for turning on wifi automatically after turning on screen but nothing works for me on s7 edge (nougat). Will there be a work around for this?"
asksven/BetterWifiOnOff,open,Feature: disable processing when access point mode is on,[],
asksven/BetterWifiOnOff,open,Feature request: Help guide,[],"This app needs at least an FAQ. I'm certain this app can handle this, but I'm scratching my head at all of the settings. I don't want the app to waste energy scanning. I will turn on my WiFi when I get home, app can ignore turning on compelling. I want the app to turn WiFi off when I walk out of range (lose signal).

How do I do that? Thanks so much! "
asksven/BetterWifiOnOff,open,[feature] Add hourly time interval for wifi check,[],"Please can there be another option for checking to see if wifi is available, so it infrequently checks once per hour?"
asksven/BetterWifiOnOff,open,[bug] Spotify is not detected as whitelisted app,[],"I use the whitelist app feature, allowing for leaving WiFi on when screen is off 'If whitelisted app is running' along with spotify (I also use the 'If network activity' checkbox also). Unfortunately, this feature only works if the spotify app is foreground, not if it is running in the background, with music playing. As a result, I need to turn on the screen of my phone between each song, which goes against the utility of your app.
"
asksven/BetterWifiOnOff,open,[feature] update and rebuild with latest SDK,[],
asksven/BetterWifiOnOff,open,[feature] implement an own generate_204 the as a replacement for the potentially blocked Google one,[],"http://forum.xda-developers.com/showthread.php?p=55560798
for details / other options
"
asksven/BetterWifiOnOff,open,Saving more power when not in range of wifi access points,[],"As Android only disables wifi rather than turning it off, is it possible to include a button to actually turn it off (not disable - they are very different things) when it isn't wanted, maybe with some slightly different code, or will it take google to write a new driver?

I don't use wifi on my phone for various reasons. As such I want to be able to turn the wi-fi off completely rather than just disabling it.

I did some tests with a tablet I bought about 2 years ago which was using about 5% of the power over a week even when wifi was disabled. When enabled it used up to 9% of the battery usage over a week, despite not actually using wifi to connect to anything. As battery life was more important to me (and as I used to work in electronics) I removed the wifi chip to see how that improved matters. When the wifi chip was removed the battery life was extended considerably, much more than I expected at the time and more than it should if just in standby.

No apps I have tried (100+ apps over 2 years so far) turn it off properly. No android phones or different OS versions that I have tried turn it off. They all seem to call the same basic android code that everyone uses to disable it instead. (although a friend recently suggested a 'jellykat' rom to try)

BTW: no linux devices I have tried turn it off properly in software either! (Linksys, Dlink, netgear...)
Some Vista and Win7 laptops (Dell, IBM, HP) do if you have the original drivers.
IOS used to turn it off properly up to v4.1. After that they followed the same path as google and disabled it instead. Maybe this change caused the well documented battery life problems in v4.2 onwards?
"
asksven/BetterWifiOnOff,open,[bug] bwof does not shut down wifi on disconnect ,[],"http://forum.xda-developers.com/showpost.php?p=54199361&postcount=1070
"
asksven/BetterWifiOnOff,open,[bug] correctly handle CONN REFUSED,[],"http://forum.xda-developers.com/showpost.php?p=54199361&postcount=1070
"
asksven/BetterWifiOnOff,closed,"Remove notification ""Foreground Service Started""?",[],"Is there a way to remove this notification, please?  It takes up space in the limited notification screen.  
"
asksven/BetterWifiOnOff,closed,[feature] turn off wifi based on a list of apps that when in foreground will lead to turning wifi off ,[],
asksven/BetterWifiOnOff,open,[feature] consider CID=-1 as known cell instead of unknown,[],
asksven/BetterWifiOnOff,open,[bug] wifi stays on when screen of and repeating alarm to connect is active,"[Label(name=""bug"")]","see http://forum.xda-developers.com/showpost.php?p=47632666&postcount=1021 and
http://forum.xda-developers.com/showpost.php?p=47661127&postcount=1023
"
asksven/BetterWifiOnOff,open,[bug] do not interpret Wi-Fi off as a consequence of shutdown as a user action,[],"http://stackoverflow.com/questions/10448304/handling-phone-shutdown-event-in-android
"
asksven/BetterWifiOnOff,open,[Feature] add an option to turn 3G off when Wifi is turned on and vice versa,[],"http://stackoverflow.com/questions/12535101/how-can-i-turn-off-3g-data-programmatically-on-android
"
asksven/BetterWifiOnOff,closed,[bug] WifiControl.isWhitelistedWifiConnected,[],"return ((whiteList.indexOf(ssid) != -1) && (!ssid.equals(""""))); 

Return true if the current SSID is contained in one of the whitelisted ones.
E.g.:
current = abc
whitelist = abcd, abcde, abcef

Should be:
        List<String> whitelistedList = Arrays.asList(whiteList.split("",""));
        return ( (whitelistedList.contains(ssid)) && (!ssid.equals("""")) );
"
asksven/BetterWifiOnOff,open,[bug] typo: add-free -> ad-free,[],
asksven/BetterWifiOnOff,open,[feature] control bwof and wifi from notification,[],"Enable/disable
Turn wifi on/off manually
"
asksven/BetterWifiOnOff,open,[feature] show status in notification icon,[],"Disabled
Wifi on and Connected
Wifi on but not connected
Wifi off
"
asksven/BetterWifiOnOff,open,[bug] prevent the event log from slowing down the app start,[],
asksven/BetterWifiOnOff,closed,Newest version 2.1 is broken on galaxy S II,[],"When you close the app it crashes and does not work - it is as if the service is no longer running. This occurs when the app is closed - minimising by the home button the app works fine - but you have you keep it in the foreground.

If having just crashed in this way, launching again just gives a black screen.

---

Previous version 2.0 works fine.
"
asksven/BetterWifiOnOff,open,[bug] Whitelist check is executed upon unplug and leaves wifi on even if Whitelist when screen off is not ticked,[],
asksven/BetterWifiOnOff,closed,Pref to leave wifi on when screen goes off -Russian,[],
asksven/BetterWifiOnOff,closed,[feature] add pref to leave wifi on when screen goes off but a aconnection is active,[],
asksven/BetterWifiOnOff,closed,Updated according 20 May - 2.1RC1,[],
asksven/BetterWifiOnOff,open,[feature] auto tag cell-is when connected to a whitelisted A/P,[],"automatically add a tag ""whitelisted"" and a tag with the SSID for all cell-ids recognised when connected to a whitelisted a/p
"
asksven/BetterWifiOnOff,closed,[feature] add link to donate version in preferences,[],
asksven/BetterWifiOnOff,closed,[bug] make gplay names for main and donate versions consistent,[],
