repository,state,title,label,body
GiorgioRegni/Binaural-Beats,open,Release an update with bug fixes and new presets,[],
GiorgioRegni/Binaural-Beats,closed,I would like to help with localisation,[],"I can help translating to Italian (with a very high accuracy). 
Thing is, people, especially the elders, sometimes have difficulties sleeping and I would like to introduce them to binaural waves listening.

Your app is the cleanest on the Play store, but it lacks translation and you can't expect 50+ yo to know English well enough to understand how to use your app, at least where I live.

So, want me to help? I'd be happy to do so!
And your app could reach way more people and possibly help them feel better!"
GiorgioRegni/Binaural-Beats,closed,F-Droid version is not current.,[],"One of the best apps for BB therapy. Truly Awesome app.
Just informing that the fdroid version is 1.2  last update was '12 well behind the playstore version.

"
GiorgioRegni/Binaural-Beats,closed,Dark theme,[],"I love the new design, but I'll love more if there was an option to use a dark theme."
GiorgioRegni/Binaural-Beats,closed,Are you still maintaining this project? ,[],"Hi, I'm a developer who wants to contribute in this project and I have a UX Designer friend that also wants to contribute. But before we start, we need to know if you are still maintaining this project and accepting help. "
GiorgioRegni/Binaural-Beats,closed,HTC 10 volume starts loud and then goes super low can't hear it well,[],"HTC 10 volume starts loud and then goes super low can't hear it well
"
GiorgioRegni/Binaural-Beats,closed,Awesomified README,[],"Good evening, @GiorgioRegni! Since I really like your app and the work you've done so far, I really do not understand why your project lacks a great-looking `README`. These changes will not only polish your project a bit, but also very likely attract more users and developers. I am a very visual person myself. Let me know if you'd like to see anything changed before merging. Enjoy and continue hacking brainz! ;-)
- **Update:** I've sent an E-Mail to you, @GiorgioRegni. But maybe @antoniotari can merge this?
"
GiorgioRegni/Binaural-Beats,closed,Preset against lovesickness and broken heart,[],"Good morning @GiorgioRegni, first of all: Huge thanks for this neat app (although it looks like your repo is currently not very well maintained) and especially for publishing it on my belloved F-Droid store!

Here's my request: My girlfriend left me two days ago. It fuckin' hurts. I would love to have a preset designed to stabilize my inner feelings, glue my heart and get away from all the very deep pain. I am a strong man, I will get over it, but if your app could do a good job to assist people like me, that would rock. Before anyone tells me to use the already existing preset `Morphine pain killer`: It's not working here.
- **Update:** Seems like my girlfriend is coming back. I still would like this preset for others to appear.
"
GiorgioRegni/Binaural-Beats,closed,.,[],
GiorgioRegni/Binaural-Beats,closed,Development studio,[],"migration to android studio, using app compat as style
"
GiorgioRegni/Binaural-Beats,closed,Dev/current version,[],
GiorgioRegni/Binaural-Beats,closed,Port to android studio,[],
GiorgioRegni/Binaural-Beats,closed,Use a service to play audio and work in the background,[],
GiorgioRegni/Binaural-Beats,closed,Change UI design to Material design,[],
GiorgioRegni/Binaural-Beats,closed,upload source code to f-droid so newest version can be placed in repo,[],"the version in f-droid is way behind:
https://f-droid.org/repository/browse/?fdid=com.ihunda.android.binauralbeat

the new source code needs to be updated.
"
GiorgioRegni/Binaural-Beats,closed,new preset ADD/ADHD,[],"public static Program ADD/ADHD help(Program p) {
        p.setDescription(""Aid for Attention Deficit Disorder."" + ""30m. 

alternating between 12 and 20 hz."");
        p.setAuthor(""@thegreenman);

```
    p.addPeriod(new Period(300, SoundLoop.WHITE_NOISE, 0.7f, null).
            addVoice(new BinauralBeatVoice(60f, 12f, 0.6f)).
            setV(new HypnoFlash())
    ).
    p.addPeriod(new Period(300, SoundLoop.WHITE_NOISE, 0.7f, null).
            addVoice(new BinauralBeatVoice(20f, 20f, 0.6f)).
            setV(new HypnoFlash())
    ).
    p.addPeriod(new Period(300, SoundLoop.WHITE_NOISE, 0.7f, null).
            addVoice(new BinauralBeatVoice(12f, 12f, 0.6f)).
            setV(new HypnoFlash())
    ).
    p.addPeriod(new Period(300, SoundLoop.WHITE_NOISE, 0.7f, null).
            addVoice(new BinauralBeatVoice(20f, 20f, 0.6f)).
            setV(new HypnoFlash())
    ).
    p.addPeriod(new Period(300, SoundLoop.WHITE_NOISE, 0.7f, null).
            addVoice(new BinauralBeatVoice(12f, 12f, 0.6f)).
            setV(new HypnoFlash())
    ).
    p.addPeriod(new Period(300, SoundLoop.WHITE_NOISE, 0.7f, null).
            addVoice(new BinauralBeatVoice(20f, 20f, 0.6f)).
            setV(new HypnoFlash())
    );

    return p;
}
```
"
