repository,state,title,label,body
quaap/BookyMcBookface,open,Faq,[],"Hello I felt a FAQ section will be good for your project.  To make people understand more about your project.  If you give me the chance,  I can write that for you "
quaap/BookyMcBookface,closed,add spanish translations,[],hello! i found your app in F-Droid and thought it could use a Spanish translation. if anything is wrong hmu!
quaap/BookyMcBookface,closed,Privacy.md,[],This is the privacy policy document I earlier proposed. It is simple and concise. Feel free to review and make changes where necessary or let me know and I'll make the changes myself. Thanks.
quaap/BookyMcBookface,open,Error opening epub epub (no sections),[],"Hi!

I really like your app, it works quite well, and I love the fact that it's the only epub reader without internet permission I have found in F-droid.

Anyway, I downloaded an epub I can't open. The book is located here: https://framaclic.org/h/traces-epub
The error message says: ""Something went wrong. Please report this book as a bug. (no sections)"". I attach an screenshot:
![screenshot_2018-09-13-17-21-53](https://user-images.githubusercontent.com/7469634/45498544-83cddd00-b77a-11e8-8272-b27a0a27c449.png)
Thank you."
quaap/BookyMcBookface,open,suggestion to add text to speech and finish reading within in a certain time,"[Label(name=""enhancement"")]","#### Components

Booky Mybook Caffe is an Andoid application that works to read books on Android. The application is supported by various features that will make it easier for users to use it, especially by students who use this application to read textbooks.In addition, this application can also be used to read books stored in the user's folder and also books obtained online. This application can also be used online or offline.

here are some features that this application has:

- add books from folder 
- search your books 
- find books online
- show by
- sort by
- starts option 
- next and previous option
- brightness, and anymore

overall, the application is good enough but with some improvements I think the quality of this application will also increase.

#### Proposal Description

below are some ideas that might be included in this application so that this application is more convenient and interesting to use.
***finish reading within a certain time***

this is a feature that functions to calculate how many paragraphs or pages must be read every day so that the book can be read in a certain period. If this feature is implemented this feature will run in the following way:the user must first set the date of the book to read. from the date divided by the number of pages it will be found how many users have to read every day. This feature can be added by adding a new button on the book page
 
number of pages: number of days = number to read.
90: 6 = 15

from the result, the user must read 15 pages per day.

***text to speech***
 
this is a function that can convert text into a speech.
this feature is a promising feature. if this feature is added, most likely users need an internet connection to use it. With this feature, it is enough to listen to the book without having to read it. if this feature is added it might be placed in the reading options section.
 
 #### Mockups / Examples
here is an example if the feature that I am proposing is added

***finish reading within a certain time***
![Project_1_2-picsay[1].png](https://cdn.steemitimages.com/DQmWLDLduAnafDQZe4eFNmKsRoRMqCkSS3fLMoo2HmR8e7C/Project_1_2-picsay[1].png)

***text to speech***
if this feature is added it can look like this
![Projbect_1_1-picsay[1].png](https://cdn.steemitimages.com/DQmc1SNde7ZLgDkPkTqf5mQZGwobch1uSrk4MDkdTS5P7xK/Projbect_1_1-picsay[1].png)

#### BENEFITS

***finish reading within a certain time***
Let's say I want to finish reading a book by a certain date. booky mcbookface should calculate how much I should read each day and then show me in the text where to read to. If I read ahead,  booky mcbookface should re-calculate the amount each day so that I read less each day. If I fall behind, PageTurner should re-calculate the amount each day so that I read more each day.

booky mcbookface should also show a notification that cannot be cleared until I complete the amount of reading for the day. Also,  booky mcbookface should allow me to specify dates for several books and there should be a notification for each book.

This feature is great for students who need to read a textbook for class. If a teacher assigns a book to read, then the students can finish in the right amount of time.

***text to speech***
with this feature, users just have to hear the book they want to read without having to read it again. This feature will also allow blind users to hear their favorite books.with the feature the user also doesn't have to look at the smartphone screen for too long which will make the eyes hurt and redden"
quaap/BookyMcBookface,open,Add annotation feature,"[Label(name=""enhancement"")]",Add annotation feature. You can save annotations in database. A good example is lithium app. but it's closed-source.
quaap/BookyMcBookface,open,Add Privacy.,[],"Hello, I'm Harry.

I think it'll be awesome if you had a privacy policy that covers details of information collection and use when your software is utilized.

If you also think it's cool, I'd be glad to help in creating the document.

Would love to hear from you."
quaap/BookyMcBookface,closed,MVP pattern,[],"Did you ever think of rewriting the project into an **MVP** pattern?
Your code is too unreadable =(
![image](https://user-images.githubusercontent.com/22871855/43999534-c894f40a-9e2f-11e8-8860-71ebf40d040f.png)
"
quaap/BookyMcBookface,open,Unclear Icon?,[],"I see three icons and a ""Contents"" button. The top button is a checkbox with a square with a broken square around it. WHAT DOES THIS DO? So confused as it appears to change nothing, I'm not even sure which is the default mode. 

Lightbulb makes sense, so does magnifying glass, and so does contents, but this top button is unclear and highly perplexing.

Issue being placed for unclear UI/UX. Please clarify or consider adding a text description of what this button does.

Thank you."
quaap/BookyMcBookface,open,I Need Icon Design ,[],"Hi Hello brothers, with all due respect I have opened this issue with the intention of offering my help in the design of a logo for your app, I see that it is quite interesting and you need an icon that represents you with more strength, I am a graphic designer and I like it contribute in open source applications. If you are interested in my help let me know your concerns. Thanks in advance."
quaap/BookyMcBookface,closed,Material design,[],Why the application does not use MT? (CardView and RecyclerView)
quaap/BookyMcBookface,closed,Updated popup menu in actionBar (Added <menu>) #2,[],Norm? :D
quaap/BookyMcBookface,closed,Updated popup menu in actionBar (Added <menu>),[],"I suggest make so

<img src=""https://user-images.githubusercontent.com/22871855/43344971-95a9c92c-920d-11e8-82de-e38b0eb3bac8.png"" width=""300"" > <img src=""https://user-images.githubusercontent.com/22871855/43344978-9943045e-920d-11e8-8dc4-50cecfcb0607.png"" width=""300"" align=""right"">
"
quaap/BookyMcBookface,closed,Updated RU,[],"

<img src=""https://user-images.githubusercontent.com/22871855/43342407-712b4a98-9204-11e8-964e-37b65dc2d63d.png"" width=""300"" align=""left"">
<img src=""https://user-images.githubusercontent.com/22871855/43342419-772d3938-9204-11e8-927a-9f6000afcc63.png"" width=""300"">
<img src=""https://user-images.githubusercontent.com/22871855/43342436-7f11c18c-9204-11e8-9b50-5f20a91ad17f.png"" width=""300"">"
quaap/BookyMcBookface,closed,Updated Dutch translation,[],:)
