repository,state,title,label,body
kollerlukas/Camera-Roll-Android-App,open,Cannot save external sd card image after crop edit,[],"Steps to reproduce:

1. view image stored on external SD card, and tap on edit 
2. crop image
3. tap 'Done'
4. tap 'Save'
5. screen returns to 'Done' button screen and edited image is not saved"
kollerlukas/Camera-Roll-Android-App,open,Feature request: Support ACTION_PICK intent,[],I use `Camera Roll` as my main gallery app. But ACTION_PICK intents are not supported. When using another app to select an image then `Camera Roll` does not intercept it and the app crashes the app rather show a file picker (see this [issue](https://github.com/y20k/transistor/issues/204)). Can you add the intent support please?
kollerlukas/Camera-Roll-Android-App,open,Updated cs (Czech) translation,[],Commit made via [Stringlate](https://lonamiwebs.github.io/stringlate/)
kollerlukas/Camera-Roll-Android-App,open,Fixes for belarusian translation,[],
kollerlukas/Camera-Roll-Android-App,closed,Fixes for belarusian translation,[],
kollerlukas/Camera-Roll-Android-App,open,Recycle Bin & Fullscreen Swipe,[],"Having ditched the stock gallery, I very much enjoy Camera Roll, what I really miss in it though is a Recycle Bin feature, where I could enable a Trash folder into which all deleted photos would be moved to instead and where you could then restore files or empty the Recycle Bin. Great to prevent accidental deletions and loss of memories.
Also a swipe up/down in single image fullscreen mode to exit it and return to folder/album would be great, just like you can already do with swiping out of folders, making navigation between images and folders a breeze. 

With these features added, this app would heavily outweigh any other gallery out there. 
Thank you for a great gallery app! "
kollerlukas/Camera-Roll-Android-App,open,Support custom cover,[],This app is amazingly beautiful and useful，and if the cover of each album can be costomizable it will be better!
kollerlukas/Camera-Roll-Android-App,open,Add Catalan Translation,[],"Hello,
You can add the Catalan translation. You can copy the Spanish one and I will do the translation.
Thanks!"
kollerlukas/Camera-Roll-Android-App,closed,Release cached images when deleted/missing,[],"I've indexed and viewed 100s of dslr shots on my tablet via Camera Roll, but even after deleting them the apps cached data is still huge ie includes them. Clearing cache after removing the images indexes everything else and doesn't obviously include these thumbnails.

Would it be possible to discard the cache when images are removed?"
kollerlukas/Camera-Roll-Android-App,open,NFC support ,[],"It would be nice to have support for NFC file beaming. Currently, tapping the phones together just opens the Google Play page of Camera Roll."
kollerlukas/Camera-Roll-Android-App,open,Bottom of SettingsActivity covered by on screen navigation bar,[],"This is what looks like when you scroll down to the bottom on Pixel 2 (Andorid 9 Pie) on v1.0.6
![screenshot_20181020-150608](https://user-images.githubusercontent.com/3873011/47256150-6d065e80-d47b-11e8-8505-99d0a3dc33e9.png)

It seems that the bottom got covered up by the navigation bar"
kollerlukas/Camera-Roll-Android-App,open,Replaced unescaped ' in strings with \'.,[],Replaced unescaped ' in strings with \'.
kollerlukas/Camera-Roll-Android-App,open,Not possible to make an excluded folder visible again,[],"There is no way to make an excluded folder visible again.
v.1.0.6."
kollerlukas/Camera-Roll-Android-App,open,Ukrainian translation for google play,[],"Hi, please add the Ukrainian translation of the description to google play:

**Camera Roll - це проста і красива  галерея.** 

Camera Roll - це ідеальна галерея, яка дозволяє насолоджуватися фотографіями, гіфками та відео.

**Швидко, просто та зрозуміло**
- Camera Roll - це простий та інтуїтивно зрозумілий інтерфейс, який не заважає. Програма розрахована на швидкість і продуктивність.

**Чудова анімація** 
- Camera Roll порадує вас своїми цікавими та красивими анімаціями.

**Дані Exif**
- За допомогою Camera Roll ви можете переглядати і редагувати Exif ваших зображень.

**Віртуальні альбоми**
- Створення віртуальних альбомів для об'єднання декількох каталогів в один альбом без необхідності переміщення або копіювання будь-яких файлів.

**Приховані папки**
- Ви можете приховати непотрібні вам папки

**Файловий провідник**
- Легко переглядати папки на вашому сховищі або SD-карті. Ви можете швидко копіювати, переміщати і видаляти фотографії або каталоги.

Знайдіть вихідний код на Github:    "
kollerlukas/Camera-Roll-Android-App,open,Updated translation,[],"Added a new translation, and improved the old one.

p.s. Please update me about the information: Ukrainian: <a href=\""https://vlld.tk/\"">Knyzhnyk Vlad</a><br>"
kollerlukas/Camera-Roll-Android-App,closed,Updated cs (Czech) translation,[],Commit made via [Stringlate](https://lonamiwebs.github.io/stringlate/)
kollerlukas/Camera-Roll-Android-App,closed,various updates,[],"- buildToolsVersion to 28, alongside libraries
- updated dependencies
- java 1.8 compatibility
- gradle to 4.10.2

etc"
kollerlukas/Camera-Roll-Android-App,closed,"Allow StorageRetriever to query ""/storage/emulated/0/Android""","[Label(name=""improvement"")]","data.provider explicitly excludes ""/storage/emulated/0/Android"" to be queried (line 24):
private static final String[] permanentlyExcludedPaths = {Environment.getExternalStorageDirectory().getPath() + ""/Android""}; // ""/storage/emulated/0/Android""

Unfortunately the Nextcloud app stores data in this directory. Therefore no pictures, that were synced to the device, show up in the gallery.

My proposal: Do not permanently exclude this path. Disable it by default and let the user enable the path if required."
