repository,state,title,label,body
nolanlawson/ChordReaderRoot,closed,Translation to Brazilian Portuguese,[],Translation to Brazilian Portuguese
nolanlawson/ChordReaderRoot,closed,catlog unvisible for CM,[],"I am (still) running an (unsupported) Cyanogenmod on my phone (GT-i9505).
Since beginning of this year, catlog is not displayed by the Google Play search anymore for my device. What was changed? Why can't I use Catlog anymore? "
nolanlawson/ChordReaderRoot,closed,Auto scrolling,[],"Being able to auto scroll a displayed file would be a nice enhancement. Speed should be configurable, ideally through an easily accessible slider.
"
nolanlawson/ChordReaderRoot,open,Bug in French for C major,[],"`C'est un problème`

^ It's a bug that the app parses this as C major.
"
nolanlawson/ChordReaderRoot,open,ChordPro View,[],"Hi nolan, Thanks for this great APP! as i looked through the code the class Chordintext got my attention. Did you implemented the option to show the chord above the Text? Like

[E]This is Songtext [A]and in[B]side you See the chords.

After parsing the chords appear above the letter they are written in front of. 

Blessings,
Felix
"
nolanlawson/ChordReaderRoot,closed,How to best integration with songs database?,[],"I Just love it, thanks a bunch!

I'd be interested in integrating a (community-based web) database of songs+chords with it. Would you be interested in the idea and/or available to hint me on the best way to do it in your current code basis?

Related features would be the synchronisation (download) of some user-selected sets of chords, upload of local modifications, and integration of search engine, a.o.

Thanks again!
Berteh.
"
nolanlawson/ChordReaderRoot,open,"Add a ""share"" feature so that it's easy to print, email, etc.",[],
nolanlawson/ChordReaderRoot,open,Implement bluetooth integration,[],"Comment:

I've had this app on my phone and love it. I am also getting a tablet soon and want to use your app to replace my songbook. My question is, does your app accept bluetooth keyboard commands such as pageup pagedown and arrows to scroll? The reason for the question is I want to use the pageflip cicada foot pedal for hands free scrolling and want to see if your app is compatible.
"
nolanlawson/ChordReaderRoot,open,Add larger font sizes for tablets,[],"Need at least +2 or +4 font sizes above the current max.
"
nolanlawson/ChordReaderRoot,open,Implement autoscroll,[],"The app needs a little widget that allows you to set the chords to autoscroll while you play your guitar.
"
nolanlawson/ChordReaderRoot,open,Implement setlists,[],"There should be some way to organize songs into setlists.
"
nolanlawson/ChordReaderRoot,open,Problem with WebView on ICS tablets,[],"I've got some trouble with your App. I'm using it on a tablet and have the following problem:

Ich I search a song and i click a link on the google result page, the next page is completely empty.

ICS Android 4.

On my Mlestone with CyanogenMod 7 everythings works fine.
"
