repository,state,title,label,body
philliphsu/ClockPlus,open,missed alarm notification does not let screen turn off,[],"If I miss an alarm, the screen remains constantly lit. This is very annoying and wastes battery. Samsung phone with oled screen."
philliphsu/ClockPlus,open,Daylight Saving Time change confuses app,[],We moved one hour back due to DST and today the alarm rang one hour before normal. It seems that DST is not taken under consideration in the app.
philliphsu/ClockPlus,open,Updated fr (French) translation,[],Commit made via [Stringlate](https://lonamiwebs.github.io/stringlate/)
philliphsu/ClockPlus,open,alarm problems in Android 9,[],"The alarm doesn't work intermittently in Android Pie. It never works if the do-not-disturb (alarms allowed) is on and sometimes even after I turn the d-n-d off it still doesn't work.

This used to work in Android 8. Android 9 made changes to how the d-n-d is handled.

I confirmed that the system clock alarm still works in d-n-d mode, so it is the app rather than the mode.

Love the application, hope this can be fixed. Happy to help test if need be."
philliphsu/ClockPlus,open,"Upgraded sdk and dependencies, Also replaced some deprecatedAnnotations",[],"needs testing, sorry :)
After upgrading to sdk 27 we need to add notification channels sadly I did not do it"
philliphsu/ClockPlus,open,Alarm not ringing in Redmi Note 4 (Nougat),[],"Alarm not ringing in Redmi Note 4 (Nougat)

When closing app from background"
philliphsu/ClockPlus,open,New timer crashes when entering first number,[],"## Observed
The app crashes when attempting to enter the first number in a timer.
![screenshot_20180514-081905_clock](https://user-images.githubusercontent.com/111051/39997054-88e6666c-574f-11e8-837f-7172c6413658.jpg)

This appears to be because the cursor is right of the rightmost digit in the hours field by default.

I can work around this by touching any of the fields (including the hours field) before entering numbers. Which moves the cursor to the far left of the selected field.

## Expected
Typing a number in the hours field without any additional interaction changes the number of hours for the timer.

## Environment
* Samsung Galaxy S8 Active
* Android 8.0
* Clock+ 1.1.3 via FDroid (also happens with the version in the Google Play store)


"
philliphsu/ClockPlus,open,error,[],Error:C:\Users\Vishal\Decktop\ClockPlus-master\keystore.properties (The system cannot find the file specified)
philliphsu/ClockPlus,open,Timer doesn't go off when phone is sleeping,[],"My timers won't go off when my phone is in ""doze"" mode. They will sometimes fire many minutes after what they should. Relevant information: https://developer.android.com/training/monitoring-device-state/doze-standby.html."
philliphsu/ClockPlus,open,Error:C:\Users\Madou\Downloads\ClockPlus-master\keystore.properties (The system cannot find the file specified) ,[],
philliphsu/ClockPlus,open,Enhancement: ability to edit the duration of existing countdown timers,[],"As per title - currently you can only edit their labels, so you have to delete them and start again if you just want to edit the length of countdown. "
philliphsu/ClockPlus,open,[Feature request] Keep the screen alive when using the stopwatch,[],"I'm using this app while working out. The screen dims after two minutes of not touching the screen, as set in my android settings. Clock+ should keep the screen alive when using the stopwatch because it's not handy to have a dim screen in cases when you need a stopwatch."
philliphsu/ClockPlus,open,"Notification ""Dismiss Now"" Not Functioning ",[],"I have Clock+ setup to generate notifications for upcoming alarms.  The notification itself pops up but when I hit Dismiss Now "", the notification briefly goes away but then a new one pops up and the cycle repeats. I'm running the latest version available on F-Droid, 1.1.3 on Marshmallow, device is a ZTE Blade V8 Pro.  I tried finding the issue via search but was not successful.

Thanks "
philliphsu/ClockPlus,open,Alarm Sounds,[],"Please add an option to select an alarm via a file listing / and add possible .arm support those old timers?
Android 4+ has a built in file picker. There's no reason to restrict the app to default directories anymore."
philliphsu/ClockPlus,open,Alarm sounds an hour too early after daylight savings (fall),[],"After the fall time change (Daylight Savings) event, alarms set prior to the time-change went off an hour earlier than the time for which they were set.  Had to restart phone before alarms would go off at correct times.  Experienced on Android 6.0.1"
