repository,state,title,label,body
kaytdek/ColorNamer,closed,Brazilina Portuguese translation,[],Brazilian Portuguese translation
kaytdek/ColorNamer,closed,General formatting cleanup.,[],
kaytdek/ColorNamer,open,Camera preview can be shown upside down on some phones,[],
kaytdek/ColorNamer,closed,Update project to use Android Studio,[],
kaytdek/ColorNamer,closed,Czech translation of the layout,[],
kaytdek/ColorNamer,open,HSV instead of RGB for calculateDistance,[],"It's oft been remarked that calculating the ""distance"" between two colors in RGB space doesn't match human visual perceptions very well. There are many other color spaces that work better, but HSV (hue, saturation, value) is an easy one to use and could dramatically improve the results without much work. The relevant code to change is, I believe, calculateDistance at the end of ColorData.java. 
"
kaytdek/ColorNamer,closed,Many strings made translatable,[],"I made translatable all the strings from CameraActivity and MainActivity.
"
kaytdek/ColorNamer,closed,"Better link to the license in ""More info"" section.",[],
kaytdek/ColorNamer,closed,Color Namer update with sleeping,[],"In this update was some strings in CameraActivity made to be translatable for future use. In the ""More Info"" section was ""open-source"" changed to ""free and open-source"" and added mention about the license.
"
kaytdek/ColorNamer,closed,Color Namer update,[],"In this update was added feature that disables display getting sleep during its run. There was also some strings in CameraActivity made to be translatable for future use. In the ""More Info"" section was ""open-source"" changed to ""free and open-source"" and added mention about the license.
"
kaytdek/ColorNamer,open,Get Preview Frame after every 500ms.,[],"Hello there,

How can I get camera preview frame after every 500ms. This application code is working fine for me, but how can I get colorcode value for every 500ms, for that i should calculate RGB value of preview frame after every 500ms. How can I do this ?

Thanks
Saurabh
"
kaytdek/ColorNamer,open,Keep screen on,[],"Stops the screen from sleeping while looking at all the pretty colors.
"
kaytdek/ColorNamer,open,Blue Sky suggestion - add text file to save color,[],"I love this app i used to take pictures of things just to sample RGB or Hex in Photoshop.

it would be awesome to build a favorite color log text file or files (by project etc) and additionally add personal note or comment to each entry.

in gratitude,
Arthur
"
kaytdek/ColorNamer,closed,Add Flash - and removed code for invalid intent by android 4.4.2 ,[],"I have Removed the intent, a normal app can't send the intent on android 4.4.x
And add a little flash function for the camera that support flash
"
