repository,state,title,label,body
sergstetsuk/CosyDVR,open,"Changing the number on ""video height feature"" causes the application to crash.",[],"#### Project Information
* ###### Repository : https://github.com/sergstetsuk/CosyDVR/
* ###### Title App : CosyDVR
* ###### Publisher App : Dzmitry Lahoda

***

#### Expected behavior
Supposedly, When changing numbers on the ""Video Height"" feature and doing a video record does not cause the application to crash.

#### Actual behavior
When changing numbers on the ""Video Height"" feature and making a video recording causes the app to crash.

#### How to reproduce
1. Instal App [here](  https://play.google.com/store/apps/details?id=es.esy.CosyDVR)
2. Run the app.
3. Click and hold on the ""start"" feature to enter the ""settings"" feature.
4. After successfully entering the ""Settings"" feature, then you will find ""Video Height feature"".
5. Please change the number on ""Video Height Feature"" and do Video Record, then the application will crash.

#### Environment
* ###### Device : Redmi Note 5A
* ###### System Operating : 7.1.0 Nougat
* ###### App Version : 1.3.21

***
***

#### <center>Recording Of The Issues</center>
https://youtu.be/_3u83ckOuVg

***

#### Logcat
```
05-23 19:45:58.694 31276 31276 E AndroidRuntime: FATAL EXCEPTION: main
05-23 19:45:58.694 31276 31276 E AndroidRuntime: Process: es.esy.CosyDVR, PID: 31276
05-23 19:45:58.694 31276 31276 E AndroidRuntime: java.lang.RuntimeException: Camera is being used after Camera.release() was called
05-23 19:45:58.694 31276 31276 E AndroidRuntime: 	at android.hardware.Camera.native_getParameters(Native Method)
05-23 19:45:58.694 31276 31276 E AndroidRuntime: 	at android.hardware.Camera.getParameters(Camera.java:2050)
05-23 19:45:58.694 31276 31276 E AndroidRuntime: 	at es.esy.CosyDVR.BackgroundVideoRecorder.applyCameraParameters(BackgroundVideoRecorder.java:713)
05-23 19:45:58.694 31276 31276 E AndroidRuntime: 	at es.esy.CosyDVR.BackgroundVideoRecorder.StartRecording(BackgroundVideoRecorder.java:524)
05-23 19:45:58.694 31276 31276 E AndroidRuntime: 	at es.esy.CosyDVR.BackgroundVideoRecorder.RestartRecording(BackgroundVideoRecorder.java:469)
05-23 19:45:58.694 31276 31276 E AndroidRuntime: 	at es.esy.CosyDVR.CosyDVR$3.onClick(CosyDVR.java:220)
05-23 19:45:58.694 31276 31276 E AndroidRuntime: 	at android.view.View.performClick(View.java:5647)
05-23 19:45:58.694 31276 31276 E AndroidRuntime: 	at android.view.View$PerformClick.run(View.java:22462)
05-23 19:45:58.694 31276 31276 E AndroidRuntime: 	at android.os.Handler.handleCallback(Handler.java:754)
05-23 19:45:58.694 31276 31276 E AndroidRuntime: 	at android.os.Handler.dispatchMessage(Handler.java:95)
05-23 19:45:58.694 31276 31276 E AndroidRuntime: 	at android.os.Looper.loop(Looper.java:163)
05-23 19:45:58.694 31276 31276 E AndroidRuntime: 	at android.app.ActivityThread.main(ActivityThread.java:6361)
05-23 19:45:58.694 31276 31276 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
05-23 19:45:58.694 31276 31276 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:904)
05-23 19:45:58.694 31276 31276 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:794)
```

#### Proof Of Work Done
###### [Submit in github](http://www.github.com/rezamusic881)"
sergstetsuk/CosyDVR,open,app crashed after combination with screen recorder application,[],"#### Project Information
Repository Link:
https://github.com/sergstetsuk/CosyDVR

#### Expected behavior
Supposedly after I combine CosyDVR application with one of screen recording application, application can run well.

#### Actual behavior
After I activate the screen recorder application, and opening the CosyDVR application occurs Force-Clole when pressing start on CosyDVR application.

#### How to reproduce
>1. Open and activate screen recorder application. [Here](https://play.google.com/store/apps/details?id=com.duapps.recorder)
>2. Open the CozyDVR app. [here](https://play.google.com/store/apps/details?id=es.esy.CosyDVR)
>3. Press start to start recording.
>4. And look at the bug.

<hr>

  * Browser: **CosyDVR - Version [1.3.20]**
  *  Operating system: **Android 5.0**
  *  Smartphone: **Asus Zenfone 4s**


#### Recording Of The Bug
https://www.youtube.com/watch?v=h70Y8q2Eh7Q&feature=youtu.be

#### My GitHub Account
https://github.com/rudiansyah1996"
sergstetsuk/CosyDVR,closed,Create Privacy policy,[],"I thought ,for a wonderful application like this users might like to have the privacy policy.
I used this medium to contribute to this project, since am not a programmer, i am just a writer and thats what i do best. 
thank you."
sergstetsuk/CosyDVR,open,"While clicking on ""Start"" option it brings me to home screen. ",[],"
#### Expected behavior
I want to start the camera by clicking on ""START"" option. When i clicked on it, it must start the camera. 

#### Actual behaviour
When i tried to start the camera by clicking on Start option. It brings me to home screen. 

#### How to reproduce 
Install app from f droid. 

Open the app

Click on Start option. 

It gets stopped and brings to home screen. 


* Browser: CosyDVR
* Version:1.3.21
* Operating system:5.1.1

#### Recording Of The Bug
https://youtu.be/HUOOGAmVjLk
    

<br /><hr/><em>Posted on <a href=""https://utopian.io/utopian-io/@peerzadazeeshan/while-clicking-on-start-option-it-brings-me-to-home-screen"">Utopian.io -  Rewarding Open Source Contributors</a></em><hr/>"
sergstetsuk/CosyDVR,open,Please fix or handle some most frequent crashes,[],"https://play.google.com/apps/publish/?account=8759775988591333977#AndroidMetricsErrorsPlace:p=es.esy.CosyDVR&appVersion=PRODUCTION

![default](https://user-images.githubusercontent.com/757125/35805453-fe7d5af8-0a8c-11e8-89e1-fe10ba1a0527.png)

I have crash on Xiaomi Mi Max 2 when open with auto recording and changing phone position from horizontal to vertical and again several times fast. May be I will try to fix it some day:)

"
sergstetsuk/CosyDVR,closed,"made documentation of MAX_TEMP_FOLDER_SIZE to be correct for 3 langs,…",[],…  made indication in code for that. Changed meaning of MIN_FREE_SPACE to be KB. It backward incompatible change (better to into new options with migration). But do not leave KB and B - it confuses.
sergstetsuk/CosyDVR,closed,Update README.md,[],"This small and useless PR adds two buttons to get your app on F-Droid and Google Play Store

Thanks for this app"
sergstetsuk/CosyDVR,closed,Video flipped on Nexus 5X,[],"5X has an ""upside down"" sensor which is corrected for in software. This affects a few other phones too. "
sergstetsuk/CosyDVR,closed,japanese translation,[],Hello!
sergstetsuk/CosyDVR,closed,Fixed typos in russian translation,[],
sergstetsuk/CosyDVR,open,Fix deep links for Android app android-app://es.esy.CosyDVR/ which fail to launch your app,[],"Fix deep links for Android app android-app://es.esy.CosyDVR/ which fail to launch your app

To: Owner of Android app android-app://es.esy.CosyDVR/.

Google systems have detected that some of the deep links you provided for your app pages fail to launch the app. This can be confusing and frustrating for users, because they won’t be able to open the content they wanted within your app from Google search results. Therefore, we will not show deep links to these app pages in our mobile search results.

Here's how you can fix this:

1	
Check which app pages have this issue
Review the list of example pages where we observed this issue in the Search Console Crawl Status report.
See error examples
2	
Check your Android manifest file
Make sure your Android manifest file supports deep links.
3	
Use the error examples to understand the problem
Make sure the format and spelling of your deep links is correct.
See correct format
4	
Fix the issue and verify the fix
Test each deep link on your attached device or emulator to make sure it launches your app.
5	
Publish the updated APK in the Play Store
Once we recrawl and reprocess your app pages, the errors will disappear from Search Console.
Need more help?

•	Find out more about how to change your Android manifest file and the correct format of app deep links on our Developer site.
•	Read more about how to fix your deep links in our Help Center.
•	Ask questions in our forum for more help - mention message type [WNC-580600]."
