repository,state,title,label,body
cketti/DashClock_K-9,closed,Dev,[],https://github.com/cketti/DashClock_K-9.git
cketti/DashClock_K-9,closed,SK updated,[],"- added translation for ""settings_menu_more_apps""
- tweaked some other strings
"
cketti/DashClock_K-9,closed,Rework title for unread emails,[],
cketti/DashClock_K-9,closed,Update Slovak translation,[],
cketti/DashClock_K-9,closed,RU translation added,[],
cketti/DashClock_K-9,closed,Updated translation for link at source code,[],
cketti/DashClock_K-9,closed,Add french translation,[],
cketti/DashClock_K-9,closed,Add Italian translation,[],
cketti/DashClock_K-9,closed,Add Italian translation,[],
cketti/DashClock_K-9,closed,Add Italian translation,[],
