repository,state,title,label,body
fenimore/DemocracyDroid,open,Does Not Open Stream In Another Application,[],"When opening videos, whether in broadcast or transcript tabs, it will only open within application. When open stream in other application is chosen the broadcast tab says it is unable to open file. The transcript tab videos still open with in application no matter which option is chosen.

My goal is to open videos in VLC to Chromecast since Chromecast isn't available in the Google Play version. "
fenimore/DemocracyDroid,open,Request Audio Focus,"[Label(name=""bug""), Label(name=""enhancement""), Label(name=""help wanted"")]",https://medium.com/google-developers/audio-focus-3-cdc09da9c122
fenimore/DemocracyDroid,closed,Play/Pause in Notification drawer,"[Label(name=""enhancement""), Label(name=""help wanted"")]","We need the notification drawer to have play and pause buttons to controlling playback while the app is in the background :grimacing: 

I've tried doing this a few times and I couldn't figure it out :woman_shrugging: "
fenimore/DemocracyDroid,closed,New Logo Design,[],"Hi sir, I will to design a new logo for your app. You can tell me about the requirements if it may please you."
fenimore/DemocracyDroid,closed,Democracy droid crashes when we click on stream audio,[],"
#### Expected behavior
By clicking on stream audio we should be able to stream the audio online. 

#### Actual behavior
When I clicked on the menu on the right side od the video and tried to stream the audio, the application crashed. 

Also the application crashes after using it for some seconds (15 maybe) but that bug has already been reported. 

While I was able to stay on the app for some time, I managed to click on some of the options it has and everything worked fine except for stream video option. 

#### How to reproduce
- Open the app
- Click on menu on the right top corner of a particular video
- Click stream audio option
- The application will crash. 

* Application: Democracy droid v 3.6.2
* Operating system: Android 6.0.1

#### Recording Of The Bug

https://youtu.be/68LXTAotiTg

<br /><hr/><em>Posted on <a href=""https://utopian.io/utopian-io/@syedumair/democracy-droid-crashes-when-we-click-on-stream-audio"">Utopian.io -  Rewarding Open Source Contributors</a></em><hr/>"
fenimore/DemocracyDroid,closed,Link in app does not match link in repo,"[Label(name=""bug"")]",The link on the about section leads to the broken link democracy now.
fenimore/DemocracyDroid,closed,Code Refactoring. ,[],Cleaned up architecture. Added dependency injection.
fenimore/DemocracyDroid,closed,App crashes when video is selected,"[Label(name=""bug"")]","Using version 3.6.1 on Nexus 5x's Android 8.1.0 and the app started crashing recently when I attempt to play video from the broadcast tab. If I don't restart the app immediately via ""open app again"" pop up I hear the first tunes of DN."
fenimore/DemocracyDroid,closed,Merge pull request #5 from fenimore/master,[],merge
fenimore/DemocracyDroid,open,Reload should reload downloads too,[],
fenimore/DemocracyDroid,closed,Dev,[],
fenimore/DemocracyDroid,closed,RTL layout (right to left layout) breaks cardview titles,[],"go to developer options, and check force right to left layout -- the cardviews no longer show the titles"
fenimore/DemocracyDroid,closed,Merge pull request #2 from fenimore/master,[],merge from finmores master
fenimore/DemocracyDroid,open,New Launcher Icon?,"[Label(name=""question"")]","Is the launcher icon too square? Should I round the edges a bit and drop some shadow on it??!?

@DerrickRocha maybe you have an opinion?"
fenimore/DemocracyDroid,closed,Duplicate In Feed,"[Label(name=""bug"")]","The anticipated video and audio links are hard coded with `https`, but these aren't actually used by the rss feed, so duplicates appear"
fenimore/DemocracyDroid,closed,Option/Preference for including the tab titles in tabs,"[Label(name=""enhancement""), Label(name=""question"")]","In the most recent release I took out the tab title (""Story"", ""Broadcast"", ""Download""). Some users like it (such as @DerrickRocha), so we should put a shared preference for including the tab titles. Or if the experiment fails, maybe just totally reset and bring back the titles by default.

For the next release we'll just wait and see how it feels 🙂 "
fenimore/DemocracyDroid,closed,Reimplement ProgressBar,"[Label(name=""enhancement"")]","I removed the ProgressBar, see d900e71f48b8b72e4d69ab45af314156a743a49e 

```
       <ProgressBar
-            android:layout_centerHorizontal=""true""
-            android:id=""@+id/sBar""
-            android:minHeight=""20dip""
-            android:layout_width=""wrap_content""
-            android:layout_height=""wrap_content""/>
```

So that way the swipe to refresh is the only refresh animation. But when first opening the app, it's nice to have that yellow ProgressBar, so @DerrickRocha suggested to make

> it so the yellow loading icon doesn't get displayed when a pull to refresh happens. We could pass a Boolean into GetStoryFeed and GetVideoFeed classes indicating if we should show the loading screen. We can check for it in the onPostExecute method in those classes and show the icon if true."
fenimore/DemocracyDroid,closed,Linear layout lists,[],
fenimore/DemocracyDroid,closed,Better icon for headlines story viewholder,"[Label(name=""enhancement""), Label(name=""help wanted"")]",
fenimore/DemocracyDroid,closed,Prepare for Spanish Language translation,"[Label(name=""enhancement"")]",Namely make sure that all hard coded strings are moved to the `strings.xml` resource.
fenimore/DemocracyDroid,closed,Story view Audio/Video link is Null before load,"[Label(name=""bug"")]","When clicking to launch a video or audio stream from a stories tab, before the story has loaded, the links will be Null. And the app will crash NullPointer."
fenimore/DemocracyDroid,closed,Pull jsoup from jcenter,"[Label(name=""enhancement""), Label(name=""help wanted"")]",Is there a reason for `jsoup-1.8.3` being included as binary jar file instead of being pulled from jcenter/mavenCentral?
