repository,state,title,label,body
f2prateek/Device-Frame-Generator,open,This repo is still alive ?,[],
f2prateek/Device-Frame-Generator,open,126 oneplus 5t,[],"Added files ad config for the OnePlus 5T which has a 2:1 screen ratio.  Please let me know if I've made a mistake somewhere. Love the app and couldn't do without it :-)

Fixes #126 "
f2prateek/Device-Frame-Generator,open,OnePlus 5T - is this image OK?,[],"Can someone please tell me if this image is suitable, before I make a pull request?
Screenshots on the 5T are 1080 * 2160. This image has a port size of 602 * 1204 - keeping the 2:1 aspect ratio.

![oneplus 5t](https://user-images.githubusercontent.com/837136/33131355-2fe493f2-cf8e-11e7-904b-e17297acfbc6.png)
"
f2prateek/Device-Frame-Generator,open,Screenshot for rounded corner devices,[],"Hello @f2prateek ..

Is possible to add support for devices with rounded corners..? like many new flagship devices at 2017..?

Screenshots has normal corners, so there has to be some overlay for cutting radius..
![screenshot_2017-10-27-08-23-58-487_com miui home](https://user-images.githubusercontent.com/1762519/32090636-b1c218ca-baf0-11e7-8149-1f1b982d2e2b.png)

![index-header-pic](https://user-images.githubusercontent.com/1762519/32090493-ff17c30a-baef-11e7-9cc0-92a655789b6b.png)
"
f2prateek/Device-Frame-Generator,closed,Add Xiaomi MI6 Black + Blue,[],
f2prateek/Device-Frame-Generator,open,Add support for Android Wear,[],"Is possible to add support for Android Wear?

Screenshots from wear are squared so DFG has to cut off circle with defined diameter of the watch face..

![screen](https://cloud.githubusercontent.com/assets/1762519/22163551/98b9ac90-df53-11e6-8e7d-67ec626b8b7a.png)

possible frames for ZenWatch 3

![watchface_ui_watch_black](https://cloud.githubusercontent.com/assets/1762519/22163569/a90478c8-df53-11e6-854b-3d56215552ff.png)

![watchface_ui_watch_rosegold](https://cloud.githubusercontent.com/assets/1762519/22163586/af01960c-df53-11e6-8b38-d16d4783e3ef.png)

![watchface_ui_watch_white](https://cloud.githubusercontent.com/assets/1762519/22164915/9b5f274e-df59-11e6-99e1-d18fe2da531c.png)

"
f2prateek/Device-Frame-Generator,closed,"Add Moto X, Xiaomi MI5, MI5S, MiNote",[],
f2prateek/Device-Frame-Generator,closed,Not able to build ,[],"@f2prateek i was getting the below error when  building the project 

A problem occurred configuring root project 'device-frame-generator'.

> Could not resolve all dependencies for configuration ':_debugCompile'.
> Could not resolve com.android.support:support-annotations:23.0.0.
>      Required by:
>          :device-frame-generator:unspecified > com.android.support:support-v4:22.2.1
>       > Could not resolve com.android.support:support-annotations:23.0.0.
>          > Could not get resource 'https://maven.fabric.io/repo/com/android/support/support-annotations/23.0.0/support-annotations-23.0.0.pom'.
>             > Could not GET 'https://maven.fabric.io/repo/com/android/support/support-annotations/23.0.0/support-annotations-23.0.0.pom'. Received status code 401 from server: Unauthorized
> Could not resolve com.android.support:support-annotations:23.0.0.
>      Required by:
>          :device-frame-generator:unspecified > com.f2prateek.rx.preferences:rx-preferences:1.0.1
>       > Could not resolve com.android.support:support-annotations:23.0.0.
>          > Could not get resource 'https://maven.fabric.io/repo/com/android/support/support-annotations/23.0.0/support-annotations-23.0.0.pom'.
>             > Could not GET 'https://maven.fabric.io/repo/com/android/support/support-annotations/23.0.0/support-annotations-23.0.0.pom'. Received status code 401 from server: Unauthorized
"
f2prateek/Device-Frame-Generator,closed,Add frames for nexus 5x and nexus 6p.,[],
f2prateek/Device-Frame-Generator,open,F-Droid: No updates due to proprietary libraries,[],"Hey @f2prateek, I really enjoy your app, but what's up with you making heavy use of proprietary libraries? F-Droid actually _stopped_ updating your app (which is really bad), as stated on [your application page](https://f-droid.org/wiki/page/com.f2prateek.dfg):

> This app will no longer be updated; Upstream started using proprietary libraries heavily.

If you did not know about this before, you should now consider fixing this a `PRIORITY` to not lose users!
"
