repository,state,title,label,body
voidcode/Diaspora-Webclient,open,Pool bug ?,[],"Hi,

Perhaps a bug with pools.

When I read this post through web browser on computer https://framasphere.org/posts/2554366 I can submit a pool (radio buttons).
When I read this post through android client, I get directly pool results (bar graph instead radio button). (I didn't submit pool with the computer..)
Of course I log in both with same username... 

Regards,"
voidcode/Diaspora-Webclient,open,Spins indefinitely wen network connection to podupti.me rejected,[],"Reproduce steps:
Install noroot app firewall.
Install diaspora (tried both native web client 1.8.3 and web client 1.6.3)
Activate the firewall VPN.
Run diaspora client.
Notice the firewall intercepts the connection attempt, reject it
Diaspora client stays trying load the list of pods. 
It never quits nor gives up. No way to cancel.

Desired: 
A) The client allows canceling the download of pod list and enter a pod manually.
B) The client times out after a while (30s) and allows entering pod manually.
C) Ideally, both A and B.

Background:
In a privacy sensitive environment, one should be able to avoid leaking the usage of diaspora. More curiously, diaspora should not depend this firmly on a central single point of failure. It's understood, that one may simply navigate to desired pod in browser, but that renders the whole app pointless. Support for proxy (tor) would also make much sense, but perhaps in another issue.

Thanks and much love for the work
"
voidcode/Diaspora-Webclient,open,"there is no display of ""ignore"" neither in profile nor post.",[],"I follow some tags, but there is some post that I can not ""ignore"", neither can I ignore the profile If I go to the profile.
but if I go to my stream with regular browser, I can click on ""ignore"" icon or ignore the profile.
"
voidcode/Diaspora-Webclient,open,Slow scrolling,[],"Feed for joindiaspora.com pod is so slow, not use able.
"
voidcode/Diaspora-Webclient,closed,corrected typo.,[],"added missing ""l"" in ""will"".
"
voidcode/Diaspora-Webclient,open,File selector broken ,[],"The camera icon just highlights 
HTC one max
Everything else works great 
Thank you 
"
voidcode/Diaspora-Webclient,open,Not quitting at initial screen,[],"Pressing back at first activity (choosing pod) results in the activity restarting and the keyboard reappearing, instead of quitting the app. 
Android 4.4.2, stock
Nexus 7 flo
"
voidcode/Diaspora-Webclient,closed,WebView ~,[],"Why make an app that is only a webview app - Anyone can do this -

App needs to be fully Native app without WebView -
"
voidcode/Diaspora-Webclient,closed,Fix for issue 10,[],
voidcode/Diaspora-Webclient,open,joindiaspora.com failes,[],"not possible to use for joindiaspora.com
"
voidcode/Diaspora-Webclient,closed,using malformed url,[],"Hi,
I just tried to use this app with my test pod, so I entered its URL and clicked ""Use this pod"".
The pods URL is ""http://pod.0815team.de"", so I entered this in the EditText.
But to access the stream it tries to use the URL https://http//pod.0815team.de/stream, which obviously doesn'twork.

It'd be nice if you could try to fix this so I can check out this interesting app...

Yours, Max
"
voidcode/Diaspora-Webclient,open,Users can´t logon with some Samsung device...,[],"Users can´t logon with some Samsung device like Samsung Galaxy i5510 with android 2.2 or Samsung Galaxy 10.1 tablet
"
voidcode/Diaspora-Webclient,closed,HP Touchpad CM9 - Null pointer when testing connectivity.,[],"The client is stopped as soon as it is started. This is because the mobileInfo is null. Here is the fix for it

diff --git a/src/com/voidcode/diasporawebclient/PodSettingsActivity.java b/src/com/voidcode/diasporawebclient/PodSettingsActivity.java
index 804dd46..9ba06c7 100644
--- a/src/com/voidcode/diasporawebclient/PodSettingsActivity.java
+++ b/src/com/voidcode/diasporawebclient/PodSettingsActivity.java
@@ -77,7 +77,7 @@ public class PodSettingsActivity extends Activity {
                                //fill listview with pods form http://podupti.me
                                fillListview(this.lvPods_arr);

```
                           //podsearch, A fast find search on editTextCurrentpod, So user don't have to scholl the podlist to finde a pod 
                            editTextCurrentpod.addTextChangedListener(new TextWatcher() 
                            { 
                                    List<String> filter_podurl_list = null;
```

@@ -175,11 +175,12 @@ public class PodSettingsActivity extends Activity {
                NetworkInfo mobileInfo = connec.getNetworkInfo(0);
                NetworkInfo wifiInfo = connec.getNetworkInfo(1);
                NetworkInfo wimaxInfo = connec.getNetworkInfo(6);
-               if (wimaxInfo!=null) {
-                       return mobileInfo.isConnected() || wifiInfo.isConnected()|| wimaxInfo.isConnected();
-               }
-               else {
-                       return mobileInfo.isConnected() || wifiInfo.isConnected();
-               }
-               boolean bm = false;
-               boolean bw = false;
-               boolean bx = false;
-               if (mobileInfo != null) bm = mobileInfo.isConnected();
-               if (wimaxInfo != null) bx = wimaxInfo.isConnected();
-               if (wifiInfo != null) bw = wifiInfo.isConnected();
-               return (bm || bw || bx);
      }
"
voidcode/Diaspora-Webclient,closed,App does not seem to fetch updates from stream,[],"Since the last update of the diaspora-webclient application the stream refreshes anymore. It displays entries from weeks ago while the web stream shows up already a lot of news. Cleaning the cache have not helped at all. Bug affects several users eg. https://pod.geraspora.de/posts/439184. 
"
voidcode/Diaspora-Webclient,closed,F-Droid FOSS repository needs update to 1.6 version w/URL fix,[],"Android market version has been updated but the one in the F-Droid FOSS repository is still v1.5 with the broken URL. Please update when possible.
"
