repository,state,title,label,body
rdoeffinger/Dictionary,open,[Feature Request] Add option to view dictionary entries in Wiktionary webpage view,[],Like [this](https://photos.app.goo.gl/n4Vm93PQA92BrUgS6).
rdoeffinger/Dictionary,open,Add git tag for new version,[],"Can you please create a new Github release for the latest version of this app? Source code only is enough, no apk needed

This way F-Droid can automatically pick up the new version and build it. Thanks

Edit: Actually F-Droid is using tags to detect a new version. Maybe you can tag the appropriate commit with the new version? "
rdoeffinger/Dictionary,open,Dictionaries not downloading from inside app,[],When you try to download a dictionary from inside the app. Nothing happens. 
rdoeffinger/Dictionary,open,Searching for Russian words containing the 'ь' character will often fail,[],"Searching for a Russian word containing the 'ь' character will often fail. Most of the times you end up scrolling down a lot until you find it. For testing, one can search for 'весь', which is in the Russian - English dictionary but not found by searching."
rdoeffinger/Dictionary,closed,Problem searching Thai,[],"We are planning a trip to Thailand, so I downloaded the English-Thai dictionary in this excellent app (thank you for keeping it going!!). I also enabled Thai language as an option in the (built-in) LG Keyboard on my phone (so I can now switch between English, Spanish, and Thai keyboards as I type on the phone).

So, the bug: When I go into the Thai side of the English-Thai dictionary, I find that I can search by the transliteration of words into Roman alphabet only. For instance, if I type ""see"" I get some words matched, such as the transliterated ""see-chom-poo"". But when I switch to the Thai keyboard and type Thai characters, nothing happens in the search -- it doesn't seem to recognize that the Thai characters I have entered match any words.

I was wondering if the Thai keyboard on the phone was the problem, so I went to wikipedia.org in my browser, switched to Thai language there, and verified that I can search Wikipedia in Thai using the Thai keyboard on my phone (not that I can read any of the entries, but the search worked). I also highlighted the first few characters of some random word in an entry I was looking at, and copy/pasted that into QuickDic's search box, but again I got no search results, even when I backspaced it down to just one or two characters. And I even tried copy/pasting some Thai from a Quickdic dictionary entry, and that didn't work in the search box either.

So I think the QuickDic app is not successfully matching Thai characters to characters in the Thai/English dictionary.

I hope that wasn't too much detail... as an open-source software developer myself, I always like to have as much information as possible in bug reports. I'd be happy to test further... thanks!"
rdoeffinger/Dictionary,open,Search history,[],"I looked up a word yesterday and now I can't remember what I looked up, and it's bugging me! A little Search History feature would be great.
Thanks"
rdoeffinger/Dictionary,closed,Any plans to build a Romani dictionary?,[],"I know the answer is probably no, since I don't think there's a Wiktionary file for the Romani language, but I thought I'd put the idea out there in case anybody feels qualified to start one..."
rdoeffinger/Dictionary,open,Scroll bar - toggle on or off?,[],"When viewing a dictionary there is a scroll bar on the right that can be used to quickly navigate through the entries. It turns invisible when not in use but it's still there if you touch the area.
But because of this I keep hitting it by accident and then there's no simple (one-click) way to get back to where I was.

I looked in settings but couldn't find a way to turn this off. If there is one please let me know. I'd like to be able to either toggle it on and off or change it to being always visible and not overlaid atop other text. "
rdoeffinger/Dictionary,open,"""speak"" option in Latin-English is incomprehensible",[],"In the LA-EN dictionary, when you long press to get the menu and choose ""speak right side"" (Latin side) the pronunciation sounds garbled.
I suspect it is probably just playing at too fast a speed. Can this be fixed? "
rdoeffinger/Dictionary,closed,Tag 5.4.6 version for F-Droid,[],"Could you please tag the 5.4.6 version, so that F-Droid can build it? (see [here](https://gitlab.com/fdroid/fdroiddata/issues/1231))"
rdoeffinger/Dictionary,open,"""alternative spelling"" in Hebrew > bug or feature? how to turn off?",[],"When I write  **חת**
i receive  results for either **חט** or **הת**. It is evident that QuickDic searches for similar sound:

**ט** sounds like **ת**
**ה** sounds like **ח**

This deature could be great IF the first spelling is **not** found.

But instead, the first results shown are the /alternative/ spellings, where in practice the original spelling should be shown first.

Consequently, I can't find the word at all !
type: **חתול**  --> not shown (it's a super popular word).
search in English:
type **cat** --> found: **חתול**, first result, no problems.

"
rdoeffinger/Dictionary,closed,Translate into simplified Chinese,[],
rdoeffinger/Dictionary,closed,"added German (de) translation for ""browserDownload""",[],
rdoeffinger/Dictionary,closed,Updated de (German) translation,[],Commit made via [Stringlate](https://lonamiwebs.github.io/stringlate/)
rdoeffinger/Dictionary,closed,Corrected some minor typos,[],
rdoeffinger/Dictionary,open,FR: Adaptive icon,"[Label(name=""enhancement""), Label(name=""help wanted"")]","Api 26 introduced adaptive icons where background and foreground are two different images.
https://developer.android.com/guide/practices/ui_guidelines/icon_design_adaptive.html"
rdoeffinger/Dictionary,open,"Returning to a search result with ""back"" button closes app",[],"Hi,
thanks for your app. I use it a lot but there is thing that could be improved:

When I open a german-german dictionary and open ""Salz"" and then tap on a text which is underlined like ""einen Scheffel Salz mit jemandem essen"", it shows a new search with no results. From this view I am not able to get back. If I use the android button to go back the app just closes.

Could you correct it in a way that the app saves the history and brings the user always back to the last view?
![grafik](https://user-images.githubusercontent.com/10437953/35481893-eadc1536-042c-11e8-8164-0d41204f9a1e.png)
![grafik](https://user-images.githubusercontent.com/10437953/35481883-d2a945ba-042c-11e8-9312-029aabd98aba.png)
![grafik](https://user-images.githubusercontent.com/10437953/35481888-dc734ca8-042c-11e8-8d37-a3d3fe78d967.png)"
rdoeffinger/Dictionary,open,Annoying glitch with English-Russian dictionary (QuickDic v 5.4.3 Android 7.0),[],"I noticed that when I use the English-Russian dictionary I get an annoying glitch.
I open QuickDic (installed through F-Droid), open the English-Russian dictionary, search for a word and go back to my phone homepage. There I have F-Droid icon and an opaque square appears around it. 

I tried with another dictionary and everything was fine, so I think the glitch is cause by the English-Russian dictionary.
I don't know if this is a specific issue of the F-Droid version or not, but it would be nice to have it fixed.
Anyone?
update: Forgot to mention that this glitch was present in various version of QuickDic, it is not a recent thing."
rdoeffinger/Dictionary,closed,Add a QuickDic icon and screenshot to F-Droid,[],"I don't know if you directlyupload new version on F-Droid or someone there packages it, but I would like to point out that while the other version (dead and 4yo old!) has a nice icon in F-Droid store, this version does not. Furthermore the new versions of F-Droid support screenshots, therefore it would be nice having a few to show how QuickDic looks like."
rdoeffinger/Dictionary,open,Provide a way to highlight words (QuickDic v 5.4.3),[],"Hi, first of all thank you for the great software, it is very useful and IMHO the best for android. 

I have a small suggestion which would make it easier for people who use QuickDic when they are abroad:
Provide a way to highlight (maybe like bright yellow like Libreoffice or Evince do) the translated word. At the moment (at the least I couldn't find it) there is no way to highlight a word, therefore if you have to show your phone to someone it is not straightforward to show the word in question.

I am using QuickDic v 5.4.3 installed from F-Droid."
rdoeffinger/Dictionary,closed,Update from 5.4.2 to 5.4.3 changed font color,[],"Yes, I am a bit late but I just updated (I use the F-Droid version) and the font color changed from black to grey. The contrast is low and it is hard to read in some situations."
