repository,state,title,label,body
veniosg/Dir,open,Link to Desktop not working ,"[Label(name=""bug""), Label(name=""feature""), Label(name=""good first issue"")]","When using ""Create Link"" nothing happens. That is, I cannot find any shortcut on any of my desktops.

Android 8.0.0, Nova Launcher Prime 5.5.4

Regards, Martin "
veniosg/Dir,open,Keep modification timestamp on copy,"[Label(name=""bug""), Label(name=""question"")]","Hi, it would be nice, if Dir can preserve the file modification timestamp on copy or move"
veniosg/Dir,closed,Black Theme,[],"Pure Black Theme, please."
veniosg/Dir,closed,Password Protect Hidden Files,[],It'd be nice to have a feature where we can protect hidden files with a password or a pin.
veniosg/Dir,open,NullPointerException,"[Label(name=""bug"")]","Reproducing:

1. Navigate to `Storage`. You will find two folders `emulated` and `self`.
2. Long click on `emulated`.
3. Open menu (top-right) and select `Copy`.
4. Click the `paste` button on the top bar.

Affected version:

1.5.6 from F-Droid

```
java.lang.NullPointerException
	at com.veniosg.dir.mvvm.a.c.b.b$a.c(Unknown Source)
	at com.veniosg.dir.mvvm.a.c.b.b$a.a(Unknown Source)
	at com.veniosg.dir.mvvm.a.c.b.b$a.a(Unknown Source)
	at com.veniosg.dir.mvvm.a.c.b.b.a(Unknown Source)
	at com.veniosg.dir.mvvm.a.c.b.b.c(Unknown Source)
	at com.veniosg.dir.mvvm.a.c.b.l.a(Unknown Source)
	at com.veniosg.dir.android.service.CopyService.a(Unknown Source)
	at com.veniosg.dir.android.service.CopyService.onHandleIntent(Unknown Source)
	at android.app.IntentService$ServiceHandler.handleMessage(IntentService.java:66)
	at android.os.Handler.dispatchMessage(Handler.java:102)
	at android.os.Looper.loop(Looper.java:148)
	at android.os.HandlerThread.run(HandlerThread.java:61)
```"
veniosg/Dir,open,"Generate thumbnails for PDFs, Bookshelf view","[Label(name=""feature""), Label(name=""help wanted""), Label(name=""higheffort"")]","I don't know how hard that would be to do, but having icons for PDF files would make your app even better!

Also, a Bookshelf view for downloads would be a neat feature that would push your app far ahead of OI File Manager. Something that resembles iBooks on iOS.

Thanks!"
veniosg/Dir,closed,Create Readme update,[],More info on readme added
veniosg/Dir,open,Show Md5 and Sha256 hashes in details dialog ,"[Label(name=""feature""), Label(name=""good first issue"")]","Show these on the dialog.
Clicking each should copy the relevant hash to the clipboard. "
veniosg/Dir,closed,when I open a picture on dir file manger with simple gallery another image is displayed,[],"
#### Expected behavior
I expected that when I open a picture from Dir file manager with simple gallery I'll be able to view the selected picture

#### Actual behavior
When I perform the action stated above, the gallery app opens another picture.

#### How to reproduce
- download the apps (dir file manager and simple gallery) from fdroid
- launch the app
- allow all permissions if prompted
- open a picture from dir file manager with simple gallery.
- another picture will be viewed
<hr>


* Device:  infinix note 4
* Operating system: android 8.0
* Software version: Dir file manager v1.5.5
Simple Gallery v3.6.0

#### Recording Of The Bug
https://vimeo.com/260931234

<br /><hr/><em>Posted on <a href=""https://utopian.io/utopian-io/@kodeblacc/when-i-open-a-picture-on-dir-file-manger-with-simple-gallery-another-image-is-displayed"">Utopian.io -  Rewarding Open Source Contributors</a></em><hr/>"
veniosg/Dir,open,browsing a folder normally supposed to contain pictures shows folder empty when trying to upload pictures with dir file manager,"[Label(name=""bug""), Label(name=""help wanted"")]","
#### Expected behavior
I expected that if I selected dir file manager as a means to select a picture to upload I will see the pictures I desired to upload.

#### Actual behavior
When I selected dir file manager as my option to browse to browse the picture I wanted, the folder showed empty like there was no pictures in it.

E.g I tried uploading a profile photo on esteem app. I selected dir file manager to select the picture from there, on the folder I had my pictures it kept showing me empty.

#### How to reproduce
- try to upload a picture with an app that will prompt you to be able to select dir file manager as a means to upload. Esteem app preferably 
- select dir file manager and browse folders where your pictures should normally be located
- on dir file manager that folder says it's empty
<hr>

* Device: infinix note 4
* Operating system: android 7.0
* Software version:  v 1.5.3

#### Recording Of The Bug
https://youtu.be/jXl13OLORBs

<br /><hr/><em>Posted on <a href=""https://utopian.io/utopian-io/@kodeblacc/browsing-a-folder-normally-supposed-to-contain-pictures-shows-folder-empty-when-trying-to-upload-pictures-with-dir-file-manager"">Utopian.io -  Rewarding Open Source Contributors</a></em><hr/>"
