repository,state,title,label,body
EvanRespaut/Equate,open,Updated eu (Basque) translation,[],Commit made via [Stringlate](https://lonamiwebs.github.io/stringlate/)
EvanRespaut/Equate,open,Request: clear entire history,[],It would be nice to be able to clear the full history with a single button or from settings. After doing a lot of conversions deleting them one-by-one is too time consuming.
EvanRespaut/Equate,open,"Missing currencies, update API",[],"It seems that quite some currencies disappeared after the update to 1.7. Looking at 1d77ddc8, the reason is the switch to ECB's data which in turn was necessary because Yahoo discontinued its API.

There is a thread concerning this problem and one of the answers suggest using https://openexchangerates.org and others. See https://stackoverflow.com/a/38357848

How about implementing multiple providers with some sort of prioritizing (when a currency is referred in multiple sources).

Letting the user define a custom currency #7 is another approach and useful as well."
EvanRespaut/Equate,open,internet connection timeout,[],"Since some days I detected something not working with currency conversion.

And or gives me ""internet connection timeout"" error
![img_20180913_162750](https://user-images.githubusercontent.com/463429/45510940-11f19580-b772-11e8-9dec-7d2c7c1b080a.jpg)


I tried different networks

I'm using 1.6 version"
EvanRespaut/Equate,open,Affix of Angle Conversions and Viscosity Conversions on Equate,[],"### Proposals

I use Equate on my smartphone. After 3 weeks using this application, I found flaws in the application. So I want to share my opinion and here are my proposals.

* Angle conversions
* Viscosity conversions

Angle conversions: there are several angle units that can be used, namely rad, deg (°), min ('), sec (""), grad and circle.

Viscosity conversions: there are several viscosity units that can be used, namely poise, centipoise, kg/m.s and lb/ft.hr.

### Benefits

Angle units and viscosity units are units that are often used, especially for students in the field of engineering like me. Angle conversions can help users to convert an angle unit into other angle units as needed. Viscosity conversions can help the user to convert a viscosity unit into other viscosity units as needed. Angle conversions and viscosity conversions can facilitate users (especially students) to convert angle units and viscosity units when completing tasks in terms of measurement, practicum and practice questions."
EvanRespaut/Equate,open,Cryptocurrency rates not working,[],"For a few days now, the cryptocurrency rates haven't been working. Any ideas why?

Actually, looking at it, I think all the rates are down.

Thanks"
EvanRespaut/Equate,open,Add option for hPa and fuel weight conversions,[],"Hi,
I miss hPa unit there is only Pa and kPa and mostly pressure is given in hPa it would be more convenient to have hPa.
Also it would be nice to have fuel conversions from liters to kg and such for some types of fuel like 100LL, Jet-A.

Great app!
Thanks."
EvanRespaut/Equate,closed,New logo design for the project,[],"Hello! I want to contribute on your project with making logo design. What do you think about it? 

Best Regards,
Arslan Şahin 
Graphics Designer

"
EvanRespaut/Equate,open,Request: Add decred (DCR) to cryptocurrencies,[],"Can you please add decred (symbol: DCR) to the cryptocurrencies. This blockchain has been around a long time (years) and is currently #41 on CMC.

Thanks"
EvanRespaut/Equate,open,Memory Leak,[],"After a double background-foreground event of the CalcActivity there are in heap memory more instances of:

class com.llamacorp.equate.view.ConvertButton @ 0x12e4f000
class com.llamacorp.equate.view.ConvKeysFragment$2 @ 0x12dfed00
class com.llamacorp.equate.view.ConvKeysFragment @ 0x12c8d400
class com.llamacorp.equate.view.ConvKeysFragment$1 @ 0x12dfec40
class com.llamacorp.equate.view.ConvKeysFragment$3 @ 0x12dfedc0

It should not be like this because the background-foreground events return to the same GUI state and the memory should stay in the same state as well. It could be a symptom of a bad management of the onStart-onStop lifecycle. 

I have encountered this problem on an Android emulator running 7.1.1 os version. 

"
