repository,state,title,label,body
geometer/FBReaderJ,open,Update cs.xml,[],
geometer/FBReaderJ,open,"""Add catalog"" functionality treats server port specification in URLs as part of domain name",[],"I'm not sure if this is the correct place to report this issue, so if not please direct me to the correct place. Hopefully this will reach the FBReader devs.

Adding a custom OPDS catalog manually via the ""Network library -> Add catalog"" interface will fail with error ""Failed to resolve host"" when the server publishing the OPDS catalog does not use the default port for the protocol.

For example, an OPDS catalog accessible at `http://example.com:8080/opds` cannot be added to FBReader because the `:8080` seems to be treated as part of the domain name. Of course, a domain name `example.com:8080` does not exist in DNS, because the `:` separates the domain name from the port number and `8080` is the port number on which the server is listening for incoming requests.

The behavior I expected is that the URL string entered by the user be parsed with port numbers correctly.

Thanks for a wonderful project."
geometer/FBReaderJ,open,Dictionary functions broken,[],"FBReader version: 2.8.12
Android version: 8.0.0

Upon installing FBReader on a new device, several of the dictionary functions no longer seem to work:

- With the translator set to *Dictan*, I'm prompted to install Dictan, and I'm sent to an ""Item not found."" page in the Play Store. I can't seem to find Dictan in the store manually, either.

- With *Google Translate*, the selected word appears in the in-app pop-up by itself with no definition.

- With *Yandex Translate*, I get the same behavior as with Google Translate."
geometer/FBReaderJ,open,yotaphone 2 eink support not working (on lolipop?),[],"Hi

I have a yotaphone 2 with eink display.
I have a menu entry : ""go to back screen"" (I have a french unit)
When I click on it, it says that I have to turn the device to read the book in the back screen.
But it does nothing when I turn the device.
Backscreen remains unchanged.

If I could help debugging this major feature for yotaphone users, it would be nice, but I would need some help. I can try to compile the software if needed.

Thanks!"
geometer/FBReaderJ,open,Feature Request: Exporting bookmarks from an ebook.,[],"Hi,
would it be feasible to implement exporting bookmarks (saved within an ebook) from the ebook?

Thank you,
haw

---
(preserving formats (of whatever) is not needed, I'd say)"
geometer/FBReaderJ,closed,[Feature Request] filter library by complete/incomplete (read/unread),[],This issue should be closed. It is an implemented feature.
geometer/FBReaderJ,open,paragraphs counter ,[],can anyone explain to me how this library counts the paragraphs number ?! and on what HTML tags it depends ?! 
geometer/FBReaderJ,open,"New feature: ability to disable ""upgrade to premium"" prompts outside of Play Store",[],"As a longtime FBReader user who depends on FDroid for my free software applications, I would love the ability to disable the new prompts suggesting that I buy a version from the play store. I would gladly pay for some keycode to enter to turn that prompt off, even if that is the only one of the premium edition's features I can get without using Google's App store."
geometer/FBReaderJ,open,epub book has some same page number,[],"when reading epub book, the app would display some same page，
how to fix this issue? 

Thanks!"
geometer/FBReaderJ,open,android studio version,[],Hi，do you have the version for android studio?
geometer/FBReaderJ,open,Sorted library by authors list,[],"In it's current unsorted state the listing of  authors in FBreader's local library is pretty useless, as finding something in it is near to impossible. I think it has to be made to use alphabetical sorting, just as used in the title listing."
geometer/FBReaderJ,open,Oreo icon shape,[],"Please add support for icon shape
https://developer.android.com/guide/practices/ui_guidelines/icon_design_adaptive.html
https://material.io/guidelines/style/icons.html"
