repository,state,title,label,body
MiCode/FileExplorer,open,Another potential issue for integer overflow,[],"Hi,

Our tool found the following suspicious code in:
`src/org/swiftp/CmdNLST.java`

In Line 35:
`public final static long MS_IN_SIX_MONTHS = 6 * 30 * 24 * 60 * 60 * 1000;` 

Could this be as follow to avoid integer overflow?:

`public final static long MS_IN_SIX_MONTHS = 6 * 30 * 24 * 60 * 60 * 1000L;` 

This might be a trivial thing but I wanted to report just in case.

Thanks!"
MiCode/FileExplorer,open,Potential issue for an integer overflow,[],"Hi,

Our tool found the following suspicious code in:
`src/org/swiftp/CmdLIST.java`

In Line 38:
`public final static long MS_IN_SIX_MONTHS = 6 * 30 * 24 * 60 * 60 * 1000;`

Could this be as follow to avoid integer overflow?:

`public final static long MS_IN_SIX_MONTHS = 6 * 30 * 24 * 60 * 60 * 1000L;`

This might be a trivial thing but I wanted to report just in case.

Thanks!"
MiCode/FileExplorer,open,文件管理器无法对外置的SD卡进行操作,[],当我插上U盘后，在U盘中无法进行删除，新建文件夹，重命名等一系列操作，只等进行读操作，有没有大神指导一下该怎么修改啊
MiCode/FileExplorer,open,适配跟UI 都很差 感觉跟小米的文件管理器差距很大,[],
MiCode/FileExplorer,open,Added Dutch translation folder and files. 100% DONE,[],"Not sure if I need to change or add code to make it actually in the app but the translat
ion is there ;)
"
MiCode/FileExplorer,open,文件删除异常(File delete error),[],"```
10-12 10:53:26.501  11263-21748/net.micode.fileexplorer E/AndroidRuntime﹕ FATAL EXCEPTION: AsyncTask #1
    Process: net.micode.fileexplorer, PID: 11263
    java.lang.RuntimeException: An error occured while executing doInBackground()
            at android.os.AsyncTask$3.done(AsyncTask.java:300)
            at java.util.concurrent.FutureTask.finishCompletion(FutureTask.java:355)
            at java.util.concurrent.FutureTask.setException(FutureTask.java:222)
            at java.util.concurrent.FutureTask.run(FutureTask.java:242)
            at android.os.AsyncTask$SerialExecutor$1.run(AsyncTask.java:231)
            at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1112)
            at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:587)
            at java.lang.Thread.run(Thread.java:841)
     Caused by: java.lang.SecurityException: Permission Denial: not allowed to send broadcast android.intent.action.MEDIA_MOUNTED from pid=11263, uid=10739
            at android.os.Parcel.readException(Parcel.java:1472)
            at android.os.Parcel.readException(Parcel.java:1426)
            at android.app.ActivityManagerProxy.broadcastIntent(ActivityManagerNative.java:2383)
            at android.app.ContextImpl.sendBroadcast(ContextImpl.java:1159)
            at android.content.ContextWrapper.sendBroadcast(ContextWrapper.java:365)
            at net.micode.fileexplorer.FileViewInteractionHub.notifyFileSystemChanged(FileViewInteractionHub.java:591)
            at net.micode.fileexplorer.FileViewInteractionHub.onFileChanged(FileViewInteractionHub.java:1090)
            at net.micode.fileexplorer.FileOperationHelper$4.run(FileOperationHelper.java:218)
            at net.micode.fileexplorer.FileOperationHelper$3.doInBackground(FileOperationHelper.java:164)
            at android.os.AsyncTask$2.call(AsyncTask.java:288)
            at java.util.concurrent.FutureTask.run(FutureTask.java:237)
            at android.os.AsyncTask$SerialExecutor$1.run(AsyncTask.java:231)
            at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1112)
            at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:587)
            at java.lang.Thread.run(Thread.java:841)
10-12 10:53:27.111  11263-11263/net.micode.fileexplorer E/WindowManager﹕ android.view.WindowLeaked: Activity net.micode.fileexplorer.FileExplorerTabActivity has leaked window com.android.internal.policy.impl.PhoneWindow$DecorView{43eeb120 V.E..... R......D 0,0-1026,288} that was originally added here
            at android.view.ViewRootImpl.<init>(ViewRootImpl.java:368)
            at android.view.WindowManagerGlobal.addView(WindowManagerGlobal.java:249)
            at android.view.WindowManagerImpl.addView(WindowManagerImpl.java:69)
            at android.app.Dialog.show(Dialog.java:286)
            at net.micode.fileexplorer.FileViewInteractionHub.showProgress(FileViewInteractionHub.java:109)
            at net.micode.fileexplorer.FileViewInteractionHub.access$900(FileViewInteractionHub.java:65)
            at net.micode.fileexplorer.FileViewInteractionHub$7.onClick(FileViewInteractionHub.java:615)
            at com.android.internal.app.AlertController$ButtonHandler.handleMessage(AlertController.java:166)
            at android.os.Handler.dispatchMessage(Handler.java:102)
            at android.os.Looper.loop(Looper.java:136)
            at android.app.ActivityThread.main(ActivityThread.java:5047)
            at java.lang.reflect.Method.invokeNative(Native Method)
            at java.lang.reflect.Method.invoke(Method.java:515)
            at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:793)
            at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:609)
            at dalvik.system.NativeStart.main(Native Method)
```
"
MiCode/FileExplorer,open,android studio,[],"浩南，个人建议后期的版本可以迁移到android studio 上去，现在谷歌官方都已经舍弃eclipse开发了，只是个人想法，具体还看你们怎么做了？
"
MiCode/FileExplorer,open,The functions of delete and cut has error.删除，粘贴 等功能报错，大家存不存在这个问题？,[],"E/AndroidRuntime(2925): java.lang.RuntimeException: An error occured while executing doInBackground()
"
MiCode/FileExplorer,open,Search Bar,[],"I wanna add on this APP the SearchBar , i think it's will be a good idea , and it's verry essential .
so i need your confirmation to begin . 
"
MiCode/FileExplorer,open,Add traditional Chinese translation,[],
