repository,state,title,label,body
wdkapps/FillUp,open,csv import : spliting the csv line didn't include empty notes,[],"when importing a csv, spliting lines didn't include/consider empty notes on the list and so it loaded the line using the pre v5 model for v5 data bases export

solves #42 "
wdkapps/FillUp,open,in csv import : spliting the csv line didn't include empty notes,[],"when importing a csv, spliting lines didn't include empty notes on the list and so it loaded the line using the pre v5 model for v5 data bases export"
wdkapps/FillUp,open,Unable to import log on android 5 without menu button,[],In latest client available on fdroid 1.7.2 it is not possible to import csv.
wdkapps/FillUp,open,Migrate project to Android Studio/Gradle build,[],"To keep up with Android Development, consider migrating the project to Android Studio with a Gradle build. I'd love to see some Material Design in the project too, but that's just a wish list item. 
"
wdkapps/FillUp,open,Latest Version Not Available,[],"This repository was last updated in Mar 2015, yet the latest version of the app was [released](https://play.google.com/store/apps/details?id=com.github.wdkapps.fillup&hl=en) on the Play Store in July 2015.
"
wdkapps/FillUp,closed,csv import failed,[],"exported log to csv on phone_1
copied csv to phone_2
tried to import csv into empty log on phone_2
message ""canceld"" appears no data in log

version number on both phones is 1.7.2
downloaded from f-droid.org store
"
wdkapps/FillUp,closed,spliting the csv line didn't include empty notes,[],"when importing a csv, spliting the line didn't return empty notes fields in the string list and so it loaded the line using the pre v5 model for v5 data bases export.

Great app by the way
"
wdkapps/FillUp,open,Prompt for Log entry delete should be more clear,[],"Wanted to delete Log entry but I worried that meant the whole thing so I exported before deleting.  

Maybe a more explicit dialog would be less scary such as ""Do you want to delete this single entry?"" or something like that. 

And if there is functionality to delete the whole log, then an associated explicitly, worded dialog might be helpful (with an ""are you sure?"").

1xxxxxxx miles, entered on dd/mm/yyyy or mmm, dd, yyyy or whatever format is appropriate (localization?)

Do you want to delete this Log Record?
"
wdkapps/FillUp,open,translation to finnish lanquage,[],"hey!

I made a app translation to finnish lanquage.
Hope its ok.

erauti 
"
wdkapps/FillUp,closed,Czech translation for FillUp,[],
wdkapps/FillUp,closed,Russian localization,[],
wdkapps/FillUp,open,Save active vehicle into settings.,[],"If you restart the application, on the list is always active the first element. I fixed this.
"
wdkapps/FillUp,open,Option to multiple types of fuel,"[Label(name=""enhancement"")]","Hi, congratulations for the great app!
It can be consider to add multiple fuels types on the fuel entry? Here in Brazil we commonly have two or three types of fuel: gasoline, ethanol and gas. Most cars are flex powered engines, so this feature would be a great improvement.
"
wdkapps/FillUp,open,diagrams and statistics not working for old dates,"[Label(name=""enhancement"")]","I entered data of an old car I once possessed, this was in 2002. Now, when I take a look at the diagrams it shows the years from 1970 up to 2014, however there's nothing drawn inside. Also the year range 1970-2014 is illogical, it would be reasonable to offer only the ranges where some data is present (i.e. 2002-2003). The same ist valid for the statistics, I can see only empty data for 2013 and 14 (the car has long been sold, so in fact there is no data), but no data for 2002 when I used the car is printed. So, for old data the diagrams and statistic functions are rather useless, that's a pitty but maybe you could fix this?

Regards

Don
"
wdkapps/FillUp,open,Don't require odometer readings for partial fills,"[Label(name=""enhancement"")]","What I'd like is the option to not enter an odometer reading if I'm not filling the tank. Here's an example:

I'm in a hurry and just need a little extra gas. I add a couple gallons, snap a picture of the gas pump, and I'm off. Later, I fill up, and record the odometer. The mileage should be the difference between this full tank's odometer and the last full tank's odometer divided by how much gas I put in this time plus that little splash I did earlier.

It seems to me the mileage should be computed between tankfuls. I can't see what is gained computationally by recording the odometer from just a couple gallons added.

To clarify my suggestion: if I don't check ""Tank Full"", then don't consider blank an invalid odometer value. It won't be used for computation, so has no real use.
"
wdkapps/FillUp,open,No calculations because Tank Full not checked,"[Label(name=""enhancement"")]","Hi William,

I am using your fillup for two cars, mine and my wife and I like it very much.

I had one small problem and it told me after the first time it will calculate ..... the second time.
But after the second time the same message.
After the third time I decided to check your website and found in FAQ the problem I did not mark Tank Full.

I saw also more persons encountered this problem, so I have two suggestions:

First:
In the text after the first time it will calculate after the second time, add do not forget to fill Tank full!

Second:

Change the layout of the Add fuel menu, see attachment.
In this case it forms better part of the fill out information.

Thanks again for this app

![fulltank](https://cloud.githubusercontent.com/assets/3194980/4175543/7e39a706-35d9-11e4-86f6-b6e1099d4034.png)
"
wdkapps/FillUp,open,Units as a vehicle setting,"[Label(name=""enhancement"")]","Auto-translated from Spanish
Excellent It would be good for each vehicle independent units as miles or kilometers are handled not only a measure for all vehicles each have two miles and the other with miles Show original review

Settings limited Ones u do setting for one vehicle that remains for All. I want gallon for one n litre for another. Not suitable for multi vehicle of different type. Very good for single vehicle.
"
wdkapps/FillUp,open,Month labels on plots get clipped,"[Label(name=""bug"")]","Just a request to make the months plot clearer. I can only see top half not the full text display.
"
wdkapps/FillUp,closed,Fuel cost per mile calculation is incorrect,"[Label(name=""bug"")]","Hello,
I find your app very useful but I feel that you are using the wrong method to determine  fuel cost per mile. I have been an owner operator truck driver for over 20 years and the way I have always calculated and the way I was taught  Is that you divide the cost per gallon by the miles per gallon. The method you use is only utilizing the current miles driven so you end up with an inflated cost.
Other than that I love your app and will continue to use it and recommend it to other drivers. Thanks for the good work.
Gary
"
wdkapps/FillUp,closed,Fuel ecomony -> fuel economy (typo),"[Label(name=""bug"")]","In version 1.5 there are a bunch of similar typos. Would be nice to have them fixed.
"
wdkapps/FillUp,open,Option to use trip miles instead of odometer.,"[Label(name=""enhancement"")]","User review: Overall, a good app, but would be better with the option to use trip miles instead of odometer.
"
wdkapps/FillUp,open,Add maintenance logging/reminders,"[Label(name=""enhancement"")]","A user requested: I have recently downloaded your gas mileage tracker and I like it very much. It would be awesome if there could be a notification/ reminder  and a log to track oil changes. Just an idea......thanks
"
wdkapps/FillUp,closed,Add cost per mile stats,"[Label(name=""enhancement"")]","From a review: 
Would like to see ""cost per mile"" for each fill up and overall average per month and total overall recorded. Other wise this is a great app. Easy to use.
"
wdkapps/FillUp,closed,java.lang.IllegalArgumentException,"[Label(name=""bug"")]","java.lang.RuntimeException: Unable to start activity ComponentInfo{com.github.wdkapps.fillup/com.github.wdkapps.fillup.GasRecordActivity}: java.lang.IllegalArgumentException: Unsupported ISO 3166 country: es
at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2205)
at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2255)
at android.app.ActivityThread.access$600(ActivityThread.java:146)
at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1240)
at android.os.Handler.dispatchMessage(Handler.java:99)
at android.os.Looper.loop(Looper.java:137)
at android.app.ActivityThread.main(ActivityThread.java:5171)
at java.lang.reflect.Method.invokeNative(Native Method)
at java.lang.reflect.Method.invoke(Method.java:511)
at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:797)
at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:564)
at dalvik.system.NativeStart.main(Native Method)
Caused by: java.lang.IllegalArgumentException: Unsupported ISO 3166 country: es
at java.util.Currency.getInstance(Currency.java:81)
at com.github.wdkapps.fillup.Utilities.getCurrencySymbol(Utilities.java:76)
at com.github.wdkapps.fillup.GasRecordActivity.onCreate(GasRecordActivity.java:99)
at android.app.Activity.performCreate(Activity.java:5200)
at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1080)
at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2169)
... 11 more

Last reported
Jan 20 1:58 PM
Reports this week
1
Reports total
1
Application version

1.5
1
Device

LG G2 (g2)
"
wdkapps/FillUp,closed,Import File Location,"[Label(name=""enhancement"")]","I'm trying to import the .cvs file on my Samsung S3 from another device, and my samsung is not finding the cvs file when I go to import. It seems to not give an option to browse for the file, and points to an emulated file location.
"
wdkapps/FillUp,open,Online data storage or sync,"[Label(name=""enhancement"")]","Hi great app, i'm loving it so far. I do have one request though would it be possible to have the data stored automatically in a google drive or skydrive folder so i can sync data with my wife who might also be filling up the car. Ie work off the csv file but be able to choose where it's stored.

I realise this is a big request but maybe for a future release.
"
