repository,state,title,label,body
seizonsenryaku/HayaiLauncher,closed,Active Development?,[],"Hey, just curious to see if the app is stilll in active development. I'd love to contribute but I haven't seen any recent commits so I figured I'd check before forking or submitting PRs :)

Cheers"
seizonsenryaku/HayaiLauncher,closed,Feature request: direct open of last remaining app,[],"Option to directly open the last remaining app while searching
Would make the starting process much easier"
seizonsenryaku/HayaiLauncher,closed,Make gradlew executable,[],
seizonsenryaku/HayaiLauncher,closed,Landscape,[],"Hello! I've been commenting recently on a couple of issues, specifically, this branch should fix #103, #93  and #67, and hopefully not break too many unrelated things. This probably fixes #86 as well, I'm not quite sure what was going on with that issue. I intend to be responsive to any issues that arise, time permitting. That said, I've tested it under emulation for API 15, which works fine, and on my tablet, and my phone.

Thanks!"
seizonsenryaku/HayaiLauncher,open,Search field remains focused after keyboard is hidden,[],"given: search field is focused and keyboard is opened
when: I hide the keyboard
expect: search field loses focus, cursor doesn't blink in the search field
actual: cursor blinks in the search field
"
seizonsenryaku/HayaiLauncher,open,Option to reverse order,[],"Could be useful an option to reverse the list, so that the most used or recent is at the bottom instead of the top, closer to the home button."
seizonsenryaku/HayaiLauncher,open,request: add software function to restart launcher.,[],"I,for ROM modification, testing reasons, deleted Settings.apk. There is only one launcher installed - HayaiLauncher. And when i go to settings from arrow menu of launcher, it crashes. Could you write code to restart the launcher, if Settings.apk is not present. Or could you make it pop out a window, that says ""Settings.apk is not functioning properly"" and go back to launcher."
seizonsenryaku/HayaiLauncher,open,Tags,[],It would be nice to tag some apps then search by tag (just like KISS launcher does).
seizonsenryaku/HayaiLauncher,open,FR: allow to hide the names of the applications,[],Maybe with an exception for one's which don't have an icon set.
seizonsenryaku/HayaiLauncher,open,Apps On sdCards show up (fix of #89),[],"I added a receiver that catches sdCard mounts on boot and during runtime. 
This fixes Issue #89.

## To test the functionality:
1. Move a app to sdCard 
2. Eject sdCard
3. Reboot
4. App should not be visible
5. Mount sdCard
6. App should turn up after a minute or so

## or:
1. Move a app to sdCard
2. Reboot
3. App should be visible after a minute or so
"
seizonsenryaku/HayaiLauncher,open,request: search bar at the bottom,[],"search bar at the bottom, its more natural to the finger as they travel less from the keyboard"
seizonsenryaku/HayaiLauncher,open,Web-apps that have been added to homescreen do not appear in the list of apps,[],"First of all, thank you very much for this really great launcher.

I am not sure if this is a feature or a bug but if I do ""Add to homescreen"" in Chrome browser menu, the web app does not appear in the list of apps. Under other launchers it appears on the home screen as an icon which is launched full screen.

https://developer.chrome.com/multidevice/android/installtohomescreen

http://www.initlabs.com/sample/ios7mobileweb.html

Thanks again."
seizonsenryaku/HayaiLauncher,open,Option to only display pinned apps,[],I want only a few app icons visible when no search has been done. Could you please add an option to only show the pinned apps?
seizonsenryaku/HayaiLauncher,closed,Update Polish translation,[],"Where is used ""pref_basetheme""?"
seizonsenryaku/HayaiLauncher,open,Grid size,"[Label(name=""enhancement"")]","I would like an option to change grid size. 
On a 5''+ screen I would use 5 items per row.
"
seizonsenryaku/HayaiLauncher,open,Custom order for app grid,"[Label(name=""enhancement"")]","It would be great to have an App order mode ""Customized"", where the user choses the order of the apps shown. I know there's an option to ""Pin to Top"", but sometimes I use an app a few times in a row and never again, but it gets further up in the grid than I'd like it to. Also, when I pin them to top, if I'm not in alphabetic order mode, they still change position depending on the use, and it'd be great to just have them pinned in their position no matter what.

Thanks for the great work, by the way :)
"
