repository,state,title,label,body
Xlythe/HexGame_Android,closed,Crash after completing a game and hitting 'New Game',[],"08-03 09:27:43.607  9093  9093 E AndroidRuntime: FATAL EXCEPTION: main
08-03 09:27:43.607  9093  9093 E AndroidRuntime: Process: com.sam.hex, PID: 9093
08-03 09:27:43.607  9093  9093 E AndroidRuntime: java.lang.NullPointerException: Attempt to invoke virtual method 'android.graphics.Paint android.graphics.drawable.ShapeDrawable.getPaint()' on a null object reference
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at com.sam.hex.view.SelectorLayout.onDraw(SelectorLayout.java:187)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.View.draw(View.java:20207)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.View.updateDisplayListIfDirty(View.java:19082)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.View.draw(View.java:19935)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.ViewGroup.drawChild(ViewGroup.java:4333)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4136)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.View.updateDisplayListIfDirty(View.java:19073)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.View.draw(View.java:19935)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.ViewGroup.drawChild(ViewGroup.java:4333)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4112)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.View.updateDisplayListIfDirty(View.java:19073)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.View.draw(View.java:19935)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.ViewGroup.drawChild(ViewGroup.java:4333)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4112)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.View.updateDisplayListIfDirty(View.java:19073)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.View.draw(View.java:19935)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.ViewGroup.drawChild(ViewGroup.java:4333)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4112)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.View.updateDisplayListIfDirty(View.java:19073)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.View.draw(View.java:19935)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.ViewGroup.drawChild(ViewGroup.java:4333)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4112)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.View.updateDisplayListIfDirty(View.java:19073)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.View.draw(View.java:19935)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.ViewGroup.drawChild(ViewGroup.java:4333)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4112)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.View.draw(View.java:20210)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at com.android.internal.policy.DecorView.draw(DecorView.java:780)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.View.updateDisplayListIfDirty(View.java:19082)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.ThreadedRenderer.updateViewTreeDisplayList(ThreadedRenderer.java:686)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.ThreadedRenderer.updateRootDisplayList(ThreadedRenderer.java:692)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.ThreadedRenderer.draw(ThreadedRenderer.java:801)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.ViewRootImpl.draw(ViewRootImpl.java:3312)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.ViewRootImpl.performDraw(ViewRootImpl.java:3116)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.ViewRootImpl.performTraversals(ViewRootImpl.java:2485)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.ViewRootImpl.doTraversal(ViewRootImpl.java:1460)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.ViewRootImpl$TraversalRunnable.run(ViewRootImpl.java:7184)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.Choreographer$CallbackRecord.run(Choreographer.java:949)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.Choreographer.doCallbacks(Choreographer.java:761)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.Choreographer.doFrame(Choreographer.java:696)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.view.Choreographer$FrameDisplayEventReceiver.run(Choreographer.java:935)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.os.Handler.handleCallback(Handler.java:873)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.os.Handler.dispatchMessage(Handler.java:99)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.os.Looper.loop(Looper.java:193)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at android.app.ActivityThread.main(ActivityThread.java:6669)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
08-03 09:27:43.607  9093  9093 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:858)
"
Xlythe/HexGame_Android,closed,Is play-services a hard dependency?,[],"Is the google play service a hard dependency or can it be removed without braking the app?
"
Xlythe/HexGame_Android,closed,German translation,[],
Xlythe/HexGame_Android,open,Write unit tests,[],"Things should really be unit tested
"
Xlythe/HexGame_Android,closed,Add chatting to net games,[],"Add a fragment for chatting during net games
"
Xlythe/HexGame_Android,open,"Let users decide on the board size in net games (as well as swap, timer, etc)",[],"Net games default to 7x7, swap enabled, etc. Fix it.
"
Xlythe/HexGame_Android,open,Optimize Bee,[],"Bee is slow. Optimize by reusing objects (remove the calls of ""new"" in loops), cutting off branches that are dead ends, and anything else that would make the process faster (without losing much accuracy).
"
Xlythe/HexGame_Android,closed,Dev,[],
Xlythe/HexGame_Android,closed,Update /res/values-ru/,[],"Fixed russian translation.
"
Xlythe/HexGame_Android,closed,pulled this latest update to the code,[],"stabilize if you can and will be our stable branch. Whenever we are ready for a new stable branch will send a pull request the same way. I just did
"
