repository,state,title,label,body
nolanlawson/KeepScore,open,Crashing in Android 9 (Pie),[],"Updated to Android 9 (Pie) today. When I ran KeepScore for the first time Android warned that it's built for an older version and may not work in 9. Started a new 8 player game and KeepScore kept crashing on round 5. Rebooted phone, still got crashes."
nolanlawson/KeepScore,open,Bottom row buttons missing,[],"When adding more than 2 players into a game, the 4 buttons below each player dissapear. 
I have a couple of devices with high resolution capability and the issue is the same on all devices.  (They all have 16/9 aspect ratio) I have found that this is no issue on devices with 16/10 aspect ratio and even low resolution works fine. 
On a rooted low resolution device I was able to change the AR and ""fool"" keep score to work the way I wanted. Of course the screen is not looking very good , and is all blurry.
Would be great if some competent person could fix this ""bug""! Unfortunatley I dont have the required skill.  "
nolanlawson/KeepScore,open,Spanish translation,[],"This is my contribution to improve the app. It is the spanish translation. It is my first time using Git, so I hope that everything is ok!
"
nolanlawson/KeepScore,open,Two strange/buggy behaviours in long press popup entering negative values,[],"First: great app, love it
My environment: sony z1 compact (1280x720), android 5.1.1
I'm a programmer myself and if I had the time I would try to support this project. But in this case I'm only a User giving feedback.
(Perhaps it would be better to handle the following as two seperate issues.)

1) Popup buttons disappear when textfield gets negative.

When the popup shows I can see a textfield with a ""0"" in it and the configured buttons. When I press a button with a negative value the textfield shows the value, but all four buttons disappear. That happens always in that moment when the value in the textfield gets negative (e.g. press +5 once and 6 times -1). The space to the right of the textfield blanks out.

2) Android number keyboard does not show the value of the popup textfield.

When the popup shows the textfield shows a selected ""0"". When I click on the textfield the android number keyboard shows up fullscreen (no calculator: just buttons for digits, period, comma, minus (probably for unary reasons), space (I don't know what's that for), backspace, ""GO"" and its own textfield). It shows the ""0"", not selected and with the cursor on the left or right side depending on the touchclick I made on the popup textfield.
When I press ""-"" while the cursor is on the right side the ""-"" is not shown! But ""internal"" it is there because when I press OK a popuperror says ""invalid calculator entry"" and if I use the back button the ""0-"" is shown in the textfield of the popup (and the buttons disappeared (see 1). And if I press backspace the internal ""-"" is deleted with nothing happening in the keyboard textfield, the second backspace deletes the ""0"".
The Problem seems to be that the android number keyboard does not show every input. Probably if it thinks that this character does not lead to a valid number. But ""0-"" would be a valid term if another digit followed: ""0-2"". And this works: starting with ""0"" and cursor to the right keyboard, pressing ""-2"" shows ""02"" in the keyboard (wrong) and when I press OK the app counts ""-2"" (correct ""0-2""). So the number keyboard accepts and shows only valid numbers but still sends the ignored characters to the popup textfield and by pressing OK the app evaluates the textfield as a term.
I tested some more values. They all lead to that conclusion.

I hope you can verify that behaviour in other environments since that wouldn't mean that the sony z1c users are alone with this problem.
"
nolanlawson/KeepScore,open,Support for fractional points?,[],"I wanted to add buttons for +0.5 and -0.5 points, but the app seems to support integers only.
"
nolanlawson/KeepScore,open,No way to input 0 score for a round.,[],"If you don't input a change of score for a player in a round, instead of skipping that round they just end up a round behind from now on. In other words, the round breakdown is always the same as the player breakdown.
"
nolanlawson/KeepScore,open,Type points ,[],"Great app, but it would be great, if it is possible to type new points, and then click add. For games like canasta is it really stupid to klick on +10 and so on, because you will get points over 1000.
"
nolanlawson/KeepScore,open,add russian translate,[],"add russian translate
"
nolanlawson/KeepScore,open,missing features,[],"Hi,

great app for scoring - I need two features:
1. round-based scoring with negativ score-calculation:
   we are playing cards with 4 players and 32 games
   each game has 1 to 3 winners and the others are the loosers
   the scores of the winner are negativ divided / multiplied to the loosers, eg:
2. one winner 6 points => 3 loosers with -2 points
3. three winner 3 points => 1 looser with -9 points
4. two winners 4 points => two loosers with -4 points
   so it would be easy to
5. select winner(s) and entering the score => calculate the other results
6. marker(s) for the players
   each player has to play one ""solo-game"" withing the 32 games;
   so we need a merkes, which player has already played his ""special"" game
   (e.g. reversing the players name or something like that)
"
nolanlawson/KeepScore,open,Constructing a development environment.,[],"(Back from vacation, renewing my attempt to become a contributor)

To recap:  I can now build the original maven project and deploy it directly to my android device.  I'd like to upgrade this to a modern IDE where I can deploy and debug on a simulator from my windows desktop.  I'm trying to construct an eclipse based project.  And I'm down to two tantalizing errors.

Description Resource    Path    Location    Type
dependency=[com.actionbarsherlock:actionbarsherlock:apklib:4.2.0:compile] not found in workspace    pom.xml /keepscore  line 1  me.gladwell.eclipse.m2e.android.markers.dependency.apklib

error: Error retrieving parent for item: No resource found that matches the given name 'Widget.Sherlock.Light.ActionBar.TabText'.   styles.xml  /keepscore/res/values   line 16 Android AAPT Problem

---

Or as an alternative, tell me what  development environment I should use
"
nolanlawson/KeepScore,open,Configuring eclipse,[],"I'm trying to configure KeepScore to build using eclipse, with maven plugin, and the
external actionbarsherlock project.  I'm not quite there; the build step go generate com.nolanlawson.keepscore.R isn't working.

If one of you contributors could spare time for a short consultation, I'm sure I can get
in business.  I'm very familiar with Java and Eclipse, but not with the android tools.
"
nolanlawson/KeepScore,open,Fix failed typecast,[],"Pull Request for Issue https://github.com/nolanlawson/KeepScore/issues/85

For the love of all that is good, test this first! I cannot, and thus I am just running with what the javadocs + error has told me.

If it fails, try casting to (SpannableString) instead
"
nolanlawson/KeepScore,open,Crash on too many rounds,[],"I still get a crash when I have enough rounds such that the numbers would drop off the bottom of the list (probably require scrolling).

I have reported the error, it gives a ClassCastException in widget.AutofitTextView.onMeasure;

It states that SpannableString cannot be cast to SpannedString.

My guess is this occurs on line 65:

ForegroundColorSpan[] foregroundColorSpans = ((SpannedString) getText()).getSpans(startOfLastLine + 1, cutoffIndex, ForegroundColorSpan.class);

as this is the only place a cast of this type occurs.

This could be fixed by instead casting to the interface (Spanned). This interface is also the interface for SpannedString anyway, so it should make no difference if this is NOT the problem. This is, however, the preferred way of dealing with casting variables in Java. Whenever possible, one should cast to the interface rather than the implementation (unless you need it). This is why you regularly see things like the following:

List myList = new ArrayList();

rather than

ArrayList myList = new ArrayList();

The Android Javadocs also state that getText() can be cast to either Spannable or Editiable (not SpannedString) depending on how it was set.

---

All in all, even if this isn't a bug I believe it should be changed. Though I do believe it is the bug I am experiencing.
"
nolanlawson/KeepScore,open,"Put invocation to ""findGameById"" into AsyncTask in GameActivity.java?",[],"Dear Developers of KeepScore,

I'm a Ph.D. student and I'm doing research on improving performance 
for Android apps.

I find that in KeepScore, there is a method
""GameDBHelper.findGameById"" which accesses database. In most cases,
you put the invocation of this method into AsyncTask to improve responsiveness.
(For example, in ""findGameFromGameSummary"", ""exportToSpreadsheet"",
""saveBackup"" methods of ""MainActivity"" class).

But in GameActivity class, ""onCreate"" method invokes ""createGame"" at
line 124, which also eventually invokes ""GameDBHelper.findGameById"" at line
473. I'm whondering why don't also put this invocation of ""findGameById"" 
into background thread? Is there any specific reason that prevent you 
to use AsyncTask here?

Thanks,
Yu
"
nolanlawson/KeepScore,open,Keyboard partially hidden on Nexus 5 with Android 4.4.4,[],"Never seen this before. Cyanogenmod btw.

![keepscore](https://cloud.githubusercontent.com/assets/283842/4606462/65f52f50-521f-11e4-9dc6-cdcec3e1f305.png)
"
nolanlawson/KeepScore,open,Keepscore app bug report,[],"Love the app, I have found one bug though. 

When you press and hold a score button to put in a custom score, typing in a number to add to the score ends up adding twice that number to the score instead of the number you wanted. 

This is on an android phone with the version of the app available in Google play on 10/12/2014
"
nolanlawson/KeepScore,closed,Needs ability to edit player names in-game,[],"Seriously, it does
"
nolanlawson/KeepScore,open,More than 30 players,[],"Needs more than 30
"
nolanlawson/KeepScore,closed,Timestamp format,[],"Hi !
How can i convert the <historyTimestamp> into seconds ?
(what is the format of the Timestamp ?)

thanks :P
"
nolanlawson/KeepScore,open,Dark theme should make it dark everywhere,[],
nolanlawson/KeepScore,open,"Idea: integrate with contacts, show profile picture","[Label(name=""feature"")]","Profile pictures would be awesome!
"
nolanlawson/KeepScore,closed,Delta calc: Only hide the +/- buttons when typing an equation,[],"This addresses a comment left in a [review](https://play.google.com/store/apps/details?id=com.nolanlawson.keepscore&reviewId=Z3A6QU9xcFRPSGRGb05FVXI3SHlMYlJQVVhReEJhTXlSRzl0SUZEUEtjS0YxeTljT1JnWE0zckdKVDlUdEs2T1NFWVBfaktpcXVfblUwRUZjMlFLMEV2dGc&hl=en).

>  The ""pop-up buttons"" shouldn't disappear after you press one. You should be able to keep hitting them until you get the value you want. It's a pain only getting to hit them once each time.

With this change, the increment buttons are now only hidden after the user types one of `+-*/` into the text box.
"
nolanlawson/KeepScore,closed,User data is lost on KitKat,"[Label(name=""bug"")]","Apparently Google silently [disabled reading/writing to the SD card in Android 4.4](http://www.gottabemobile.com/2014/02/22/samsung-galaxy-s4-note-3-android-4-4-problem-hits-micro-sd-card/).  So now the entire backup/restore feature is broken and I need to fix it.  Thanks, Google!
"
nolanlawson/KeepScore,closed,Add calculator functionality to delta popup text field,[],"When you open the delta popup (long-press on <kbd>+</kbd>/<kbd>-</kbd>), on larger devices like the Nexus 7, the keyboard shows a set of calculator-like buttons:

![screenshot_2014-02-20-01-12-02](https://f.cloud.github.com/assets/354349/2215623/1e3e1842-99f7-11e3-8f7a-d0cfd028d9a2.png)

This PR puts those buttons to work and allows you to do some basic math inside the dialog.  For example, you can type `37+3+75+3*2-21` into the edit field, and when you press <kbd>=</kbd> (or tap the dialog's OK button), the field is automatically updated with the answer &ndash; in this example, 100.

This is especially useful in games where you must add up an arbitrary number of points that range from 1 to 100 to reach the player's score for the round.

The entered expression is evaluated with [exp4j](http://www.objecthunter.net/exp4j/), and things like order of operations and parentheses are properly respected.

I've also made two other tweaks:
- When you start typing in the input field, the other buttons are hidden and the input field is resized to fill available width.  This makes it easier to see longer expressions.
- I've wired up the soft keyboard's return button to accept the dialog &ndash; I find it's quicker and easier to hit that button than the OK button of the dialog for some reason.
"
nolanlawson/KeepScore,open,"App continues to ""stop"" after going thru entering names.",[],"I have a Samsung Galaxy III and when I first acquired the app it worked fine.  Then it started the ""stop"" msg ...unfortunately Keep Score has stopped.  I would reboot phone and that solved problem, now I can reboot AND I have reinstalled...now won't get off message.
I really like the app. I will not post this on Google Play as I like to work with people before I condemn.
Thank you for any help.
"
nolanlawson/KeepScore,closed,description-he.txt,[],
nolanlawson/KeepScore,closed,version_and_credits.htm,[],
nolanlawson/KeepScore,closed,dimensions.xml,[],
nolanlawson/KeepScore,closed,strings.xml,[],
nolanlawson/KeepScore,closed,Update strings.xml,[],"missing translations added
"
