repository,state,title,label,body
xbmc/Kore,open,[bug/feat] Trunicated title information?,[],"To amend Fix https://github.com/xbmc/Kore/commit/da90f92ddcb6743249ca0387b88989c7b298524d instead of trunicating long titles, please have the main remote title scroll the title back/forth horizontally while a video is playing. As some local media does have very long title information, especially episode numbers in a series is impossible to read. 

Please provide some way to either view the entire title, or scroll the title information that will make key information be presentable such as the episode numbers. 

-Thank you. "
xbmc/Kore,open,add addon search,[],"This pr adds a generic search function that should work for every addon that has a search function.

The current behavior of the search buttons in the addons view is nothing but a socket timeout and a not responding app during everlasting reconnections when using tcp connection.

The problem with the addon search is that it is actualy a `GetDirectory` request. But to obtain search results a text input have to be done. To do so you have to send the search string to the backend. But because of `Socket.getOutputStream()` blocks a request for sending until the response of the previous request is received the search string is sent via http as workaround (to overcome this nio channels could be used in the future).

There is also a fallback implementation to prevent socket timeouts and possible reconnection difficulties. This fallback sends a dummy string to the backend to force the response of the search request. The ugly thing is that this dummy string shows up in the addon history."
xbmc/Kore,open,Connection problem when search,[],"When I start a New search from Kore within any plugin via ""Content"" tab (Youtube for example), the keyboard appear on screen but not the Send text"" pop-up on Kore. Then if I'm going to the remote I have a connection problem.

In contrast, it works well when I'm using Kodi. The pop up appear on Kore. 

Kore 2.4.4
Libreelec 8.2.5 (Kodi 17.6)"
xbmc/Kore,closed,Update issue template to make the debug log optional,[],
xbmc/Kore,closed,Slovenian locale,[],Minor fixes
xbmc/Kore,closed,Added Slovenian translation,[],
xbmc/Kore,closed,Merge pull request #1 from xbmc/master,[],Fix back button not exiting the app when on the remote activity
xbmc/Kore,open,Adding IMDB rating to movies tab,[],"It would be nice to see, in the movies tab, the imdb rating of the movie next to the duration and year. See also this link to the Kodi Remote forum: [Link](https://forum.kodi.tv/showthread.php?tid=337193&pid=2788937#pid2788937) .Here you can see a picture what I have in mind. Probably best to use numbers like 7.4 or 4.2 etc.... and not use stars.

![kore](https://user-images.githubusercontent.com/30314086/48027073-099d5180-e148-11e8-822d-0c310a93ddbf.png)

"
xbmc/Kore,open,Cannot create new connection to kodi on Libreelec,[],"Hi

When I try to create new connection to Libreelec box (8.2.5, with kodi 17.6) from kore (v 2.4.4), and click ""Test"" button, I get ""Can't connect to Kodi/XBMC. Please check configuration"" message and the host is not added.
I tested same configuration (ip, port, username and password) with yatse on same device and it works, so I think it's not a network or kodi configuration problem. Indeed, I can ping kodi host from android device, telnet to port 80 and 9090 works (can establish connection).

I did a tcpdump on my router while trying to add the host and this is what I found:
### Kore->Kodi
```
POST /jsonrpc HTTP/1.1
Content-Type: application/json; charset=utf-8
Content-Length: 49
Host: 192.168.2.82
Connection: Keep-Alive
Accept-Encoding: gzip
User-Agent: okhttp/2.3.0

{""jsonrpc"":""2.0"",""method"":""JSONRPC.Ping"",""id"":25}
```

### Kodi->Kore
```
HTTP/1.1 401 Unauthorized
Content-Length: 0
Connection: close
WWW-Authenticate: Basic realm=XBMC
Date: Tue, 25 Sep 2018 23:07:19 GMT
```

It seems kore forgot to send basic authentication to kodi (I'm sure i filled the fields on the kore gui). I tried to do a similar request in python but with basic auth and I got:

```
>>> import requests as r
>>> rr=r.post('http://192.168.2.82/jsonrpc', auth=('username,'password'), json={""jsonrpc"":""2.0"",""method"":""JSONRPC.Ping"",""id"":25})
>>> rr.content
b'{""id"":25,""jsonrpc"":""2.0"",""result"":""pong""}'
>>> rr.status_code
200
```
"
xbmc/Kore,closed,Update strings.xml,[],Add new string translation
xbmc/Kore,closed,Fix PVR bottom bar shortcut behavior,[],Fixes #587
xbmc/Kore,closed,[docs] Add Github issue templates,"[Label(name=""enhancement"")]","This adds some issue templates that github can use so users have some guidance on how to fill in the correct information needed.
If user clicks on ""new issue"" he is presented with some template options to choose from. After that he can fill in the template.
Sadly Github mobile pages are lacking so we need to add a fallback template which is the same as the big report one.
![image](https://user-images.githubusercontent.com/907436/46915848-f87e7c00-cfb1-11e8-849f-179b37aae757.png)
This needs to be added to the default branch which currently is master."
xbmc/Kore,closed,[Bug] Bottom bar shortcut PVR not working,[],"I've activated the shortcut PVR in the bottom bar, but it's not working.
The other default shortcuts are working perfect. Also other shortcuts which are not displayed by default are working. Only the **bottom bar shortcut PVR is not working and does nothing**.
If I chose PVR from the menu everything is fine.

I use the latest Kore app from Google Play Store (v2.4.4) on Android 6.0 with Huawei EMUI 4.0.3 with UI language German.
Kodi v17.6 is running on Linux Mint 19 Xfce with Tvheadend/hts."
xbmc/Kore,open,[Feature request] Direct channel number input,[],"I'm using Kore on my Android phone to control my Kodi server with PVR (Live TV).

One thing I miss very much is a **direct channel input**, i.e. I want to switch to channel 123 directly and therefore I'd like to enter the channel number in the remote-view of Kore. Since there is no input-method for digits, I can't do this. With my regular keyboard this is no problem in Kodi.

I've tried to send ""Text to the Media Center"" but this will not work for switching the channel.


BTW: Direct input of digits might be useful also on different play-modes, e.g. direct jump to a position in a play list. "
xbmc/Kore,open,[Feature request] Change UI language,[],"It seems to be not possible to change the language of the app Kore.
Since I'm using Kodi in English but the system language of my Android device is German, also Kore is in German (and I don't like the translation).

I'd like to have a language selection as feature request."
xbmc/Kore,open,Progressbar synchronisation,[],"(second attempt on the correct branch now...)

When seeking in Kodi, the progressbars in Kore are not synchronised. Although the Player.OnSeek notifications are captured in kore, they are not passed to the HostConnectionObserver.PlayerEventsObserver.

1. I extended the PlayerEventObserver interface with the method:
https://github.com/xbmc/Kore/blob/105b12b0ae9e668f2bf89701b497436c12723800/app/src/main/java/org/xbmc/kore/host/HostConnectionObserver.java#L106-L111

2. I passed the OnSeek notification in the HostConnectionObserver class:
https://github.com/xbmc/Kore/blob/105b12b0ae9e668f2bf89701b497436c12723800/app/src/main/java/org/xbmc/kore/host/HostConnectionObserver.java#L412-L420

3. This enables the classes BaseMediaActivity and NowPlayingFragment to update the progressbars:
https://github.com/xbmc/Kore/blob/105b12b0ae9e668f2bf89701b497436c12723800/app/src/main/java/org/xbmc/kore/ui/BaseMediaActivity.java#L321-L324 https://github.com/xbmc/Kore/blob/105b12b0ae9e668f2bf89701b497436c12723800/app/src/main/java/org/xbmc/kore/ui/sections/remote/NowPlayingFragment.java#L588-L591


Not sure why this was not implemented though, probably a good reason I'm not aware of.

Many classes impliment the PlayerEventObserver interface where the onSeek notification is not used so maybe this should be done in a different way. I initially wanted to know the exact progress to mimic additive skipping (as an option which could be enabled in the settings)."
xbmc/Kore,closed,Mark series watched,[],"Marking a complete season or even complete tv show as watched / not watched is something I missed in kore. Because @SyncedSynapse liked this as well https://github.com/xbmc/Kore/issues/578#issuecomment-423588288, I started to implement this.

I added three dots menu in the items of both the TVShowListFragment and TVShowProgressFragment.
The code in both classes are very similar so it will probably become one sigle method in a helper class.

Here in words what I'm doing when ""Mark watched"" is selected on a season item:
- I start a loader to get all episode id's
- when finished, VideoLibrary.SetEpisodeDetails is called for every episode
- each time kodi successfully responds, the progressbar and text of the item is updated. This results is a nice live updating animation.
- when the complete season is marked, the database in synchronised for the complete season.

Some issues, questions:
- Should I use someting like the RefreshItem? This is only available in AbstractInfoFragment...
- when updating the progressbars and text, I should be able to get the current Views for the item because now the wrong views may be updated when scrolling
- after setting the watched states for all episodes, the database is updated for the complete show
LibrarySyncService.SYNC_SINGLE_TVSHOW. Should I implement the option to sync a single season: LibrarySyncService.SYNC_SINGLE_TVSHOW_SEASON?



"
