repository,state,title,label,body
pR0Ps/LocationShare,open,Create strings.xml,[],Czech translation :)
pR0Ps/LocationShare,open,Also show DMS representation of location,[],"I really like your app!
Could you also show the degrees-minutes-second representation?
How to convert from decimal degrees is shown here: https://en.wikipedia.org/wiki/Decimal_degrees"
pR0Ps/LocationShare,closed,Add translations:,[],"  * Bulgarian (Stanimira Penkova)
  * Danish (Karen Mondrup)
  * French (Pauline Dabrowski - https://www.linkedin.com/in/paulinedabrowski)
  * Japanese
  * Korean (Una Wang)
  * Shwedisch (Sabine Finke -https://www.facebook.com/konstglas.sabinefinke/)
  * minor fix in German"
pR0Ps/LocationShare,closed,Added Dutch translation,[],:)
pR0Ps/LocationShare,closed,"Add an ""Ask me everytime"" option to the link type options (see issueChoose #22",[],"* Default the setting to ""Ask me every time""
* Re-implement the link type chooser dialogs
* When sharing, if ""Ask me every time"" is set, provide a link type chooser"
pR0Ps/LocationShare,closed,Proposal new logo for Location Share App,[],"Hi admin, I want to offer a new logo design is more sweet and simple for application Location Share If you like and can accept it.

You can simply reply to this proposal, I will gladly send you a new logo this file and I was able to provide some variation for this app, thank you!

![s l](https://user-images.githubusercontent.com/37515077/41204941-9353e2a6-6d15-11e8-9ccc-492fd77af03d.png)
"
pR0Ps/LocationShare,open,Show time from GPS,[],"It would be nice if Location Share could display time from GPS in addition to the coordinates.
If you are in a place where your phone has weak or no cellular service and need a rather exact time this could be convenient."
pR0Ps/LocationShare,closed,Norwegian (nb) translation,[],Created a norwegian (nb) translation for Location Share
pR0Ps/LocationShare,closed,Copy of your app on Google Play (Copyleft violation),[],"Hi @pR0Ps 

I found [this app](https://play.google.com/store/apps/details?id=ca.swagselfie.locationshare) on the Google Play Store. This guy just took your source code, added some ads in it and put it on the Store, without warning this is free software...

As you are the owner of the source code, feel free to open a request to google [here](https://support.google.com/legal/contact/lr_dmca?product=googleplay) to remove this copy from the Store, if it's your wish ;)

Don't forget to tell Google that:

* The app is licensed under GNU GPL v3 license and this guy is violating it;
* He is falsely claiming he made the app;
* Provide some screenshots of your own app."
pR0Ps/LocationShare,closed,Increase minsdk to 14,[],"I had a look at the statistics for this app in the Google Play Console. There is 1 install of the app on Android 4.3 (sdk 18) and nothing below it. Since there are no stats for F-Droid or people who built from source, I can't be sure that some other users aren't below that, but I would think that using a minsdk of 14 would be fine at this point. This would only exclude Gingerbread and Honeycomb which are really old at this point.

This would allow for using the most recent version of the appcompat library as well as cleaning up some of the shims for older versions."
pR0Ps/LocationShare,closed,Migrate to Android 8.0 (API level 26) (see issue #21),[],"* Update build configuration
  * targetSdkVersion
  * compiledVersion
  * buildToolsVersion
  * use latest Support Library supporting minSdkVersion < 14
    * use Google's Maven repository for Support Libraries compatible with Android 8.0
* add `<uses-feature android:name=""android.hardware.location.gps"" />` to manifest"
