repository,state,title,label,body
maks/MGit,open,MGit crashes if opening a pdf.,[],"Somehow related to #268 #219. When opening a pdf, the app crashes instead of opening it (with the correct app).

USER_COMMENT=
ANDROID_VERSION=8.1.0
APP_VERSION_NAME=1.5.4.7
BRAND=samsung
PHONE_MODEL=SM-G900F
CUSTOM_DATA=
STACK_TRACE=android.os.FileUriExposedException: file:///storage/emulated/0/git-repos/someRepo/some.pdf exposed beyond app through Intent.getData()
at android.os.StrictMode.onFileUriExposed(StrictMode.java:1960)
at android.net.Uri.checkFileUriExposed(Uri.java:2356)
at android.content.Intent.prepareToLeaveProcess(Intent.java:9881)
at android.content.Intent.prepareToLeaveProcess(Intent.java:9856)
at android.content.Intent.prepareToLeaveProcess(Intent.java:9835)
at android.app.Instrumentation.execStartActivity(Instrumentation.java:1610)
at android.app.Activity.startActivityForResult(Activity.java:4487)
at android.support.v4.app.BaseFragmentActivityApi16.startActivityForResult(BaseFragmentActivityApi16.java:54)
at android.support.v4.app.FragmentActivity.startActivityForResult(FragmentActivity.java:68)
at android.app.Activity.startActivityForResult(Activity.java:4445)
at android.support.v4.app.FragmentActivity.startActivityForResult(FragmentActivity.java:751)
at android.app.Activity.startActivity(Activity.java:4806)
at android.app.Activity.startActivity(Activity.java:4774)
at me.sheimi.android.activities.SheimiFragmentActivity.startActivity(SheimiFragmentActivity.java:262)
at me.sheimi.android.utils.FsUtils.openFile(FsUtils.java:131)
at me.sheimi.android.utils.FsUtils.openFile(FsUtils.java:120)
at me.sheimi.sgit.fragments.FilesFragment$2.onItemClick(FilesFragment.java:100)
at android.widget.AdapterView.performItemClick(AdapterView.java:318)
at android.widget.AbsListView.performItemClick(AbsListView.java:1158)
at android.widget.AbsListView$PerformClick.run(AbsListView.java:3127)
at android.widget.AbsListView$3.run(AbsListView.java:4042)
at android.os.Handler.handleCallback(Handler.java:790)
at android.os.Handler.dispatchMessage(Handler.java:99)
at android.os.Looper.loop(Looper.java:164)
at android.app.ActivityThread.main(ActivityThread.java:6494)
at java.lang.reflect.Method.invoke(Native Method)
at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:440)
at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:807)
"
maks/MGit,open,Multi-Account support,[],"It would be great to administrate repos from different git profiles, from multiple git hosts"
maks/MGit,open,Oreo adaptive icon shape,[],"Please add support for icon shape
https://developer.android.com/guide/practices/ui_guidelines/icon_design_adaptive
https://material.io/guidelines/style/icons.html

you should fix it to upload new version to google play
https://www.xda-developers.com/google-play-app-updates-must-target-android-8-0/"
maks/MGit,open,Conflict issue,[],"It has conflict with its remote, but it doesn't show conflect files on status panel or anywhere, just an exception.

```
STACK_TRACE=org.eclipse.jgit.api.errors.CheckoutConflictException: Checkout conflict with files: 
---some files in github lhwdev/ASM-preview
at org.eclipse.jgit.api.MergeCommand.call(MergeCommand.java:411)
at org.eclipse.jgit.api.PullCommand.call(PullCommand.java:322)
at me.sheimi.sgit.repo.tasks.repo.PullTask.pullRepo(PullTask.java:99)
**at me.sheimi.sgit.repo.tasks.repo.PullTask.doInBackground(PullTask.java:30)**
at me.sheimi.sgit.repo.tasks.repo.PullTask.doInBackground(PullTask.java:15)
at android.os.AsyncTask$2.call(AsyncTask.java:333)
at java.util.concurrent.FutureTask.run(FutureTask.java:266)
at android.os.AsyncTask$SerialExecutor$1.run(AsyncTask.java:245)
at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1162)
at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:636)
at java.lang.Thread.run(Thread.java:764)
Caused by: org.eclipse.jgit.errors.CheckoutConflictException: Checkout conflict with files: 
---PRIVACY(?)---
at org.eclipse.jgit.dircache.DirCacheCheckout.doCheckout(DirCacheCheckout.java:415)
at org.eclipse.jgit.dircache.DirCacheCheckout.checkout(DirCacheCheckout.java:396)
at org.eclipse.jgit.api.MergeCommand.call(MergeCommand.java:288)
... 10 more
org.eclipse.jgit.errors.CheckoutConflictException: Checkout conflict with files: 
---privacy v2---
at org.eclipse.jgit.dircache.DirCacheCheckout.doCheckout(DirCacheCheckout.java:415)
at org.eclipse.jgit.dircache.DirCacheCheckout.checkout(DirCacheCheckout.java:396)
at org.eclipse.jgit.api.MergeCommand.call(MergeCommand.java:288)
at org.eclipse.jgit.api.PullCommand.call(PullCommand.java:322)
at me.sheimi.sgit.repo.tasks.repo.PullTask.pullRepo(PullTask.java:99)
at me.sheimi.sgit.repo.tasks.repo.PullTask.doInBackground(PullTask.java:30)
at me.sheimi.sgit.repo.tasks.repo.PullTask.doInBackground(PullTask.java:15)
at android.os.AsyncTask$2.call(AsyncTask.java:333)
at java.util.concurrent.FutureTask.run(FutureTask.java:266)
at android.os.AsyncTask$SerialExecutor$1.run(AsyncTask.java:245)
at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1162)
at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:636)
at java.lang.Thread.run(Thread.java:764)
```

+Also, why don't you use proguard? (or because of bug?..) It will make your app run faster(I don't sure it will) and apk size will be reduced. `invoke-static {v0} a->a(I)V` will be better than `invoke-static {v0} com/myapp/myproject/MyApp->hello(I)V`"
maks/MGit,open,Can't Clon,[],"### When I use the repository on MGit Clone Github, I get the following error.Can MGit be stored on Clone Github?

### Error message:
USER_COMMENT=
ANDROID_VERSION=8.0.0
APP_VERSION_NAME=1.5.4.7
BRAND=asus
PHONE_MODEL=ASUS_Z01KD
CUSTOM_DATA=
STACK_TRACE=java.lang.IllegalStateException: Inflater has been closed
at java.util.zip.Inflater.ensureOpen(Inflater.java:400)
at java.util.zip.Inflater.reset(Inflater.java:354)
at org.eclipse.jgit.lib.InflaterCache.release(InflaterCache.java:92)
at org.eclipse.jgit.internal.storage.file.WindowCursor.release(WindowCursor.java:371)
at org.eclipse.jgit.internal.storage.file.PackInputStream.close(PackInputStream.java:83)
at java.util.zip.InflaterInputStream.close(InflaterInputStream.java:239)
at java.io.BufferedInputStream.close(BufferedInputStream.java:485)
at org.eclipse.jgit.lib.ObjectStream$Filter.close(ObjectStream.java:229)
at org.eclipse.jgit.lib.ObjectLoader.copyTo(ObjectLoader.java:268)
at org.eclipse.jgit.dircache.DirCacheCheckout.checkoutEntry(DirCacheCheckout.java:1244)
at org.eclipse.jgit.dircache.DirCacheCheckout.doCheckout(DirCacheCheckout.java:451)
at org.eclipse.jgit.dircache.DirCacheCheckout.checkout(DirCacheCheckout.java:396)
at org.eclipse.jgit.api.CloneCommand.checkout(CloneCommand.java:251)
at org.eclipse.jgit.api.CloneCommand.call(CloneCommand.java:135)
at me.sheimi.sgit.repo.tasks.repo.CloneTask.cloneRepo(CloneTask.java:71)
at me.sheimi.sgit.repo.tasks.repo.CloneTask.doInBackground(CloneTask.java:38)
at me.sheimi.sgit.repo.tasks.repo.CloneTask.doInBackground(CloneTask.java:23)
at android.os.AsyncTask$2.call(AsyncTask.java:333)
at java.util.concurrent.FutureTask.run(FutureTask.java:266)
at android.os.AsyncTask$SerialExecutor$1.run(AsyncTask.java:245)
at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1162)
at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:636)
at java.lang.Thread.run(Thread.java:764)"
maks/MGit,open,native git option,[],"java git implementation seems to be buggy and slow.
It would be great to be able to choose native git.

I have native git installed using Termix and i must say I have to do more and more in the shell as mgit many times  crashes, locks the index file and has tasks running forever."
maks/MGit,open,Can't Clone,[],
maks/MGit,open,Editor generates NBSP characters,[],"I've only tested this on 8.1 and 4.1.2.
On 4.1.2 it doesn't, but on 8.1 it does.
Maybe it's important that I use Hacker's Keyboard, but I did not change the indentation of a Java line but the line itself.
The whole indentation of that line turned into NBSP (U+00A0)."
maks/MGit,closed,提交后 进入github对应仓库 发现没有提交更新,[],"
"
maks/MGit,closed,cannot make email dialog go away,[],"MGit has crashed and now it keeps asking for an IMAP/POP username and password,  and there appears to be no way to make this go away. So I cannot access my repo now. "
