repository,state,title,label,body
ikarus23/MifareClassicTool,open,Treat backward compatible desfire cards as mifare classic,[],"According to Mifare DESFire documentation, there is a backward compatibility mode with Mifare classic cards, I believe I have one of these cards, Is it possible to treat these cards as Mifare classic in the app?"
ikarus23/MifareClassicTool,open,Some newly tested devices,[],
ikarus23/MifareClassicTool,open,Update README.md,[],"Hi,

This small PR updates the link to F-Droid in the README 👍 "
ikarus23/MifareClassicTool,closed,Added and grouped keys from various cards,[],"Added keys from:

* Strelka card extension
* Moscow public toilets
* Iron Logic object card

All keys grouped in one place and duplicates removed from other sources. "
ikarus23/MifareClassicTool,open,Allow option to disable the app automatically starting when an nfc tag approaches,[],"I'm currently using an android cover with a slot for an nfc card. However whenever I open this cover, the nfc card touches the backside of my phone and the Mifare Classic App opens.

Is this something we can make configurable?

![20181026_112335](https://user-images.githubusercontent.com/2350015/47558133-b25edc00-d912-11e8-8eb3-81abd8d76d42.jpg)"
ikarus23/MifareClassicTool,open,4k -> 1K - Trimmed clone question,[],"Hello there! greetings from Colombia.

**Here's my situation** (I'm by no means a programmer, more like a scrip kiddie)

1. I'm able to perform a full dump (known keys) of a 4k mifare card but using my phone (with this app) and my linux machine (libnfc)
2. Using the app, I'm able to write the dump into a 1k card (trimming sectors 16-39).
3. The 1k cloned card works.
4. When I compare the dumps (original 4k vs trimmed 1K) sector 0 and sector 15 differ slightly.
5. When I try to clone the cloned 1k card with the Linux machine (miLazyCracker) if dumps successfully, but when trying to write into another 1k tag, I get an error regarding SAK code.

**So here are my questions:**
1. Is there a better way to trim clone a 4k tag dump into a 1k tag? (when the remaining sectors are not used).
2. How could the APP dump txt files be converted into a LIBNFC compatible MFD dump file?.
3. How could the APP ingest/import LIBNFC mfd dump files?.
4. Wishful thining: Could miLazyCracker libraries be included on this app? it's performance is greater than MFOC and MCFUK and could actually be practical.

Thank you!


"
ikarus23/MifareClassicTool,closed,After successful dump it's possible to emulate the card in the phone,[],Hi first of all thanks for your great work and releasing as open source. My question is if after a successful dump it's possible to emulate the card in the phone?
ikarus23/MifareClassicTool,open,MIUI could read a card but LineageOS didn't,[],"Hi ikarus,
I am using Xiaomi 5(gemini),When I use MIUI 10, use MCT to read or write a JCOP card have no problem, just sometimes MCT Notice it's not Mifare Classic Tags, But sometimes it works.

But I flashed LineageOS 15.1, no matter what i do, MCT said ""Not Mifare Classic Tags"",I don't know why.

Thanks."
ikarus23/MifareClassicTool,closed,Add full key set of Russian Troika card and group it,[],Some of this keys randomly appeared in other groups. I've added a full set and grouped it in one place.
ikarus23/MifareClassicTool,open,"UI freeze while mapping/reading [Google Pixel, Android 9]",[],"A lot of users complaining that MCT freezes on Googles Pixel with Android 9. This is the stacktrace:
```

""main"" tid=1 Native
""main"" prio=5 tid=1 Native
  | group=""main"" sCount=1 dsCount=0 flags=1 obj=0x74eeca78 self=0x720c614c00
  | sysTid=26192 nice=-10 cgrp=default sched=0/0 handle=0x729202f548
  | state=S schedstat=( 9638645976 816419133 23733 ) utm=749 stm=214 core=3 HZ=100
  | stack=0x7ff9657000-0x7ff9659000 stackSize=8MB
  | held mutexes=
  #00  pc 0000000000070d7c  /system/lib64/libc.so (__ioctl+4)
  #01  pc 00000000000292dc  /system/lib64/libc.so (ioctl+144)
  #02  pc 000000000005a740  /system/lib64/libbinder.so (android::IPCThreadState::talkWithDriver(bool)+260)
  #03  pc 000000000005b4e0  /system/lib64/libbinder.so (android::IPCThreadState::waitForResponse(android::Parcel*, int*)+60)
  #04  pc 000000000005b32c  /system/lib64/libbinder.so (android::IPCThreadState::transact(int, unsigned int, android::Parcel const&, android::Parcel*, unsigned int)+176)
  #05  pc 000000000005130c  /system/lib64/libbinder.so (android::BpBinder::transact(unsigned int, android::Parcel const&, android::Parcel*, unsigned int)+72) 
  #06  pc 000000000012fe70  /system/lib64/libandroid_runtime.so (android_os_BinderProxy_transact(_JNIEnv*, _jobject*, int, _jobject*, _jobject*, int)+152)
  at android.os.BinderProxy.transactNative (Native method)
  at android.os.BinderProxy.transact (Binder.java:1127)
  at android.nfc.INfcTag$Stub$Proxy.reconnect (INfcTag.java:307)
  at android.nfc.tech.BasicTagTechnology.close (BasicTagTechnology.java:123)
  at android.nfc.tech.MifareClassic.close (MifareClassic.java:73)
  at de.syss.MifareClassicTool.MCReader.close (MCReader.java:1068)
  at de.syss.MifareClassicTool.Common.checkForTagAndCreateReader (Common.java:844)
  at de.syss.MifareClassicTool.Activities.KeyMapCreator.onCreateKeyMap (KeyMapCreator.java:388)
  at java.lang.reflect.Method.invoke (Native method)
  at android.view.View$DeclaredOnClickListener.onClick (View.java:5629)
  at android.view.View.performClick (View.java:6597)
  at android.view.View.performClickInternal (View.java:6574)
  at android.view.View.access$3100 (View.java:778)
  at android.view.View$PerformClick.run (View.java:25885)
  at android.os.Handler.handleCallback (Handler.java:873)
  at android.os.Handler.dispatchMessage (Handler.java:99)
  at android.os.Looper.loop (Looper.java:193)
  at android.app.ActivityThread.main (ActivityThread.java:6669)
  at java.lang.reflect.Method.invoke (Native method)
  at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run (RuntimeInit.java:493)
  at com.android.internal.os.ZygoteInit.main (ZygoteInit.java:858)
```
At the moment, I'm not sure what exactly is causing this issue."
ikarus23/MifareClassicTool,open,Moto G5s Plus,[],"Hi, I'm a big fan of your work.

Thank you for your commitment to improving the application.

I have a question about how to use the application on Motorola Moto G5s Plus.

Apparently the Moto G5s Plus uses the same NFC chip as the Moto G5 plus (I read that it works), but when trying to read a tag, even if all the passwords are the same, some passwords (when reading the tag) appear blank as if had not been found.
Sometimes it returns as if it did not find industry passwords and was not displayed.

I think it's a mistake, because if I read it again, it reads the password it did not read and stops reading another password.

I apologize for English if there is an error and, from now on, thank you very much."
ikarus23/MifareClassicTool,open,Can't read the tag (Have the keys),[],"I tried to read the card after getting the keys with proxmark3 but it shows this
![nfc-bilhet](https://user-images.githubusercontent.com/39327656/46898771-7e8bad00-ce62-11e8-8d08-ccacea835133.png)

This are the keys, i think, that i got from the card. I've added them to MCT
![bilhun-keys](https://user-images.githubusercontent.com/39327656/46898778-98c58b00-ce62-11e8-9f07-2f9ae9b6ab8d.png)

I added this two: de1fcbec764b and 400bc9be8976
So what is the problem ?

[edit]
I've added all the keys in the KEYS file, now im able to read the rest.

"
ikarus23/MifareClassicTool,closed,Application is stopping on Amazfit SmartWatch,[],"Log:
```
D/AndroidRuntime( 1675): Shutting down VM
--------- beginning of crash
E/AndroidRuntime( 1675): FATAL EXCEPTION: main
E/AndroidRuntime( 1675): Process: de.syss.MifareClassicTool, PID: 1675
E/AndroidRuntime( 1675): java.lang.RuntimeException: Unable to start activity ComponentInfo{de.syss.MifareClassicTool/de.syss.MifareClassicTool.Activities.MainMenu}: android.util.AndroidRuntimeException: You cannot combine swipe dismissal and the action bar.
E/AndroidRuntime( 1675):        at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2325)
E/AndroidRuntime( 1675):        at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2387)
E/AndroidRuntime( 1675):        at android.app.ActivityThread.access$800(ActivityThread.java:151)
E/AndroidRuntime( 1675):        at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1303)
E/AndroidRuntime( 1675):        at android.os.Handler.dispatchMessage(Handler.java:102)
E/AndroidRuntime( 1675):        at android.os.Looper.loop(Looper.java:135)
E/AndroidRuntime( 1675):        at android.app.ActivityThread.main(ActivityThread.java:5254)
E/AndroidRuntime( 1675):        at java.lang.reflect.Method.invoke(Native Method)
E/AndroidRuntime( 1675):        at java.lang.reflect.Method.invoke(Method.java:372)
E/AndroidRuntime( 1675):        at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:903)
E/AndroidRuntime( 1675):        at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:698)
E/AndroidRuntime( 1675): Caused by: android.util.AndroidRuntimeException: You cannot combine swipe dismissal and the action bar.
E/AndroidRuntime( 1675):        at com.android.internal.policy.impl.PhoneWindow.requestFeature(PhoneWindow.java:333)
E/AndroidRuntime( 1675):        at com.android.internal.policy.impl.PhoneWindow.generateLayout(PhoneWindow.java:3410)
E/AndroidRuntime( 1675):        at com.android.internal.policy.impl.PhoneWindow.installDecor(PhoneWindow.java:3725)
E/AndroidRuntime( 1675):        at com.android.internal.policy.impl.PhoneWindow.setContentView(PhoneWindow.java:401)
E/AndroidRuntime( 1675):        at android.app.Activity.setContentView(Activity.java:2145)
E/AndroidRuntime( 1675):        at de.syss.MifareClassicTool.Activities.MainMenu.onCreate(MainMenu.java:109)
E/AndroidRuntime( 1675):        at android.app.Activity.performCreate(Activity.java:5990)
E/AndroidRuntime( 1675):        at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1106)
E/AndroidRuntime( 1675):        at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2278)
E/AndroidRuntime( 1675):        ... 10 more
W/ActivityManager(  384):   Force finishing activity 1 de.syss.MifareClassicTool/.Activities.MainMenu
W/InputMethodManagerService(  384): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@7cb78df attribute=null, token = android.os.BinderProxy@10aaf618
D/PowerManager(  384): HM_acquireLocked pkg: android tag: WakeLock (ActivityManager-Launch)
W/ActivityManager(  384): Activity pause timeout for ActivityRecord{16bbe783 u0 de.syss.MifareClassicTool/.Activities.MainMenu t181 f}
```
After I reverted this https://github.com/ikarus23/MifareClassicTool/commit/02d85daa8c93140802d545b97567f7c47f91e80c
it works fine..."
ikarus23/MifareClassicTool,closed,Xiaomi MI 8 compatibility on MUIU 10.0.2.0,[],"I've just installed Mifare Classic Tool in this mobile.
I can read the tags with no problem, but when trying to clone from a dump, I get this error:
""Error. Some error ocurred while writing. This could be really bad""
I've tried cloning two different source tags to several different target tags (clonable tags).

If I disable ""Enable writing to manufacturer block"" it works.
I'm also able to properly do a ""Factory Format"", which finishes just fine.

These (https://aliexpress.com/item/5pcs-UID-IC-card-Changeable-Smart-Keyfobs-Key-Tags-Card-for-1K-S50-MF1-libnfc-RFID/32788592746.html) are the tags I bought, which state that are compatible with MCT.
Any idea or help?

"
ikarus23/MifareClassicTool,closed,Use Java 8 featues,[],
ikarus23/MifareClassicTool,closed,no valid key found in chosen key file,[],"no valid key found in chosen key file
what does it mean ?
I use a samsung s9+
"
