repository,state,title,label,body
Mobiperf/MobiPerf,closed,Update Config.java,[],
Mobiperf/MobiPerf,open,change MAX_BURSTCOUNT and MAX_INTERVAL of udp burst task,[],"Increase the limit on UDP burst task.
The binaries are already pushed on MLab nodes. This is to update the repository to keep consistency.
"
Mobiperf/MobiPerf,closed,Overhaul of start.sh script to be a bit more robust,[],"The rewritten script gives each java application a bit more time to launch before giving up and exiting, and also implements a slightly better check (netcat) as to whether the application is actually accepting connections on the expected port.
"
Mobiperf/MobiPerf,closed,"Hongyi: merge UDP server code into tcp server folder, rename this folder...",[],"... to measurement_server
"
Mobiperf/MobiPerf,closed,Add UDP measurement into MobiPerf,[],"Updated existing code and implemented some new features. 

MobiPerf app: add a new measurement type named UDP Burst
UDP server: remove previous code written in C. Re-implement it using JAVA. 
GAE: update corresponding structure to receive measurement result of UDP Burst test.
"
Mobiperf/MobiPerf,closed,Log Mobiperf startup scripts to /var/log,[],"Add an exec line to each of initialize.sh, start.sh, and stop.sh to send stdout and stderr to /var/log/mobiperf. It's been difficult to troubleshoot init problems, failures happen silently.
"
Mobiperf/MobiPerf,closed,Add properly IO handling on close.,[],"On the M-Lab platform, we are seeing fairly chronic errors. I cleaned up the IO handling, especially to move close attempts to a finally block to ensure they are always attempted and hence underlying OS resources less likely to be left in inconsistent states.
"
Mobiperf/MobiPerf,closed,Rrc inference with scheduling,[],"Added in data consumption aware scheduling, as well as updated the scheduler to support long-running tasks properly.

This has been reviewed and approved at http://speedometer-reviews.appspot.com/153001/.
"
Mobiperf/MobiPerf,closed,Rrc inference,[],"Added functionality to infer RRC states and measure their effects on performance.

This has been reviewed and approved at http://speedometer-reviews.appspot.com/123001/.
"
Mobiperf/MobiPerf,open,TCP Speedtest needs a larger target file,[],"On an LTE connection I get:

""""""
No results available.
- Task finishes earlier due to
  exceeding maximum number of received
  bytes
  """"""

Probably makes sense to add an option to select a 'large' target for high bandwidth connections.
"
Mobiperf/MobiPerf,closed,Throughput measurement support,[],"See http://speedometer-reviews.appspot.com/49001/
"
Mobiperf/MobiPerf,open,Checkins fail with 'Network paused for RRC test' dialog,[],"I frequently see manual checkins fail with a dialog that says 'Network paused for RRC test'

The dialog is confusing as a user would have no idea what a RRC test is or why the network is paused for it. At a minimum the dialog should be more clear, but it would be great to eliminate the issue altogether.

Also, what is throwing that dialog? I did not find any mentions of RRC in the source, but it may be returned by the server? Then again there have been multiple Android client updates recently, but no commits, are some changes made in local release clients not ending up in the public repo?
"
Mobiperf/MobiPerf,closed,TCP server side script update for M-Lab migration,[],"TCP server side script changes:
- add initialize.sh to install Java JDK on the server
- rename end.sh to stop.sh
"
Mobiperf/MobiPerf,closed,Version 2.1 release,[],"Delta from previous pull request:
1. Resolve traceroute hanging in the middle problem
2. Fix inaccurate timer for traceroute
3. Fix Ping HTTP method crash over IPv6
"
Mobiperf/MobiPerf,closed,Version 2.1 Release ,[],"Changes from the beta v2.1:
1. Enable scheduled task over Wifi
2. Ipv6 aware ping program selection
3. Ignore ip_address field before submission to GAE
4. Check available measurement types during checkin
5. Fix TCP Throughput result JSON conversion problem
"
