repository,state,title,label,body
mozilla/MozStumbler,open,Map Update,[],"Hello, is the project still working? Will the map be updated? I keep recording with Netstumbler regularly. The map of Network Cellinfo is not renewed, but is based on location services mozilla.

Regards"
mozilla/MozStumbler,open,Oreo adaptive icon shape,[],"Please add support for icon shape

https://developer.android.com/guide/practices/ui_guidelines/icon_design_adaptive.html
https://material.io/guidelines/style/icons.html

you should fix it to upload new version to google play
https://www.xda-developers.com/google-play-app-updates-must-target-android-8-0/"
mozilla/MozStumbler,open,Updated Czech translation,[],
mozilla/MozStumbler,open,Features/device fingerprint,[],
mozilla/MozStumbler,open,Switch to Pontoon for translations,[],"I know, that there is not much work going into MozStumbler atm.
But in-case people start working on it again, one improvement to how localization is handled could be made:
the project could switch away from Github to Mozilla Pontoon:
https://pontoon.mozilla.org/

Just as an idea.
I just translated one project there, it's great and super intuitive :)"
mozilla/MozStumbler,open,Update Russian,[],
mozilla/MozStumbler,open,Update README.md,[],"Hi,

This small and useless PR adds a button to get your app on F-Droid and Google Play :+1: "
mozilla/MozStumbler,closed,We should allow retries if the MLS times out or returns an error,[],"From bugzilla https://bugzilla.mozilla.org/show_bug.cgi?id=1132247:

For a discussion, see https://bugzilla.mozilla.org/show_bug.cgi?id=1116217#c8

Right now, SearchEngineManager will save an empty countrycode/region on failure. We should not save anything, and allow a retry attempt."
mozilla/MozStumbler,open,Consider replacing java.util.timer* with android Handler class,[],"From bugzilla https://bugzilla.mozilla.org/show_bug.cgi?id=1268612

The Timer class creates a separate thread, which can affect the performance of resource-constrained mobile devices. The Android Handler class can be used to synchronize such events with separate threads, such as the main thread. See [1] for an example implementation.

This bug is specifically for the mozstumbler (I'll file another for the main code base). For a list of uses of the timer class:

https://mxr.mozilla.org/mozilla-central/search?string=java.util.timer&find=mobile%2Fandroid&findi=&filter=^[^\0]*%24&hitlimit=&tree=mozilla-central

Victor, can you take a look at this?

[1]: http://android-developers.blogspot.com/2007/11/stitch-in-time.html"
mozilla/MozStumbler,open,Lost previous contributions at 50k,[],"From bugzilla https://bugzilla.mozilla.org/show_bug.cgi?id=1239377:

Steps to reproduce:

Reports are lost after reaching 50,000 reports 


Actual results:

All the stumbled data was lost 


Expected results:

The data should not be lost"
mozilla/MozStumbler,open,Previous Contributions are not showing,[],"From bugzilla https://bugzilla.mozilla.org/show_bug.cgi?id=1402441:

Steps to reproduce:

I Started locating a place while I was traveling .and I tried to upload the result ie way that I routed


Actual results:

When I Uploaded the location route result I found that my Last contribution points to Mozilla location services was not in that website I have location points about nearly 15000 .But the point is now reduced to 10


Expected results:

My new Points have to be added to Older contribution points with Mozilla location services"
mozilla/MozStumbler,open,Add MozStumbler login UI/service for username to Fennec Stumbler,[],"From bugzilla: https://bugzilla.mozilla.org/show_bug.cgi?id=1052393

A big missing feature for MozStumbler on Fennec is the possibility to add the username so your total results - Leaderboard"
mozilla/MozStumbler,open,Does not detect MLS Locations sometimes and also ignores WIFI points at times,[],"From Bugzilla https://bugzilla.mozilla.org/show_bug.cgi?id=1201257:

User Agent: Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36

Steps to reproduce:

I use Mozilla Stumbler regularly and it works alright most of the time. I use a Redmi Note 4G device - Kitkat Android OS.


Actual results:

Every now and then it stops detecting WiFi points or MLS Locations and only picks up WiFi points. 
The reverse also happens when I travel long distance, I end up collecting only Cell points and miss out on all the WiFi points. Again, MLS Locations show up every now and then. 


Expected results:

As the area definitely has WiFi spots and Cell networks, its only natural to collect both. But this issue tends to happen quite often nowadays."
mozilla/MozStumbler,open,mozstumbler-crashes.stage.mozaws.net certificate expired in April 2017,[],"https://mozstumbler-crashes.stage.mozaws.net/ expired in April 2017.

MozStumbler continuously retries to submit a crash log, but the submission is aborted because the certificate has expired."
mozilla/MozStumbler,open,Bad reports,[],"I keep getting bad report errors when uploading:

![img_20171227_130557_550](https://user-images.githubusercontent.com/3584732/34382470-08779f82-eb07-11e7-83d1-63f23b98b616.jpg)

I have tried reinstalling many times. Any thoughts?
"
mozilla/MozStumbler,open,CookieSyncManager is not needed since API 21,[],"Hi,

I found that in [PreferncesScreen](https://github.com/mozilla/MozStumbler/blob/53160b00be84fe88ec5d09d3a2346007a53c9a57/android/src/main/java/org/mozilla/mozstumbler/client/subactivities/PreferencesScreen.java#341), CookieSyncManager is instantiated. I know it was invoked to avoid crash for using CookieManager. Bu according to the [doc](https://developer.android.com/reference/android/webkit/CookieSyncManager.html). It is deprecated since API 21 and on newer API levels, CookieSyncManager can work well alone.

There's no need to instantiate this class if the app is running on devices with API level higher than 21."
