repository,state,title,label,body
WangDaYeeeeee/Mysplash,open,Add Brazilian (Portuguese) translation,[],"I didn't translate some fields like `transition names` and `share preferences` because they look like variables, so I think they have to be that way."
WangDaYeeeeee/Mysplash,closed,Update to Muzei API 3.0,[],https://github.com/romannurik/muzei/releases/tag/api3.0.0
WangDaYeeeeee/Mysplash,closed,Category is Empty,[],"When I select category option it shows nothing. There is nothing in the category. Inside the category option i choose nature , people etc but all are empty"
WangDaYeeeeee/Mysplash,closed,Update strings.html typo in download description,[],Typo in german download Strings
WangDaYeeeeee/Mysplash,open,Fixed typo in German translation,[],
WangDaYeeeeee/Mysplash,open,new logo purpose free for you ,[],hello @WangDaYeeeeee   i want  to participate  Mysplash in   logo if you give me permission i will send you my design
WangDaYeeeeee/Mysplash,open,error when installing as wallpaper,[],"error when installing as wallpaper Android 5.1.1
```
E/AndroidRuntime: FATAL EXCEPTION: main
                                                                     Process: com.wangdaye.mysplash, PID: 4117
                                                                     java.lang.RuntimeException: Unable to start receiver com.wangdaye.mysplash.common.receiver.DownloadReceiver: android.util.AndroidRuntimeException: Calling startActivity() from outside of an Activity  context requires the FLAG_ACTIVITY_NEW_TASK flag. Is this really what you want?
                                                                         at android.app.ActivityThread.handleReceiver(ActivityThread.java:2616)
                                                                         at android.app.ActivityThread.access$1700(ActivityThread.java:151)
                                                                         at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1380)
                                                                         at android.os.Handler.dispatchMessage(Handler.java:102)
                                                                         at android.os.Looper.loop(Looper.java:135)
                                                                         at android.app.ActivityThread.main(ActivityThread.java:5254)
                                                                         at java.lang.reflect.Method.invoke(Native Method)
                                                                         at java.lang.reflect.Method.invoke(Method.java:372)
                                                                         at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:903)
                                                                         at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:698)
                                                                      Caused by: android.util.AndroidRuntimeException: Calling startActivity() from outside of an Activity  context requires the FLAG_ACTIVITY_NEW_TASK flag. Is this really what you want?
                                                                         at android.app.ContextImpl.startActivity(ContextImpl.java:1238)
                                                                         at android.app.ContextImpl.startActivity(ContextImpl.java:1225)
                                                                         at android.content.ContextWrapper.startActivity(ContextWrapper.java:323)
                                                                         at android.content.ContextWrapper.startActivity(ContextWrapper.java:323)
                                                                         at com.wangdaye.mysplash.common.b.a.d.d(DownloadHelper.java:382)
                                                                         at com.wangdaye.mysplash.common.b.a.d.a(DownloadHelper.java:297)
                                                                         at com.wangdaye.mysplash.common.b.a.d.d(DownloadHelper.java:260)
                                                                         at com.wangdaye.mysplash.common.receiver.DownloadReceiver.onReceive(DownloadReceiver.java:25)
                                                                         at android.app.ActivityThread.handleReceiver(ActivityThread.java:2609)
                                                                         at android.app.ActivityThread.access$1700(ActivityThread.java:151) 
                                                                         at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1380) 
                                                                         at android.os.Handler.dispatchMessage(Handler.java:102) 
                                                                         at android.os.Looper.loop(Looper.java:135) 
                                                                         at android.app.ActivityThread.main(ActivityThread.java:5254) 
                                                                         at java.lang.reflect.Method.invoke(Native Method) 
                                                                         at java.lang.reflect.Method.invoke(Method.java:372) 
                                                                         at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:903) 
                                                                         at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:698) 
```"
WangDaYeeeeee/Mysplash,open,misspelling,[],Правиться ->Нравится
WangDaYeeeeee/Mysplash,open,Small bug,[],https://youtu.be/m1YfBVlP4hU
WangDaYeeeeee/Mysplash,open,Fix formatting in en_locale arrays,[],Signed-off-by: Lesya Novaselskaya <shams@airpost.net>
WangDaYeeeeee/Mysplash,open,Fix ru_locale strings and arrays,[],"1) Fix incorrect, awkward and machine-translated strings

2) Regroup strings (they were ordered alphabetically;  it was pretty
confusing: related values, originally grouped by type ['settings_'
or 'action_' etc.) were scattered all around the xml) to fit the
original EN XML file

3) Fix missing, incorrect, awkward and machined-translated arrays

4) Add missing strings (it seems that many strings were added in
EN locale, but were missing in Russian one) and arrays

5) Perhaps it was not worth translating commented out <explore-items>
portion. I thought it was probably tagging work in progress, so if
it's not needed, I can remove it.

Signed-off-by: Lesya Novaselskaya <shams@airpost.net>"
WangDaYeeeeee/Mysplash,open,Fix typos in german translation,[],Signed-off-by: mueller-ma <mueller-ma@users.noreply.github.com>
WangDaYeeeeee/Mysplash,open,FR: Include metadata for fdroid,[],"When providing metadata via a fastlane directory, fdroid automaticly shows them in the store. You dont need to install fastlane, just create the folder

Example: https://github.com/Freeyourgadget/Gadgetbridge/tree/master/fastlane/metadata/android/en-US
Info: https://github.com/fastlane/fastlane/blob/2.28.7/supply/README.md#images-and-screenshots"
WangDaYeeeeee/Mysplash,open,Cannot load trending,[],"The F-Droid version cannot load anything, as the ""trending"" area always shows nothing. ""Nothing loaded. Press to retry"".

For some strange reason I can download images and set them as backgrounds.
It shows a strange loading animation then, but that's it."
WangDaYeeeeee/Mysplash,open,Some SSL error,[],"Hi, I'm using v3.2.1 from F-Droid and getting a notification on the bottom of the screen saying:

`Failed to load.
(javax.net.ssl.SSLProtocolException: SSL... hand)`

It's cut off at the ... point and I can't seem to expand it. I'm on Android 4.4.4 by the way."
