repository,state,title,label,body
eolwral/OSMonitor,open,Memory Leak,[],"After a double rotation of the OSMonitor Activity there are in heap memory 2 instances more of:

class com.eolwral.osmonitor.OSMonitor @ 0x12cf0000
class com.eolwral.osmonitor.ui.ProcessFragment @ 0x12d8bc00
class com.eolwral.osmonitor.ui.ConnectionFragment @ 0x12d8ec00
class com.eolwral.osmonitor.ui.MiscFragment @ 0x12d8f800
class com.eolwral.osmonitor.ui.MessageFragment @ 0x12d90800

It should not be like this because the rotations return to the same GUI state and the memory should stay in the same state as well. It could be a symptom of a bad management of the onCreate-onDestroy lifecycle. 

I have encountered this problem on an Android emulator running 7.1.1 os version. "
eolwral/OSMonitor,open,[Feature Request] please Inform Mediamanager about exported csv,[],"please Inform Mediamanager about exported csv.
At moment I have to reboot every time until I get the Files over MTP"
eolwral/OSMonitor,open,Seems to work on LineageOS 14.1 (Android 7.1.2),[],"Hi,

the README says: ""Due to Android 7.0's security enhancement, OS Monitor won't work any more, I decide to move the project into manitenance mode, it won't support Android 7.0 and following version.""

I decided to try it out anyway and installed version 3.5.0.6, which seems to work fine for me (needed to give it root permissions to be able to view all processes, but that's kind of expected). Is there something I'm missing, or is it maybe dependent on the device or custom firmware being used?"
eolwral/OSMonitor,open,Force-close only works in landscape mode,[],"Just discovered something odd. The force close button works in landscape mode, but when I switch to portrait mode, it no longer functions. (hold on process, press ""Force Close"" in popup, nothing happens -- switch to landscape, and it works)

EDIT: Apparently it's that the popup's ""force close"" button doesn't work (in portrait or landscape), whereas the side panel's button does. Odd.

How is the popup being created? I don't see any UI controls declared with the text ""Force close"" other than the sidebar's/ProcessFragment's button. Is it generated based on the buttons in the sidebar?"
eolwral/OSMonitor,open,Android NDK: Module osmcore depends on undefined modules: stlport,[],"When I try to build the project I get an error, specifically on executing ndk-build.cmd command, the error says: ""Android NDK: Module osmcore depends on undefined modules: stlpo rt"", it's a missing dependencies and I noticed that this modules doesn't exists in this project. Could you guys help me? Thanks in Advance


* What went wrong:
Execution failed for task ':app:ndkBuild'.
> Process 'command 'C:\Users\Admin\Downloads\android-ndk-r14b\ndk-build.cmd'' finished with non-zero exit value 2
"
eolwral/OSMonitor,open,"feature request: long tap a process, choose ""disable autorun""",[],"thank you for this great app! 

currently i can long tap a process name and a contextual menu appears

it would be awesome if that menu also contains an item named ""prevent autorun"" that would make that process not start automatically at boot and neither fired by an event.
"
eolwral/OSMonitor,open,Hungarian translation fixes,[],
eolwral/OSMonitor,open,"looking for documentation to understand the message ""OS MONITOR"".",[],"hello, 
2 questions :
i am looking for documentation to understand the message ""OS MONITOR"" ?

I have a message ""SQLiteDatabase database lock has-been available for 4 sec current owner off the lock is 1672."" How to get the name of the application that blocks? (1672 is not in the list of process)
Thank you
"
eolwral/OSMonitor,open,Memory reported wrong on OP3,[],"I've recently gotten a OnePlus 3, and the memory that is being reported by OS Monitor is 2GB. The phone has 6...
"
eolwral/OSMonitor,open,How can you filter the ip traffic due to OSMonitor itself?,[],"Hi
How can you filter the ip traffic due to OSMonitor itself?
For example, I see a Google connection and it makes me nervous :-)
Is it due to OSMonitor?
JP
CM 13/Android 6.0.1
"
eolwral/OSMonitor,open,Build Error: ndk-build.cmd finished with non-zero exit value 2. core.o file not found,[],"Hello,

I cloned the project and i encountered with compile erro. Actually, project compiles successfully but not running. It throws an error. This is the screenshot of log. Are there any advices ?

![osmonitorerror](https://cloud.githubusercontent.com/assets/1921050/15888927/a76d69a0-2d71-11e6-9e22-fc2107c15e1e.PNG)
"
eolwral/OSMonitor,open,Scaling CPU usage to per core,[],"With the architecture of modern smartphones, i think it would probably make more sense to show CPU usage scaled to 100% being full utilization of one core, at least as an option.

With the current system, my phone ""pegs"" at 16%, and I don't think it could ever exceed 50%, since the little cores aren't use st the same time as the big cores from what I understand.
"
