repository,state,title,label,body
BrandroidTools/OpenExplorer,open,v254,[],
BrandroidTools/OpenExplorer,closed,Update strings.xml,[],
BrandroidTools/OpenExplorer,closed,Added Portuguese [BR] translation,[],
BrandroidTools/OpenExplorer,closed,v254,[],
BrandroidTools/OpenExplorer,closed,v228 - GPL FTW,[],
BrandroidTools/OpenExplorer,closed,v226 - Clouds - GA,[],
BrandroidTools/OpenExplorer,closed,v223,[],"Clouds & More!
"
BrandroidTools/OpenExplorer,closed,v220 - Box & Dropbox,[],
BrandroidTools/OpenExplorer,closed,v214,[],
BrandroidTools/OpenExplorer,closed,Dev,[],
BrandroidTools/OpenExplorer,closed,Fdroid - v212,[],
BrandroidTools/OpenExplorer,closed,v212+,[],
BrandroidTools/OpenExplorer,closed,v212,[],
BrandroidTools/OpenExplorer,closed,Dev v210,[],
BrandroidTools/OpenExplorer,closed,Dev,[],"v209 Update pull
"
BrandroidTools/OpenExplorer,closed,v208,[],
BrandroidTools/OpenExplorer,closed,v200!,[],
BrandroidTools/OpenExplorer,closed,Dev,[],"You'll probably need to Refresh & Clean the ABS project as well as OE
"
BrandroidTools/OpenExplorer,closed,Dev - Autoformatting,[],
BrandroidTools/OpenExplorer,closed,Fdroid,[],
BrandroidTools/OpenExplorer,closed,Dev v193 - Device scanner & Japanese updates,[],"This should provide better device scanning. Specifically for USB OTG on Nexus 7 and other /storage rooted devices.
"
BrandroidTools/OpenExplorer,closed,Fdroid,[],
BrandroidTools/OpenExplorer,closed,Modified Japanese translation,[],"I've just finished translation of string.xml.
"
BrandroidTools/OpenExplorer,closed,Dev Sync,[],
BrandroidTools/OpenExplorer,closed,Modified Japanese translation,[],"I modified Japanese translation.
If there are something that must to be changed, don't mind to make me again!
"
BrandroidTools/OpenExplorer,closed,Dev - v193,[],
BrandroidTools/OpenExplorer,closed,Dev Updates - v192,[],
BrandroidTools/OpenExplorer,closed,Dev - v192,[],
BrandroidTools/OpenExplorer,closed,v190,[],"Mostly translation updates
Preference Fragments fixed
"
BrandroidTools/OpenExplorer,closed,Dev Catch Up - v189,[],
BrandroidTools/OpenExplorer,closed,Dev,[],
BrandroidTools/OpenExplorer,closed,Dev,[],"A few bugfixes
Enabled Icons for Grid & List View
"
BrandroidTools/OpenExplorer,closed,Dev,[],"Bugfixes - Rename file
Improvements - Menu prioritization on single item select, Search collapse on submit
"
BrandroidTools/OpenExplorer,closed,Dev,[],"Bugfixes
"
BrandroidTools/OpenExplorer,closed,Dev - Root & File Op Notification,[],
BrandroidTools/OpenExplorer,closed,Dev - Preference Fragment,[],"Many settings related fixes as well
"
BrandroidTools/OpenExplorer,closed,Dev - Zip Fixes,[],"Zip Fixes
Internal Handler Fix
Alternate Action menu for Zips & Texts
"
BrandroidTools/OpenExplorer,closed,Dev zip,[],"Zip fixes & new Alternate Action
"
BrandroidTools/OpenExplorer,closed,v182,[],"so many updates, so little time
"
BrandroidTools/OpenExplorer,closed,Dev,[],
BrandroidTools/OpenExplorer,closed,Dev,[],"Concurrency & Manifest Update
"
BrandroidTools/OpenExplorer,closed,Dev,[],"Checkmarks by Default
Major Network Folder selection bug fixed
"
BrandroidTools/OpenExplorer,closed,v176 update,[],
BrandroidTools/OpenExplorer,closed,Theming & Bugfixes,[],"Dark/Light works properly now
Google Analytics installed
"
BrandroidTools/OpenExplorer,closed,ABS & ViewPager Overhaul!,[],"Switch completely over to ActionBarSherlock
ViewPager massive fixes
Started rework of theming/icons/layouts
"
BrandroidTools/OpenExplorer,closed,Test abs,[],"Switching to Git Submodule instead of Project Library reference
"
BrandroidTools/OpenExplorer,closed,v167 release,[],
BrandroidTools/OpenExplorer,closed,SMB Working Well,[],"Unable to get Network Scanner working properly, but transfers are working now, and Name Resolution should work now.
"
BrandroidTools/OpenExplorer,closed,Fixed SMB + Logging Issues,[],
BrandroidTools/OpenExplorer,closed,v166 release,[],
BrandroidTools/OpenExplorer,closed,New folder fix,[],"This fix will correct the behavior of the 'New folder' dialog, allowing for the creation of new directories.  Doesn't handle folder creation inside of the /data/ or /system folders yet.
"
