repository,state,title,label,body
ctodobom/OpenNoteScanner,open,Android 8.1 stuck on take secound picture/scan,[],"Tested on compiled app and on app from google play.

On phone with android 8.1 ( Motorola g5s ) first scan taking without issue, when taking secound one after first one we se a rolling circle and photo don't shoot. We need to enter gallery, go back to scaner and press once again and photo is done, when trying to take another we need go to gallery, go back and press photo, on Android 8.0 and lower everything working good.

### Steps to reproduce
Android 8.1
Open ONS, take scan, take secound scan ( stuck !), go to gallery, go back, take scan and it's working.

### Expected behaviour
Stuck on secound scan.
[ons_log.txt](https://github.com/ctodobom/OpenNoteScanner/files/2610065/ons_log.txt)
"
ctodobom/OpenNoteScanner,closed,update japanese translation,[],"## Description

Update japanese translation.

## Type of change
Just put an x in the [] which are valid.
- [ ] Bug fix (non-breaking change which fixes an issue)
- [ ] New feature (non-breaking change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to not work as expected)

# How Has This Been Tested?

Please describe the tests that you ran to verify your changes.
- [ ] `./gradlew assembleDebug assembleRelease`
- [ ] `./gradlew checkstyle`

# Checklist:
- [x ] My code follows the style guidelines of this project
- [x ] I have performed a self-review of my own code
- [x ] I have commented my code, particularly in hard-to-understand areas
- [ ] I have made corresponding changes to the documentation
- [x ] My changes generate no new warnings
"
ctodobom/OpenNoteScanner,closed,Update japanese,[],"## Description

Update japanese translation

## Type of change
Just put an x in the [] which are valid.
- [ ] Bug fix (non-breaking change which fixes an issue)
- [ ] New feature (non-breaking change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to not work as expected)

# How Has This Been Tested?

Please describe the tests that you ran to verify your changes.
- [ ] `./gradlew assembleDebug assembleRelease`
- [ ] `./gradlew checkstyle`

# Checklist:
- [x ] My code follows the style guidelines of this project
- [x ] I have performed a self-review of my own code
- [ ] I have commented my code, particularly in hard-to-understand areas
- [x ] I have made corresponding changes to the documentation
- [x ] My changes generate no new warnings
"
ctodobom/OpenNoteScanner,closed,Updated PNG strings in Spanish,[],"
## Description

Updated the PNG strings in Spanish."
ctodobom/OpenNoteScanner,closed,Update about-nl.md,[],"The dutch about me was a bit broken, fixed it.

"
ctodobom/OpenNoteScanner,closed,Greek translation,[],"## Description
Updated Greek translation.

Fixes #(issue)

## Type of change
Just put an x in the [] which are valid.
- [ ] Bug fix (non-breaking change which fixes an issue)
- [ ] New feature (non-breaking change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to not work as expected)

# How Has This Been Tested?

Please describe the tests that you ran to verify your changes.
- [ ] `./gradlew assembleDebug assembleRelease`
- [ ] `./gradlew checkstyle`

# Checklist:
- [ ] My code follows the style guidelines of this project
- [ ] I have performed a self-review of my own code
- [ ] I have commented my code, particularly in hard-to-understand areas
- [ ] I have made corresponding changes to the documentation
- [ ] My changes generate no new warnings
"
ctodobom/OpenNoteScanner,closed,Update strings.xml,[],"## Description

Added the PNG dutch translations
See Issue [35](https://github.com/ctodobom/OpenNoteScanner/issues/35#issuecomment-439181756)

## Type of change
Just put an x in the [] which are valid.
- [ ] Bug fix (non-breaking change which fixes an issue)
- [ ] New feature (non-breaking change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to not work as expected)

# How Has This Been Tested?

Please describe the tests that you ran to verify your changes.
- [ ] `./gradlew assembleDebug assembleRelease`
- [ ] `./gradlew checkstyle`

# Checklist:
- [ ] My code follows the style guidelines of this project
- [ ] I have performed a self-review of my own code
- [ ] I have commented my code, particularly in hard-to-understand areas
- [ ] I have made corresponding changes to the documentation
- [ ] My changes generate no new warnings
"
ctodobom/OpenNoteScanner,open,Add support for PNG metadata,"[Label(name=""Intended feature""), Label(name=""enhancement""), Label(name=""help wanted"")]","Project now supports generating lossless PNG images, but this format isn't supported by ExifInterface methods.

Recently the folks that regulates the PNG format issued an standard for Exif tags on it, but I was unable to find any Android implementation for it, if somebody knows how to, help is wanted."
ctodobom/OpenNoteScanner,closed,Fixes #120: Sharing does not work. Fix :  using FileProvider to avoid…,[],"… FileUriExposedException when sharing files.

## Description

This commit fixes an issue where sharing would cause a crash due to a [FileUriExposedException](https://developer.android.com/reference/android/os/FileUriExposedException) being thrown when using `""file://""+filepath` to share images instead of using a `FileProvider`.

Fixes #120 

## Type of change
Just put an x in the [] which are valid.
- [x] Bug fix (non-breaking change which fixes an issue)
- [ ] New feature (non-breaking change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to not work as expected)

# How Has This Been Tested?

Please describe the tests that you ran to verify your changes.
- [ ] `./gradlew assembleDebug assembleRelease`
- [x] `./gradlew lint`
- [x] `Tested on _emulated_ Nexus One, Android 5.1, API 21
- [x] `Tested on _emulated_ Nexus 5X, Android 8.1, API 27
- [x] `Tested on Samsung GT-I8190, Android 7.1.1, API 25

# Checklist:
- [x] My code follows the style guidelines of this project
- [x] I have performed a self-review of my own code
- [ ] I have commented my code, particularly in hard-to-understand areas
- [ ] I have made corresponding changes to the documentation
- [x] My changes generate no new warnings
"
ctodobom/OpenNoteScanner,open,Low resolution scans on OnePlus 6,[],"I'm using a OnePlus 6 running Android P.
Scans with the app are in low resolution compared to photos taken by the device's camera, or scans using Google Drive.

Following TG discussion I am attaching the logcat output created when opening the app and scanning a page."
