repository,state,title,label,body
indication/OpenRedmine,closed,Fix bugs,"[Label(name=""bug"")]","- fix crash on Android 8 #219
- fix get token is failed #218 
- Upgrade to 28"
indication/OpenRedmine,closed,Czech translation,"[Label(name=""enhancement"")]",
indication/OpenRedmine,open,Crash on Android 8 in emilsjolander oss,[],"java.lang.IllegalStateException: 

	at se.emilsjolander.stickylistheaders.StickyListHeadersListView.onSaveInstanceState (StickyListHeadersListView.java:1098)
	at android.view.View.dispatchSaveInstanceState (View.java:18774)
	at android.view.ViewGroup.dispatchSaveInstanceState (ViewGroup.java:3905)
	at android.view.View.saveHierarchyState (View.java:18757)
	at android.support.v4.app.FragmentManagerImpl.saveFragmentViewState (FragmentManager.java:1758)
	at android.support.v4.app.FragmentManagerImpl.saveFragmentBasicState (FragmentManager.java:1778)
	at android.support.v4.app.FragmentManagerImpl.saveFragmentInstanceState (FragmentManager.java:691)
	at android.support.v4.app.FragmentStatePagerAdapter.destroyItem (FragmentStatePagerAdapter.java:136)
	at android.support.v4.view.ViewPager.populate (ViewPager.java:1145)
	at android.support.v4.view.ViewPager.setCurrentItemInternal (ViewPager.java:608)
	at android.support.v4.view.ViewPager.setCurrentItemInternal (ViewPager.java:570)
	at android.support.v4.view.ViewPager.setCurrentItem (ViewPager.java:551)
	at jp.redmine.redmineclient.activity.TabActivity$2.onTabSelected (TabActivity.java:71)
	at android.support.v7.app.WindowDecorActionBar.selectTab (WindowDecorActionBar.java:628)
	at android.support.v7.app.WindowDecorActionBar$TabImpl.select (WindowDecorActionBar.java:1213)
	at android.support.v7.widget.ScrollingTabContainerView$TabClickListener.onClick (ScrollingTabContainerView.java:574)
	at android.view.View.performClick (View.java:6891)
	at android.view.View$PerformClick.run (View.java:26083)
	at android.os.Handler.handleCallback (Handler.java:789)
	at android.os.Handler.dispatchMessage (Handler.java:98)
	at android.os.Looper.loop (Looper.java:164)
	at android.app.ActivityThread.main (ActivityThread.java:6938)
	at java.lang.reflect.Method.invoke (Native Method)
	at com.android.internal.os.Zygote$MethodAndArgsCaller.run (Zygote.java:327)
	at com.android.internal.os.ZygoteInit.main (ZygoteInit.java:1374)
"
indication/OpenRedmine,open,Get token is failed on Redmine 3.3,"[Label(name=""bug"")]",T/O
indication/OpenRedmine,closed,Release v3.22,"[Label(name=""release"")]","v3.22 - 2018/09/28
===========
- Update icons and Show title on issue or wiki (#207)
- Markdown support (#188)
- Update Portuguese(BR) translation by etcho
- Update Russian translation by roman.yagodin
"
indication/OpenRedmine,closed,Update env,[],Update to Android studio 3.0
indication/OpenRedmine,open,Send notifications,[],"It would be very useful to have a notifications function where notifications are shown on a change by others on assigned/tracked tickets, which opens said ticket upon tapping the notification."
indication/OpenRedmine,open,Organize Subprojects inside Parent-projects / Sort projects alphabetically,[],"Hello. We have many projects in our company. We organize them as subprojects for each department.

We have a responsive template in our redmine, works well in smartphones.  But your app is great because of the offline sync, so the team can see the tasks even without internet. 

However the lack of Parent/Sub-project (tree) view in the project page makes it really difficult to find information.

Another (and maybe easier to implement) important thing (even before parent/sub project view) is to sort projects alphabetically (like in redmine). This way we would at least be able to group related projects with a prefix in the name.

Keep up the great work, congratulations"
indication/OpenRedmine,closed,Add a Gitter chat badge to README.md,[],"### indication/OpenRedmine now has a Chat Room on Gitter

@indication has just created a chat room. You can visit it here: [https://gitter.im/OpenRedmine/Lobby](https://gitter.im/OpenRedmine/Lobby?utm_source=badge&utm_medium=badge&utm_campaign=pr-badge&content=body_link).

This pull-request adds this badge to your README.md:


[![Gitter](https://badges.gitter.im/OpenRedmine/Lobby.svg)](https://gitter.im/OpenRedmine/Lobby?utm_source=badge&utm_medium=badge&utm_campaign=pr-badge&utm_content=body_badge)

If my aim is a little off, please [let me know](https://github.com/gitterHQ/readme-badger/issues).

Happy chatting.


PS: [Click here](https://gitter.im/settings/badger/opt-out) if you would prefer not to receive automatic pull-requests from Gitter in future.
"
indication/OpenRedmine,closed,beautiful typo is beautiful,[],
