repository,state,title,label,body
osmandapp/Osmand,open,Feature request: add Guaraní voice guidance,[],"Please consider adding the Guaraní language in the list of available voices.
The Guaraní language is widely used and is official in Paraguay, Bolivia and Argentina. It is also used in the southwest of Brazil.
The ISO 639-1 code for the Guarani language is ""gn"", so the identifier must be: ""gn-py""


"
osmandapp/Osmand,open,Feature request: add Thai voice guidance,[],Please add the Thai language for voice guidance.
osmandapp/Osmand,open,"""Wikipedia <Language>"" search results should show results in configured language",[],"The search offers two Wikipedia categories, ""Wikipedia"" and ""Wikipedia _Current Language_"". For ""Wikipedia _Current Language_"" I would expect to see the results in the current language, however they are shown in English instead.

Example:
![photo_2018-11-29_08-07-13](https://user-images.githubusercontent.com/1040784/49205268-d3519b80-f3ae-11e8-93c9-1393afc2eb22.jpg)

Left: OsmAnd language set to English, search results for Wikipedia _English_.
Center: OsmAnd language set to German, search results for Wikipedia _German_. Names are expected to show up in German but they don't.
Right: After tapping on the first search result (highlighted in red). The German name for the POI *is* shown.

So the translated names are definitely available, OsmAnd just doesn't use them in the result list. It even looks like OsmAnd tries to use the English POI names, despite the language being set to German.

geo:51.10945,17.03471?z=16
https://osmand.net/go?lat=51.10945&lon=17.03471&z=16
OsmAnd 3.2.6"
osmandapp/Osmand,open,Offer an option to modify the heuristicCoefficient,[],"Could we have an advanced/developer option allowing us to choose a different value for the `heuristicCoefficient`, please? (without needing to manually create and modify the `routing.xml` file)

The discussion starting at https://groups.google.com/d/msg/osmand/YbVpYl2Rbhk/kMtMntg2AQAJ can give you an idea on how welcome such feature would be."
osmandapp/Osmand,closed,Loch Ness is not displayed on the overview map,"[Label(name=""Observed"")]","The lake is visible only at close zooms
![image](https://user-images.githubusercontent.com/40493090/49089332-05a2b200-f264-11e8-8574-73d05947999f.png)
![image](https://user-images.githubusercontent.com/40493090/49089345-0a676600-f264-11e8-9aa2-bce4634d781b.png)

It is also not visible on the world overview map
![image](https://user-images.githubusercontent.com/40493090/49089395-25d27100-f264-11e8-86de-56300c30a46a.png)

"
osmandapp/Osmand,closed,No language update lately?,[],"_OsmAnd v3.2.6 Unlimited on Android_

Hello,

During this month or so I've received two OsmAnd updates: one in the beginning of the month -- I can't remember the exact day -- and the 2nd on 15th. But I noticed the interface texts have been the same since last month and there have been no commits into this Git from Weblate since 12th, even though I've submitted [a few translations](https://github.com/osmandapp/Osmand/commits?author=igoreliezer) during the period.

Just to give an idea, [this commit](https://github.com/osmandapp/Osmand/commit/25008364f071041088507c5860978df30af3d0b5) wasn't included in both updates.

(Edit: BTW, I can receive the translation updates via OsmAnd Nightly. I'm wondering about the release version)

Sorry if I'm mistaken. :)"
osmandapp/Osmand,open,App still uses http protocol,[],"With Lineage OS 15.1 + OsmAnd~ 3.2.5 from f-droid.

During map updates/live update plain http protocol is used. Would it be possible to switch completely to https?

![screenshot_20181126-153351_net_monitor](https://user-images.githubusercontent.com/1097047/49020928-d6bc0b80-f191-11e8-9c44-dc052a7b825e.png)
"
osmandapp/Osmand,open,"""Dedicated places for disabled"" filter is missing in Parking POIs search",[],"The filter is shown when searching in Custom search - Transportation - Parking - Search - filter.
![image](https://user-images.githubusercontent.com/40493090/49011794-082bdb80-f180-11e8-86c3-dae1caef0508.png)


The filter is missing when searching in Search - Categories - Parking - filter. 
![image](https://user-images.githubusercontent.com/40493090/49011897-648efb00-f180-11e8-8e3f-1c7a7e73af92.png)
"
osmandapp/Osmand,open,Labelling of hiking routes,[],"Hi, when Configure Map → Routes → Hiking symbol overlay was activated, OsmAnd used to show the entire route name in the labels at higher zoom levels. For instance, it was ""Lim"" at low zoom levels but ""Limeswanderweg [Taunus]"" at higher levels for relation #63178. 

This feature seems to have gone recently, now it’s ""Lim"" at any zoom level. I would like to have this switched back so I can look up the full name by zooming in. In many cases, and in case of multiple routes sharing a way, the abbreviations can be odd and non-informative. 

--ks"
osmandapp/Osmand,open,House numbers are not displayed at certain zoom levels,"[Label(name=""Nice to Have"")]","55.284786, 52.005459
Some house numbers are displayed while others disappear while zooming out.
![image](https://user-images.githubusercontent.com/40493090/48980132-95622800-f0cd-11e8-803d-b8abd6e494db.png)

![image](https://user-images.githubusercontent.com/40493090/48980128-8ed3b080-f0cd-11e8-9cd4-afc5881a1167.png)
"
