repository,state,title,label,body
NightWhistler/PageTurner,open,Can't import this in android studio 3.1.4,[],"Hello guys,

I can't import this project in android studio, there are so many issues coming when I run the app in device.

@hanjiang-stanford : Please update this project to support latest android version 28.

Thanks."
NightWhistler/PageTurner,open,Unable to compile the project in latest Android Studio gradle.,[],"Hi, 

I am facing this issue while compilation your repo into the latest android studio 3.0.1 and getting
this error -
`Unsupported method: BaseConfig.getApplicationIdSuffix().
The version of Gradle you connect to does not support that method.
To resolve the problem you can change/upgrade the target version of Gradle you connect to.
Alternatively, you can ignore this exception and read other information from the model.`

while in the android studio version 2.3.3, it is working fine but since my live project is on the newer Gradle version. 

So, as I need to import it as a module if I will be able to compile on the newer one.


Please help me out It's Urgent.  "
NightWhistler/PageTurner,open,How to add pageturner into existing android studio project,[],"I want to add PageTurner project into my existing project using gradle dependency or as library...

Please help..."
NightWhistler/PageTurner,open,Read Everyday,[],"Let's say I want to read a certain amount of time, words, paragraphs or chapters per day in a book.  PageTurner should show me where to end my reading for the day.  PageTurner should display a notification that cannot be cleared until I have completed the reading for the day.

This is great for people who want to read say poems or scriptures each day.  PageTurner will help the people remember to read and keep track of where to start and end.  For example, let's say I want to read through the entire Bible or War and Peace.  I do not necessary want to finish by a certain date but I do want to finish eventually.  This feature would keep me going at a good pace.

I was thinking about making my own product to do this.  I asked around to see how much interest there are in people.  A large percentage of people I talked to thought this was a great idea and asked me to let them know when it is ready."
NightWhistler/PageTurner,open,Finish Reading a Book by a Specified Date,[],"Let's say I want to finish reading a book by a certain date.  PageTurner should calculate how much I should read each day and then show me in the text where to read to.  If I read ahead, PageTurner should re-calculate the amount each day so that I read less each day.  If I fall behind, PageTurner should re-calculate the amount each day so that I read more each day.

PageTurner should also show a notification that cannot be cleared until I complete the amount of reading for the day.  Also, PageTurner should allow me to specify dates for several books and there should be a notification for each book.

This feature is great for students who need to read a textbook for class.  If a teacher assigns a book to read, then the students can finish in the right amount of time.

I was thinking about making my own product to do this. I asked around to see how much interest there are in people. A large percentage of people I talked to thought this was a great idea and asked me to let them know when it is ready."
NightWhistler/PageTurner,open,Bullet Points,[],"Add bullet points to next page even if the line is continued , and having indentation issues with bullet points for epub file"
NightWhistler/PageTurner,open,Go to Page (jump directly to user entered page number),[],"# Description
I have implement GO TO page feature in this App. It help user to jump directly on entered page number. 
I have got most of success, and in most of cases i can jump successfully at given page number.

I have implement this feature in search which is already present and comments old code as given below in **Edited Files>ReadingFragment.java>performSearch(String query)** 

# Issues
(1). In some cases page number jump to diffrent pages, like if i enterd 110 then it will redirect to 109.
(2). when i want to jump at chapter starting page number then page number is changed but chapter containt does not changes. like if chapter start with page no. 49, I am on Page no. 99, when i enter 49 then page number is been change to 49 but containt is of page no. 99. 

# Edited Files


> PageChangeStrategy.java

`public void gotoPage(int pageNumber);`


> BookView.java

`public void gotoPageNumber(int pageNum) {   

    strategy.gotoPage(pageNum);
    progressUpdate();
}`


> FixedPagesStrategy.java

`@Override
public void gotoPage(int pageNumber) {

    PageTurnerSpine spinePos = bookView.getSpine();

    this.storedPosition = -1;

    int currentPage = getCurrentPage() + spinePos.getUptoPage(spinePos.getPosition());
    Log.e(TAG, ""Adding >> Upto Page : "" + spinePos.getUptoPage(spinePos.getPosition())
            + "", currentPage :  "" + getCurrentPage());
    Log.e(TAG, ""pagenum : "" + pageNum);

    if (pageNumber > currentPage) {     //pageNumber is greater then current page

        int jumpSpine = spinePos.getIndexFromPage(pageNumber);
        int currentSpine = spinePos.getPosition();
        Log.e(TAG, ""jumpSpine : "" + jumpSpine + "", currentSpine : "" + currentSpine);

        if (jumpSpine == currentSpine) {

            int diffrence = pageNumber - currentPage;
            Log.e(TAG, ""diffrence < : "" + diffrence);

            Log.e(TAG, ""Minimum >> PageOffSets - 1 : "" + (spinePos.getPageOffSets(currentSpine) - 1)
                    + "", pageNum + diffrence : "" + (pageNum + diffrence));

            this.pageNum = Math.min(pageNum + diffrence, spinePos.getPageOffSets(currentSpine) - 1);
            updatePosition();

        } else {

            PageTurnerSpine spine = bookView.getSpine();

            if (spine == null || !spine.navigateFrontSpine(spine.getIndexFromPage(pageNumber))) {
                return;
            }
            this.pageNum = 0;

            gotoPage(pageNumber);

        }

    } else {                            //pageNumber is less then current page

        int jumpSpine = spinePos.getIndexFromPage(pageNumber);
        int currentSpine = spinePos.getPosition();
        Log.e(TAG, ""jumpSpine : "" + jumpSpine + "", currentSpine : "" + currentSpine);

        if (jumpSpine == currentSpine) {

            int diffrence = currentPage - pageNumber;
            Log.e(TAG, ""diffrence > : "" + diffrence);

            Log.e(TAG, ""pagenum - diffrence : "" + (pageNum - diffrence));

            this.pageNum = Math.max(pageNum - diffrence, 0);
            updatePosition();

        } else {

            PageTurnerSpine spine = bookView.getSpine();

            if (spine == null || !spine.navigateBackSpine(spine.getIndexFromPage(pageNumber))) {
                return;
            }
              this.storedPosition = Integer.MAX_VALUE;
            this.pageNum = 0;

            gotoPage(pageNumber);
        }
    }

    Log.e(TAG, ""In last pageNum : "" + pageNum);
}`


> PageTurnerSpine.java

`//  get index from page number
public int getIndexFromPage(int pageNumber) {
    int total = 0;
    int totalIndex = 0;

    for (List<Integer> pagesPerSection : pageOffsets) {
        total += pagesPerSection.size();
        totalIndex = totalIndex + 1;
        if (total - 1 >= pageNumber) {
            return totalIndex - 1;
        }
    }
    return 0;
}

//  get total pages before given index
public int getUptoPage(int position) {
    int total = 0, max = 0;
    for (List<Integer> pagesPerSection : pageOffsets) {
        max = max + 1;

        if (position == max - 1) {
            return total;
        }
        total += pagesPerSection.size();
    }
    return 0;
}

//  get current index pageOffSets
public int getPageOffSets(int position) {
    int max = 0;
    for (List<Integer> pagesPerSection : pageOffsets) {
        max = max + 1;

        if (position == max - 1) {
            return pagesPerSection.size();
        }
    }
    return 0;
}

//  jump to particular index forward
public boolean navigateFrontSpine(int indexSpine) {

    if (this.position == size() - 1) {
        return false;
    }

    this.position = indexSpine;
    return true;
}

//  jump to particular index backward
public boolean navigateBackSpine(int indexSpine) {

    if (this.position == 0) {
        return false;
    }

    this.position = indexSpine;
    return true;
}`


> ReadingFragment.java

`public void performSearch(String query) {
	
	int index = Integer.parseInt(query);

	if (index > bookView.getTotalNumberOfPages()) {
            Toast.makeText(context, ""Please enter number between 0 to "" + bookView.getTotalNumberOfPages(), Toast.LENGTH_SHORT).show();
    } else {
            bookView.gotoPageNumber(index);
    }

//        final ProgressDialog searchProgress = new ProgressDialog(context);
//        searchProgress.setOwnerActivity(getActivity());
//        searchProgress.setCancelable(true);
//        searchProgress.setMax(100);
//        searchProgress.setProgressStyle(ProgressDialog.STYLE_HORIZONTAL);
//
//
//        final int[] counter = {0}; //Yes, this is essentially a pointer to an int :P
//
//        final SearchTextTask task = new SearchTextTask(bookView.getBook());
//
//        task.setOnPreExecute(() -> {
//
//            searchProgress.setMessage(getString(R.string.search_wait));
//            searchProgress.show();
//
//            // Hide on-screen keyboard if it is showing
//            InputMethodManager imm = (InputMethodManager) context.getSystemService(Activity.INPUT_METHOD_SERVICE);
//            imm.toggleSoftInput(InputMethodManager.HIDE_IMPLICIT_ONLY, 0);
//
//        });
//
//        task.setOnProgressUpdate((values) -> {
//
//            if (isAdded()) {
//
//                LOG.debug(""Found match at index="" + values[0].getIndex()
//                        + "", offset="" + values[0].getStart() + "" with context ""
//                        + values[0].getDisplay());
//                SearchResult res = values[0];
//
//                if (res.getDisplay() != null) {
//                    counter[0] = counter[0] + 1;
//                    String update = String.format(
//                            getString(R.string.search_hits), counter[0]);
//                    searchProgress.setMessage(update);
//                }
//
//                searchProgress.setProgress(bookView.getPercentageFor(res.getIndex(), res.getStart()));
//            }
//        });
//
//        task.setOnCancelled((result) -> {
//            if (isAdded()) {
//                Toast.makeText(context, R.string.search_cancelled,
//                        Toast.LENGTH_LONG).show();
//            }
//        });
//
//        task.setOnPostExecute((result) -> {
//            searchProgress.dismiss();
//
//            if (!task.isCancelled() && isAdded()) {
//
//                List<SearchResult> resultList = result.getOrElse(new ArrayList<>());
//
//                if (resultList.size() > 0) {
//                    searchResults = resultList;
//                    showSearchResultDialog(resultList);
//                } else {
//                    Toast.makeText(context,
//                            R.string.search_no_matches, Toast.LENGTH_LONG)
//                            .show();
//                }
//            }
//        });
//
//        searchProgress.setOnCancelListener(dialog -> task.cancel(true));
//        executeTask(task, query);
		
}`




Thanks.

"
NightWhistler/PageTurner,open,Previous page on browser-style scrolling?,[],"Just discovered the browser-style scrolling option, and I like it a lot. However, I'm feeling stupid because I just can't figure out a way to go to the previous ""page"". There's a button at the end to go to the next page, but how can I go to the previous page? I tried any gesture and button that I could think of. Thanks for any help!
"
NightWhistler/PageTurner,open,"Downloaded project and running in android studio, during gradle sync following error appears",[],"downloaded complete sample of page turner and while tried to run its sample, during the process of gradle sync following error appears:

Error:(26, 0) Cannot add a configuration with name 'testCompile' as a configuration with that name already exists.
-- openFile:/home/adstuck-014/AndroidStudioProjects/PageTurner-master/build.gradle"" -- 

While clicking on above link it redirects to line : "" apply plugin: 'robolectric' "" in build.gradle file
"
NightWhistler/PageTurner,open,Error compiling AppCompat-v7 branch in Android Studio,[],"Hi,
The appcompat version of PageTurner compiles fine in terminal with ""gradle assembleDebug"" command.
However, I get the following errors while compiling in Android Studio (v1.5 RC1) -

```
/Volumes/Projects/PageTurner/res/values/styles.xml
Error:(2) Error retrieving parent for item: No resource found that matches the given name '@style/Theme.AppCompat.Light.DarkActionBar'.
Error:(2) Error retrieving parent for item: No resource found that matches the given name '@style/Theme.AppCompat'.
Error:(2) Error retrieving parent for item: No resource found that matches the given name '@style/Theme.AppCompat.Light.DarkActionBar'.
Error:(2) Error retrieving parent for item: No resource found that matches the given name 'Widget.AppCompat.ActionBar'.
```

How can I solve this issue?
"
