repository,state,title,label,body
devonjones/PathfinderOpenReference,open,Please add ultimate intrigue,[],Amazing tool.  Would love to have ultimate intrigue included!
devonjones/PathfinderOpenReference,open,New F-Droid version?,[],"I'm a fan of open source software. Sadly there is no current version of the PathfinderOpenReference-app in the alternative F-Droid store. Is there the possibility to add it back? Currently the older versions have weak signatures and the newest release does not seem to build.
This is great software and I would be happy to install it from F-Droid."
devonjones/PathfinderOpenReference,open,SQLiteCantOpenDatabaseException,[],"//package name: org.evilsoft.pathfinder.reference
//version: 1.3.0
 android.database.sqlite.SQLiteCantOpenDatabaseException: unknown error (code 14): Could not open database
 	at android.database.sqlite.SQLiteConnection.nativeOpen(Native Method)
 	at android.database.sqlite.SQLiteConnection.open(SQLiteConnection.java:209)
 	at android.database.sqlite.SQLiteConnection.open(SQLiteConnection.java:193)
 	at android.database.sqlite.SQLiteConnectionPool.openConnectionLocked(SQLiteConnectionPool.java:463)
 	at android.database.sqlite.SQLiteConnectionPool.open(SQLiteConnectionPool.java:185)
 	at android.database.sqlite.SQLiteConnectionPool.open(SQLiteConnectionPool.java:177)
 	at android.database.sqlite.SQLiteDatabase.openInner(SQLiteDatabase.java:804)
 	at android.database.sqlite.SQLiteDatabase.open(SQLiteDatabase.java:789)
 	at android.database.sqlite.SQLiteDatabase.openDatabase(SQLiteDatabase.java:694)
 	at android.database.sqlite.SQLiteDatabase.openDatabase(SQLiteDatabase.java:669)
 	at org.evilsoft.pathfinder.reference.db.BaseDbHelper.checkDatabase(BaseDbHelper.java:89)
 	at org.evilsoft.pathfinder.reference.db.BaseDbHelper.createDatabase(BaseDbHelper.java:42)
 	at org.evilsoft.pathfinder.reference.db.DbWrangler.checkIndexDb(DbWrangler.java:66)
 	at org.evilsoft.pathfinder.reference.db.DbWrangler.checkDatabases(DbWrangler.java:54)
 	at org.evilsoft.pathfinder.reference.StartActivity$SetupDBTask.doInBackground(StartActivity.java:65)
 	at org.evilsoft.pathfinder.reference.StartActivity$SetupDBTask.doInBackground(StartActivity.java:59)
 	at android.os.AsyncTask$2.call(AsyncTask.java:287)
 	at java.util.concurrent.FutureTask.run(FutureTask.java:234)
 	at android.os.AsyncTask$SerialExecutor$1.run(AsyncTask.java:230)
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1080)
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:573)
 	at java.lang.Thread.run(Thread.java:841)"
devonjones/PathfinderOpenReference,closed,Useless parentheses around expressions should be removed,[],"This pull request is focused on resolving occurrences of Sonar rule 
squid:UselessParenthesesCheck - “ Useless parentheses around expressions should be removed to prevent any misunderstanding ”. 
You can find more information about the issue here: 
https://dev.eclipse.org/sonar/rules/show/squid:UselessParenthesesCheck
Please let me know if you have any questions.
Ayman Abdelghany.
"
devonjones/PathfinderOpenReference,open,Merging collapsible if statements increases the code's readability,[],"This pull request is focused on resolving occurrences of Sonar rule 
squid:S1066 - “Collapsible ""if"" statements should be merged”. 
You can find more information about the issue here: 
https://dev.eclipse.org/sonar/rules/show/squid:S1066
Please let me know if you have any questions.
Ayman Abdelghany.
"
devonjones/PathfinderOpenReference,open,Literal boolean values should not be used in condition expressions,[],"This pull request is focused on resolving occurrences of Sonar rule 
squid:S1125- “Literal boolean values should not be used in condition expressions”. You can find more information about the issue here: 
https://dev.eclipse.org/sonar/rules/show/squid:S1125
Please let me know if you have any questions.
Ayman Abdelghany.
"
devonjones/PathfinderOpenReference,closed,Utility classes should not have public constructors,[],"This pull request is focused on resolving occurrences of Sonar rule 
squid:S1118 - “Utility classes should not have public constructors ”. You can find more information about the issue here: 
https://dev.eclipse.org/sonar/rules/show/squid:S1118
Please let me know if you have any questions.
Ayman Abdelghany.
"
devonjones/PathfinderOpenReference,closed,"Synchronized classes Vector, Hashtable, Stack and StringBuffer should not be used",[],"This pull request is focused on resolving occurrences of Sonar rule 
squid:S1149 - “Synchronized classes Vector, Hashtable, Stack and StringBuffer should not be used ”. You can find more information about the issue here: 
https://dev.eclipse.org/sonar/rules/show/squid:S1149
Please let me know if you have any questions.
Ayman Abdelghany.
"
devonjones/PathfinderOpenReference,open,White-on-black mode,[],"I'd appreciate a setting to invert text rendering to be white text on black background (a.k.a. ""night mode""). The current white background can be a bit distracting on the game table.
"
devonjones/PathfinderOpenReference,closed,Android studio,[],
devonjones/PathfinderOpenReference,closed,Comment removed,[],
devonjones/PathfinderOpenReference,open,Slight Error in Neried's Grace spell,[],"Neried's Grace list range as Touch but should be Personal.  Slight difference but important
"
devonjones/PathfinderOpenReference,closed,Add PF unchained ( it's on the paizo prd!),[],"At long last, paizo added some of their more recent books to their online prd! See e.g. http://paizo.com/pathfinderRPG/prd/unchained/classes/index.html
Could you re-rip the data and deploy it in the app?

Love the masterwork tools, keep it up :)
"
devonjones/PathfinderOpenReference,open,"Hunter spell list is broken, same spell shows up many times.",[],
devonjones/PathfinderOpenReference,open,Empiricist archetype isn't in investigator list.,[],
devonjones/PathfinderOpenReference,closed,Advanced Class Guide does not show up in Preferences,[],"This means you cannot disable it for use with core campaign, for example.
"
devonjones/PathfinderOpenReference,open,Bookmarked items don't show up in left pane when viewing a specific one in tablet mode,[],"Here's what happens:
1) Make a bookmark list with a few items in it.
2) In tablet mode (so items appear in a column on the left), epxand the Bookmarks section, then pick a particular list of bookmarks.
3) Tap one of the bookmarks in the right pane.
4) The data for the bookmark now appears in the right pane, but the left pane is now blank.  In previous versions, the left pane would now contain the list of bookmarked items.
"
devonjones/PathfinderOpenReference,closed,Updates for spell layouts and some deprecated layout parameters,[],
devonjones/PathfinderOpenReference,open,It does not launch on a Xiaomi Redmi Note with Miui 25. ,[],"I have just changed my cell phone to a Xiaomi Redmi Note with Miui 25 and the app is not working. Sometimes I have managed to start it just the first time after downloading it but just in that occasion.
I have just registered as a beta tester following suggestion of a comment. If I can do anything to inform you with more specific data please let me know and I'll do my best (which could be little help).

Thanks for the great app by the way.
"
devonjones/PathfinderOpenReference,closed,Can't set bookmarks when examining search sub-results,[],"When you search for something that has multiple matches and you choose one of the matches, the menu that lets you pick a bookmark collection is always empty, which means you cannot add the item to that collection.

I can reproduce this on both my Samsung Note II phone running Android 4.2.2 and my HP Touchpad tablet running 4.1.2.

Steps to reproduce:
1) From the main index, add a new collection.
2) Tap the search bar in the upper right and search for something that will have multiple matches; for example, ""goblin"".
3) Note that at this point, the menu at the top that should let you select a bookmark collection is empty.  Tapping it briefly highlights it but has no other effect.
4) After selecting one of the search matches on the left, the menu is still empty, and tapping the ""star"" icon in the upper right to add it to the collection has no effect.
"
devonjones/PathfinderOpenReference,closed,Fixed the defect with spell description being truncated at period,[],
devonjones/PathfinderOpenReference,open,zoom or layout issues when rotating,[],"The zoom changes inappropriately when rotating the screen.

Steps to reproduce:
1) go to a page with a wide table, like Mythic Feats, in portrait orientation
2) rotate device to landscape
3) rotate back to portrait
4) rotate again to landscape
Expected: screen at step 3 should look exactly the same as step 1, and steps 2 & 4 should look alike
Observed: screen at step 3 is zoomed in (or maybe step 1 is zoomed out?). Likewise for 4 vs. 2

Workaround: reload the page by clicking on the heading and selecting the page itself from the dropdown list

My device is a Moto X XT1049 running KitKat 4.4.2

Screenshots of the steps:
step 1
https://www.dropbox.com/s/f1c68m3ryc15rld/Screenshot_2014-05-08-15-02-11.png

step 2
https://www.dropbox.com/s/ant03rotjiija2n/Screenshot_2014-05-08-15-02-20.png

step 3
https://www.dropbox.com/s/g3wjp6j7btp1h3m/Screenshot_2014-05-08-15-02-28.png

step 4
https://www.dropbox.com/s/v045a3nw60od227/Screenshot_2014-05-08-15-02-35.png
"
devonjones/PathfinderOpenReference,open,Crashes when navigating back up bread crumb trail,[],"In tablet mode. 
1) launch app
2) open up cleric
3) select search 
4) select app icon
5) select search
6) select app icon
"
devonjones/PathfinderOpenReference,open,Adding content,[],"Is or will you make it to where we can add stuff to the app
a section for adding content  is all this app is lacking
"
devonjones/PathfinderOpenReference,open,Improved / advanced search,[],"As I've mentioned before I love this app. It's great for looking up things... When you know what it's called.  It would be nice to have a search that would show you the articles that had your results in them.

Currently you can find one of the larger category articles and do a find. But sometimes I find the articles aren't complete sources, especially when it spans multiple books (eg: there is no single complete list of evolutions for an eidolon).

I don't know how you have the db side of things done, but you could possibly include a drop down filter. 

For example, doing a search for 'crit' would turn up results such as 'improved devastating strike' 

This feat doesn't have crit in the name, nor is it categorized as a critical feat (combat and general) but it does help to confirm critical hits. 
"
devonjones/PathfinderOpenReference,open,Traits,[],"I love this tool, it's great for rule lookups, levelling, and as a character sheet reference. I could live to see a trait section breakdown similar to spells. Have them broken down by trait type. 
"
devonjones/PathfinderOpenReference,open,Boomark organization,[],"It would be nice to be able to arrange the order of things in the bookmarks.
"
