repository,state,title,label,body
j4velin/Pedometer,closed,Add Russian description for Google Play,[],privet!
j4velin/Pedometer,closed,Translate Google Play description,[],"I'd like to contribute Russian translation for your Google Play application entry. Currently, it's in English https://play.google.com/store/apps/details?id=de.j4velin.pedometer&hl=ru

Can you guide me on this? I think having a file in this repo with a description written in different languages is the right way."
j4velin/Pedometer,closed,Android System thinks pedometer is running in the foreground,[],"I'm running LineageOS 15.1, Android 8.1. I updated Pedometer from v1.5.6 to v1.5.8 today. The change log of v1.5.8 reads ""add settings shortcut to notification settings on Android 8+"". Now in the settings of pedometer there is a ""Notification settings"" option, I click on this option and it will jump to the system notification settings of pedometer. 

Now the problem is, if I turn off the notification of Pedometer, the Android System will show a notification saying that ""Pedometer is using battery"". And in the battery usage information of Pedometer, the ""While in background"" entry is 0 minute, the “While in active use"" entry equals the time I unplug my phone after full charge. That is to say, though pedometer is actually running in the background, the Android System thinks Pedometer is running in the foreground (in active use) and pop up a notification notifying me of that.

I downgrade to v1.5.6 and the issue is gone. Now Pedometer is being deemed by the Android System as being running in the background again, and the ""While in background"" entry starts to grow normally. No notification of ""Pedometer is using battery"" any more. In the settings of v1.5.6, the ""Show notification"" is a check box, instead of an option that will direct me to the system notification settings of Android 8.1.


![pedometer_v1 4 8](https://user-images.githubusercontent.com/1805467/48193836-6ab26880-e386-11e8-824d-5066c93fdbe5.jpg)
"
j4velin/Pedometer,closed,Translated the strings.xml into Finnish.,[],"Hey, I wanted to contribute to this neat app which I have been using for a long time so I translated this into my native language. I don't have Android development environment set up at the time so I did not test this. Hopefully it works out of the box.

Cheers! "
j4velin/Pedometer,open,Incorrect ,[],"For a couple of days I can see this daily behaviour:
- Steps of the day before are far too high 
- Pedometer shows Active, but remains on 0
- goal reached in X steps is higher than the fixed goal input

If I export the data, correct the day before manually approx. and import the csv then it counts normally. 
Next day after shutdown/reboot (Hardware Button) - the same behaviour.

Any solution? "
j4velin/Pedometer,open,"Changing the number picker dialog on ""goal"" settings to custom dialog? ",[],"i think using number picker dialog to modify the goal is rather ineffective, maybe a custom dialog that asserts user input to number only will be a better option to modify user's goal.  

I'm a CS student with an assignment to approach and try to contribute to an Open-source community, sorry if this is a waste of time. thank you...

PS: great application 👍, i learned a lot from it   

- "
j4velin/Pedometer,closed,Updated AndroidManifest.xml,[],"The Launcher activity seemed to get distorted when the rotation changed from Portrait to Landscape. So added ""screenOrientation: Portrait"" to prevent it from changing."
j4velin/Pedometer,open,Resetting pedometer?,[],I installed it and cannot figure out how to reset the count after a trip (without erasing all appdata of course)?
j4velin/Pedometer,closed,Thank you!,[],Just wanted to leave a HUGE THANK YOU for this awesome app! It offers everything I could ask for and works perfectly without data mining. 
j4velin/Pedometer,closed,Offer To Copywrite,[],"Hello,
I notice some document such as FAQs, About Us and Privacy Policy is missing. I would love to contribute them to your project.
Please let me know if you want me to do so."
j4velin/Pedometer,open,App bar not showing properly on Samsung SM-900 Android 5.0 API 21,[],"Hello @j4velin Ithanks for this wonderful app. I ran the app on my samsung SM-900 device and the app bar doesn't appear correctly. The background for the app bar is dark, and the label for the app is also dark making it difficult for the App's title to be seen."
j4velin/Pedometer,open,Not reading steps correctly,[],"Reads steps like 10. . 16. . 27. . .35. . .

Used to work fine when I was on Android 5.1, but fails in Android 7.1.

"
j4velin/Pedometer,open,App occasionally records approximately 10x actual steps for a day,[],"I've been using the app for a couple of months now, and generally it works great, thank you! However, in my first week of using it and again just yesterday I had one day show up with something like 200k (not 2 million, as in one of the closed issues) steps, when I probably did about 10k. This is on a Blackberry Priv, for what it's worth. I don't have any reliable way to reproduce this, unfortunately. I didn't to the best of my knowledge do any unusual activities on the two days when this happened.

It would be nice if I could at least discard these days from my statistics, either automatically or via some kind of manual process. Perhaps there could be a user-settable cap and the number of steps per day is never allowed to be recorded as more than that? Or (more difficult, I'm sure) perhaps the average number of steps per second between readings of the hardware step counter could be calculated, and if it shows a rate above some value the reading is discarded.

If there's anything I can do to help debug this problem please let me know, and thanks very much for making the app available in the first place!"
j4velin/Pedometer,closed,translation of app to ptBr.,[],Done the translation of the application.
j4velin/Pedometer,open,Notification and widget still count when pedometer is paused,[],"Hi,
Trying to figure how #116 behave. I've paused the pedometer all day. The in app counter stay still (at around 8000 after importing data) and haven't counted step since the morning but notification and widget have (around 17500 this evening).
Then when I unpaused the app, the in app counter synced with notification/widget counter and display around 17500.
I try to export data. The file report 3 steps for the current day and that was the correct value for today (the value displayed before importing data).
Pedometer version is 1.5.4 from Google Store on Android 7.0 (Huawei P9 lite VNS-L31).
Best,
Sylvain"
j4velin/Pedometer,open,enable achievements in F-Droid version,[],"Hi.
Why are the achievements disabled in the F-Droid version? It is possible to enable them? I dont want to share it, just for personal motivation.
Regards
Nils"
j4velin/Pedometer,closed,LOGO DESIGN PROPOSAL,[],"Hi Sir j4velin, I am proposing a logo/icon design for Pedometer.I hope you would like and consider it. Thanks a lot! I'm willing to make adjustments to your liking if ever. Here is the link Sir. 

https://utopian.io/utopian-io/@tobaloidee/my-icon-logo-design-proposal-for-pedometer


Thanks, 
Tobaloidee"
j4velin/Pedometer,open,Incorrect entry for a day when the phone does a soft reboot,[],"Hello,

Thank you very much for this software. I found a bug during my daily usage. When I do a soft reboot of the phone the step count raised incorrectly by a big amount. From almost zero to almost 10.000 steps.

I used App Version 1.5.1 on a Samsung Galaxy S7 Edge with Android 7.1.2 (Lineage: 14.1) "
j4velin/Pedometer,closed,Added hu (Hungarian) translation,[],"I have translated your application into `hu` (*Hungarian*). Here is the xml:
```xml
<?xml version=""1.0"" encoding=""utf-8""?>
<resources
    xmlns:tools=""http://schemas.android.com/tools""
    tools:ignore=""MissingTranslation"">

    <string name=""app_name"">Pedometer</string>
    <string name=""goal"">Cél</string>
    <string name=""step_size"">Lépés méret</string>
    <string name=""about"">Névjegy</string>
    <string name=""account"">Fiók</string>
    <string name=""goal_summary"">Jelenlegi cél: %,d lépés</string>
    <string name=""step_size_summary"">Jelenlegi lépésméret: %1$.2f %2$s</string>
    <string name=""sign_in"">Jelentkezzen be Google-fiókjával az Eredmények és a Ranglisták funkciók használatához</string>
    <string name=""signed_in"">Bejelentkezve mint %s</string>
    <string name=""export_summary"">Mentse adatait .csv fájlba</string>
    <string name=""export_title"">Exportálás/Mentés</string>
    <string name=""import_summary"">Importálja az előzőleg mentett adatokat</string>
    <string name=""import_title"">Importálás/Visszaállítás</string>
    <string name=""notification"">Értesítések mutatása</string>
    <string name=""set_goal"">Cél beállítása</string>
    <string name=""set_step_size"">Lépéshossz beállítása</string>
    <string name=""sign_out"">Kijelentkezés</string>
    <string name=""file_cant_read"">Hiba: %s nem olvasható</string>
    <string name=""error_file"">Hiba történt a %s fájl elérése közben</string>
    <string name=""error_external_storage_not_available"">Hiba: külső tárhely nem elérhető</string>
    <string name=""data_saved"">Adat elmentve ide: %s</string>
    <string name=""entries_imported"">%d bejegyzés importálva</string>
    <string name=""entries_ignored"">%d bejegyzés figyelmen kívül lett hagyva, mert nem tartalmazott érvényes adatokat</string>
    <string name=""entries_overwritten"">%d bejegyzés felül lett írva az importált adatokkal</string>
    <string name=""sign_in_necessary"">Bejelentkezés szükséges</string>
    <string name=""please_sign_in_with_your_google_account"">A funkció használatához jelentkezzen be Google+ fiókjával.</string>
    <string name=""steps"">lépések</string>
    <string name=""text_color"">Szöveg színe:</string>
    <string name=""background_color"">Háttér szín:</string>
    <string name=""settings"">Beállítások</string>
    <string name=""achievements"">Kitüntetések</string>
    <string name=""leaderboard"">Ranglista</string>
    <string name=""faq"">GYIK</string>
    <string name=""goal_reached_notification"">Cél elérve! %s lépés és számuk nő</string>
    <string name=""notification_text"">%s lépés kell még</string>
    <string name=""total"">Összes</string>
    <string name=""notification_title"">A Pedometer számol</string>
    <string name=""your_progress_will_be_shown_here_soon"">E hónapi összesen</string>
    <string name=""average"">Átlag</string>
    <string name=""record"">Felvétel</string>
    <string name=""total_last_7_days"">7 napi összesen</string>
    <string name=""average_last_7_days"">Utolsó 7 nap átlaga</string>
    <string name=""total_this_month"">E hónapi összesen</string>
    <string name=""average_this_month"">E hónap átlaga</string>
    <string name=""file_already_exists"">A fájl már létezik. Biztos benne, hogy felülírja?</string>
    <string name=""about_text_links"">Ezt a programot Thomas Hoffmann készítette (<a href=\""https://www.j4velin.de\"" >www.j4velin.de</a>) és felhasználja: <a href=\""https://github.com/blackfizz/EazeGraph\"" >az EazeGraph-ot</a> Paul Cech-től és <a href=\""https://github.com/attenzione/android-ColorPickerPreference\"" > a ColorPickerPreference programot</a> Sergey Margaritov-tól.\n
      \n
      A Pedometer nyílt forráskódú program! A forráskódot és a közreműködők teljes listáját itt találod: <a href=\""https://github.com/j4velin/Pedometer\"" >GitHub</a>.</string>
    <string name=""about_app_version"">App verzió: %s</string>
    <string name=""since"">%s óta</string>
    <string name=""start"">Indít</string>
    <string name=""stop"">Állj</string>
    <string name=""close"">bezár</string>
    <string name=""no_split_active"">Nincs aktív megosztott számláló. Kattints a lépés számlálás megkezdéséhez</string>
    <string name=""split_count"">Osztott számlálás</string>
    <string name=""pause"">Megállít</string>
    <string name=""resume"">Folytat</string>
    <string name=""ispaused"">Pedometer megállítva</string>
    <string name=""pause_on_power_title"">Szüneteljen töltés közben</string>
    <string name=""pause_on_power_summary"">Szüneteltesse a Lépésszámlálót az eszköz töltése közben</string>
    <string name=""no_sensor"">Nem található szenzor</string>
    <string name=""no_sensor_explain"">Ez az alkalmazás egy külön hardveres lépésérzékelőt igényel - amellyel a készülék nem rendelkezik. Ez az alkalmazás nem fog futni a készüléken.</string>
    <string name=""permission_external_storage"">Nincs engedély a külső tárhely elérésére</string>
</resources>

```
Please include it in the upcoming releases. Thank you.

---

*Translation made with [Stringlate](https://github.com/LonamiWebs/Stringlate).*"
j4velin/Pedometer,closed,wrong total count after fly,[],"Hello,

I am using pedometer in a samsung device but I noticed counter of total summed wrong.
This event happened after flight I think reason is local timing I was passed midnight on the plane and when arrived phone changed the time and time passed same day again.

Is it possible to avoid this possibilities?

Also I have samsung healt software to it counted as usualy.

Best regards"
j4velin/Pedometer,open,Fragment_overview to allow you scroll to see old values,"[Label(name=""enhancement"")]","I am about to implement that, I was wondering if you had not implemented that for some reason."
j4velin/Pedometer,closed,Reactive database,[],Can I send A PR with those database implementation in ROOM so that we wont have to implement sensor listener to every UI components ?
j4velin/Pedometer,closed,Behaviour change of AlarmManager.set() since API 19,[],"Hi,

I have noticed that in SensorListener.java API [AlarmManager.set(int, long, PendingIntent)](https://developer.android.com/reference/android/app/AlarmManager.html#set(int,%20long,%20android.app.PendingIntent)) is used to schedule services to save the step count and restart sensor services.

According to the document, after API 19, the scheduled event will not be triggered immediately at the scheduled time and will be delayed by the operating system. After API 19, new API like setExact() and setWindow() were introduced to trigger the tasks in time.

I think it would be especially important to not use the old API when restart the sensor service. Hope this information can help.

Thx."
j4velin/Pedometer,closed,Continual achievement fix,[],"This should fix some bugs with the continual achievements. I hope I haven't done to many errors.

"
j4velin/Pedometer,closed,"""Continual"" achievements need more steps than described",[],"On the last Monday I had an average of 12501 steps using the app for 72 days. I had 900105 steps in total. On Tuesday I didn't get the ""Continual III"". I had to walk 12500 steps more in total to get the achievement. It's because for the achievement the calculation is getTotalWithoutToday()/getDays()
From getDays()
```
// todays is not counted yet
int re = c.getInt(0) + 1;
```
So the calucation on Tuesday was 900105/73=12330. When using the total steps without today, then the days should also not include today"
j4velin/Pedometer,closed,"When restoring from backup, overwrite existing days instead of skipping them",[],"Hello!

First, I love this app and I have been using it for more than a year. I like its approach of only using hardware step sensor so that it consumes no battery while still measuring steps.

I had almost no problems with it, until recently that when my device unexpectedly shutdowns, after starting up it shows an abnormal number of steps for the current day (hundreds of thousands and even millions!). It might be an old version bug, as I was running version 1.5 (I installed it through f-droid and I forgot to update it) and I have seen in the code that the unexpected shutdown recovery logic has recently been changed (it no longer displays a notification).

So, in order to remove those false step measurements, I thought to make a backup, modify the wrong step counts and then re-import it. While doing so, I realized that if the database already had data for a day in the backup file, the day was skipped from restore, favoring local database over backup.

So, I propose this change to make backup files take precedence over local data, so that we can modify the stored steps for a day without having to uninstall and the reinstall the app, loosing widgets, shortcuts and settings.

With my proposed change, when restoring data from a backup file, if the given day is already on the database, it is updated with the steps from the backup file. If it does not exists, it is created as before. I have also updated the javadoc and the associated string. But I cannot update translations (only spanish one, which I did), so we can wait for translators to update them before merging, or if that is not possible, we can remove the string in the other languages to make the user receive the english version instead of a misleading string.

Keep that good work!"
j4velin/Pedometer,closed,Add Bengali translation,[],
j4velin/Pedometer,open,SensorListener Failed,[],"after about 10 minutes when I close the app, the sensorlistener also stops working.My phone is Xiaomi"
j4velin/Pedometer,closed,Two Same App icons appered on my phone together ???,[],"i planed to finish my App's function by using your Pedometer code ,
such like:
   @OnClick(R.id.horizontalScrollView1)
       public void onClick() {
        startActivity(new Intent(getActivity(),Activity_Main.class));
//  i try to jump to ur Pedometer MainActivity 
    }

Activity_Main.class is ur Pedometer Activity.........................

When i copied ur all projrct codes to my own Android project it works well and with none errors.
But i backed to the  main desktop of my phone, i saw two APP icons appeared on my desktop together....
one is my project App another is ur  Pedometer .But they hv same names(My  App name) and same icons .....Obviously it becomes two diffrent Apps ...
But  i thought the codes that i copied were just ur Java codes and layout resoureces from ur project....I havent set ur project as my Android project dependency modules...
I havent read your code comletely

but you use    
 ""  packageManager.setComponentEnabledSetting(componentName, PackageManager.COMPONENT_ENABLED_STATE_DISABLED,
                    PackageManager.DONT_KILL_APP);""  IN Fragment_Settings.java
i dont know if or not the extra Apps icon were created by this way..
so please help me to fix it  

Thankx alot MAn!
  









"
j4velin/Pedometer,closed,Provide less frustrating way to change the daily goal,[],"The first entry in the settings page allows to change the daily goal, but only in steps of 1. This is really frustrating if I want, e.g., a daily goal of 8000.

I see two possibilities:
 - Increase the step size of the NumberPicker (e.g. Min=100 Steps, Max=100000 Steps, in steps of 100 in between)
 - Or change to a normal text/number input field, where I can input any number i want (in range from 1 to 100000)

(I'd provide a patch, but I can't get the project working on Android Studio)"
j4velin/Pedometer,closed,We can cheat our steps  by shaking my hand violently,[],"Sorry The phone that i tested is Nexus 6p,but i dont understand if or not the problem only occured on my phone,Thanks lot!"
j4velin/Pedometer,closed,Added tr (Turkish) translation,[],"I have translated your application into `tr` (*Turkish*). Here is the xml:
```xml
<?xml version=""1.0"" encoding=""utf-8""?>
<resources
    xmlns:tools=""http://schemas.android.com/tools""
    tools:ignore=""MissingTranslation"">

    <string name=""app_name"">Pedometer</string>
    <string name=""goal"">Hedef</string>
    <string name=""step_size"">Adım boyutu</string>
    <string name=""about"">Hakkında</string>
    <string name=""account"">Hesap</string>
    <string name=""goal_summary"">Şimdiki hedef: %,d adım</string>
    <string name=""step_size_summary"">Şu anki adım boyutu: %1$.2f %2$s</string>
    <string name=""sign_in"">Başarılar ve Lider tablosu özelliklerini kullanmak için Google hesabınıza giriş yapın</string>
    <string name=""signed_in"">%s olarak giriş yapıldı</string>
    <string name=""export_summary"">Verilerinizi .csv dosyasına kaydedin</string>
    <string name=""export_title"">İçeriye aktar/Yedekle</string>
    <string name=""import_summary"">Önceden kaydedilen veriyi içeriye aktarır</string>
    <string name=""import_title"">İçeriye akar/Geri yükle</string>
    <string name=""notification"">Bildirim göster</string>
    <string name=""set_goal"">Hedef ver</string>
    <string name=""set_step_size"">Adım boyutunu gir</string>
    <string name=""sign_out"">Çıkış yap</string>
    <string name=""file_cant_read"">Hata: %s okunmadı</string>
    <string name=""error_file"">Dosyaya erişimde hata: %s</string>
    <string name=""error_external_storage_not_available"">Hata: Harici depolama alanı kullanılabilir değil</string>
    <string name=""data_saved"">Veri %s konumuna kaydedildi.</string>
    <string name=""entries_imported"">%d girdi içeriye aktarıldı</string>
    <string name=""entries_ignored"">%d girdi, geçerli veri içermediğinden görmezden gelindi</string>
    <string name=""entries_skipped"">%d girdi, bu günler için zaten veri bulunduğundan atlandı</string>
    <string name=""sign_in_necessary"">Hesaba giriş gerekli</string>
    <string name=""please_sign_in_with_your_google_account"">Bu özelliği kullanmak için lütfen Google+ hesabınıza giriş yapın.</string>
    <string name=""steps"">adım</string>
    <string name=""text_color"">Metin rengi:</string>
    <string name=""background_color"">Arkaplan rengi:</string>
    <string name=""settings"">Ayarlar</string>
    <string name=""achievements"">Başarılar</string>
    <string name=""leaderboard"">Lider tablosu</string>
    <string name=""faq"">SSS</string>
    <string name=""goal_reached_notification"">Hedefe ulaşıldı! %s adım ve devam ediliyor</string>
    <string name=""notification_text"">Atılacak %s adım</string>
    <string name=""total"">Toplam</string>
    <string name=""notification_title"">Pedometer sayıyor</string>
    <string name=""your_progress_will_be_shown_here_soon"">Durumunuz burada gösterilecek</string>
    <string name=""average"">Ortalama</string>
    <string name=""record"">Rekor</string>
    <string name=""total_last_7_days"">Son 7 günün toplamı</string>
    <string name=""average_last_7_days"">Son 7 günün ortalaması</string>
    <string name=""total_this_month"">Bu ayın toplamı</string>
    <string name=""average_this_month"">Bu ayın ortalaması</string>
    <string name=""file_already_exists"">Dosya zaten var. Üzerine yazmak istediğinize emin misiniz?</string>
    <string name=""about_text_links"">Bu uygulama Thomas Hoffmann tarafından oluşturulmuştur (<a href=\""https://www.j4velin.de\"" >www.j4velin.de</a>) ve Paul Cech tarafından oluşturulan <a href=\""https://github.com/blackfizz/EazeGraph\"" >EazeGraph</a> ve Sergey Margaritov tarafından oluşturulan <a href=\""https://github.com/attenzione/android-ColorPickerPreference\"" >ColorPickerPreference</a> yazılımlarından yararlanır.\n
 \n
 Pedometer açık kaynaktır! Kodun ve katkıcıların tümüne <a href=\""https://github.com/j4velin/Pedometer\"" >GitHub</a> konumundan erişin.</string>
    <string name=""about_app_version"">Uygulama sürümü: %s</string>
    <string name=""since"">%s tarihinden beri</string>
    <string name=""start"">Başlat</string>
    <string name=""stop"">Durdur</string>
    <string name=""close"">kapat</string>
    <string name=""no_split_active"">Hiçbir ayrı sayaç etkin değil. Adımları şimdi saymaya başlamak için başlata basınız</string>
    <string name=""split_count"">Sayımı böl</string>
    <string name=""pause"">Duraklat</string>
    <string name=""resume"">Devam et</string>
    <string name=""ispaused"">Pedometer durduruldu</string>
    <string name=""pause_on_power_title"">Şarj olurken duraklat</string>
    <string name=""pause_on_power_summary"">Cihaz şarj olurken Pedometer\'i duraklat</string>
    <string name=""no_sensor"">Algılayıcı bulunamadı</string>
    <string name=""no_sensor_explain"">Bu uygulama -cihazınızda bulunmayan- adım algılayıcı özel donanıma ihtiyaç duyar. Bu uygulama cihazınız çalışmayacak.</string>
    <string name=""permission_external_storage"">Harici depolama alanına erişim izni yok</string>
</resources>

```

---

*Translation made with [Stringlate](https://github.com/LonamiWebs/Stringlate).*"
j4velin/Pedometer,closed,how to find your Pedometer in the Play Store??,[],"Any suggestions on how to locate your app? There are seemingly hundreds of apps with 'pedometer' in the title. Read a nice review of your app here,

http://appcrawlr.com/android/pedometer-22#authors-description

Regards,

William Croft
"
j4velin/Pedometer,closed,Counts 7 steps instead of 1,[],"OK my SMG900-F Galaxy s5 with Cyanogenmod 13.0 (Android 6.0.1) it counts about 7 steps every step i make. On cm 12.1 it works like a charm.

I have to add, on the other hand it does not count about the half of my steps. I dont know why and when.."
