repository,state,title,label,body
guardianproject/PixelKnot,open,I'm new,[],"just trying to figure it out.  I would appreciate any help on how to understand pixelnot and any advice on what to look at in order to understand the comms.  I have been following from the beginning but got derailed in disbelief for a few months.  SOS, please, I want to help, but I need to be caught up!!!"
guardianproject/PixelKnot,open,Copy and/or share text,[],"I'd like to be able to copy the text or share it to another app.  That way, it's easy to send and receive pgp-encrypted messages embedded in images.  Right now, the recipient can reveal my pgp-encrypted message in pixelknot, but can't copy the text to decrypt it in openkeychain.  Nor can the recipient 'share' the text to openkeychain.  It would be good to have that capability."
guardianproject/PixelKnot,open,Update README.md,[],This small and useless PR adds two buttons to get the app on F-Droid and Google Play Store ;)
guardianproject/PixelKnot,open,Fixes for Play Store crashes,[],
guardianproject/PixelKnot,open,F5Android submodule pointing to unknown commit?,[],It seems like the version_2 branch points to an unknown commit for the F5Android submodule. Something not checked in correctly?
guardianproject/PixelKnot,open,Translated PixelKnot into Dutch,[],Translated of PixelKnot into Dutch completed through Transifex
guardianproject/PixelKnot,open,"Appears to set the phrase, but stalls on decrypt",[],"[Android 4.4.2/GT-N7100]

App Appears to set the phrase, but stalls on decrypting — has not exceeded 10%; normally stalls at 0%.
"
guardianproject/PixelKnot,open,Version 2,[],All current code for version 2.
guardianproject/PixelKnot,open,Update config,[],"Added mapping for Germany, Greece, Hungary, Romania, Spain, Russia and Japan.
"
guardianproject/PixelKnot,closed,Update README.md,[],"Extended the README file.
"
guardianproject/PixelKnot,open,Application crashes when encryption starts. ,[],"I imported the project into Android Studio.

Edited the configuration. Added android application with 'app'  as module from the 3 (actionbarsherlock, F5android, and app).

Got it running on my OnePlus One. After choosing image and setting phrase and password, when the encryption starts, the App crashes. Im guessing this has to do with the F5 JNI code not running properly. 

I did not do "" Build the F5Android JNI library with ndk-build -C external/F5Android/ "", as I could not figure how to go about it with Android Studio. Ive read that I need to use gradle wrapper and convert project to use gradle. 

Please help, any input would be deeply appreciated.
"
guardianproject/PixelKnot,closed,Cyclic dependancy problem,[],"When I import project to Android Studio and add new configuration 'android application' and make 'app' as  module. and when i try to run, i get 

The following modules must have the same JDK assigned because of cyclic dependencies between them:
""main""
""actionbarsherlock""
Please update modules configuration
"
guardianproject/PixelKnot,closed,`setup-ant` script doesn't work ,[],"hello,

I'm trying to compile your project (to add a more recent steganographic algorithm), but I'm unable to do it.
In particular, I cannot execute `./setup-ant`. It says that he doesn't know `android` command.

I have Ubuntu 14.04 LTS.

Could you help me with this? :)
"
guardianproject/PixelKnot,closed,How to setup on Android Studio,[],"How to run on Android Studio?
"
