repository,state,title,label,body
thasmin/Podax,closed,ergonomy to improve ,[],"Hello, 
In the current version I use (3.5), the icons needed to play the files (play, forward, backward, stop, etc.) are very close to the button 'remove from queue'. 
So it is easy to remove the podcast by error, just by trying to play forward or backward the audio. The button 'remove from queue' should rather be at the bottom of the screen. "
thasmin/Podax,open,VerifyError: com/axelby/podax/PodcastProvider,[],"//package name: com.axelby.podax
//version: 7.06
//target sdk version: android-18
 java.lang.VerifyError: com/axelby/podax/PodcastProvider
 	at java.lang.Class.newInstanceImpl(Native Method)
 	at java.lang.Class.newInstance(Class.java:1130)
 	at android.app.ActivityThread.installProvider(ActivityThread.java:4867)
 	at android.app.ActivityThread.installContentProviders(ActivityThread.java:4485)
 	at android.app.ActivityThread.handleBindApplication(ActivityThread.java:4425)
 	at android.app.ActivityThread.access$1300(ActivityThread.java:141)
 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1316)
 	at android.os.Handler.dispatchMessage(Handler.java:99)
 	at android.os.Looper.loop(Looper.java:137)
 	at android.app.ActivityThread.main(ActivityThread.java:5103)
 	at java.lang.reflect.Method.invokeNative(Native Method)
 	at java.lang.reflect.Method.invoke(Method.java:525)
 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:737)
 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:553)
 	at dalvik.system.NativeStart.main(Native Method)"
thasmin/Podax,open,SQLiteDatabaseLockedException,[],"
//package name: com.axelby.podax
//version: 6.2
 android.database.sqlite.SQLiteDatabaseLockedException: database is locked (code 5)
 	at android.database.sqlite.SQLiteConnection.nativeExecuteForChangedRowCount(Native Method)
 	at android.database.sqlite.SQLiteConnection.executeForChangedRowCount(SQLiteConnection.java:734)
 	at android.database.sqlite.SQLiteSession.executeForChangedRowCount(SQLiteSession.java:754)
 	at android.database.sqlite.SQLiteStatement.executeUpdateDelete(SQLiteStatement.java:64)
 	at android.database.sqlite.SQLiteDatabase.updateWithOnConflict(SQLiteDatabase.java:1574)
 	at android.database.sqlite.SQLiteDatabase.update(SQLiteDatabase.java:1520)
 	at com.axelby.podax.SubscriptionProvider.update(SubscriptionProvider.java:168)
 	at android.content.ContentProvider$Transport.update(ContentProvider.java:260)
 	at android.content.ContentResolver.update(ContentResolver.java:1040)
 	at com.axelby.podax.ui.SubscriptionSettingsFragment$2.onCheckedChanged(SubscriptionSettingsFragment.java:109)
 	at android.widget.CompoundButton.setChecked(CompoundButton.java:126)
 	at com.axelby.podax.ui.SubscriptionSettingsFragment$1.afterTextChanged(SubscriptionSettingsFragment.java:76)
 	at android.widget.TextView.sendAfterTextChanged(TextView.java:7334)
 	at android.widget.TextView$ChangeWatcher.afterTextChanged(TextView.java:9087)
 	at android.text.SpannableStringBuilder.sendAfterTextChanged(SpannableStringBuilder.java:970)
 	at android.text.SpannableStringBuilder.replace(SpannableStringBuilder.java:497)
 	at android.text.SpannableStringBuilder.replace(SpannableStringBuilder.java:435)
 	at android.text.SpannableStringBuilder.replace(SpannableStringBuilder.java:30)
 	at android.view.inputmethod.BaseInputConnection.replaceText(BaseInputConnection.java:673)
 	at android.view.inputmethod.BaseInputConnection.setComposingText(BaseInputConnection.java:436)
 	at com.android.internal.view.IInputConnectionWrapper.executeMessage(IInputConnectionWrapper.java:333)
 	at com.android.internal.view.IInputConnectionWrapper$MyHandler.handleMessage(IInputConnectionWrapper.java:77)
 	at android.os.Handler.dispatchMessage(Handler.java:99)
 	at android.os.Looper.loop(Looper.java:137)
 	at android.app.ActivityThread.main(ActivityThread.java:5103)
 	at java.lang.reflect.Method.invokeNative(Native Method)
 	at java.lang.reflect.Method.invoke(Method.java:525)
 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:737)
 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:553)
 	at dalvik.system.NativeStart.main(Native Method)"
thasmin/Podax,open,SQLiteDatabaseLockedException: database is locked (code 5),[],"//package name: com.axelby.podax
//version: 6.2
 android.database.sqlite.SQLiteDatabaseLockedException: database is locked (code 5)
 	at android.database.sqlite.SQLiteConnection.nativeExecuteForChangedRowCount(Native Method)
 	at android.database.sqlite.SQLiteConnection.executeForChangedRowCount(SQLiteConnection.java:734)
 	at android.database.sqlite.SQLiteSession.executeForChangedRowCount(SQLiteSession.java:754)
 	at android.database.sqlite.SQLiteStatement.executeUpdateDelete(SQLiteStatement.java:64)
 	at android.database.sqlite.SQLiteDatabase.updateWithOnConflict(SQLiteDatabase.java:1574)
 	at android.database.sqlite.SQLiteDatabase.update(SQLiteDatabase.java:1520)
 	at com.axelby.podax.SubscriptionProvider.update(SubscriptionProvider.java:168)
 	at android.content.ContentProvider$Transport.update(ContentProvider.java:260)
 	at android.content.ContentResolver.update(ContentResolver.java:1040)
 	at com.axelby.podax.ui.SubscriptionSettingsFragment$1.afterTextChanged(SubscriptionSettingsFragment.java:78)
 	at android.widget.TextView.sendAfterTextChanged(TextView.java:7334)
 	at android.widget.TextView$ChangeWatcher.afterTextChanged(TextView.java:9087)
 	at android.text.SpannableStringBuilder.sendAfterTextChanged(SpannableStringBuilder.java:970)
 	at android.text.SpannableStringBuilder.replace(SpannableStringBuilder.java:497)
 	at android.text.SpannableStringBuilder.replace(SpannableStringBuilder.java:435)
 	at android.text.SpannableStringBuilder.replace(SpannableStringBuilder.java:30)
 	at android.text.method.QwertyKeyListener.onKeyDown(QwertyKeyListener.java:223)
 	at android.text.method.TextKeyListener.onKeyDown(TextKeyListener.java:136)
 	at android.widget.TextView.doKeyDown(TextView.java:5464)
 	at android.widget.TextView.onKeyDown(TextView.java:5283)
 	at android.view.KeyEvent.dispatch(KeyEvent.java:2623)
 	at android.view.View.dispatchKeyEvent(View.java:7343)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at com.android.internal.policy.impl.PhoneWindow$DecorView.superDispatchKeyEvent(PhoneWindow.java:1933)
 	at com.android.internal.policy.impl.PhoneWindow.superDispatchKeyEvent(PhoneWindow.java:1408)
 	at android.app.Activity.dispatchKeyEvent(Activity.java:2384)
 	at android.support.v7.app.ActionBarActivityDelegateICS$WindowCallbackWrapper.dispatchKeyEvent(ActionBarActivityDelegateICS.java:250)
 	at com.android.internal.policy.impl.PhoneWindow$DecorView.dispatchKeyEvent(PhoneWindow.java:1860)
 	at android.view.ViewRootImpl$ViewPostImeInputStage.processKeyEvent(ViewRootImpl.java:3791)
 	at android.view.ViewRootImpl$ViewPostImeInputStage.onProcess(ViewRootImpl.java:3774)
 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3379)
 	at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3429)
 	at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3398)
 	at android.view.ViewRootImpl$AsyncInputStage.forward(ViewRootImpl.java:3483)
 	at android.view.ViewRootImpl$InputStage.apply(ViewRootImpl.java:3406)
 	at android.view.ViewRootImpl$AsyncInputStage.apply(ViewRootImpl.java:3540)
 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3379)
 	at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3429)
 	at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3398)
 	at android.view.ViewRootImpl$InputStage.apply(ViewRootImpl.java:3406)
 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3379)
 	at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3429)
 	at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3398)
 	at android.view.ViewRootImpl$AsyncInputStage.forward(ViewRootImpl.java:3516)"
thasmin/Podax,open,SQLiteDatabaseLockedException: database is locked (code 5),[],"//package name: com.axelby.podax
//version: 6.2
 android.database.sqlite.SQLiteDatabaseLockedException: database is locked (code 5)
 	at android.database.sqlite.SQLiteConnection.nativeExecuteForChangedRowCount(Native Method)
 	at android.database.sqlite.SQLiteConnection.executeForChangedRowCount(SQLiteConnection.java:734)
 	at android.database.sqlite.SQLiteSession.executeForChangedRowCount(SQLiteSession.java:754)
 	at android.database.sqlite.SQLiteStatement.executeUpdateDelete(SQLiteStatement.java:64)
 	at android.database.sqlite.SQLiteDatabase.updateWithOnConflict(SQLiteDatabase.java:1574)
 	at android.database.sqlite.SQLiteDatabase.update(SQLiteDatabase.java:1520)
 	at com.axelby.podax.SubscriptionProvider.update(SubscriptionProvider.java:168)
 	at android.content.ContentProvider$Transport.update(ContentProvider.java:260)
 	at android.content.ContentResolver.update(ContentResolver.java:1040)
 	at com.axelby.podax.ui.SubscriptionSettingsFragment$1.afterTextChanged(SubscriptionSettingsFragment.java:78)
 	at android.widget.TextView.sendAfterTextChanged(TextView.java:7334)
 	at android.widget.TextView.setText(TextView.java:3778)
 	at android.widget.TextView.setText(TextView.java:3629)
 	at android.widget.EditText.setText(EditText.java:80)
 	at android.widget.TextView.setText(TextView.java:3604)
 	at com.axelby.podax.ui.SubscriptionSettingsFragment.onLoadFinished(SubscriptionSettingsFragment.java:177)
 	at com.axelby.podax.ui.SubscriptionSettingsFragment.onLoadFinished(SubscriptionSettingsFragment.java:30)
 	at android.support.v4.app.LoaderManagerImpl$LoaderInfo.callOnLoadFinished(LoaderManager.java:427)
 	at android.support.v4.app.LoaderManagerImpl$LoaderInfo.onLoadComplete(LoaderManager.java:395)
 	at android.support.v4.content.Loader.deliverResult(Loader.java:104)
 	at android.support.v4.content.CursorLoader.deliverResult(CursorLoader.java:73)
 	at android.support.v4.content.CursorLoader.deliverResult(CursorLoader.java:35)
 	at android.support.v4.content.AsyncTaskLoader.dispatchOnLoadComplete(AsyncTaskLoader.java:223)
 	at android.support.v4.content.AsyncTaskLoader$LoadTask.onPostExecute(AsyncTaskLoader.java:61)
 	at android.support.v4.content.ModernAsyncTask.finish(ModernAsyncTask.java:461)
 	at android.support.v4.content.ModernAsyncTask.access$500(ModernAsyncTask.java:47)
 	at android.support.v4.content.ModernAsyncTask$InternalHandler.handleMessage(ModernAsyncTask.java:474)
 	at android.os.Handler.dispatchMessage(Handler.java:99)
 	at android.os.Looper.loop(Looper.java:137)
 	at android.app.ActivityThread.main(ActivityThread.java:5103)
 	at java.lang.reflect.Method.invokeNative(Native Method)
 	at java.lang.reflect.Method.invoke(Method.java:525)
 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:737)
 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:553)
 	at dalvik.system.NativeStart.main(Native Method)"
thasmin/Podax,open,Android 6.0. Podax just crashes when I go to Menu -> preferences.,[],"Similar effect as bug report #199. Crashes every time preferences in the menu is selected.
"
thasmin/Podax,open,"Notification lakcs conrol when ""hide sensitive"" is checked",[],"I don't want message contents to be shown in the lock screen, so I configured my phone to ""hide sensitive information"" from notifications on the lock screen.
Unfortunately, as a result, podax lacks controls on the lock screen, so I have to unlock to pause. All the music players I used so far declare their notification ""non-sensitive"" to that their controls remain available on the lock screen. Having to choose between SMS and other message being shown on the lock screen, and unlocking the phone to pause Podax, is very unfortunate.
"
thasmin/Podax,closed,Support opus podcasts,[],"Podcasts using the OPUS codec (which saves significant amounts of bandwidth compared to mp3 or ogg) to not seem to work.
I tried `http://alternativlos.org/opus.rss`.
"
thasmin/Podax,open,Carsh report pop-up is annoying,[],"Could you please remove the crash report pop up?
FOr some reason Podax crashes a lot, almost always when it is doing something in the background. I now get a pop-up asking me to put in the reason of the crash, and this jumps in front of the app I'm using. For instance in WhatsApp when I'm recording a voice message, which interrupts it. This is very annoying and doesn't motivate me at all to input any text about what I was doing when Podax crashes. Actually, I wasn't doing anything. SO could you please remove this feature, which isn't helpful to users at all?
"
thasmin/Podax,closed,Apks?,[],"Hi

It would be great if you could provide apks for tose who donot have Gplay.

thanks
"
