repository,state,title,label,body
segler-alex/RadioDroid,open,Updated es (Spanish) translation,[],Commit made via [Stringlate](https://lonamiwebs.github.io/stringlate/)
segler-alex/RadioDroid,open,Merge pull request #1 from segler-alex/master,[],Update
segler-alex/RadioDroid,open,Improve Current Playing Mechanism,[],"Radio Droid now relies on the radio browser servers completely. If the selected server is down, none of the favorite stations users saved to the app can be played, even they are available. The mechanism increases the burden of the servers and causes unnecessary inconvenience to users. All the favorite station data can be saved to the app, like an independent local database, which will not be affected by the maintenance of the servers."
segler-alex/RadioDroid,open,Add Last.fm API to Show Cover,[],"Since the Last.fm API is free to use, it may improve user experience by showing the cover of the playing song with it.
#387  "
segler-alex/RadioDroid,open,Wrong Mini Player Status,[],"In some cases, including servers unavailable, network unavailable, station unavailable and with **Enable external player** activated, click the play button on the mini player panel which plays the last station, then quit the external player, but the pause button remains, which should be back to the play button."
segler-alex/RadioDroid,open,Broken: Favorites -> Save to playlist,[],"Version: 0.67 (git aa285cd) 2018-10-12 01:23:02

* Go to Favorites
* Click on ""Save to playlist""
* Unfortunately, RadioDroid has stopped.

I rebooted my smartphone but RD keeps crashing.
"
segler-alex/RadioDroid,open,Add Prompt After Searching,[],"When users search a non-existent station name, the app doesn’t give any prompt, so they don’t know if they should keep waiting for the result. A prompt like **no result found** is required after a non-existent item is searched."
segler-alex/RadioDroid,open,Add Option to Define Recording Path,[],"At present uses can neither define the recording path, nor delete the recording files, but they both may be required."
segler-alex/RadioDroid,open,Some National Flags Not Shown Properly,[],"When the light theme is enabled, some national flags with white stripes can’t be shown properly, like Czech, Japan, Indonesia, Russia. There should be a boundary between the flag and the white background."
segler-alex/RadioDroid,open,Save to Playlist Not Support Non-Latin Characters Well,[],"The app doesn’t support the file name only containing non-Latin characters, which is recognized as invalid, and the strings are not localized."
segler-alex/RadioDroid,open,Radio Droid Crashes After Favorite Added,[],"When an invalid Radio Droid server is selected or there is no network available with the option **Icon clicks** enabled, go to history, click any icons which are not starred, the app crashes."
segler-alex/RadioDroid,open,Add State List in Country,[],"Currently users can’t browse the stations by state in Radio Droid, which makes the station list in countries lengthy. The function of **show state list in country** is needed and users can choose if that’s enabled or not.
#17  "
segler-alex/RadioDroid,open,alarm does not always go off,[],alarm clock doesn't work if the station is not available or there is no Internet. add an option so that can use the standard alarm ringtone to Wake up. 
segler-alex/RadioDroid,closed,Prevent RadioDroid from being submitted as Android Auto app,[],"The feature is still in progress however it was automatically treated
as Android Auto app which prevent it from passing review.

Should fix #389 "
segler-alex/RadioDroid,closed,Fix crash on empty port field in proxy and mpd dialogs,[],Fixes #390 and unreported crash in mpd dialog.
segler-alex/RadioDroid,closed,App Crashes After Certain Operations,[],"Go to Settings, Proxy, don’t input anything, click TEST or OK, then the app crashes immediately."
segler-alex/RadioDroid,closed,"Google Playstore fails, because of Android Auto",[],"i tried to publish a new version of radiodroid to the google play store. 
but after some time they sent me the following email:


---
Hi Developers at segler.alex,

Thanks for submitting your app for Android Auto. We reviewed your app, RadioDroid 2, with package name net.programmierecke.radiodroid2, and noticed some eligibility issues.

App status: Your app has not been accepted into Android Auto, and the update is not live on Google Play.

Voice commands
Your app does not support all of the required voice commands. The app acknowledge the voice commands, but does not start a new track.You can read more about how to support Voice Actions in the Android Developers Help Center.

---

can somebody fix this? i don't have a car and can not test this.

thanks in advance
alex"
segler-alex/RadioDroid,open,location is not determined,[],"On my tablet (wifi only) there are no gapps services, which is most likely why the program can't determine my location. I don't see the local radio stations tab.
Add the ability to set the location manually?

https://github.com/segler-alex/RadioDroid/blob/master/app/src/main/java/net/programmierecke/radiodroid2/FragmentTabs.java#L88"
segler-alex/RadioDroid,open,Scrobble played songs,[],
segler-alex/RadioDroid,open,Radio Droid TV Support,[],"I have been watching TV on Radio Droid with an external video player for several months. Since radio browser accepts TV links, why does Radio Droid not support video playback? It should have its own core for video playback and be compatible with Android TV set-top box, so more people will benefit from it."
segler-alex/RadioDroid,open,Hebrew music titles are not shown correctly,[],"![wechat image_20181007111802](https://user-images.githubusercontent.com/39701608/46580332-03219a00-ca23-11e8-8893-01ca6f95dcd3.jpg)
"
