repository,state,title,label,body
sheimi/SGit,closed,Ability to update remotes,[],"I may have missed it, but I did not see a way to edit a remote. Specifically the ability to change it's location, or it's user/password.

Maybe for authentication failures, showing a prompt that requests new credentials would help?

I am impressed with everything else so far."
sheimi/SGit,closed,Show dialog to prompt to upgrade to MGit,[],"SGit is no longer being maintained, so prompt user upto 4 times
to install MGit where development is being continued."
sheimi/SGit,closed,option don't verify ssl,"[Label(name=""duplicate"")]","Pls make option to ognore ssl-errors on https for using self signed certificates
"
sheimi/SGit,closed,Add ability to rename (git mv) files,[],"Best could be to move/rename files over different directories
"
sheimi/SGit,closed,Disable empty commits,[],"When a repository is a `working tree clean`, it's still possible to create a new commit from SGit interface.

this commit is empty and don't provide any value. Commit should be grey and disable in the UI if it's clean.
"
sheimi/SGit,closed,The steps to push ,[],"OK when I push my repo, it says it's already up to date but it doesn't update my repo. What's the proper way to push?
"
sheimi/SGit,closed,J,[],
sheimi/SGit,closed,incorrect branch,[],
sheimi/SGit,closed,cannot open git-upload-pack,[],"Hi 
I try to use ""http"" to git clone my git on my own server
but there is an error ""org.eclipse.jgit.api.errors.TransportException : cannot open git-upload-pack""
the link ""http://user:password@ip:port/gitdata""  works well on my computer, but when I use this link on sgit on my android device, it gets an exception of ""cannot open git-upload-pack"".

Any one know what's happen of this?
"
sheimi/SGit,closed,update travis to use openjdk8,[],
sheimi/SGit,closed,split text editor out into separate AAR,[],"The text editor/viewer should just be a component that SGit pulls in as a dependency rather than contained with the app.
Also it should be published in jcenter as it seem it would be generally useful outside this project as there seems to be a lack of any open source code text editor components being available.
"
sheimi/SGit,closed,Editor removes newline character from the end of the file,"[Label(name=""bug""), Label(name=""editor"")]","The internal editor removes the newline character from the end of the file, which makes the following appear on the git diff: ""\ No newline at end of file"".

Besides, a newline at the end of text files is the standard defined by POSIX, and all Unix tools expect this convention and work with it. References:
- http://stackoverflow.com/a/729795
- http://unix.stackexchange.com/a/18789
"
sheimi/SGit,closed,Testing SGIT on Android,"[Label(name=""bug""), Label(name=""more info"")]","The Sgit version is not syncing properly with Fetch. 
settings?
"
sheimi/SGit,closed,cannot write to media storage,[],"the app uses external storage on storage/emulated/0

my media storage (64 GB sdcard) is /storage/3937-3865 and I can't write to it.

I also cant root my tablet since it's pretty much impossible according to xda
"
sheimi/SGit,closed,Feature request: markdown viewer,"[Label(name=""enhancement"")]","I love this app. Thanks for making it. Below is a user story as a feature request.

STORY
As a user, I'd like to see Markdown files fully styled (instead of raw text) so that I don't have to open it in a Markdown editor.

POSSIBLE IMPLEMENTATIONS
- One possible implementation is [ForkHub's](https://github.com/jonan/ForkHub)
"
sheimi/SGit,closed,Better UI for large wide-screen devices,"[Label(name=""chromebook""), Label(name=""enhancement"")]","The user interface is not optimised at the moment for larger devices, especially in landscape orientation.
Initially providing a 2-pane view for the repo details view: files/commits/status (ala gmail) would be a nice improvement.
"
sheimi/SGit,closed,handle exception when trying to import corrupted repo,"[Label(name=""bug""), Label(name=""minor"")]","```
E/AndroidRuntime: FATAL EXCEPTION: main
   Process: me.sheimi.sgit, PID: 3045
   org.eclipse.jgit.api.errors.JGitInternalException: An exception occurred while trying to add the Id of HEAD
   at org.eclipse.jgit.api.LogCommand.call(LogCommand.java:154)
   at me.sheimi.sgit.database.models.Repo.getLatestCommit(Repo.java:363)
   at me.sheimi.sgit.database.models.Repo.updateLatestCommitInfo(Repo.java:295)
   at me.sheimi.sgit.dialogs.ImportLocalRepoDialog.updateRepoInformation(ImportLocalRepoDialog.java:150)
   at me.sheimi.sgit.dialogs.ImportLocalRepoDialog.onClick(ImportLocalRepoDialog.java:127)
```
"
sheimi/SGit,closed,Russian translation,"[Label(name=""enhancement"")]",
sheimi/SGit,closed,Commit -s,"[Label(name=""enhancement"")]","Would you be willing to add the ability to sign off on commits made through sgit? By the way, I've been using you git client in conjunction with 3 others available.....your client is by far the most useful, so much so, as of yesterday, I have removed the others from my phone. Thank you for your time and development with this app. A donation will be headed your way soon :)
"
sheimi/SGit,closed,Basic fix for navigating to import local repos,[],"Fixes: #265
"
sheimi/SGit,closed,subdir selection for importing repo broken,"[Label(name=""Priority""), Label(name=""beta""), Label(name=""bug"")]","turns out this was broken as part of cherry picks and I didn't notice.
"
sheimi/SGit,closed,summary doesnt update immediately after changing user name/email,"[Label(name=""bug""), Label(name=""chromebook""), Label(name=""minor"")]","the summary is not updated in the preferences screen immediately after updating username/user email.
Seems to only occur so far on Chromebook Flip running 6.0.1
"
sheimi/SGit,closed,Allow navigating out of ext storage default dir,[],"to set location for root dir of local repos.

Fixes: #233
"
sheimi/SGit,closed,Prevent flashing of default theme when using dark,[],"Fixes: #248
"
sheimi/SGit,closed,fix release build lint error,[],
sheimi/SGit,closed,All activities need to inherit from apps base...,[],"fragment activity class, this ensures common functionality like
theme setting is applied to all activities in the app.

Fixes: #245
"
sheimi/SGit,closed,Sgit local repository cannot specify folder on sd card,"[Label(name=""duplicate"")]","System storage only has 3g left.  But in the system setting cannot specify folder on the sd card.
"
sheimi/SGit,closed,Commit messages does not show when done from GitKraken,"[Label(name=""invalid"")]","Hi, 
I'm using since some weeks a new Git client on my pc which is called GitKraken. 
All the commits I've done with it correctly appear except the commit message. I can only view author and date, then I can correctly view the changes of each commit. 
Thanks ! 
"
sheimi/SGit,closed,Overwrites files managed by git-annex,[],"Hello! First of all, thank you for always improving sGit!

I don't really know if this is a bug in sGit or maybe an Android filesystem limitation, but files managed by git-annex are forcefully changed and committed with sGit. Since git-annex just creates symlinks for the files, users can clone the repo and work on the code normally without installing or understanding git-annex.

1) Clone [git@gitlab.com:teresaejunior/git-annex-test.git](git@gitlab.com:teresaejunior/git-annex-test.git) (which has a `cat` binary managed by git-annex).
2) Create an empty file called test.
3) **Add all to stage**.
4) At the **Status** tab, you can now see that `cat` appears under **Changed files**.
5) You can also **Commit**, and see at the diff that `cat` was included in the commit.
"
sheimi/SGit,closed,Select external storage as root storage fo repos,"[Label(name=""duplicate"")]","This would be really helpful.
"
sheimi/SGit,closed,A task for this repo is already running,"[Label(name=""bug"")]","I'm getting this message all the time: ""A task for this repo is already running""

I guess it is because `git status` is running when I open a repository, but it makes me wait for it for too long (it is a bit bigger repository). So it would be nice if `git status` could be terminated when I decide to do something else.

Also, there is no indication, that some task is running on the background. There is progress bar for git pull & push, but nothing else.
"
sheimi/SGit,closed,Ignored files are shown in status page,"[Label(name=""Priority""), Label(name=""beta""), Label(name=""bug"")]","In the gitignore in the root of my documents repo, I ignore all files ending with `~`. As you can see, on my computer it works (`s` does `git status`):
![](http://i.imgur.com/pljj52N.png)

SGit, on the other hand, shows me a lot of these files in its status page:
![](http://i.imgur.com/JuDQhnW.png)

(I censored some file names for privacy reasons.)

Because contents of the status page aren't scrollable, I can't even scroll down to see the changes I care about.

The gitignore file in the root of the repo is of course the same:
![](http://i.imgur.com/yEHl3Kr.png)
"
sheimi/SGit,closed,Username is Ignored when Logging in via SSH,"[Label(name=""bug"")]","When I try to clone a repository via SSH and want to log in using username and password, I have to use

`ssh://username@server.com/path/to/repository`

If I use

`ssh://server.com/path/to/repository`

and enter the correct username and password, SGit tries to log in using the username `root` (which of course isn't the username I entered into the form).

I think SGit should try to log in using the username the user entered into the form.
"
sheimi/SGit,closed,Text Rendering and Syntax Highlighting failure with Fortran (possibly other languages too),"[Label(name=""bug""), Label(name=""investigating""), Label(name=""more info"")]","SGit 1.3.2 from Google Play
Cyanogenmod 13.0 (Android 6.0.1)

I have many `.f90` files (Fortran) in my repositories, and I get the following error when trying to preview them:

```
Uncaught Error: Unknown language: ""fortran"" -- From line 1 of file://android_asset/js/highlight.js
```

Other text filetypes appear to work fine (plaintext, `.m`), along with syntax highlighting, but obviously there are many filetypes I did not test.

If additional info would be useful, I'm happy to provide it: please just ask. :smile:
"
sheimi/SGit,closed,Filename too long,"[Label(name=""more info"")]","Cloning gives me this error while Windows client (Source Tree) is working properly with the same repo.
"
sheimi/SGit,closed,File browser does not display hidden directories,[],"If a directory is ""hidden"" with a dot at the start of the name, that directory does not appear in the file listing

It's common for SSH keys to be in a directory called `.ssh` so this makes it impossible to add SSH private keys in such a directory.
"
