repository,state,title,label,body
souch/SMP,closed,Icon/Logo Proposal ,[],"Hello Sir. I am a graphics designer and I am willing to submit my design for your project.

Thanks before."
souch/SMP,open,"No file listing when set ""Root folders"" to ""/"" ?","[Label(name=""bug"")]","Hi,

I wanted to report that file listing seems not working anymore when setting ""Avanced Settings"" -> ""root folders"" to `/`. I did this because in this way I have a very great overview of all my audio files on my smartphone.

btw: Related to this a ""Rescan"" button on home screen would be very useful.

Thank you for SicMu!

PS: Unfortunately I won't be able to follow the development/the issue here. I will close my GitHub account and will move to https://gitlab.com because of https://blog.github.com/2018-06-04-github-microsoft/ (I personally don't want to support the https://en.wikipedia.org/wiki/Embrace,_extend,_and_extinguish strategy in anyway)."
souch/SMP,open,No landscape mode outside settings?,[],"Hi,

first of all: Thank you so much for SicMu player on F-Droid. I always wanted to have a file based music player like http://mpesch3.de1.cc/1by1.html (which was unfortunately never available on F-Droid). It is  great to use!

I wanted to report that it seems that landscape mode does not work outside settings menu. I'm using a slider smartphone whcih is in landscape mode when drawing out the hardware keyboard (xt894). I think it is just a bug because landscape mode works just fine when switching to settings.

Thank you again for SicMu!

PS: Unfortunately I won't be able to follow the development/the issue here. I will close my GitHub account and will move to https://gitlab.com because of https://blog.github.com/2018-06-04-github-microsoft/ (I personally don't want to support the https://en.wikipedia.org/wiki/Embrace,_extend,_and_extinguish strategy in anyway)."
souch/SMP,closed,lock button not working properly,"[Label(name=""invalid"")]","#### Expected behavior
user should be  able to lock screen when click on lock icon

#### Actual behavior
when i click on lock nothing happen . its cant able to lock screen .

#### How to reproduce
* download the app
* open it
* then click on lock
* and note the bug


> Browser/App version: SicMu Player v1.3 
 Operating system: android 6.0

#### Recording Of The Bug
https://www.youtube.com/watch?v=if4MqJ-_4Ao"
souch/SMP,closed,SicMu player app crashes when I put the value of unfold subgroup if group and Click on ok botton. ,"[Label(name=""invalid"")]","### Actual behaviour
When I open the sicMub player  app and open the settings of the app . After that I open the advanced settings option . Then I click on unfold subgroup if group and put the value and click on ok botton app suddenly crashes. Then I reopen the app and  I click on settings option app suddenly crashes. Settings will not open till I uninstall this app and install this app again.
### How to reproduce
* Download the sicMu player app from F-driod.
* Install this app.
* Open the sicMu player app. 
* Choose settings option of the app.
* Click on advanced settings option.
* After that open the  unfold subgroup if group option and put value .
* Then click on ok botton app suddenly crashes.
* Reopen the app and Click on settings option app suddenly crashes.
* Browser: sicMu player.
* Version: 1.3
* Operating system:7.1.2
### Recording of the bug
https://youtu.be/vmXqvQm7CTQ
"
souch/SMP,closed,Vibration on touch not working in SicMu Player,"[Label(name=""invalid"")]","Project Information
-Repository
https://github.com/souch/SMP

-Project Name: SicMu player

Expected Behaviour
Vibrate on touch should be working when enable under application setting

Actual Behaviour
Application was unable to vibrate on touch after enabling it under app setting

How to reproduce
Download the app from Fdroid
Start the app
Go to settings
Select Advanced setting
Scroll onto vibrate on touch option,then enable it.
Touch any button in the app.
Hence the bug 

Recording of the bug

https://youtu.be/pEaDm8KRz4w"
souch/SMP,closed,App crash when trying to rescan media player.,"[Label(name=""invalid"")]","
 EXPECTED BEHAVIOR
 When the users click rescan button it should be able to rescan media player with well and correctly.

 ACTUAL BEHAVIOR
 When the users click on rescan media player then the app has stopped and getting crashed.

 HOW TO REPRODUCE
●Install SicMu player on playstore
●open the app and go to setting button
●click advanced settings
●Next,click on rescan media player
●then the app getting crash.
Browser: SicMu player
Device: android 7.0

*RECORDING BUG*
https://youtu.be/U9ybvieg3vs

*LOGCAT*
```FATAL EXCEPTION: main
Process: souch.smp, PID: 23948
java.lang.NullPointerException: Attempt to get length of null array
	at souch.smp.Path.listFiles(Path.java:211)
	at souch.smp.Settings.scanMediaFiles(Settings.java:279)
	at souch.smp.Settings.rescan(Settings.java:245)
	at souch.smp.Settings.onPreferenceClick(Settings.java:236)
	at android.preference.Preference.performClick(Preference.java:990)
	at android.preference.PreferenceScreen.onItemClick(PreferenceScreen.java:214)
	at android.widget.AdapterView.performItemClick(AdapterView.java:305)
	at android.widget.AbsListView.performItemClick(AbsListView.java:1163)
	at android.widget.AbsListView$PerformClick.run(AbsListView.java:3181)
	at android.widget.AbsListView.onTouchUp(AbsListView.java:4008)
	at android.widget.AbsListView.onTouchEvent(AbsListView.java:3773)
	at android.view.View.dispatchTouchEvent(View.java:8484)
	at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2432)
	at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:2103)
	at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2438)
	at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:2132)
	at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2438)
	at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:2132)
	at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2438)
	at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:2132)
	at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2438)
	at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:2132)
	at com.android.internal.policy.impl.PhoneWindow$DecorView.superDispatchTouchEvent(PhoneWindow.java:2424)
	at com.android.internal.policy.impl.PhoneWindow.superDispatchTouchEvent(PhoneWindow.java:1768)
	at android.app.Dialog.dispatchTouchEvent(Dialog.java:789)
	at com.android.internal.policy.impl.PhoneWindow$DecorView.dispatchTouchEvent(PhoneWindow.java:2385)
	at android.view.View.dispatchPoint```"
souch/SMP,closed,Show image present in folder,"[Label(name=""enhancement"")]",
souch/SMP,open,.opus container support,"[Label(name=""enhancement"")]","This is a feature request to allow visibility and playback of the .opus music container and opus codec.

https://www.opus-codec.org/"
souch/SMP,closed,Frequently Asked Questions ,[],Hello there! I see you've a awesome project and I'm a big fan of sicmu player and I'd like to request for you to grant me an opportunity to be part of this awesome project although I'm not a developer but I could add to it by helping with the copyright like writing Frequently Asked Questions(FAQ).. Looking forward to hear from you.... 
