repository,state,title,label,body
dimtion/Shaarlier,open,Access / authenticate to Shaarli via API,"[Label(name=""enhancement"")]","Shaarli can be accessed through a REST API:

https://shaarli.github.io/api-documentation/

It would be nice to use that instead of requesting a user password when setting up Shaarlier."
dimtion/Shaarlier,open,Failed to share,"[Label(name=""question"")]","Bonjour, impossible de partager sur 3 smartphones différents. Toujours le même message: failed to share.. Merci"
dimtion/Shaarlier,open,Data is lost when switching to another app then coming back to Shaarlier,[],"Hi,

When I start filling in a shaare, then I switch to another app and then switch back to Shaarlier, the data is no longer available.

Is there a way to have data to persist the app switches?"
dimtion/Shaarlier,open,Compatibilité Shaarli2Mastodon,"[Label(name=""enhancement"")]","Issue pour demander l'ajout de la compatibilité avec https://github.com/kalvn/shaarli2mastodon.

Merci !"
dimtion/Shaarlier,open,Not showing dropdown suggestions for tags,"[Label(name=""bug"")]","I upgraded phones and of course installed Shaarlier. It works fine, but one thing I see different. I have 3 tags which start with 2: 2save, 2look, 2buy.

On my old phone, when I would start typing ""2"" in the tags field, it would show me all 3 tags which start with 2 in a drop-down so I could choose which one I wanted.

On my new phone, it doesn't show me anything - it just makes me type in the tag completely. The link saves in my shaarli correctly with the tag, so everything seems to be working.

Old phone: LG G5, running Android 7.0
New phone: LG V30, running Android 7.1.2
Shaarlier version: 1.4.0-alpha

Any ideas why I should see different behavior? Let me know if I can provide any additional information.
"
dimtion/Shaarlier,closed,FR: Open the server,"[Label(name=""enhancement"")]","HI

It would be nice if there a button in the manin menu for opening the server's actual home page also another one in the share window which opens the currently added post's page on the server.

Thanks"
dimtion/Shaarlier,open,Impossible to connect my Shaarli when included in a wordpress template,"[Label(name=""bug"")]","Hello,

Shaarlier can not connect to my shaarli when it is included in a wordpress (header/footer) template.

I duplicated an original Shaarli in another folder, connected with my original datastore.php to Shaarlier it but I don't think this is the right way ;)

By the way, many thanks for Shaarlier :)"
dimtion/Shaarlier,open,Unable to select account when shaaring a link,"[Label(name=""bug"")]","Hi,

My Shaarlier is connected to 2 Shaarli instances. When I'm sharing a link (or a note), I can't select the target account. It seems that account names are in some kind of nested dropdown lists:
![test](https://user-images.githubusercontent.com/12710607/29119621-2603163a-7d07-11e7-8c42-4c6112c9bc31.jpg)
I noticed that you can hack this issue by long pressing the first account dropdown list and then swipe to select.

Could you please fix it?
Thanks

Shaarlier version: 1.3.0
Shaarli version: 0.9.0
OS: Android 7.0

"
dimtion/Shaarlier,open,Make add-link interface scrollable,"[Label(name=""bug"")]","Hello, thanks for the very useful app. Works great except for one problem, because the keyboard lays over the add-link interface it is virtually impossible to select tags from the autocomplete dropdown, I can only see and select the first item, any other tap closes the dropdown. Please make the interface scrollable and keep showing the dropdown when scrolling. TIA!"
dimtion/Shaarlier,open,Show bookmark's data if it was saved before,"[Label(name=""enhancement"")]","If your bookmark database is quite large it's hard to remember had you already stored concrete url in it or not. While storing bookmark using bookmarklet if url was stored previously you can see all the data entered for it - title, description and tags. It'll be nice to have same functionality in this application."
dimtion/Shaarlier,open,Put the tags above the description,[],"a bit of a hack to address the fact that keyboards can sometime hide the tags field. It may or may not be the right way to solve this, but it addresses my use case.
"
dimtion/Shaarlier,closed,Comptabilité avec le plugin shaarli2twiiter,"[Label(name=""enhancement"")]","Bonjour,
Au cas ou, ça serait super si cette app pouvait être compatible avec le plugin https://github.com/ArthurHoaro/shaarli2twitter et permettre de choisir si un lien doit aussi être poussé sur twitter.
Merci
Éric"
dimtion/Shaarlier,closed,Noy working with MyFrama,"[Label(name=""invalid""), Label(name=""question"")]","Hi, maybe a PEBKEC but I cannot make this work with the MyFrama public shaarli instance. I tried http://my.framasoft.org/ with different settings but shaarlier says the url is not working.
Best regards, Jona"
dimtion/Shaarlier,closed,Emoji key in the keyboard,[],"Is it possible to add the emoji key in the keyboard?

But it looks like it has to be a choice between the ""enter key"" and the ""emoji key""...
"
