repository,state,title,label,body
markusfisch/ShaderEditor,closed,Add simple import and export functionality for shaders,[],"Export shaders to Download/ShaderEditor with shader name as filename
Avoid accidental overwriting when exporting by choosing unique filename
- an increasing number is appended until the filename is not taken
Import *.glsl files from Download/ShaderEditor
Avoid accidental overwriting when importing
- Always insert, do not overwrite when importing
Quality and thumbnail are not exported / imported

Fixes #5
Fixes #84"
markusfisch/ShaderEditor,closed,Render (possibly gl_FragCoord.y?) issue in portrait mode on 1/1 quality,[],"Hi, thank you for putting this app out there!

I installed the version 2.12.0 recently on a new phone (Huawei P10 Lite running Android 7.0). I've noticed a very specific glitch under particular circumstances.

## Expected Behaviour
When quality is set to ""1/1"" and the orientation is in portrait mode, a shader program should render correctly.

## Actual Behaviour
The resulting render is glitched in a very specific way. It appears to be rendering using the value of only the bottom row of pixels. It seems as if the value of `gl_FragCoord.y` specifically does not change.

## Conditions to reproduce
This only ever seems to happen when quality is set to ""1/1"" and the screen is in portrait mode. When in landscape mode on ""1/1"" quality, the shader program renders as expected. Setting quality to any other level allows the shader program to render correctly regardless of orientation.

## Observations
This is quite an unfortunate bug seeing as ""1/1"" is the default quality level. I am curious as to whether anybody else has encountered this issue, and if so their phone model and android version. I hope it is not just a weird issue with my phone.

I had a quick look into the codebase and saw a great deal of references to `quality` in `ShaderRenderer.java`, and might have a deeper look into it when I have more time. Do you have any idea of what the underlying cause might be?

### Broken
<img src=""https://user-images.githubusercontent.com/2551599/44237001-cebdfa00-a1a6-11e8-8095-6a23588e81d5.jpg"" width=""300"">

### Working
<img src=""https://user-images.githubusercontent.com/2551599/44236994-c82f8280-a1a6-11e8-9449-4f45e2a3f562.jpg"" width=""300"">"
markusfisch/ShaderEditor,open,"""const bool array[] = true;"" crashes app",[],"Running a shader containing this line crashes ShaderEditor.
To be honest, I have no idea why this happens, but as this most likely isn't intended, I thought I'd create an issue. I will continue to experiment with arrays... Maybe there are other similar errors?
Anyway, I would recommend checking shaders using [glValidateProgram](https://www.khronos.org/registry/OpenGL-Refpages/gl4/html/glValidateProgram.xhtml) before running them. That should take care of this kind of crash."
markusfisch/ShaderEditor,closed,File location of saved shaders,[],"This may have already been stated somewhere but I have yet to find it, any way I can find where exactly the shader files are saved? It would make things a lot easier if I could do my work from my PC with an actual keyboard but I'm not sure if that is actually possible. Any advice would help."
markusfisch/ShaderEditor,closed,Syntax highlight switch request,[],I'm doing some raymarching on my phone with the editor and the shader gets really big (couple houndred lines). As I try to scroll through it it gets really slow and choppy. This is a known issue but maybe by turning syntax highlight off it would speed it up by a lot?
markusfisch/ShaderEditor,open,All errors are claimed to be found in line 1,[],This makes debugging terribly difficult.
markusfisch/ShaderEditor,open,Suggestion: Capture screen render,[],Would it be possible to integrate a preset similar to backbuffer but instead of capturing the last rendered frame of camera it would capture last rendered frame of screen? Basically sampler2D where texture is what ever is rendered on the phones screen at the moment.
markusfisch/ShaderEditor,closed,"""#include"" feature",[],I think it is very useful because this app runs on the small display.
markusfisch/ShaderEditor,closed,Set As Wallpaper Not working In Shader Editor,[],"
#### Expected behavior
I launched Shader Editor, created my shader, tapped on the 3 dotted icons by the right, then click set as wallpaper, so i can change my current wallpaper to my shader i just created.

#### Actual behavior
I launched Shader Editor, created my shader, tapped on the 3 dotted icon by the right, then clicked set as wallpaper, but nothing happened, the wallpaper didnt change.

#### How to reproduce
[Download](https://play.google.com/store/apps/details?id=de.markusfisch.android.shadereditor)

launch Shader editor,
tap on the 3 dot by your right,
select set as wallpaper.

Device Used: Infinix Note 3 or Infinix X601

Operating system: Android 7.0 Nougat

App Version 2.9.1

#### Recording Of The Bug
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/cEZ2fkSJohM"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>

<br /><hr/><em>Posted on <a href=""https://utopian.io/utopian-io/@sahmmie/set-as-wallpaper-not-working-in-shader-editor"">Utopian.io -  Rewarding Open Source Contributors</a></em><hr/>"
markusfisch/ShaderEditor,closed,Added a swirl gun example,[],
markusfisch/ShaderEditor,open,Camera doesn't work on n7100,[],Just a black texture instead of image from camera. Camera is fully allowed in AppOPs and XPrivacy. The rest of camera apps work fine.
markusfisch/ShaderEditor,open,Accelerometer/orientation unforms ignore screen rotation,[],"It seems that the various sensor outputs for orientation ignore the rotation of the screen, and since there's no way to determine screen rotation in the shader, this means that things like the gravity vector are just wrong when the screen is rotated into a landscape orientation. You can see this by loading up the Gravity Vector preset. When the device is in a portrait configuration, the screen corresponds to the device orientation quite nicely, but when the device switches to landscape configuration, the motion on the screen stops making sense.

I'm not sure exactly what sensor outputs need to change, but I've had a great deal of difficulty getting any of the accelerator based uniforms to output logical values switching between portrait and landscape configuration.

Other than that, awesome program!"
markusfisch/ShaderEditor,open,Syntax highlighting disappeared,[],"I moved some code around in my main function and syntax highlighting was gone. I couldn't reproduce it yet. The only way to restore highlighting was to restart the application.

Here's the resulting code after a paste:

```
void main()
{
	vec4 buf=texture(backbuffer,gl_FragCoord.xy/resolution);
	if(true
	//	&&texture(backbuffer,vec2(.0)).rgb==vec3(.0) //workaround for rendering only one frame
		)
	fc=vec4(render(),1.);
	else
	fc=buf;
	if(gl_FragCoord.xy==vec2(.0))
	fc.rgb=vec3(.0);
}
```
I tried to create a workaround to be able to render [only one frame](https://github.com/markusfisch/ShaderEditor/issues/58) as this is not a feature in the application.
"
markusfisch/ShaderEditor,closed,Adding a camera uniform breaks specifying GLSL version,[],"Specifically, I get this error when I try adding `uniform samplerExternalOES cameraBack;` near the top (but obviously under `#version 100`):

> "":    GLSL error: #version must occur  
> before any other statement in the program

Yes, the quotation mark and colon are part of the error. Here is a minimal shader that triggers this bug (almost literally the default camera shader, but with `#version 100` added to the top):

```glsl
#version 100

uniform vec2 resolution;
uniform vec2 cameraAddent;
uniform mat2 cameraOrientation;
uniform samplerExternalOES cameraBack;

void main(void) {
	vec2 uv = gl_FragCoord.xy / resolution.xy;
	vec2 st = cameraAddent + uv * cameraOrientation;

	gl_FragColor = vec4(texture2D(cameraBack, st).rgb, 1.0);
}
```

Commenting out the first line lets it work just fine."
markusfisch/ShaderEditor,closed,Shader version mismatch when trying to use OpenGL ES 3.0,[],"I was wanting to use functions like `inverse()`, but it seems the app doesn't support setting the version to '300 es'. Perhaps an option somewhere should be added so that we can choose which version of OpenGL we use?"
markusfisch/ShaderEditor,closed,Can't set live wallpaper,[],"Hi,

Lovely app but I am unable to set a live wallpaper. Nothing happens when I select the button.
I'm running android 7.0 on a LG V20.

Let me know if I can help solve the issue in any way."
markusfisch/ShaderEditor,open,Strange value of gl_FragCoord.y on Honor 7X,[],"on Honor 7X (screen resolution 2160x1080):
first frame works correctly, after gl_FragCoord.y==0.5 on each pixel,
so ""gl_FragColor = vec4(vec3(gl_FragCoord.y==.5), 1.0);"" gives white screen"
markusfisch/ShaderEditor,open,Add optional line numbers to text field,[],Add an optional line numbers to the shader's text field for better shader debugging
markusfisch/ShaderEditor,closed,Add optional line numbers to text field,[],
markusfisch/ShaderEditor,open,Edits should be saved as a draft,[],"Backgrounding the app for any reason such as responding to a chat, or accidently pressing home causes the shader in progress to be reverted to the last save.

I'm often loosing tens of minutes of coding time because I forget to save before backgrounding.
I don't tend to manually run the shader, so the ""Save on run"" setting doesn't help me.

I would prefer if edits were always saved as a draft. There could be a button to revert to the last manual save so that reverting is always an explicit action rather than a surprise."
markusfisch/ShaderEditor,open,Implement downloading shaders from ShaderToy and GLSLSandbox and other shader-sharing sites,[],"I have tried a couple of shaders and saw them working. So I think, even though not all the shaders would work, having a feature to download and try shaders right in the app would be immediately useful.
https://www.shadertoy.com/api
http://glslsandbox.com/"
markusfisch/ShaderEditor,open,App crashes after plugging in charger,[],"Gear: Samsung GT-i5510 Galaxy, Cyanogenmod 7 (Android 2.3.7)
Shader Editor version: 2.8.1
Logcat:

```logcat
W/ActivityManager( 1717): Permission Denial: Accessing service ComponentInfo{de.markusfisch.android.shadereditor/de.markusfisch.android.shadereditor.service.ShaderWallpaperService} from pid=1717, uid=1000 requires android.permission.BIND_WALLPAPER
E/AndroidRuntime( 2557): java.lang.RuntimeException: Unable to start receiver de.markusfisch.android.shadereditor.receiver.BatteryLevelReceiver: java.lang.SecurityException: Not allowed to start service Intent { cmp=de.markusfisch.android.shadereditor/.service.ShaderWallpaperService (has extras) } without permission android.permission.BIND_WALLPAPER
E/AndroidRuntime( 2557): Caused by: java.lang.SecurityException: Not allowed to start service Intent { cmp=de.markusfisch.android.shadereditor/.service.ShaderWallpaperService (has extras) } without permission android.permission.BIND_WALLPAPER
E/AndroidRuntime( 2557): 	at de.markusfisch.android.shadereditor.receiver.BatteryLevelReceiver.a(Unknown Source)
E/AndroidRuntime( 2557): 	at de.markusfisch.android.shadereditor.receiver.BatteryLevelReceiver.onReceive(Unknown Source)
I/WindowManager( 1717): WIN DEATH: Window{407f62a0 de.markusfisch.android.shadereditor/de.markusfisch.android.shadereditor.activity.MainActivity paused=false}
I/ActivityManager( 1717): Process de.markusfisch.android.shadereditor (pid 2557) has died.
W/ActivityManager( 1717): Scheduling restart of crashed service de.markusfisch.android.shadereditor/.service.ShaderWallpaperService in 5000ms
W/WallpaperService( 1717): Wallpaper service gone: ComponentInfo{de.markusfisch.android.shadereditor/de.markusfisch.android.shadereditor.service.ShaderWallpaperService}
I/WindowManager( 1717): WIN DEATH: Window{407f0fd8 de.markusfisch.android.shadereditor.service.ShaderWallpaperService paused=false}
```
Used wallpaper:
```glsl
#ifdef GL_FRAGMENT_PRECISION_HIGH
precision highp float;
#else
precision mediump float;
#endif

uniform vec2 resolution;
uniform float battery;
uniform float time;
uniform vec3 gravity;

void main(void) {
  vec2 uv = gl_FragCoord.xy / resolution.xy - 0.5;
  const float pi = 3.14;
  const float pih = 1.57;
  float grot = gravity.y / length(gravity.xy) * pih;
  float a = gravity.x > 0.0 ? grot : pi - grot;
  float b = battery;
  vec2 uvr = vec2(
    uv.x * cos(a) - uv.y * sin(a),
    uv.x * sin(a) + uv.y * cos(a)
  );
  float t = time;
  float c = ((uvr.y+ 0.5)/b + 1.0 - 1.0/b + sin(t) *uvr.x*0.2);
  float cs = abs(sin(t)) * c;
  float cr = (1.0 - 2.0 * b) * cs;
  float cg = b * cs;
  gl_FragColor = vec4(cr, cg, 0.0, 1.0);
}
```
This app is amazing by the way :)"
markusfisch/ShaderEditor,open,Can it keep the backbuffer when it is reactivated the next time?,[],"Currently: When reactivated, the backbuffer is black.
Suggestion: Add the ability to keep the backbuffer (as long as possible), and use ""Update Wallpaper"" to reset it."
markusfisch/ShaderEditor,closed,Fix issue #63 Adaptive Icons,[],Introduces the new [Adaptive Icons](https://developer.android.com/preview/features/adaptive-icons.html) feature of Android O!
markusfisch/ShaderEditor,closed,Adaptive Icons,[],"Hello,

What do you think about using the new [Adaptive Icons](https://developer.android.com/preview/features/adaptive-icons.html) feature of Android O?

It would be really nice to see them implemented in ShaderEditor! Can I help :wink:?

Thank you very much,"
markusfisch/ShaderEditor,closed,iDate as in shadertoy.,[],"Can we get iDate as used in shadertoy with iDate.xyzw.

Greets snails"
markusfisch/ShaderEditor,closed,Default Backbuffer Image,[],"Currently: At the beginning, the backbuffer is black, which doesn't make sense for every shader. (You can work around this with an if statement in the shader...)
Suggestion: Add the ability to set the backbuffer to some image.

This would be great for procedural effects & other effects that rely a lot on the previous state."
markusfisch/ShaderEditor,closed,Video Camera,[],It would be pretty cool if the camera's video stream could be accessed with a texture.
