repository,state,title,label,body
scoute-dich/Sieben,open,Add The Advanced 7-Minute Workout,[],Please include the [Advanced Workout](https://well.blogs.nytimes.com/2014/10/24/the-advanced-7-minute-workout/)
scoute-dich/Sieben,open,fixed fdroid-link,[],
scoute-dich/Sieben,open,"Does not start workout, only if skipping first exercise",[],"When I swipe up to start the workout, it displays ""a short break"", but nothing else happens. The only way to start the workout is swiping horizontally to the next exercise: then the counter begins and the workout starts from the 2nd exercise.

I installed version 2.3 from F-droid (tried reinstalling, same problem); running Android 6 on a Moto G2 (XT1078). Thanks for this great app!"
scoute-dich/Sieben,open,Update to the Spanish translation,[],"I've updated the spanish translation with the remaining strings and reviewed current ones to follow some good practices.
Hope it's correct and able to be merged soon."
scoute-dich/Sieben,open,Add option to pause background music during audio playback,[],"Hi, cool app, thanks for releasing it as open source! For listening to podcasts etc. during the workout maybe also some other people might find the following useful. I also optimized the TTS usage a bit. These changes just would need translations for the following strings (except en/de):

- action_no_audio_overlap
- action_no_audio_overlap_summary"
scoute-dich/Sieben,open,Play store,[],"A few days ago I received an notification for an update of ""Sieben"". From then on it depends on Google Play services, contains ads and is for girls. I guess it's a fork of your app uploaded to the play store without changing the signature. Here is a link:

[https://play.google.com/store/apps/details?id=de.baumann.sieben](https://play.google.com/store/apps/details?id=de.baumann.sieben)

An other copy (which seems to be identical) is:
[https://play.google.com/store/apps/details?id=de.baumann.sieben1](https://play.google.com/store/apps/details?id=de.baumann.sieben1)

"
scoute-dich/Sieben,open,Unclear image license,[],What license do the images used in the project have?
scoute-dich/Sieben,open,"additional audio output: half time, 3, 2, 1",[],"for greater motivation and helping to do the full 30 seconds, I suggest the following (maybe depending on a setting):
the audio output says ""half time / halbzeit"" after 15 seconds doing an exercise and counts 3,2,1 for the last seconds. This idea comes from another 7 minutes app and I was getting used to it.
Thanks!"
scoute-dich/Sieben,open,Whistle stops after the 7th exercise.,[],"Whistle stops when  ""plank"" begins and doesn't occur in the followings exercises."
scoute-dich/Sieben,closed,UPDATE fr translations,[],Hi. Some strings were missing an FR translation. I also updated some of the existing translations for clarity
scoute-dich/Sieben,closed,No Voice Commands,[],"Hi,

I hear no voice commands, running the app on an Android 6 machine.
Any ideas?

Regards"
