repository,state,title,label,body
hwki/SimpleBitcoinWidget,closed,Translation the app in pt-br version,[],Created the directory and the string.xml file.
hwki/SimpleBitcoinWidget,closed,Translation pt-br,[],"Hi.

What would be the best way to start the translation?

Thanks."
hwki/SimpleBitcoinWidget,closed,Change the color of Bitcoin Cash,[],Bitcoin Cash is often associated with the green B icon/symbol.  Any chance we can get the color changed?  It would also make it much easier to differentiate when taking a quick glance at the widgets.
hwki/SimpleBitcoinWidget,open,Widget greyed out after recent update,[],"Since the most recent update, my bitcoin widget has been greyed out and the price no longer updates. If I touch it to force a reload, I get the spinner for a few seconds and then it goes back to being greyed out with no update in price. Also tried restarting Android but that didn't help either. I'm on a Google Pixel 2 w/Android 8.1.0, build OPM2.171019.029, patch level Apr 5, 2018"
hwki/SimpleBitcoinWidget,closed,Zcash support?,"[Label(name=""enhancement"")]","First off, I love the app!

Would love support for zcash.  I'd say it has a fairly large market cap, and would go great next to Monero :)"
hwki/SimpleBitcoinWidget,closed,[Exchange Request] Coinbe.net,[],"Hi,
I want to show you exchange, which has all coins implemented in your app, and much much more ;)
It's small polish exchange which just started and is going great.
https://coinbe.net
You can find Public API here: https://github.com/beatcoinpl/Public-API
And Private API here: https://github.com/beatcoinpl/Private-API"
hwki/SimpleBitcoinWidget,closed,text showing too large,[],"Hi there,
i've just installed the widget, and prices is showing too large that i can't see anything.

Like this : 
![screenshot_20180118-213314](https://user-images.githubusercontent.com/10772930/35120492-9830cd04-fc98-11e7-97ca-8ce01cfa6434.png)
"
hwki/SimpleBitcoinWidget,closed,Decred support,"[Label(name=""enhancement"")]","We would like support for Decred.
https://coinmarketcap.com/currencies/decred/

We didnt think it was coming so we made this, but are open to collaboration.
https://github.com/C-ollins/Simple-Decred-Widget
https://play.google.com/store/apps/details?id=com.simpledecredwidget
"
hwki/SimpleBitcoinWidget,closed,Multiple coins,[],
hwki/SimpleBitcoinWidget,closed,add simplecoin.cz czech exchange,"[Label(name=""in development"")]",
hwki/SimpleBitcoinWidget,closed,gradle: include google() repo for android plugin,"[Label(name=""in development"")]","Fixes: Could not find com.android.tools.build:gradle:3.0.0.

Since version 3.0 the android gradle plugin is only available inside the google() repo, not in jcenter() anymore. Fixes the build for fdroid, when you release a new version: 

https://f-droid.org/wiki/page/com.brentpanther.litecoinwidget/lastbuild_20"
hwki/SimpleBitcoinWidget,open,Add a port to Android smart watch please.,"[Label(name=""enhancement"")]","Hi, I was wondering how hard would it be to port this app to android smart watch.
It would be great if a user could launch an app on his smart watch (perhaps using hardware buttons) and just see the current value of Ethereum directly on his hand."
