repository,state,title,label,body
tranquvis/SimpleSmsRemote,open,Metasploit,[],Can I integrate this in metasploit Android exploitation application??...lol
tranquvis/SimpleSmsRemote,open,Add support for encrypted SMS,[],"Hey!

Would be awesome if the communication could be 'proper' secured. I think using the silence (https://github.com/SilenceIM/Silence) stack which is based on signal (https://github.com/signalapp/Signal-Android) and is using up to date encryption technologies: Double Ratchet Algorithm (https://en.wikipedia.org/wiki/Double_Ratchet_Algorithm)

Sending the commands in clear text is no good anymore in 2018 (in 2017 it wasn't ether...)

And if there is a end-to-end encrypted communication there could even a defined pass or secret be used when sending commands.. (or just use and validate the keys from the sender!) :+1: "
tranquvis/SimpleSmsRemote,open,"Add module ""Wipe all data""",[],In case if device is lost  - this is worth to try to erase all data on that by sending SMS.
tranquvis/SimpleSmsRemote,closed,"Bug on Simple Sms Remote: Clear whole log?  Has no ""Ok"" button to concur to request",[],"
#### Expected behavior
Simple Sms remote is an open source andriod application for controlling a mobile device through messaging. Clearing the log is performed by activating the log at the menu option on the top right hand side of the screen, then clearing the trash on log. 

#### Actual behavior
The case as it may be is a bit different when I try to perform this operation. Everything works fine from clicking on the log at the top of the screen to opening the log, clicking on the trash icon, right up on till the point a dialog shows **Clear whole log?** with no **OK** feature to concur with request of clearing the log. The box just displays **clear log?** with no additional information and hence the process can not easily be carried out successfully.

#### How to reproduce
* Click on the menu option at the top right corner of the application. 
* Click on log and this will appear. 
* Click on the trash icon as shown (see image below.  ![Screenshot_20180404-111455.png](https://cdn.utopian.io/posts/1466f7f8e674bbf0d4b990dc0ba99370716bScreenshot_20180404-111455.png)
* This dialog appears without an **OK** option to verify or concur to request in carrying out the operation. (see image below)  ![Screenshot_20180404-111538.png](https://cdn.utopian.io/posts/67a092f9bb865edc388e5e4243916e40db4aScreenshot_20180404-111538.png)

--------------------------------------------------------

* version of the application : **v 1.2.0**
* last updated : 12/7/17

--------------------------------------------------------

* Browser: F-driod / Simple Sms Remote
* Operating system: Andriod 7.0

#### Recording Of The Bug

https://youtu.be/gcL0-tH7wok
    

<br /><hr/><em>Posted on <a href=""https://utopian.io/utopian-io/@gutzygwin/bug-on-simple-sms-remote-clear-log-has-no-ok-button-to-concur-to-request"">Utopian.io -  Rewarding Open Source Contributors</a></em><hr/>"
tranquvis/SimpleSmsRemote,closed,App crashes when granting access to a module,[],"***Expected Behavior***

The app should work properly and not crash.  In order to make users enjoy using it 

***Actual Behavior***

When a permission access to access device is requested, and the device goes on landscape, the app crashes 



***How to produce the bug***

* Open the app 
* Select any of the modules, such as : Audio, Bluetooth or camera (I used camera in reproducing the bug) 
* A page will open, at the top right corner of the page, select enable module 
* You'll be prompted to give access. Rotate screen such that it goes landscape and come back to portrait. 

* Click Allow and watch the app crash 
 

***TEST TOOLS***

* Operating system : Android 6.0
* Phone : Infinix hot s
* Simple SMS remote v1.2.0


***Recording of the bug is showned below......***



Watch the video below to see how it behaves.... 

https://youtu.be/lP2nViI4mOg


<br /><hr/><em>Posted on <a href=""https://utopian.io/utopian-io/@beckysophie/slideshow-app-goes-to-the-root-folder-unexpectedly"">Utopian.io -  Rewarding Open Source Contributors</a></em><hr/>"
tranquvis/SimpleSmsRemote,closed,"Bug In ""Simple SMS Remote"" App(Button are not working after take tour)","[Label(name=""bug"")]","
#### Expected behavior
I Expected that when i Click on simple sms remote app and click on any option like ""setting"" that i wanted to change it should be work.
#### Actual behavior
When I open the simple sms remote application and take a visit how he function in the wake of finishing visit steps again I tap on choice catch and click on setting catch that I needed to change a few settings yet the setting catch are not working then I tap on others discretionary catch they are likewise not working after take a tour.
#### How to reproduce
1. Download Simple Sms remote app from playstore
2. Install and Run it
3. Open the app clik on options button on top righ side
4. Now Click on Help tour button and take tour how he work
5. After completing tour Again Click on option button
6. Click on Setting Button
7. Note the bug
* Browser: HUAWEI Mate 10 lite
+ Version: 1.2.0
* Operating system: Android version 7.0

#### Recording Of The Bug
<iframe width=""732"" height=""400"" src=""https://www.youtube.com/embed/5UMVnQLKWpI?ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>    

<br /><hr/><em>Posted on <a href=""https://utopian.io/utopian-io/@rizwankhan/bug-in-simple-sms-remote-app-button-are-not-working-after-take-tour"">Utopian.io -  Rewarding Open Source Contributors</a></em><hr/>"
tranquvis/SimpleSmsRemote,open,Icon / logo proposal for the application,[],"Hello @tranquvis ,
I'm willing to design a new icon and a logo for your application , and i need your permission before start."
tranquvis/SimpleSmsRemote,closed,Bug Found in Simple SMS Remote app (Ok button are not showing),"[Label(name=""bug"")]","
#### Expected behavior
I Expected that when i opened simple sms remote app And when I will active  a commands to control my mobile phone with sms. IF any of them that i  wanted to disable the command it should be 
disabled.

#### Actual behavior
When i open simple sms remote app and enable all the commands that i wanted to control my 
cell phone through sms commands it work properly but when i try to disable the active commands they will ask ""Are you sure you wanted to disable the command"" but there is no Ok button to disable the command so command will not be disabled.

#### How to reproduce
1. Download simple sms remote app through F-Droid

2. Select a Command that you wanted to active

3. Click Enable module to active command

4. Allow access to simple sms remote app

5. Now click on command that you wanted to disable 

6. Click disable module 

7. Note the bug

* Browser: HUAWEI Mate 10 lite
* Operating system: Android version 7.0

#### Recording Of The Bug
<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/t_jlz5aokOQ?ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>
    

<br /><hr/><em>Posted on <a href=""https://utopian.io/utopian-io/@rizwankhan/bug-found-in-simple-sms-remote-app-ok-button-are-not-showing"">Utopian.io -  Rewarding Open Source Contributors</a></em><hr/>"
tranquvis/SimpleSmsRemote,closed,Update VersionCode,[],Missing VersionCode update
tranquvis/SimpleSmsRemote,closed,Icon ic_mic_grey_700_36dp not found,[],"I cloned the repository and tried to build using AndroidStudio. Everything worked immediately, except line 21 in ""ModuleAudioRecording"":'
`this.iconRes = R.drawable.ic_mic_grey_700_36dp;`

The mic icon could not be found. (For testing I replaced with another icon).

Did I miss anything during build?

Cheers
Patrick"
