repository,state,title,label,body
rignaneseleo/SlimSocial-for-Facebook,open,maintenance,[],pretty much the same as the Twitter merge request
rignaneseleo/SlimSocial-for-Facebook,open,comments unreadable with dark theme in main feed,[],"using the dark theme, comments appear as black text in a dark grey box in the main feed and so are essentially unreadable. only when the post is opened do they become readable."
rignaneseleo/SlimSocial-for-Facebook,open,Remove back bar overlay,"[Label(name=""TODO"")]","The DOM ID `#MBackNavBar` is an overlay that paint over top bar menu, appear on touch layout.

This will prevent acccess the menu until navigating back to the news feed, it will very hard to go back for just accessing menu if you navigate away deeper too much.

Example ref: https://github.com/kowith337/PersonalFilterListCollection/issues/18"
rignaneseleo/SlimSocial-for-Facebook,closed,18:9 screen ratio support.,[],"Added 18:9 screen ratio support! Rows 34,35,36.
Also solved a problem with a comment in row 24."
rignaneseleo/SlimSocial-for-Facebook,closed,sharing error: href should represent a valid URL,[],"When attempting to share a Google news article, slim social always displays a red error notification and fails that reads:

""href should represent a valid URL""

Screenshot:
https://photos.app.goo.gl/Myz4jtYySibk1ndq7"
rignaneseleo/SlimSocial-for-Facebook,open,Feature request ; option to disable media loading over wifi,[],"Pretty much the subject. I can't use this app on mobile because I have limited mobile data, and switching back and forth in the setting is annoying. "
rignaneseleo/SlimSocial-for-Facebook,closed,"On Windows Mobile, comments under posts now took forever to load. Otherwise, liking and browsing posts and profiles appeared to fine.",[],
rignaneseleo/SlimSocial-for-Facebook,closed,App does not fullfill 18:9 screens,[],"When using app with a 18:9 screen (in my case Xiaomi Redmi Note 5), the application does not fullfill the entire screen.

A black bar is displayed at the bottom of the screen."
rignaneseleo/SlimSocial-for-Facebook,closed,Updated the Norwegian translation,[],"The ""no"" language tag has deprecated in Android for some years, to the effect that ""values-no"" translations does not show up on Android ≥5.0. Therefore I've copied ""values-no"" to ""values-nb"", which is the de facto successor tag.

I also fixed a few translation errors in the original file."
rignaneseleo/SlimSocial-for-Facebook,closed,Fixed typo in method FromDestopToMobileUrl(),[],"Just fixed the type in ""FromDestopToMobileUrl"" method. Still reading the code, hopefully, will contribute more. Cheers :+1: "
rignaneseleo/SlimSocial-for-Facebook,closed,"Added handler for mbasic facebook links, made MessageActivity pass co…",[],"Issue #65 is the result of Facebook passing in a URL with the mbasic.facebook.com subdomain. Also attached to this pull request is a fix for another issue that is not yet reported. 

The other issue is that while a user is inside of MessageActivity, they can click a link (like a user's name) that should refer them back to MainActivity. This doesn't happen because there is no parser set up to handle this. I believe this should address that issue as well, and I have tested it."
rignaneseleo/SlimSocial-for-Facebook,closed,Update MainActivity.java,[],Fixes #57
rignaneseleo/SlimSocial-for-Facebook,open,Oops there is a problem interrupts already loaded page.,"[Label(name=""help wanted"")]","When I lose network connection (walking from one building to another), it gives the message and stops me from seeing what I was looking at that had already been loaded."
rignaneseleo/SlimSocial-for-Facebook,closed,Bypass fb redirect pages,[],Is there any way to implement bypassing for the fb page that appears before redirection to sites outside fb?
rignaneseleo/SlimSocial-for-Facebook,open,mbasic new messages,"[Label(name=""idea"")]",Since mbasic doesn't refresh a conversation (thread) a good workaround could be to force refreshing the page every X seconds or minutes. @rignaneseleo What do you think about that? 
rignaneseleo/SlimSocial-for-Facebook,open,Videos do not play.,[],"When attempting to play a Facebook video, a small video frame appears, but the page is otherwise unresponsive and the video does not play."
rignaneseleo/SlimSocial-for-Facebook,closed,Some pages load in Basic mode.,[],"Some pages open in Basic view, particularly when opening them from a web browser. I am unable to determine a consistent cause."
rignaneseleo/SlimSocial-for-Facebook,open,Messages are not shown,[],"Hi, started from today, I cannot see my Messages, it says ""Install Messenger"", it was working before."
rignaneseleo/SlimSocial-for-Facebook,open,[Bug] Facebook menu not shown correctly,[],"The menu is not shown correctly as seen in the screenshot:

![20180416_121129](https://user-images.githubusercontent.com/25488086/38880019-fa4171c6-4264-11e8-865d-568e707311f5.png)


**N9005 | Android 5.0 | SlimSocial for Facebook 3.7.1**"
