repository,state,title,label,body
Sensirion/SmartGadget-Android,open,Gradle Sync failed in Android SDK version 3.1 Gradle version 4.4,[],"Hello,
My android Studio version is 3.1
Gradle version is 4.4.
Gradle project sync failed.
the message is 

> The versions of the Android Gradle plugin and Gradle are not compatible.
Please do one of the following:<ul><li>Update your plugin to version 2.4. This will require changes to build.gradle due to API changes.
Open migration guide</li><li>Downgrade Gradle to version 3.5.
Fix Gradle wrapper and re-import project</li></ul>

I had to do some changes in order to succeed to Sync gradle."
Sensirion/SmartGadget-Android,closed,"adding ""Download"" button on History panel.  ",[],"Hello, 
I have added button on History panel. 
when button is pressed, Excel file will be generated, with all the history data.
I am new in open source, could I contribute my code to close this issue?"
Sensirion/SmartGadget-Android,closed,Upgrade androidplot,[],"In preparation for work on #27 I upgraded androidplot to the latest available version. Also the styling of the plot is now done in the layout xml as much as possible.

I could only test this change on one device, please let me know if it looks bad in certain resolutions."
Sensirion/SmartGadget-Android,closed,Update README.md,[],"This small and useless PR adds two buttons to get your app on F-Droid and Play Store ;)

Thanks for this app"
Sensirion/SmartGadget-Android,closed,App doesn't identify the SHT31 sensor,[],"Hello Sensirion,

I'm running the smart gadget on an Android version 5.0.2, locations and Bluetooth services enabled.
Yet I can't connect to my sensor. Bluetooth and Locations in my phone seems to be working well with other instruments and /or apps.

The sensor itself seems to be fine cause I'm logging to it from other phones. 

Can you tell me what might be the problem? Is the Android version too old? In the google playit says that it should be working with Lolipop and up.

Thnaks,
Eyal "
Sensirion/SmartGadget-Android,closed, 'Gradle sync failed' response ,[],"Hello Sensirion,

I was trying to load the GitHub project on Android Studio 2.3.3 and got the following message on my Log window:

**Gradle sync failed: Cause: org.gradle.api.internal.tasks.DefaultTaskInputs$TaskInputUnionFileCollection cannot be cast to org.gradle.api.internal.file.collections.DefaultConfigurableFileCollection
			Consult IDE log for more details (Help | Show Log)**

Do you have any idea what could cause this failure?

thanks a lot

"
Sensirion/SmartGadget-Android,closed,Updated en-r001 (English (World)) translation,[],Commit made via Stringlate
Sensirion/SmartGadget-Android,closed,Debugging code with Ulink2 and ST1,[],My Ulink2 debugger is not detecting the board. Could anyone help me here ?
Sensirion/SmartGadget-Android,closed,Permission <READ_PHONE_STATE> is declared but not used,[],"Hello, I'm Denis Bogdanas, a research assistant at Oregon Stat University.
I'm working on a tool that automatically introduces runtime permission checks and requests for Android 6 apps. As part of this study I analyzed this app. I was looking at the way permissions are referred in the code.

This app declares permissions <READ_PHONE_STATE> in the apk manifest, but doesn't have any code that requires them. It is possible that source code doesn't declare the permissions. I only analyzed apk builds from f-droid. Yet android build mechanism may introduce them when the app uses certain libraries:

https://commonsware.com/blog/2015/06/25/hey-where-did-these-permissions-come-from.html

It won't create any problems on Android 6, but on Android 5- users may wonder why the app needs these permissions and be skeptical of installing the app.

Do you think this is an issue?

best regards,
Denis
"
Sensirion/SmartGadget-Android,closed,Android automatic refactor - ObsoleteLayoutParam,[],"Hi,

I am developing a tool to automatically refactor Android applications with the goal of improving energy efficiency.
This pull request has the changes generated while applying the rule ""ObsoleteLayoutParam"".

While developing your application's views you might be specifying attributes in a view's artefact that are not necessary due to the nature of its parent. In this PR, those attributes were replaced by a comment.

I have made a previous validation of the changes and they seem correct.
Unfortunately, this tool is not able keep the original whitespace of the files, so comparison without ignoring whitespace might be confusing.
Please consider the changes and let me know if you agree with them.

Best,
Luis"
Sensirion/SmartGadget-Android,closed,Pairing happening with device - But data not updated,[],"Hello,
I use AndroidStudio Version 2.2.2. I have a Nexus 6P and I am trying to read data with the app. Unfortunately I always get a blank readings screen. Any help here please ? "
Sensirion/SmartGadget-Android,closed,"paired, but not discovered ",[],"Hello!

I have two [SHT31s](https://www.sensirion.com/products/humidity-sensors/development-kit/), and [the app v1.8.1](https://f-droid.org/repository/browse/?fdid=com.sensirion.smartgadget) on a [S4mini with CyanogenMod](https://wiki.cyanogenmod.org/w/Serranoltexx_Info) 13. The phone pairs with the SHT31s, but the app doesn't discover them under `Settings > Connections > Smart Gadgets` (screenshot from the app switcher at the bottom).

Whenever the app asks for Bluetooth permissions, I click allow. I tried in Flight mode and with all other apps closed. [BLExplorer](https://f-droid.org/repository/browse/?fdid=org.ligi.blexplorer) I sees ""Smart Humigadget"" & also connects. However, the Smart Gadget app scans without ever discovering the SHT31 :-(

What could be wrong here? What info can I provide to help the trouble-shooting? Thanks for any help with this issue :-)

![img_20161126_111320](https://cloud.githubusercontent.com/assets/757323/20639874/fc3f3528-b3cf-11e6-9ac0-5e5a76fd18a1.jpg)
![screenshot_20161126-115851](https://cloud.githubusercontent.com/assets/757323/20639916/9b39a000-b3d0-11e6-85e1-56ac85ec9e48.png)
![screenshot_20161126-111245](https://cloud.githubusercontent.com/assets/757323/20639850/f893868c-b3ce-11e6-9273-a82d9a59032e.png)







"
Sensirion/SmartGadget-Android,open,X-axis labels in plots unevenly distributed/missing values,[],"Running with 1 min of logging interval and live connection the X-axis labels in the 10 min view change while the screen is being updated. I would expect the view to show 10 to 0 constantly, but instead it displays

- 9  7  6 ... 0
- 8  7  6 ... 0
- 9  8  6 ... 0

in some unpredictable manner with each screen update. I could understand some update when the data is also scaled, but just the axis labels seem to change.

Within the ""1 Hour"" view labels are just unevenly distributed meaning distance is equal, but values are not equally spaced: 53  46  40  33  26  20  13  6  0 Perhaps the calculated distance is 6.5 min, but this is rounded in some way.

""6 Hours"" and ""1 Day"" is going well, displaying 6 labels at the end of 6 intervals (1 hour/4 hours) and are always he same. One would expect the ""1 hour"" to be displaying 50  40  30  20  10  0 following that scheme, but strangely it is not.

The week view misses a whole day (today its Sunday, on Monday it was Friday), so always today-3 is not shown?! Additionally where ""today"" should be (right end of the screen) the display is always one day ahead (now: Thu but it is Wed - at least in my timezone ;-))"
Sensirion/SmartGadget-Android,closed,v.1.7.2,[],"# 
"
