repository,state,title,label,body
NewProggie/SparkleShare-Android,open,Not available in Canada ? ,[],"Hi,
  If I try to download from the Android Market in Canada I get : ""Sorry! This content is not available in your country yet.""

  It does not show up in the Play app on my device either :(

  Could this be fixed ?

Thanks!
"
NewProggie/SparkleShare-Android,open,No public git folder,[],"I have setup sparkleshare-dashboard and added repository in config like this

exports.folders = [
  { type: 'git', name: 'Public GIT folder', path: 'C:/Users/DELL/SparkleShare/test4/.git', pub: true }
];

And then i link the device by adding host address ""https://github.com"" and link code,generated by sparkle-share dashboard but i it show only blank screen on android side.  
"
NewProggie/SparkleShare-Android,closed,Offline Directory Hierarchy,[],"We changed the local directory structure to map the online one and also downloaded files are now stored in the right path.

Take it if you like it ;)

We'll probably tackle a few other tasks.

Greetings,
Sveti & Richy
"
NewProggie/SparkleShare-Android,closed,Build outside Google Play,[],"For devices that lack access to Google Play, it would be nice to have an APK downloadable elsewhere.
"
NewProggie/SparkleShare-Android,open,Update the app in Google Play,[],"According to Google Play, the app was last updated over one year ago. I'm not sure how many fixes there are now compared to the version in Google Play, but at least #52 seems pretty important to release.

Are there any plans to update the app in the market soon?
"
NewProggie/SparkleShare-Android,open,Support for syncing mobile disk,[],"I'm looking for a solution to sync the contents stored on my Android phone with a Git repository using SparkleShare.

This way I could automatically sync my pictures, recordings, etc. to my computer. Another use case is backup.

Is this possible?

Cheers
"
NewProggie/SparkleShare-Android,closed,Minor Fix and added functionalities,[],"- Fixed unescaped apostrophes in Ukrainian language file

Added the following functionalities:
- Delete a file from phone
- Re-download a file (helpful if file changes often, e.g password db)
- Showing thumbnails in detail-view of images instead of the file icon
"
NewProggie/SparkleShare-Android,open,Being ableto do without the dashboard,[],"Hello,

I have my own git server, and no dashboard (whiwh seems discontinued anyway). 

It would be nice to have a way to connect to a server using just a user, a server, port, a key and a path to the git folder repository (like in the add hosted project > ""on my own server"" from the windows based sparkleshare app).

Currently, I'm stuck with the android app: no way to generate the barcode... or the link info it awaits... 

thx
"
NewProggie/SparkleShare-Android,open,standard protocol support,[],"Not sure if there is a good reason or not you require ""use of the API provided by SparkleShare-Dashboard"", however I think it would be significant advantage if it supported standard git over ssh or git over https. This would mean no extra software needs to be installed on the server, which would allow use of sites like github.

There is an opensource git library for Java, jgit. http://eclipse.org/jgit/
"
NewProggie/SparkleShare-Android,open,tablet support,[],"Hello,

I can't see this available in the Play Store for my Galaxy 10.1. Would be really good if tablets could be supported...

Thanks
"
