repository,state,title,label,body
westnordost/StreetComplete,closed,add amenity=townhall  to opening hours quest,[],"due to #1277 I was unable to test it but breaking anything is unlikely

fixes #1275"
westnordost/StreetComplete,closed,map is currently unavailable,[],"Not only not updating in all regions (#1011) but not serving any map tiles at all

Ping @Akasch "
westnordost/StreetComplete,closed,Bike lane (piste cyclable) cannot be saved,[],"Hello

Bike lane (piste cyclable) can not be saved. Lanes are selectable but OK button is not visible, only 'don't know'.

Latest version of the App. Android 8.1 with disabled GAPPS on a OnePlus 5T.

Thanx"
westnordost/StreetComplete,closed,collect opening hours for amenity=townhall,[],From looking at https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtownhall and my experience with that type of object it seems that collecting opening hours is reasonable
westnordost/StreetComplete,closed,"""this is a service street"" for name quest",[],"
https://www.openstreetmap.org/way/54515993
Is/was tagged as living_street without name.
For such streets it would be nice to have
""this is only a service street""
in the menu of the name quest."
westnordost/StreetComplete,open,What kind of police office is it ? (France only),"[Label(name=""feedback required"")]","

### General
Affected tag(s) to be modified/added: `police:FR` & `operator` tags on [amenity=police](https://wiki.openstreetmap.org/wiki/FR:Tag:amenity%3Dpolice#En_France)
Question asked: **What kind of police office is it?**

This would be a France only quest.
We have [three kind of police forces](https://en.wikipedia.org/wiki/Law_enforcement_in_France) in France:
* ""Police nationale"": civilian police force, centralized at the national level. Mapped with operator & police:FR specific tags
* ""Gendarmerie nationale"": military one,  part of the French armed forces. Mapped with operator & police:FR specific tags
* ""Police municipale"": local police of towns, under the authority of the mayor. Mapped with police:FR specific tags


### Checklist
Checklist for quest 
- [x] 🚧 To be added tag is established and has a useful purpose
- [x] 🤔 Any answer the user can give must have an equivalent tagging (Quest should not reappear to other users when solved by one)
- [x] 🐿️ Easily answerable by everyone from the outside but a survey is necessary 
- [x] 💤 Not an overwhelming percentage of elements have the same answer (No spam)
- [x] 🕓 Applies to a reasonable number of elements (Worth the effort)

The kind of police is written on top of the building office, so it is quite easy to survey, even if you don't know about the details of French police forces.

About the last two items: as we just had a [Projet of the month](https://wiki.openstreetmap.org/wiki/FR:Project_of_the_month/Gendarmerie_nationale) about amenity = police, most of the ""Gendarmerie nationale"" are already ok in OSM.
But the quest will also be useful for maintenance because many police offices are still to be added.

### Ideas for implementation
<!-- If you do not have any, just delete this part. ;)  -->

<!-- If you have any idea for how elements should be selected, add it here. Possibly include an overpass-api query if you are sure what you do. -->
**Element selection:** 
`amenity=police` without `police:FR` tag


**Proposed GUI:**
we could propose 3 building photos and let the user select the one that is the most similar. We already have [a MapContrib theme](https://www.cartes.xyz/t/5399a7-Commissariats_et_Gendarmeries#) that does that to pre-fill the tags when a new `amenity=police` is created:
![screenshot_2018-11-25 commissariats et gendarmeries - mapcontrib](https://user-images.githubusercontent.com/919962/48982019-42906c80-f0dd-11e8-8bb8-d45e5749c58c.png)
"
westnordost/StreetComplete,open,toilets:access for objects with toilets=yes,"[Label(name=""help wanted""), Label(name=""new quest"")]","
### General
Affected tag(s) to be modified/added: https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtoilets#Toilets_within_places https://taginfo.openstreetmap.org/keys/toilets%3Aaccess
Question asked: **Is toilet accessible to public?**

Answers: Yes/Only for customers

<!-- If the answer is not obvious, please append a short explanation to each item (or, if it is longer, below), explaining the reason. -->
### Checklist
Checklist for quest suggestions (see guidelines):
- [x] 🚧 To be added tag is established and has a useful purpose
- [x] 🤔 Any answer the user can give must have an equivalent tagging (Quest should not reappear to other users when solved by one)
- [ ] 🐿️ Easily answerable by everyone from the outside but a survey is necessary 
- [x] 💤 Not an overwhelming percentage of elements have the same answer (No spam)
- [x] 🕓 Applies to a reasonable number of elements (Worth the effort)

<!--
Please try to satisfy all conditions. If one cannot be satisfied that may prevent your quest from getting included in StreetComplete.
If you are not sure about how one condition applies to your suggestion or you have (very) strong reasons that a condition may not needed to be satisfied in your case, just note that down. Someone else may come up with some ideas.
-->

It would be disabled by default if accepted.

### Ideas for implementation
<!-- If you do not have any, just delete this part. ;)  -->

I will implement it (either for my private use or I will submit it as a PR after processing my current ones)

<!-- If you have any idea for how elements should be selected, add it here. Possibly include an overpass-api query if you are sure what you do. -->
**Element selection:** trivial

<!-- If you have any idea whether metadata per country is needed, add it here. If you even have ideas, where to get this data from, you can of course also mention it! -->
**Metadata needed:** no

<!-- If you have any idea on how the GUI (the form appearing when the quest is asked) should look like. (i.e. whether a simple yes/no answer is suitable or what else you imagine) You can use any way to propose a UI. Use simple markdown tables (https://help.github.com/articles/organizing-information-with-tables/) or complex image mockups. That's your decision.
Do include all answer possibilities you consider for that quest. -->
**Proposed GUI:** yes/no template
"
westnordost/StreetComplete,open,Bug report: Negative number on answers-to-upload counter,"[Label(name=""bug"")]","Hi,

Just a simple bug to report : I sometimes have a negative number on the number of answers to upload. Just have a look at the screenshot.

![image](https://user-images.githubusercontent.com/19646549/48951491-0f17db80-ef3f-11e8-8783-0e48790b9d46.png)


**How to Reproduce**
It just appears sometimes. When I have a negative number (-1), I can close the app and then come back to it, the number is back to 0. I'm connected to internet via the WiFi of my university all the time.

**Versions affected**
8.4 (version I currently have)"
westnordost/StreetComplete,open,show location/level data if present to allow less confusing editing of objects not on surface level,"[Label(name=""enhancement"")]","In many cases location and quest type is enough to identify the object.

But there are also more complex areas like multilevel shopping malls, underground passages + surface level shops, train stations etc.

In this cases it would be useful to show information like ""this object is underground"" (for ones with `location=undeground`) or ""this object is on floor 6"" (it has `level=6`)

I thought about showing it on text bar, below/above quest interface for all object with `location=undeground`, `location=roof`, `location=rooftop`, `level!=0` (or maybe also for `level=0` in multilevel objects?)

I can make an UI mockup if that would be helpful.

examples: 

https://www.openstreetmap.org/node/5989365695 (invisible from street level, they even have no sign visible fo street - information that they are on `level=6` would reduce confusion)

https://www.openstreetmap.org/way/388758688 (`location=undeground` tourism attraction, accessible from an U-bahn station)

https://www.openstreetmap.org/node/5613220777#map=19/50.06713/19.94662 (shop in a multilevel mall, has `level=1`)

"
westnordost/StreetComplete,open,"ask whatever traffic lights have button, fixes #574 [change icon background]",[],
