repository,state,title,label,body
daneren2005/Subsonic,open,Lots of voice command issues,[],"Would love to tell my phone ""play Radiohead shuffled"" but I get Radiohead not shuffled.  Tried ""play Nirvana"" and got one song titled ""Nirvana"" by Robert plant.  Tried ""play music by credence Clearwater revival"" and it played ""Revival"" by Allman Brothers."
daneren2005/Subsonic,closed,Stop current track if rated bad and empty playlist,[],"Current behaviour: If there are no other tracks in the playlist and you rate the playing song as bad it skips forward by 30 seconds.

This patch changes that behaviour to stop the track in this situation.

I have a test but Mockito isn't working with android properly at the moment so I'll need to follow up with that when they resolve."
daneren2005/Subsonic,open,Migrate to vector drawables,[],"Resolves #655 

- Nearly all pngs replaced with like for like SVGs. 
- Theming is built into the drawables so only one instance of a drawable is needed (i.e. not dark and light)
- Notification theming handled in a more straightforward way
- Cache icon replaced for a material equivalent for ""downloaded"""
daneren2005/Subsonic,closed,Migrate to vector drawables,[],"Resolves #655 

I've migrated most of the drawables to SVG. There are a few cases where there wasn't an equivalent in the material icon set so I've left them to a better artist to resolve.

The one change I've made is to swap the pin cache and permanent cache icons for a different material icon, with color change to indicate between temporary and permanent cache."
daneren2005/Subsonic,closed,Fix failing test #916,[],Testing previous relies on the player state. The test in it's current form relies on too many side effects  for a good unit test. Setting the player state manually for now.
daneren2005/Subsonic,closed,Failing unit test: testPreviousWithPlaylist,[],"```
junit.framework.AssertionFailedError: expected:<0> but was:<1>
at github.daneren2005.dsub.service.DownloadServiceTest.testPreviousWithPlayList(DownloadServiceTest.java:140)
at android.test.InstrumentationTestCase.runMethod(InstrumentationTestCase.java:220)
at android.test.InstrumentationTestCase.runTest(InstrumentationTestCase.java:205)
at android.test.ActivityInstrumentationTestCase2.runTest(ActivityInstrumentationTestCase2.java:192)
at android.test.AndroidTestRunner.runTest(AndroidTestRunner.java:195)
at android.test.AndroidTestRunner.runTest(AndroidTestRunner.java:181)
at android.test.InstrumentationTestRunner.onStart(InstrumentationTestRunner.java:564)
at android.app.Instrumentation$InstrumentationThread.run(Instrumentation.java:2075)
```"
daneren2005/Subsonic,open,Turning on equaliser causes volume drop,[],"This might be related to #899 but when I enable the equaliser in app on my one plus 5 overall volume levels drop significantly, to the point of being unlistenable. "
daneren2005/Subsonic,open,Mediastyle Notifications,[],"I've used Google Play Music's Oreo notifications as a sort of template, at least in O+. Here's what I've done:
* Prev, pause/play, next icons in compact mode, rate good/bad in expanded. Prev/next change to rw/ff as inside the app.
* Persistent notification setting now keeps the notification persistent (Nougat+). It will stay indefinitely, rather than being cancelled when the service gets killed.
* Only prev, play/pause, next buttons in expanded view for < N. You get a much larger album icon this way.
* New notification icon based on the launcher icon.
* Further refined the dealing with startForeground related crashes.

Tested on APIs 19, 23, 24, 26 in emulator and on my pixel (28). Been running for a week without issue on pixel.

Some of the choices (such as which buttons to display < 24) are subjective, please let me know if you have different ideas!

![screenshot_1542865598](https://user-images.githubusercontent.com/11909320/48884047-c4cb2780-ee76-11e8-9cb7-05bd60257b9e.png)

"
daneren2005/Subsonic,closed,Upgrade to gradle 3.2.1,[],
daneren2005/Subsonic,open,Fix rendering after deleting playlist items,[],"Fixes #910 

The existing method of removing elements from playlist has 2 issues:

1. The removal by index ID from the storage list creates index mismatches.
2. The UI is not updated correctly and mismatches even further.

This patch users an iterator to correctly keep the data storage state correct and takes advantage of the data binding to the RecyclerView to only update the UI once and directly from the data, instead of pushing remove by index."
daneren2005/Subsonic,open,Feature Request: Center Artwork or full screen artwork (cropped),[],"With the Advent of taller phone resolutions, having the artwork at the top of the now playing window leaves a lot of empty space below. I propose allowing users to center the artwork to at least make the space more evenly distributed, or even allowing a cropped type view used by Google Play etc. That would make the artwork take up more of the screen. "
daneren2005/Subsonic,open,Removing from playlist doesn't update UI correctly,[],"When removing tracks from the playlist, the correct tracks are removed but the UI is not updated correctly. Half the selected tracks remain in the UI.

I suspect there's an issue of deleting items from a list while iterating through that list, throwing the index off.

To reproduce, have a playlist of about 10 tracks. Select the middle 5 and remove from playlist. "
daneren2005/Subsonic,closed,signaler a problem,[],"Hello
I write to report a problem, when listening to music with the application d-sub it would be nice to tell the server the exact number of listening to this music by the user. because it is updated only at the first listen when it is cached.
cordially"
daneren2005/Subsonic,open,Feature request: Redownload low bitrate on WiFi,[],"It would be great to have an optional setting to ""ignore"" and redownload cached files when a higher bitrate is available on the server and WiFi is connected.

Usecase: listening to music on the go, caching with lower bitrate to save on traffic volume. Later relistening same music on WiFi in better quality."
daneren2005/Subsonic,closed,Play speed control,[],"I apologize if I'm posting this in the wrong place, or if I'm an idiot. Been a paying user of Subsonic and DSub for years and can't seem to find how to access the play speed control/option in the DSub app on my Android. I'm running the latest update. My podcasts need help. I searched for 30 minutes before giving up and creating an account here. Any help would be appreciated.

Thanks!
Jeff~"
daneren2005/Subsonic,closed,Don't call shutGoogleUpNotification when service is already in foreground,[],"Since adding the call to shutGoogleUpNotification to onStartCommand, using the controls on the notification would always remove the current notification which is pretty annoying. This fixes that unwanted behaviour and I think is much nicer than blindly calling it every time."
daneren2005/Subsonic,closed,Don't log error if avatar isn't available,[],We shouldn't need to log a full exception for failing to download the avatar image where it doesn't exist. Wording on log message also fixed.
daneren2005/Subsonic,closed,Fix Genre comparator to pass unit tests,[],"Fixes a bug in genre comparator unit test, and a bug in the genre comparator itself where null values aren't handled"
daneren2005/Subsonic,open,Follow material guidelines for side padding,[],"Fixes #778 

Adds a 16dp gutter to left and right on text lists."
daneren2005/Subsonic,open,Lint cleanup,[],"Apologies for the size of this commit. This is bringing the code up to modern Java standards and is almost entirely implementing the recommendations from `android-lint`. I've tried to break this up into themed commits to make review a bit easier.

I don't think there's anything too controversial in there and I'm hoping cleaning this up will make it easier to move forward and tackle things like deprecated functions."
daneren2005/Subsonic,open,Ensure adapter is created along with recyclerView,[],"When RecyclerView is first opened it doesn't have an adapter attached. This causes an error to be logged: `E/RecyclerView: No adapter attached; skipping layout`

The resolution seems to be to move most of the logic from `finishLoading()` to just after view creation. I'm not quite familiar enough with the structure of the async data loads to fully DRY this up so I would appreciate a pointer or 2.

I'm chasing down a bug that causes RecyclerView to not be properly cleaned up visually if the user exits the view before it has finished rendering and this is a candidate for causing it."
daneren2005/Subsonic,closed,Fix a crash on getRecentDownloads if playlist is empty,[],"If the current download list is empty then there is we attempt to get from index 0 to index -1, throwing a range error. This cleans that up and adds a test to validate.

I've got no idea whether this is causing any actual issues, I just stumbled across this on my hunt for something else."
daneren2005/Subsonic,open,BassBooster - doesn't work,[],"When I activate BassBooster function (moving slider right), sound changes to some filtered noise. "
daneren2005/Subsonic,closed,Fixes for targetSdkVersion26 and android 9,[],"Fixes #887, fixes #878  
"
daneren2005/Subsonic,open,Global shuffle on Androd Auto,[],"Hi, 

First of all, really thanks for the app, it's great :)

I trying to do a global shuffle (on my entire library) on the Android Auto interface, but I don't find a way to do it. All that I found was the album shuffle or to shuffle songs from a particular artist or album.

Is there a way to do it without use the phone app?

Thanks in advance for your help,

Best regards,
Marc"
