repository,state,title,label,body
john-tornblom/TVHGuide,open,Correct spelling mistakes.,[],
john-tornblom/TVHGuide,open,No setting menu on Android 6.0,[],"There is no hard menu button on Android 6 phone (only back and task list). There is no way to setup the APP.
Thanks 
"
john-tornblom/TVHGuide,open,Feature Request: Quit-Button,[],"The app does not terminate and if I use it on Monday, it's Friday still in the list of active ! apps (not cache) Why? I did not use it. I wish I could tell this app to terminate by a quit-button.

Spielmops
"
john-tornblom/TVHGuide,open,Feature request: chromecast support,[],"Thanks in advance :)
"
john-tornblom/TVHGuide,open,I cant change setting after start program,[],"i cant find settings after start program i see only black screen and error connect to localhost How to change host in interface ? I use galaxy tab 8.4 and cyangenmod ( this model dont have program buttons only hardware buttons )
"
john-tornblom/TVHGuide,closed,Feature request: Show next show in channel listing.,[],"One of the most useful feature on the old ""TVHGuide by John Törnblom "" is showing the current show and the next show.

One suggestion. The current show title display in bold or higher font size than the next show title. It is very useful to zapping.

Thanks for this great app.
"
john-tornblom/TVHGuide,open,LAN with IPv4 + IPv6,[],"There is a problem on LANs with IPv6, where DNS provides both IPv4 and IPv6 addresses. TVHeadend itself only serves on IPv4, even if the box it is on is dual stack. When getting the name (from DNS), TVHGuide picks up the IPv6 address in preference over the IPv4, and tries to connect on IPv6, which results in connection refused.
"
john-tornblom/TVHGuide,open,A couple of features,[],"I would like to see a couple of features implemented. I use one rather specific TVHeadend service via internet which lacks channel logos and sometimes EPG.

So it will be fine to have an option to allow channel logos be taken from some folder on sd card or whatever location (with simple mapping by channel name so user will be responsible to rename individual *.png files to match channel name).

Another thing I will find useful is the ability to launch player more easily. If cannel is missing EPG there is no second screen after tapping on channel in list, so I am forced to use long tap to bring up context menu. Not that big issue though…
"
john-tornblom/TVHGuide,open,New EPG List activities,[],"- Ported to Android 4.0 to support software based settings menu
- Added hours list view activity of EPG data
- Added primetime based list view activity of EPG data
- Added EPG Timeline view activity to EPG data supporting dynamic loading of data

Missing features:
- Due to port to Android 4.0 I had to remove custom titlebar with loading progressbar, any replacement would be nice
- Icons to new views/activities

![screenshot_2014-02-12-21-22-31](https://f.cloud.github.com/assets/3910363/2154089/7205ad40-9430-11e3-8c5f-cb5df7a8a014.png)
![screenshot_2014-02-12-21-22-43](https://f.cloud.github.com/assets/3910363/2154094/7583fe0e-9430-11e3-8a7d-fec8241efcf6.png)
![screenshot_2014-02-12-21-23-00](https://f.cloud.github.com/assets/3910363/2154099/7b4218f8-9430-11e3-8d75-b87b8a71dc23.png)
"
john-tornblom/TVHGuide,open,Update select polish language,[],"Update select polish language
"
john-tornblom/TVHGuide,open,Patch 6,[],"Finally update polish translated
"
john-tornblom/TVHGuide,open,Patch 1,[],
john-tornblom/TVHGuide,open,Patch 2,[],
john-tornblom/TVHGuide,open,Patch 3,[],
john-tornblom/TVHGuide,open,Patch 4,[],
john-tornblom/TVHGuide,open,"Features, merge possible?",[],"Hi @john-tornblom,

first of all: thank you for this great app, this saved many times my day :-)

I downloaded the sources of TVHGuide two or three days ago and added some (useful?) features and I wanted to ask you if you eventually would merge this to your branch. I would like to have a way to contact you directly with a little more privacy. Do you see a way and have a little time to chat a little about this? I'm sorry, but due to the lack of sending mails over github (or I simply didn't find a way) I opened this ticket...

Regards,
Johann
"
john-tornblom/TVHGuide,open,Added Polsih translate,[],
john-tornblom/TVHGuide,open,UI changes and optimizations,[],"This PR improves the UI and contains internal optimizations
- The UI has been improved and ported to the halo styles
- The main view contains tabs for fast access to channels and recordings
- The actionbar is used throughout all screens
- More programs will automatically be loaded when the user reaches the end of program list
- The recordings are grouped into tabs
- Orientation changes remember the selected tab and items
- and much more...

Note: 
- This PR contains the PR #19, #20, #21 and #22.
- The miminum android SDK version is now 11.
"
john-tornblom/TVHGuide,closed,Recording activity changes,[],"Ported the recording list and details activities.
- Impoved the layout and the UI
- An actionbar is used
- Three actionbar tabs (completed, schedules or failed) contains the recordings
- Swiping is supported

This is a part in updating the entire UI of the application. 
See the other PRs or the development branch.
"
john-tornblom/TVHGuide,closed,Program activity changes,[],"Ported the program list and details activities.
- Impoved the layout and the UI

This is a part in updating the entire UI of the application. 
See the other PRs or the development branch.
"
john-tornblom/TVHGuide,closed,Channel activity changes,[],"Ported the channel activity.
- Impoved the layout and the UI
- An actionbar with tabs allows easy selection of the channels or recordings or a possible program guide without accessing the menu.

This is a part in updating the entire UI of the application. 
See the other PRs or the development branch.
"
john-tornblom/TVHGuide,closed,Settings UI changes,[],"Ported the settings activity to a fragment.
This is a small part in updating the entire UI of the application. 
See the other PRs or the development branch.
"
john-tornblom/TVHGuide,open,ZTE Grand X In TVHGuide search problem,[],"Whenever I try to make a search in TVHGuide, the app instantly ends with message: Unfortunately, TVHGuide has stopped.
This phone is x86 architecture, maybe that is part of the problem, I don't know.

Cheers,
"
john-tornblom/TVHGuide,open,Keep aspect ratio of channel logos,[],"Hi! This has been an major issue for me, because I have set up many channellogos which are not squared. so I did this fix by myself.

Adistionally wit his change we will no longer reserve the memory for channellogos, if they where disabled.

I tried to match against your codestyle/ format but was unable to get it comletely done.

If you prefere code formatted in your style please provide  usable code formatter.

Aditionally I fixed the German translation as a native speaker.

Thx for providing this nice app!

Ps: feel free to contact me if there is anything I can do to get this pulled.
"
john-tornblom/TVHGuide,open,Allow multiple Accounts,[],"multiple Accounts would be a great Addition to this app. I'm having a tvheadend running on my raspberry pi just to start a TV-Stream without the need of starting my full featrured Mediacenter and a second running on this mediacenter to watch an record. Fast-switching between theese two would be great
"
john-tornblom/TVHGuide,open,Problem with account settings when using the web_root argument,[],"Hi, after set http_root I noticed that the channels can't be played.
When remove username and password from tvheadend everything is good.
"
john-tornblom/TVHGuide,closed,Connection problem - Android 4.0.3,[],"Hi John,
Having problems connecting using the newest/updated version. App has server+port, username+pass. Initially appears to be connecting and then just sits at Loading and doesn't get any further.
In TVH I see:

Apr 14 21:37:49 [   INFO]:htsp: Got connection from 192.168.55.1
Apr 14 21:37:49 [   INFO]:htsp: 192.168.55.1: Identified as user android
Apr 14 21:37:49 [   INFO]:htsp: 192.168.55.1 [ android ]: Welcomed client software: org.tvheadend.tvhguide (HTSPv8)
Apr 14 21:37:49 [   INFO]:htsp: 192.168.55.1 [ android | org.tvheadend.tvhguide ]: Privileges raised
Apr 14 21:37:51 [   INFO]:htsp: 192.168.55.1 [ android | org.tvheadend.tvhguide ]: Disconnected

So it appears the client disconnects too early. I've left it sitting at the ""Loading"" prompt for a while to see if it was trying to do something on the phone but doesn't get anywhere. tcpdump confirms that no other network activity is seen.

I've also captured logcat from my android (rooted so can help diagnose if needed) which is at: http://pastebin.com/1jQ7UUM9
Which although points at image caching problems (some of my chan's don't have them so understandable) it seems to give up at the end on the connection.

Any ideas?
"
john-tornblom/TVHGuide,open,Regard DVR configuration when schedule a record,[],"At the moment there is no possibility to select the DVR configuration when scheduling a record via the app. See DVR configurations in the TVH webinterface: Configuration > Digital Video Recorder. TVHGuide uses always the ""default"" configuration.
"
john-tornblom/TVHGuide,closed,Sometimes live streaming stops,[],"Hi, I'm using **TVHGuide v1.5.2** (from Google Play) together with **TVHeadend 3.3.392~g2dcbc36** and I want to play the live channel streams over wifi with **MX Player Pro**.

Normally it works but after some time (which may be variable but always happens) the video stops and the stream closes (i.e. MX Player exits).
On TVHeadend I see this log for example:

```
Jan 30 21:58:15 HTTP: 192.168.0.101: using ticket EBBCB7240185831E4982111C39075DE5414E3DCB for /stream/channelid/15
Jan 30 21:58:15 subscription: ""HTTP"" subscribing on ""Italia1"", weight: 100, adapter: ""Sundtek DVB-T"", network: ""Mediaset4"", mux: ""Mediaset4: 698,000 kHz"", provider: ""Mediaset"", service: ""Italia1"", quality: 100
Jan 30 22:00:23 mkv: Live stream: Write failed -- Resource temporarily unavailable
Jan 30 22:00:23 webui: Stop streaming /stream/channelid/15?ticket=EBBCB7240185831E4982111C39075DE5414E3DCB, muxer reported errors
Jan 30 22:00:23 subscription: ""HTTP"" unsubscribing from ""Italia1""
```

I think that there is some error and the application ""gives up"" too shortly and closes the stream.

Have you got any clue on what may be the issue? Or tell me how can I post more debug info?
"
john-tornblom/TVHGuide,open,Feature request: Ability to set auto-timers / series timer,[],"It would be good to be able to set an auto-recorder / series timer from TVHGuide. I note HTS TVHeadend web interface provides this by setting a timer on the same channel on every day with the same title. This would be an acceptable initial implementation. An enhancement would be to allow the selection of which days (via 7 check boxes) the timer applies to.
Auto recorder could be accessed from context menu, press and hold an EPG entry and select, ""Auto Recorder"".
There should also be a view that shows all auto-recorder timers.
"
john-tornblom/TVHGuide,closed,Feature request: Ability to display scheduled date in EPG search.,[],"When searching the EPG, all entries over a week away are shown relative to today, e.g. ""In two days"". This is proving difficult to use. The user ends up counting days from now to find out which day is being referred. May I request an option to show the date of recording?
"
john-tornblom/TVHGuide,closed,TVHGuide not connecting on Galaxy s3,[],"On my Galaxy s3 I can't connect to the server, while, on my mediacom tablet I can. Each of them have Android 4.1.1. Waht can I do?
"
john-tornblom/TVHGuide,closed,Unable to play stream.,[],"Hi, when trying to watch tv in the client I get the following error. (In the log of tvheadend)

Oct 21 21:29:34 HTTP: 192.168.1.101: using ticket 7A605C07F0485CB45E5FC8269EF051A8C344F3F1 for /stream/channelid/40
Oct 21 21:29:34 subscription: ""HTTP"" subscribing on ""TV10"", weight: 100, adapter: ""Philips TDA10023 DVB-C"", network: ""Com Hem"", mux: ""Com Hem: 450,000 kHz"", provider: ""Com Hem"", service: ""TV10"", quality: 100
ct 21 21:29:34 cwc: Obtained key for service ""TV10"" in 3 ms, from xxx
Oct 21 21:29:35 TS: Philips TDA10023 DVB-C/Com Hem: 450,000 kHz/TV10: MPEG2VIDEO @ #4101: Continuity counter error
Oct 21 21:29:35 TS: Philips TDA10023 DVB-C/Com Hem: 450,000 kHz/TV10: MPEG2AUDIO @ #4357: Continuity counter error
Oct 21 21:29:35 TS: Philips TDA10023 DVB-C/Com Hem: 450,000 kHz/TV10: CA @ #1023: Continuity counter error
Oct 21 21:29:37 MKV: Live stream: Unable to write -- Connection reset by peer
Oct 21 21:29:37 subscription: ""HTTP"" unsubscribing from ""TV10""

Watching the stream from XBMC/VLC etc works fine.
"
john-tornblom/TVHGuide,closed,Confirmation prompt when deleting a recording,[],"I have done this a few times where I go to press 'play' on a recording and accidentally hit 'delete'. If this happens the recording is immediately deleted without asking the user to confirm which is a bit frustrating.
"
john-tornblom/TVHGuide,closed,TVHGuide on Android 4.1.1 [CM10] Live-TV not working,[],"TVHGuide in the newest version does not work properly when watching Live-TV. EPG is working, but when it comes to watch the selected channel the fullscreen window closes after some seconds. It does not work with any configuration (external player, transcoding, ...)
"
john-tornblom/TVHGuide,closed,Can't access menu in ice cream sandwich,[],"On a newer android device with no physical menu button there  is no way to setup the server settings.
"
john-tornblom/TVHGuide,closed,Force Close ,[],"I am running tvheadend version: 2.12.99~pulse-4 and on xbmc eden. I downloaded the apk from http://sb1066.homelinux.com/tvhguide/ in January 2012 and I can use it to see the guide but I can't seem to watch LiveTV at all. It force closes and doesn't give a reason why. 

I would be happy to provide logs if you know where I can get some helpful ones from.
"
