repository,state,title,label,body
xgouchet/Ted,open,Most of the apps processing seems to on Main thread,[],
xgouchet/Ted,open,Register to open Markdown (and other) Files,[],"Ted should register to open other Textfiles that aren't named .txt

Most importantly for myself: .md/.markdown

Other possible things: READ.ME, *.nfo, *.log, *.utf8, Data (xml/ini/yaml/json/csv/conf/cfg/asc) Code (css/js/c/h/cpp/java/asp)
"
xgouchet/Ted,closed,Enhanced crash consistency,[],"Our automatic tool confirmed that the original save pattern (write data -> delete file -> rename file) can lead to user data loss at power down or system crash.

Enhanced crash consistency by performing buffer flush and file system synchronization in file saving. This also ensures the user's file is saved immediately.

Reference: http://android-developers.blogspot.com/2010/12/saving-data-safely.html
"
xgouchet/Ted,open,copy / paste should be option after select all,[],"1) select all using Ctrl-A
2) all text becomes highlighted (good)
3) no context menu is shown to copy in the top right hand corner 

the copy/cut buttons should be visible at that time.

Linux 3.10.40-android-x86+cwhuang@fw.cwhuang.info
android 4.4.2
ted 1.8.1
"
xgouchet/Ted,open,"After awhile of typing, letters start getting lost",[],"I notice that I can type faster than text is displayed on the screen.  After I get far enough ahead, it seems like some of the lettters that were typed start getting lost.  If I were typing this sentence, it would work fine, until a certain point, and then iwikhs.  <-- as you can see ""it would look like this"" somehow got lost. 

Linux 3.10.40-android-x86+cwhuang@fw.cwhuang.info 
android 4.4.2
ted 1.8.1
"
xgouchet/Ted,open,EOF crouton message appears many times when a search next button is pressed many times,[],"Hi,

When I try to search for a certain word and the search reaches EOF or no more matches found, the crouton message appears correctly saying ""No more match found in the current file"". But when I continue clicking on search next/previous many times, the crouton message appears many times equal to how many times I pressed on the button, and it will prevent any other messages to appear, say if I saved the file for instance, until it finishes the previous events.

So is there anyway that when any event/button is pressed and you are about to show a message, so you can clear all croupon messages and show the current one immediately.

Thanks,
"
xgouchet/Ted,closed,Added Slovak translation,[],
xgouchet/Ted,open,Closes issue #36,[],"An effort to keep the UI minimal.
"
xgouchet/Ted,closed,Spanish translation,[],
xgouchet/Ted,open,ClassCastException  onCreate,"[Label(name=""crash"")]","Caused by: java.lang.ClassCastException: java.lang.Integer
at android.app.ContextImpl$SharedPreferencesImpl.getString(ContextImpl.java:3102)
at android.preference.Preference.getPersistedString(Preference.java:1256)
at android.preference.ListPreference.onSetInitialValue(ListPreference.java:232)
at android.preference.Preference.dispatchSetInitialValue(Preference.java:1172)
at android.preference.Preference.onAttachedToHierarchy(Preference.java:984)
at android.preference.PreferenceGroup.addPreference(PreferenceGroup.java:156)
at android.preference.PreferenceGroup.addItemFromInflater(PreferenceGroup.java:97)
at android.preference.PreferenceGroup.addItemFromInflater(PreferenceGroup.java:38)
at android.preference.GenericInflater.rInflate(GenericInflater.java:488)
at android.preference.GenericInflater.rInflate(GenericInflater.java:493)
at android.preference.GenericInflater.inflate(GenericInflater.java:326)
at android.preference.GenericInflater.inflate(GenericInflater.java:263)
at android.preference.PreferenceManager.inflateFromResource(PreferenceManager.java:254)
at android.preference.PreferenceActivity.addPreferencesFromResource(PreferenceActivity.java:268)
at fr.xgouchet.texteditor.TedSettingsActivity.onCreate(TedSettingsActivity.java:37)
at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1072)
at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:1836)
"
xgouchet/Ted,open,NPE readIntent,"[Label(name=""crash"")]","Caused by: java.lang.NullPointerException
at fr.xgouchet.texteditor.TedActivity.readIntent(TedActivity.java:418)
at fr.xgouchet.texteditor.TedActivity.onResume(TedActivity.java:141)
at android.app.Instrumentation.callActivityOnResume(Instrumentation.java:1244)
at android.app.Activity.performResume(Activity.java:4552)
at android.app.ActivityThread.performResumeActivity(ActivityThread.java:2544)
... 12 more
"
xgouchet/Ted,open,Add option to remove Title/action bar,"[Label(name=""enhancement"")]","Add an option to keep the UI minimal
"
xgouchet/Ted,open,Add default folder,"[Label(name=""enhancement"")]","Add the possibility to define a default folder for text files (for example /sdcard/txt) instead of always starting in  the sdcard root. 
"
xgouchet/Ted,open,Add Korean translation,[],"xgouchet, I add Korean translation.
"
xgouchet/Ted,open,"Testing adding possibility to send email, send sms, add rating system with addition of database",[],"Also add txt automatic extension,save as ready only, text styles and fonts
"
xgouchet/Ted,closed,Support varies encoding character set,[],"Support varies character encoding using library(https://code.google.com/p/juniversalchardet/) Since the library is under LGPL v2.1, I think there is no problem to use it. 

![screenshot_2013-05-31-11-06-00](https://f.cloud.github.com/assets/1459897/588821/71bd0268-c99a-11e2-99dd-b437db851b98.png)
"
xgouchet/Ted,closed,Unsupport EUC-KR encoding character set.,"[Label(name=""bug""), Label(name=""fixed"")]","Unsupport EUC-KR encoding character set. 

Please look the screenshot below

![screenshot_2013-05-31-11-30-51](https://f.cloud.github.com/assets/1459897/588819/2773f2d4-c99a-11e2-99d7-b044e7ec3552.png)
"
xgouchet/Ted,open,"Add a Share option to send current text to mail, sms, ...","[Label(name=""enhancement"")]",
xgouchet/Ted,open,Add more font sizes,"[Label(name=""enhancement"")]","Add more sizes between 10 and 16 (all odd numbers)
"
xgouchet/Ted,open,Add a scroll to top button,"[Label(name=""enhancement"")]","Add a feature to scroll to the top of a document
"
xgouchet/Ted,open,Automatic .txt extension,"[Label(name=""enhancement"")]","Automatically add the .txt extension to saved files
"
xgouchet/Ted,open,Add a button to make a file read only,"[Label(name=""enhancement"")]","Make a file read only and prevent the keyboard to popup
"
xgouchet/Ted,closed,Ted eating all CPU on HTC G1,[],
xgouchet/Ted,open,wrapped line numbers increase,"[Label(name=""bug"")]","when wrapping and line numbers are enabled, a single logical line gets assigned increasing line numbers.

in a file in which every line consists of the same letter, this looks like this:

```
1 aaaa aaaa aaaa aaa aaaa aaaaa
2 aa aaa aaaa aaaa
3 bbbb b bbb bb bbbb bb bbbbbbb
4 bb
```

instead of:

```
1 aaaa aaaa aaaa aaa aaaa aaaaa
  aa aaa aaaa aaaa
2 bbbb b bbb bb bbbb bb bbbbbbb
  bb
```

which is common in other text editors (compare vim, gedit), and is reasonable, as screen size dependent line numbers have no further meaning.

the new behavior would make it possible to find line numbers given by external programs or users on other devices, and would make it clear that the ""word wrap"" option only breaks lines for printing, and doesn't insert newlines.
"
xgouchet/Ted,open,Missing icon for the Save As option on pre 3.0 deviecs,"[Label(name=""bug"")]",
xgouchet/Ted,closed,Use Croutons,"[Label(name=""enhancement""), Label(name=""fixed"")]","Use croutons instead of toasts
"
xgouchet/Ted,closed,Auto Open File with saved state,"[Label(name=""bug""), Label(name=""fixed"")]","Choose file named A.txt to open when I start the app
Open a new file, type some words, then exit the app via menu button
Wait a while, then open the app again
The file I just typed will have the file name A.txt

(reported by Daniel, by mail)
"
xgouchet/Ted,closed,Submodules are not public,"[Label(name=""bug""), Label(name=""fixed"")]","The .gitmodules should have a git:// url that is available to everybody
"
xgouchet/Ted,open,Add text statistics,"[Label(name=""enhancement"")]","Add a statistic panel to know how many characters / words / paragraphs are in the current document
(Feature requested by Michel B. by mail)
"
xgouchet/Ted,closed,Use other fonts / custom fonts,"[Label(name=""enhancement""), Label(name=""fixed"")]","Let the user use a specific font from app or from sd card ttf file. 
"
xgouchet/Ted,closed,Typo : Annulre insted of Annuler in french,"[Label(name=""bug""), Label(name=""fixed"")]","The title says it all
"
xgouchet/Ted,closed,Ted Integration with Updated Box OneCloud App2App SDK,"[Label(name=""enhancement""), Label(name=""wontfix"")]","We added a git submodule for the SDK
"
xgouchet/Ted,closed,Select / Copy / Paste not available in ICS,"[Label(name=""bug""), Label(name=""wontfix"")]","Long press don't allow the user to Select / Copy and Paste in ICS
"
xgouchet/Ted,closed,add option to start with a specific file,"[Label(name=""enhancement""), Label(name=""fixed"")]","Like setting the homepage in the browser, add an option to start with a new file (like now), a specific one (the current loaded file), or the last opened file.

This would be useful for using the app icon to make quick notes. (Having to save-as after writing, or using the ""Recent files"" menu, is too much unnecessary steps.)

Another option, to make it more complete, is to have a widget or shortcut that you can configure to open a certain file, so you can have more then one icon to open specific files.
"
xgouchet/Ted,closed,Xavier:  Here is a pull request for a sample Box One Cloud integration for TED,"[Label(name=""enhancement""), Label(name=""wontfix"")]","This requires that the following library be added to your project:
OneCloudAppToApp

https://github.com/box/box-android-sdk/tree/experimental

This implements Opening a text file from Box and then editing it in TED
Save will then automatically upload the file to the Box Cloud

Thank you for the wonderful application, and for making it open source.
"
xgouchet/Ted,closed,"Add an ""Undo"" feature","[Label(name=""enhancement""), Label(name=""fixed"")]","Add an undo option to allo the user to undo previous changes. 
"
xgouchet/Ted,closed,Scroll fling doesn't work without line numbers,"[Label(name=""bug""), Label(name=""fixed"")]","When lines number ain't displayed, the fling always stays on top. 
"
xgouchet/Ted,closed,Link the Fling setting to the actual feature,"[Label(name=""bug""), Label(name=""fixed"")]","The setting doesn't do anything !
"
xgouchet/Ted,closed,Canonize file path in recent files ,"[Label(name=""enhancement""), Label(name=""fixed"")]","File path in the recent list should be canonized... 
"
xgouchet/Ted,closed,Crash after update,"[Label(name=""crash""), Label(name=""fixed"")]","Crash after update caused by String to number cast exception in preferences : 

Caused by: java.lang.ClassCastException: java.lang.Integer
at android.app.ContextImpl$SharedPreferencesImpl.getString(ContextImpl.java:2806)
at fr.xgouchet.texteditor.common.Settings.updateFromPreferences(Settings.java:61)
"
xgouchet/Ted,closed,Add thumb navigation,"[Label(name=""enhancement""), Label(name=""wontfix"")]","Add a thumb navigation àla Jota
"
