repository,state,title,label,body
velazcod/Tinfoil-Facebook,open,Disable sounds when liking something,[],Facebook recently starting playing sounds when liking something.  Would be great if this could be disabled or if all sounds within the app could be disabled.  I can't find another way to do it in the OS
velazcod/Tinfoil-Facebook,open,Hangs when saving bio,[],"On your own page, where you can change info about yourself, one option is ""Describe Who You Are""

Selecting that takes you to a page labeled ""Edit Bio"" with a box to input/edit information, and two buttons , ""Save"" and ""Cancel.""

If you ""Save"" with an empty ""bio box,"" the program hangs and no other action is possible for 20-30 seconds. After that time, ""Cancel"" will work, as will using your device's (phone, tablet, etc) back button."
velazcod/Tinfoil-Facebook,open,development stopped?,[],"Since it seems development on this app stopped, has anyone a good alternative?"
velazcod/Tinfoil-Facebook,open,Error when attempting to view full size image,[],"When tapping View full size on an image, Facebook displays a ""Connection error"" message."
velazcod/Tinfoil-Facebook,open,App goes back one page when opening a link in an external browser,[],"When I open a link in the app on an external browser, the app goes back to the FB page that was open prior to the one that was open when I opened the external link."
velazcod/Tinfoil-Facebook,open,Sharing URLs to Tinfoil doesn't work,[],"When sharing a URL from a browser to Tinfoil, the app displays the error message ""Can't load URL: The domain of this URL isn't included in the app's domains. To be able to load this URL, add all domains and subdomains of your app to the App Domains field in your app settings."""
velazcod/Tinfoil-Facebook,open,BUG : Using View fullsize option for pictures tilts the App,[],"Steps to reproduce
1. Press on ""view full size"" option for a picture.
2. pressing back doesnt work although a loading animation is displayed so its probably stuck in a loop not sure.

System: Android 5.0.2 with GCS removed"
velazcod/Tinfoil-Facebook,open,problem with mark and copy comments/status text to clipboard,[],"problem with mark and copy comments/status text to clipboard.
Please add this option."
velazcod/Tinfoil-Facebook,closed,The page you requested was not found.,[],"Hello,

First of here is some basic info:

* Cellphone: Pixel 2 XL
* Android version: 8.0 Oreo -- November security update
* Tinfoil for Facebook version: 1.7.7

Problem:

When I open the application I get ""The page you requested was not found."" Facebook seems to work, I am able to use the other 'tabs' and navigate back to my home page trough the other page. But this happens only when I open the app.

"
velazcod/Tinfoil-Facebook,open,facebook marketplace,[],"There's no easy way to open facebook marketplace with this app, could this be implemented?"
velazcod/Tinfoil-Facebook,open,CookieSyncManager has been deprecated since API 21,[],"Hi,

I noticed that CookieSyncManager is still in use to sync the cookies in BaseFacebookWebViewActivity.java. However, this class has been deprecated since API 21 and is not guaranteed to work for later API levels. (Reference: [Android API Guide](https://developer.android.com/reference/android/webkit/CookieSyncManager.html))

After API 21, [CookieManager](https://developer.android.com/reference/android/webkit/CookieManager.html) should work fine with itself and CookieManager.flush() is a replacement for CookieSyncManager.sync().

I also found some related discussions on [StackOverflow](https://stackoverflow.com/questions/30502411/cookiesyncmanager-is-now-deprecated-what-can-i-use-instead).

Hope this can help."
velazcod/Tinfoil-Facebook,open,How does Facebook know which site I'm browsing?,[],I browsed getgrover.com through IceCatMobile on my smartphone and now I get advertisements for that when I open Tinfoil for Facebook. Is that my mistake? I thought TFB would protect me from that.
