repository,state,title,label,body
Anasthase/TintBrowser,open,"Please add ""do not track""",[],Nice browser. Please add do not track option for websites.
Anasthase/TintBrowser,open,Android 4.4.2/Samsung (GT-N7100) Can't open links from other apps,[],I can't send a link to this browser unless I use 'Share URL' to send it to Flashify and then to Tint.
Anasthase/TintBrowser,open,keyboard doesn't hide,[],"Software keyboard does not hide even if I input a search keyword or URL into an address bar.
"
Anasthase/TintBrowser,open,Javascript execution in background,[],"I have a media player; HTML5 audio and JS to switch to next track in playlist.
Works fine, except JS does not run except when the player is on the (unlocked)
screen and the current tab.  Would be very nice to let it run--both Firefox and
Chrome do so.
"
Anasthase/TintBrowser,open,how to build the project,[],"Please write detailed instructions on how to build the project. Dleayu according to instructions in the description does not work.
"
Anasthase/TintBrowser,open,Simplified Chinese and Traditional Chinese,[],
Anasthase/TintBrowser,closed,Simplified Chinese and Traditional Chinese,[],
Anasthase/TintBrowser,closed,Simplified Chinese and Traditional Chinese.,[],
Anasthase/TintBrowser,closed,Simplified Chinese and Traditional Chinese,[],
Anasthase/TintBrowser,closed,Simplified Chinese and Traditional Chinese,[],
Anasthase/TintBrowser,closed, Simplified Chinese & Traditional Chinese,[],
Anasthase/TintBrowser,closed,Chinese translation,[],"Simplified Chinese retranslation.
Traditional Chinese translation.
"
Anasthase/TintBrowser,closed,Chinese translation.,[],"Simplified Chinese retranslation.
Traditional Chinese translation.
"
Anasthase/TintBrowser,closed,Simplified Chinese translation,[],
Anasthase/TintBrowser,closed,crash,[],"When opening https://mega.co.nz
"
Anasthase/TintBrowser,closed,Simplified Chinese translation,[],
Anasthase/TintBrowser,closed,Simplified Chinese translation,[],
Anasthase/TintBrowser,open,"Close issues #98, #99, and #100.",[],"Line 161's ""... in seconds"" and 223's ""...in days"" are changed to ""(seconds)"" and ""(days)"" respectively.
The typo in line 241 has been fixed and that summary's sentence structure has been altered.
The sentence structure of line 475 has also been changed to better fit with the other summaries.
"
Anasthase/TintBrowser,open,Unnecessary comma in English PreferencePrivacyHistorySizeSummary string,[],"The comma in line 223 of /res/values/strings.xml is unnecessary.
"
Anasthase/TintBrowser,open,PreferenceSslExceptionsSummary breaks parallelism in English summaries,[],"Line 475 of the English /res/values/strings.xml would read better if ""List of"" were reduced to just the verb. This sentence structure (action verb...) would be more consistent with the other summaries.
"
Anasthase/TintBrowser,open,Lowercase 'i' Typo in English strings.xml,[],"The string in line 241 of /res/values/strings.xml has a lowercase 'i' when a capital letter should be used.
Further than simply correcting that capitalization, though, the summary would read better as ""Remember data typed in forms for later use."" This avoid the use of an object altogether and maintains better parallelism with the other pages' other summaries.
"
Anasthase/TintBrowser,closed,Simplified Chinese translation,[],
Anasthase/TintBrowser,open,Cannot access about:config,[],"Browser searches for string ""about:config"" in selected search engine instead of loading config page.
"
Anasthase/TintBrowser,open,Full nested folder support,[],"Expose the nested folder support to the user. This does quite a few things to address this:
- Implement a new folder picker that handles browsing available folders. Much of the code
  is borrowed from the already existing BookmarksFragment
- Add rename and move operations for folders and bookmarks
- Expose creating folders in the BookmarksActivity and the new folder picker (even if they're not top
  level!)
- Clean up a lot of how TintBrowser was performing sql queries. It was concatenating the strings manually
  instead of trying to use the ? notation wherever possible.
- Add getting the folder stack for a given folder ID. This allows the folder picker to easily jump to
  the current bookmark/folder's location when the user wants to move it.
- Drawables, since there weren't any for adding folders nor smaller ones for the folder picker UI

Also, um, durp? I put this on a branch that dangles off right after I did the bookmarklet support.
"
Anasthase/TintBrowser,open,Add Javascript bookmarklets support + viewing local files,[],"This makes searches like ""webkit android 4.4.2 broken"" actually searchable and local files viewable.

Fixes #33 
"
Anasthase/TintBrowser,open,"[Question] I've got some contributions, buuut, I'm not exactly sure how to submit them",[],"I've got some contributions, buuut, I'm not exactly sure how to submit them. The reason why is that I had to convert the project from the current Eclipse format to Android Studio format before I could get to working on it.

A few of the contributions include:
- Massively better support for nested folders
- Better UI for bookmark folder creation
- Renaming folders/moving them
- Moving bookmarks without having to edit them
- Getting javascript bookmarklets to work

Which of the following should I do to submit the contributions?:
- Manually do diffs for the necessary contributions and apply those to a copy on github
- Put up a completely separate repo on github for Tint Browser, then the manual diff attached to some ticket ala a pastebin
- Wait for this to be converted to gradle format, then apply my changes to a copy on github
"
Anasthase/TintBrowser,open,Is it possible to implement Async addon?,[],"As I say is it possible like this?

Addon.java 

```
@Override
public List<Action> onPageFinished(String url) throws RemoteException {
    asyncProcess() // http or something
    return null;
}
```
"
Anasthase/TintBrowser,open,Notification for Cache Cleared,[],"Maybe a nice pop-up saying cache has been cleared would be nice.

![](http://a.pomf.se/jttaic.png)
"
Anasthase/TintBrowser,open,Default Homepage Links,[],"Maybe having Google as a default item on the homepage should not be a good idea. I **strongly** recommend using [DuckDuckGo](https://duckduckgo.com). Also as the default search engine.
"
Anasthase/TintBrowser,closed,Create strings.xml for Polish,[],"Polish  translate strings.xml
"
Anasthase/TintBrowser,open,Support addJavascriptInterface or something similar,[],"Hi, I'm the developer of Tampermonkey [1][2] and I was asked whether I would like to implement Tampermonkey for Tint.
I already studied the Tint Browser Add-on API and as far as I can tell it looks promising all in all. There is only one thing missing: the possibility to communicate back from the Javascript to the Java code. The Android webview as well as the Dolphin Browser abstraction of it provide a way to bind a Java-Javascript-Bridge. [3]

So my question is: is it possible to implement something similar that allows string data based communication from the Javascript to the Tampermonkey Add-on? 

Thanks,
Jan

[1] https://chrome.google.com/webstore/detail/tampermonkey/dhdgffkkebhmkfjojejmpbldmpobfkfo
[2] https://play.google.com/store/apps/details?id=net.tampermonkey.dolphin
[3] http://developer.android.com/guide/webapps/webview.html#BindingJavaScript
"
