repository,state,title,label,body
ybonnel/TransportsRennes,open,APK en téléchargement libre?,[],"Bonjour,

Utilisant une plateforme qui ne dispose pas du store Android (SailfishOS), je voulais savoir si vous pouviez mettre à dispo transport Rennes en téléchargement direct. Le site https://apps.evozi.com/apk-downloader/ ne fonctionne pas avec votre app.

En vous remerciant, cdlt"
ybonnel/TransportsRennes,open,Real time API for Bordeaux transportation,[],"I'm currently writting a Python3 library to get live schedules. I don't know if it would be possible to implement live data source in the app (like you did for V³ stations).

I'll make it available soon on Github, I would be very happy to help you to put it in the app, if you need…"
ybonnel/TransportsRennes,closed,No any updates on Fdroid,[],There's no any updates on F-droid since the end of October 2016. Is there any reason for that?
ybonnel/TransportsRennes,open,ActivityNotFoundException,[],"//package name: fr.ybo.transportsrennes
//version: 4.1.0
 android.content.ActivityNotFoundException: No Activity found to handle Intent { act=android.intent.action.VIEW dat=file:///data/data/fr.ybo.transportsrennes/files/plan_2016_2017.pdf typ=application/pdf }
 	at android.app.Instrumentation.checkStartActivityResult(Instrumentation.java:1632)
 	at android.app.Instrumentation.execStartActivity(Instrumentation.java:1424)
 	at android.app.Activity.startActivityForResult(Activity.java:3390)
 	at android.app.Activity.startActivityForResult(Activity.java:3351)
 	at android.support.v4.app.FragmentActivity.startActivityForResult(FragmentActivity.java:669)
 	at android.app.Activity.startActivity(Activity.java:3587)
 	at android.app.Activity.startActivity(Activity.java:3555)
 	at fr.ybo.transportsrennes.activity.TransportsRennes.onOptionsItemSelected(TransportsRennes.java:200)
 	at android.app.Activity.onMenuItemSelected(Activity.java:2566)
 	at android.support.v4.app.FragmentActivity.onMenuItemSelected(FragmentActivity.java:351)
 	at com.android.internal.policy.impl.PhoneWindow.onMenuItemSelected(PhoneWindow.java:986)
 	at com.android.internal.view.menu.MenuBuilder.dispatchMenuItemSelected(MenuBuilder.java:742)
 	at com.android.internal.view.menu.MenuItemImpl.invoke(MenuItemImpl.java:152)
 	at com.android.internal.view.menu.MenuBuilder.performItemAction(MenuBuilder.java:881)
 	at com.android.internal.view.menu.ActionMenuView.invokeItem(ActionMenuView.java:547)
 	at com.android.internal.view.menu.ActionMenuItemView.onClick(ActionMenuItemView.java:115)
 	at android.view.View.performClick(View.java:4240)
 	at android.view.View.onKeyUp(View.java:7928)
 	at android.widget.TextView.onKeyUp(TextView.java:5606)
 	at android.view.KeyEvent.dispatch(KeyEvent.java:2647)
 	at android.view.View.dispatchKeyEvent(View.java:7343)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at com.android.internal.policy.impl.PhoneWindow$DecorView.superDispatchKeyEvent(PhoneWindow.java:1933)
 	at com.android.internal.policy.impl.PhoneWindow.superDispatchKeyEvent(PhoneWindow.java:1408)
 	at android.app.Activity.dispatchKeyEvent(Activity.java:2384)
 	at com.android.internal.policy.impl.PhoneWindow$DecorView.dispatchKeyEvent(PhoneWindow.java:1860)
 	at android.view.ViewRootImpl$ViewPostImeInputStage.processKeyEvent(ViewRootImpl.java:3791)
 	at android.view.ViewRootImpl$ViewPostImeInputStage.onProcess(ViewRootImpl.java:3774)
 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3379)
 	at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3429)
 	at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3398)
 	at android.view.ViewRootImpl$AsyncInputStage.forward(ViewRootImpl.java:3483)
 	at android.view.ViewRootImpl$InputStage.apply(ViewRootImpl.java:3406)
 	at android.view.ViewRootImpl$AsyncInputStage.apply(ViewRootImpl.java:3540)
 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3379)
 	at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3429)
 	at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3398)
 	at android.view.ViewRootImpl$InputStage.apply(ViewRootImpl.java:3406)
 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3379)
 	at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3429)
 	at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3398)
 	at android.view.ViewRootImpl$AsyncInputStage.forward(ViewRootImpl.java:3516)
 	at android.view.ViewRootImpl$ImeInputStage.onFinishedInputEvent(ViewRootImpl.java:3666)
 	at android.view.inputmethod.InputMethodManager$PendingEvent.run(InputMethodManager.java:1982)
 	at android.view.inputmethod.InputMethodManager.invokeFinishedInputEventCallback(InputMethodManager.java:1698)"
ybonnel/TransportsRennes,open,Update releases,[],"Bonjour,

Cela fait quelque temps maintenant que le apk sur fdroid n'a pas été mis à jour (v4.1.3 du 2016-10-04), est-ce que ce serait parce qu'il n'y a pas eu de release noGoogleMap depuis début octobre ? Ça semble coïncider.
Et si c'est ça la solution, est-ce que tu peux faire un merge+tag vers la branche nogooglemap stp ? Je peux tenter un fork+pull request si tu veux. Je ne sais pas si je peux créer la release mais je peux créer le tag.

Je te remercie.
"
ybonnel/TransportsRennes,open,Simplification de la mise à jour des horaires,[],La mise à jour des horaires ou les modifications du réseau ne concernent a priori que les données de configuration de l'application et non le code lui-même: pourquoi faut-il faire au préalable une mise à jour de l'application? Les différents fichiers texte modifiés à chaque fois ne pourraient-ils pas être téléchargés par l'application? 
ybonnel/TransportsRennes,open,Quelques améliorations,[],"Bonjour,

Voici comme promis quelques amélioration/optimisations apportées à l'application.

Cordialement
"
ybonnel/TransportsRennes,closed,Amélioration diverses grâce à Android Studio,[],"Bonjour,

Voici comme promis quelques amélioration/optimisations apportées à l'application.

Cordialement
"
ybonnel/TransportsRennes,open,Fork ou participation,[],"Bonjour,

je travaille à Rennes, et je suis un utilisateur quasi-quotidien de ton application que je télécharge sur F-droid. Je tiens d'ailleurs à te remercier et te féliciter pour ton application. Je suis développeur Java EE et un peu Android. J'aimerais améliorer ton application, avec peut être des modifications en profondeur. Préfères-tu que je maintienne mon application de mon côté ou que je te propose l'ensemble des modifications que je vais y apporter?

Cordialement,

Dichotomia
"
ybonnel/TransportsRennes,closed,Conservation de l'ordre des lignes,[],"Suppression du tri et utilisation d'une `LinkedHashMap`
lors du parcours du fichier d'origine `routes.txt` déjà
trié.
"
